년도,월,나이,부산광역시 서구,부산광역시 서구 동대신제1동,부산광역시 서구 동대신제2동,부산광역시 서구 동대신제3동,부산광역시 서구 서대신제1동,부산광역시 서구 서대신제3동,부산광역시 서구 서대신제4동,부산광역시 서구 부민동,부산광역시 서구 아미동,부산광역시 서구 초장동,부산광역시 서구 충무동,부산광역시 서구 남부민제1동,부산광역시 서구 남부민제2동,부산광역시 서구 암남동
2020,1,총,"107,973","4,647","7,890","6,665","12,216","8,908","8,140","7,996","7,437","4,848","10,196","4,847","10,003","14,180"
2020,1,0,"5,692",235,376,276,925,652,699,483,116,134,548,110,395,743
2020,1,10,"7,446",284,574,458,943,894,793,580,342,221,550,215,564,"1,028"
2020,1,20,"13,529",635,797,"1,046","1,603","1,077",962,"1,543",798,445,"1,409",417,959,"1,838"
2020,1,30,"11,636",523,739,642,"1,648",951,971,"1,045",588,425,"1,340",425,873,"1,466"
2020,1,40,"14,768",602,"1,103",913,"1,817","1,395","1,280","1,100",893,649,"1,345",558,"1,319","1,794"
2020,1,50,"18,479",789,"1,344","1,043","1,911","1,501","1,341","1,145","1,388",856,"1,762",904,"1,806","2,689"
2020,1,60,"18,435",776,"1,417","1,120","1,684","1,249","1,119","1,118","1,557",991,"1,682","1,121","2,073","2,528"
2020,1,70,"12,121",515,"1,023",760,"1,124",777,617,623,"1,146",758,"1,097",775,"1,445","1,461"
2020,1,80,"5,017",252,458,340,479,358,311,297,514,314,391,278,487,538
2020,1,90,739,32,55,57,77,52,45,57,71,46,57,37,69,84
2020,1,100,111,4,4,10,5,2,2,5,24,9,15,7,13,11
2020,2,총,"107,844","4,650","7,907","6,617","12,259","8,910","8,135","8,048","7,407","4,822","10,176","4,826","9,962","14,125"
2020,2,0,"5,652",230,380,269,921,660,696,492,113,131,537,106,385,732
2020,2,10,"7,452",292,580,449,953,890,793,598,341,214,547,213,560,"1,022"
2020,2,20,"13,504",636,790,"1,026","1,618","1,071",971,"1,577",803,443,"1,393",404,956,"1,816"
2020,2,30,"11,544",519,730,635,"1,645",949,958,"1,056",581,412,"1,330",424,860,"1,445"
2020,2,40,"14,762",600,"1,100",894,"1,821","1,404","1,286","1,096",891,650,"1,354",560,"1,303","1,803"
2020,2,50,"18,414",783,"1,357","1,044","1,918","1,497","1,332","1,135","1,372",847,"1,767",899,"1,797","2,666"
2020,2,60,"18,467",783,"1,416","1,129","1,686","1,255","1,111","1,113","1,550","1,000","1,677","1,118","2,079","2,550"
2020,2,70,"12,135",515,"1,025",756,"1,128",774,625,627,"1,151",753,"1,106",773,"1,441","1,461"
2020,2,80,"5,063",256,469,350,485,356,314,292,508,318,394,283,499,539
2020,2,90,737,32,56,55,79,52,47,57,70,45,56,39,69,80
2020,2,100,114,4,4,10,5,2,2,5,27,9,15,7,13,11
2020,3,총,"107,669","4,655","7,869","6,602","12,245","8,918","8,141","8,045","7,355","4,813","10,200","4,799","9,948","14,079"
2020,3,0,"5,609",230,377,261,929,650,692,482,108,129,534,104,385,728
2020,3,10,"7,417",291,568,444,952,893,792,598,337,216,545,205,556,"1,020"
2020,3,20,"13,527",636,779,"1,050","1,617","1,065",982,"1,583",788,439,"1,404",404,959,"1,821"
2020,3,30,"11,421",522,723,621,"1,619",955,957,"1,055",576,409,"1,313",414,844,"1,413"
2020,3,40,"14,680",593,"1,086",880,"1,827","1,397","1,282","1,082",895,650,"1,363",550,"1,289","1,786"
2020,3,50,"18,347",783,"1,365","1,047","1,904","1,497","1,326","1,137","1,347",843,"1,763",898,"1,798","2,639"
2020,3,60,"18,525",794,"1,413","1,130","1,683","1,270","1,107","1,126","1,546",997,"1,693","1,107","2,089","2,570"
2020,3,70,"12,163",510,"1,023",751,"1,131",775,635,629,"1,149",749,"1,116",780,"1,446","1,469"
2020,3,80,"5,125",259,475,354,497,361,317,291,513,327,399,290,500,542
2020,3,90,740,33,56,54,81,53,49,56,69,45,55,40,69,80
2020,3,100,115,4,4,10,5,2,2,6,27,9,15,7,13,11
2020,4,총,"107,722","4,653","7,803","7,026","12,188","8,874","8,087","8,007","7,306","4,809","10,153","4,867","9,952","13,997"
2020,4,0,"5,608",228,359,331,927,648,675,472,106,121,524,110,384,723
2020,4,10,"7,381",297,554,475,938,879,783,604,331,209,544,207,557,"1,003"
2020,4,20,"13,540",633,780,"1,102","1,603","1,072",978,"1,571",778,442,"1,402",416,958,"1,805"
2020,4,30,"11,420",525,705,732,"1,613",942,939,"1,038",578,408,"1,282",427,841,"1,390"
2020,4,40,"14,646",594,"1,065",950,"1,814","1,389","1,271","1,073",889,643,"1,344",557,"1,290","1,767"
2020,4,50,"18,311",773,"1,363","1,086","1,889","1,490","1,317","1,136","1,325",845,"1,774",913,"1,788","2,612"
2020,4,60,"18,574",789,"1,412","1,171","1,682","1,267","1,114","1,127","1,547","1,003","1,686","1,113","2,081","2,582"
2020,4,70,"12,203",512,"1,023",759,"1,138",771,641,632,"1,139",748,"1,119",781,"1,465","1,475"
2020,4,80,"5,177",265,480,357,498,361,316,291,513,335,410,295,507,549
2020,4,90,744,33,58,53,81,52,50,57,73,46,53,41,67,80
2020,4,100,118,4,4,10,5,3,3,6,27,9,15,7,14,11
2020,5,총,"107,868","4,636","7,809","7,325","12,127","8,875","8,062","7,972","7,301","4,790","10,151","4,985","9,889","13,946"
2020,5,0,"5,632",227,360,370,909,650,677,471,113,120,516,119,379,721
2020,5,10,"7,357",296,557,503,920,875,776,590,327,207,543,213,555,995
2020,5,20,"13,560",620,774,"1,129","1,597","1,083",972,"1,569",773,445,"1,409",431,948,"1,810"
2020,5,30,"11,420",524,707,795,"1,596",934,932,"1,030",579,397,"1,267",447,823,"1,389"
2020,5,40,"14,658",596,"1,050",998,"1,796","1,386","1,265","1,064",889,644,"1,348",573,"1,289","1,760"
2020,5,50,"18,320",767,"1,364","1,120","1,891","1,499","1,309","1,142","1,321",836,"1,754",954,"1,774","2,589"
2020,5,60,"18,580",786,"1,422","1,206","1,678","1,261","1,118","1,125","1,543",995,"1,705","1,114","2,061","2,566"
2020,5,70,"12,264",515,"1,034",776,"1,148",768,642,622,"1,139",755,"1,123",788,"1,477","1,477"
2020,5,80,"5,217",268,480,363,504,362,318,298,517,337,418,297,505,550
2020,5,90,741,33,57,55,83,54,49,55,72,45,53,42,65,78
2020,5,100,119,4,4,10,5,3,4,6,28,9,15,7,13,11
2020,6,총,"107,947","4,639","7,764","7,569","12,127","8,847","8,038","7,975","7,249","4,771","10,146","5,092","9,833","13,897"
2020,6,0,"5,634",227,347,401,908,644,671,469,108,125,509,132,372,721
2020,6,10,"7,350",292,550,528,918,865,781,592,325,207,544,211,554,983
2020,6,20,"13,593",622,778,"1,156","1,588","1,079",967,"1,576",768,449,"1,416",445,940,"1,809"
2020,6,30,"11,435",528,702,833,"1,593",922,927,"1,030",575,397,"1,264",475,818,"1,371"
2020,6,40,"14,671",597,"1,039","1,039","1,805","1,385","1,263","1,064",876,628,"1,345",594,"1,280","1,756"
2020,6,50,"18,243",762,"1,357","1,147","1,884","1,491","1,299","1,129","1,307",832,"1,738",969,"1,749","2,579"
2020,6,60,"18,661",792,"1,420","1,243","1,686","1,273","1,119","1,134","1,543",989,"1,710","1,131","2,063","2,558"
2020,6,70,"12,270",514,"1,033",788,"1,154",770,640,622,"1,131",756,"1,130",787,"1,469","1,476"
2020,6,80,"5,230",268,479,368,501,361,319,297,516,336,422,298,511,554
2020,6,90,739,33,55,56,85,54,48,55,72,43,53,43,64,78
2020,6,100,121,4,4,10,5,3,4,7,28,9,15,7,13,12
2020,7,총,"107,934","4,642","7,767","7,689","12,113","8,834","8,021","7,966","7,237","4,735","10,152","5,139","9,789","13,850"
2020,7,0,"5,641",225,342,416,910,646,665,468,113,120,519,138,363,716
2020,7,10,"7,341",297,553,528,924,862,778,594,326,194,542,211,554,978
2020,7,20,"13,549",616,784,"1,180","1,569","1,077",965,"1,563",767,448,"1,406",447,922,"1,805"
2020,7,30,"11,427",524,694,857,"1,586",907,916,"1,033",571,392,"1,263",502,824,"1,358"
2020,7,40,"14,685",606,"1,045","1,063","1,810","1,384","1,261","1,064",873,624,"1,346",597,"1,266","1,746"
2020,7,50,"18,168",758,"1,347","1,163","1,887","1,472","1,295","1,132","1,293",830,"1,735",960,"1,736","2,560"
2020,7,60,"18,719",790,"1,433","1,251","1,682","1,286","1,133","1,129","1,541",990,"1,717","1,142","2,059","2,566"
2020,7,70,"12,291",518,"1,029",795,"1,155",770,639,619,"1,132",750,"1,135",793,"1,479","1,477"
2020,7,80,"5,254",271,481,369,504,371,317,302,520,333,420,300,510,556
2020,7,90,738,33,55,57,81,56,48,55,73,45,54,42,63,76
2020,7,100,121,4,4,10,5,3,4,7,28,9,15,7,13,12
2020,8,총,"107,768","4,609","7,744","7,759","12,088","8,825","7,999","7,968","7,207","4,734","10,130","5,157","9,740","13,808"
2020,8,0,"5,617",216,336,428,910,647,656,469,110,123,521,136,353,712
2020,8,10,"7,304",292,554,524,918,852,773,589,325,191,539,211,545,991
2020,8,20,"13,512",613,777,"1,188","1,558","1,072",967,"1,574",767,447,"1,387",456,921,"1,785"
2020,8,30,"11,321",509,684,877,"1,566",913,896,"1,022",563,386,"1,257",495,808,"1,345"
2020,8,40,"14,678",603,"1,039","1,074","1,813","1,378","1,269","1,067",866,623,"1,337",605,"1,248","1,756"
2020,8,50,"18,073",756,"1,346","1,160","1,873","1,468","1,297","1,132","1,276",825,"1,732",962,"1,722","2,524"
2020,8,60,"18,829",791,"1,434","1,272","1,695","1,295","1,133","1,130","1,552","1,000","1,732","1,147","2,067","2,581"
2020,8,70,"12,295",520,"1,031",794,"1,159",770,641,622,"1,123",751,"1,130",793,"1,484","1,477"
2020,8,80,"5,277",272,484,373,507,371,316,302,523,333,426,304,516,550
2020,8,90,740,33,55,59,84,56,47,54,74,46,54,41,63,74
2020,8,100,122,4,4,10,5,3,4,7,28,9,15,7,13,13
2020,9,총,"107,689","4,597","7,724","7,829","12,154","8,817","7,969","7,968","7,164","4,715","10,126","5,146","9,724","13,756"
2020,9,0,"5,605",214,338,436,919,641,649,469,110,124,521,140,348,696
2020,9,10,"7,281",292,544,527,932,857,772,584,316,192,537,207,540,981
2020,9,20,"13,504",603,771,"1,201","1,561","1,063",962,"1,584",765,437,"1,380",463,919,"1,795"
2020,9,30,"11,269",501,681,892,"1,583",912,882,"1,007",558,381,"1,253",486,794,"1,339"
2020,9,40,"14,641",603,"1,032","1,076","1,819","1,372","1,266","1,076",856,618,"1,337",613,"1,239","1,734"
2020,9,50,"18,016",761,"1,335","1,169","1,882","1,471","1,290","1,128","1,263",820,"1,728",955,"1,718","2,496"
