년도,월,나이,강원도 동해시,강원도 동해시 천곡동,강원도 동해시 송정동,강원도 동해시 북삼동,강원도 동해시 부곡동,강원도 동해시 동호동,강원도 동해시 발한동,강원도 동해시 묵호동,강원도 동해시 북평동,강원도 동해시 망상동,강원도 동해시 삼화동
2020,3,총,"44,532","15,236","1,939","9,624","2,726","2,594","1,861","1,632","5,590","1,869","1,461"
2020,3,0,"3,304","1,412",100,799,95,163,66,41,472,97,59
2020,3,10,"4,277","1,628",124,"1,249",186,211,89,82,518,92,98
2020,3,20,"3,881","1,427",176,908,221,212,122,94,508,121,92
2020,3,30,"4,495","1,818",143,"1,032",200,214,106,86,637,158,101
2020,3,40,"7,032","2,609",254,"1,961",324,331,182,163,865,200,143
2020,3,50,"7,593","2,629",323,"1,640",507,467,295,236,948,312,236
2020,3,60,"6,816","2,104",377,"1,051",563,469,454,375,785,345,293
2020,3,70,"4,408","1,005",261,631,400,360,331,368,482,313,257
2020,3,80,"2,329",517,149,300,192,149,186,161,326,196,153
2020,3,90,377,86,32,53,37,13,27,21,47,33,28
2020,3,100,20,1,0,0,1,5,3,5,2,2,1
2020,4,총,"44,535","15,204","1,921","9,537","2,719","2,598","1,835","1,628","5,770","1,864","1,459"
2020,4,0,"3,294","1,398",96,780,95,164,64,40,498,101,58
2020,4,10,"4,274","1,627",121,"1,237",185,209,85,81,543,90,96
2020,4,20,"3,856","1,403",178,894,225,208,112,94,530,119,93
2020,4,30,"4,476","1,800",139,"1,007",194,214,104,89,672,157,100
2020,4,40,"7,043","2,621",249,"1,934",326,331,179,164,896,200,143
2020,4,50,"7,579","2,621",325,"1,636",502,463,291,236,967,305,233
2020,4,60,"6,862","2,127",369,"1,060",564,479,451,366,799,350,297
2020,4,70,"4,407","1,002",264,633,394,364,330,369,486,310,255
2020,4,80,"2,339",517,147,301,196,148,189,163,327,198,153
2020,4,90,385,87,33,55,37,13,27,21,50,32,30
2020,4,100,20,1,0,0,1,5,3,5,2,2,1
2020,5,총,"44,597","15,326","1,906","9,480","2,722","2,573","1,815","1,621","5,850","1,853","1,451"
2020,5,0,"3,299","1,407",96,761,97,164,63,41,511,102,57
2020,5,10,"4,258","1,627",118,"1,225",189,209,81,78,551,88,92
2020,5,20,"3,873","1,421",181,894,218,206,111,93,540,117,92
2020,5,30,"4,470","1,815",133,993,194,210,99,88,688,153,97
2020,5,40,"7,053","2,645",245,"1,915",331,326,177,166,909,197,142
2020,5,50,"7,578","2,637",320,"1,628",496,459,292,233,977,305,231
2020,5,60,"6,894","2,153",369,"1,070",569,469,445,365,805,351,298
2020,5,70,"4,403","1,007",264,634,394,360,329,367,485,306,257
2020,5,80,"2,359",525,146,304,195,152,189,165,329,200,154
2020,5,90,390,88,34,56,38,13,26,20,53,32,30
2020,5,100,20,1,0,0,1,5,3,5,2,2,1
2020,6,총,"44,622","15,449","1,899","9,394","2,692","2,572","1,806","1,614","5,896","1,857","1,443"
2020,6,0,"3,289","1,416",96,740,93,164,60,40,526,100,54
2020,6,10,"4,239","1,641",115,"1,206",183,208,81,76,548,89,92
2020,6,20,"3,847","1,432",178,873,214,204,106,92,543,115,90
2020,6,30,"4,475","1,832",133,981,189,211,99,89,693,153,95
2020,6,40,"7,057","2,661",240,"1,904",329,326,175,164,918,200,140
2020,6,50,"7,564","2,657",323,"1,618",488,454,288,225,976,302,233
2020,6,60,"6,949","2,168",369,"1,079",572,470,446,373,817,357,298
2020,6,70,"4,428","1,024",262,638,394,361,330,364,490,308,257
2020,6,80,"2,358",528,148,300,193,155,189,165,329,199,152
2020,6,90,395,89,35,55,35,14,29,21,54,32,31
2020,6,100,21,1,0,0,2,5,3,5,2,2,1
2020,7,총,"44,634","15,496","1,880","9,403","2,673","2,570","1,793","1,614","5,914","1,861","1,430"
2020,7,0,"3,270","1,405",97,742,87,162,60,41,523,99,54
2020,7,10,"4,230","1,651",111,"1,199",177,210,80,74,546,91,91
2020,7,20,"3,860","1,432",177,881,214,204,105,94,553,114,86
2020,7,30,"4,460","1,841",128,976,184,210,98,86,693,151,93
2020,7,40,"7,036","2,660",237,"1,901",329,330,166,161,916,200,136
2020,7,50,"7,553","2,657",315,"1,620",488,448,290,224,978,302,231
2020,7,60,"7,006","2,202",370,"1,094",576,466,442,377,823,359,297
2020,7,70,"4,432","1,028",262,635,389,365,331,361,494,310,257
2020,7,80,"2,364",528,148,300,191,156,189,170,330,199,153
2020,7,90,402,91,35,55,36,14,29,21,56,34,31
2020,7,100,21,1,0,0,2,5,3,5,2,2,1
2020,8,총,"44,661","15,538","1,877","9,379","2,654","2,592","1,789","1,619","5,950","1,842","1,421"
2020,8,0,"3,275","1,401",96,739,86,163,60,44,534,99,53
2020,8,10,"4,232","1,654",108,"1,199",166,229,78,73,546,89,90
2020,8,20,"3,860","1,443",182,872,213,208,103,95,548,111,85
2020,8,30,"4,409","1,824",128,960,182,207,92,85,693,147,91
2020,8,40,"7,044","2,663",231,"1,908",324,329,173,163,925,194,134
2020,8,50,"7,546","2,669",315,"1,606",485,447,291,219,986,300,228
2020,8,60,"7,062","2,231",370,"1,104",574,468,440,382,832,362,299
2020,8,70,"4,431","1,030",264,630,392,367,328,357,497,308,258
2020,8,80,"2,374",530,147,306,195,155,192,174,331,194,150
2020,8,90,407,92,36,55,35,14,29,22,56,36,32
2020,8,100,21,1,0,0,2,5,3,5,2,2,1
2020,9,총,"44,669","15,538","1,860","9,363","2,649","2,579","1,778","1,621","6,022","1,843","1,416"
2020,9,0,"3,271","1,397",92,737,85,163,58,44,547,98,50
2020,9,10,"4,223","1,654",105,"1,193",166,222,79,74,549,89,92
2020,9,20,"3,875","1,443",177,879,212,208,102,97,558,116,83
2020,9,30,"4,369","1,807",123,941,181,205,85,85,707,144,91
2020,9,40,"7,052","2,667",231,"1,914",324,321,174,167,928,192,134
2020,9,50,"7,545","2,681",316,"1,594",485,445,287,213,999,296,229
2020,9,60,"7,086","2,238",368,"1,112",568,472,443,379,843,368,295
2020,9,70,"4,434","1,028",262,632,397,366,325,360,497,307,260
2020,9,80,"2,378",528,151,303,193,158,192,175,335,195,148
2020,9,90,415,94,35,58,36,14,30,22,57,36,33
2020,9,100,21,1,0,0,2,5,3,5,2,2,1
2020,10,총,"44,679","15,546","1,858","9,326","2,648","2,575","1,778","1,620","6,087","1,828","1,413"
2020,10,0,"3,253","1,387",90,725,86,159,59,44,560,94,49
2020,10,10,"4,226","1,659",104,"1,186",166,220,80,75,555,90,91
2020,10,20,"3,868","1,446",174,885,207,213,100,98,549,111,85
2020,10,30,"4,343","1,801",124,924,180,202,81,81,714,147,89
2020,10,40,"7,052","2,660",228,"1,907",325,321,174,168,950,186,133
2020,10,50,"7,552","2,685",319,"1,593",481,443,283,215,"1,009",295,229
2020,10,60,"7,116","2,248",367,"1,118",575,472,444,380,852,365,295
2020,10,70,"4,434","1,034",262,627,396,368,328,354,500,306,259
2020,10,80,"2,396",532,155,303,193,159,195,177,339,195,148
2020,10,90,418,93,35,58,37,13,31,23,57,37,34
2020,10,100,21,1,0,0,2,5,3,5,2,2,1
2020,11,총,"44,630","15,520","1,856","9,308","2,637","2,576","1,776","1,619","6,128","1,808","1,402"
2020,11,0,"3,237","1,380",87,726,86,158,58,45,558,91,48
2020,11,10,"4,215","1,654",107,"1,177",164,220,80,76,561,89,87
2020,11,20,"3,871","1,444",173,886,206,212,101,100,559,109,81
2020,11,30,"4,312","1,787",127,913,178,201,79,78,717,145,87
2020,11,40,"7,029","2,645",222,"1,905",322,323,171,168,954,184,135
2020,11,50,"7,560","2,686",324,"1,593",478,444,280,216,"1,021",287,231
