년도,월,나이,관악구,보라매동,청림동,성현동,행운동,낙성대동,청룡동,은천동,중앙동,인헌동,남현동,서원동,신원동,서림동,신사동,신림동,난향동,조원동,대학동,삼성동,미성동,난곡동
2020,1,총,"248,938","12,836","8,199","15,846","15,171","8,356","17,264","17,680","8,017","13,611","9,721","11,286","9,230","10,624","11,464","10,573","8,237","8,637","9,336","12,454","16,352","14,044"
2020,1,0,"12,028",661,705,"1,051",638,386,654,"1,117",208,637,544,350,354,468,420,211,658,385,402,468,979,732
2020,1,10,"14,791",772,574,"1,463",720,461,867,"1,315",354,834,471,437,454,539,570,262,751,419,478,829,"1,270",951
2020,1,20,"54,951","2,391",926,"1,945","4,078","2,733","5,871","2,874","2,504","3,057","2,145","3,145","2,135","2,467","2,953","4,322",842,"2,168","2,455","1,457","2,484","1,999"
2020,1,30,"39,955","2,011","1,369","2,078","2,835","1,543","2,986","2,773","1,376","2,406","1,866","2,023","1,402","1,771","1,789","2,485","1,053","1,453","1,514","1,276","2,202","1,744"
2020,1,40,"33,099","1,703","1,278","2,705","1,799",969,"1,849","2,643",832,"1,871","1,187","1,301","1,118","1,310","1,559","1,028","1,536","1,041","1,181","1,745","2,422","2,022"
2020,1,50,"35,005","1,911","1,218","2,466","1,853",816,"1,872","2,614",944,"1,838","1,424","1,531","1,302","1,478","1,640",817,"1,295","1,161","1,215","2,263","2,715","2,632"
2020,1,60,"30,867","1,756","1,057","2,042","1,704",700,"1,663","2,295",885,"1,574","1,183","1,370","1,235","1,398","1,314",774,"1,118","1,078","1,072","2,190","2,431","2,028"
2020,1,70,"19,618","1,132",687,"1,416","1,108",509,"1,101","1,459",642,"1,006",673,787,848,804,863,473,670,629,691,"1,486","1,282","1,352"
2020,1,80,"7,179",418,330,569,361,201,338,489,236,329,178,292,311,306,296,156,260,256,275,606,482,490
2020,1,90,"1,199",72,36,86,65,30,49,90,28,53,47,41,63,66,50,31,47,38,44,111,68,84
2020,1,100,246,9,19,25,10,8,14,11,8,6,3,9,8,17,10,14,7,9,9,23,17,10
2020,2,총,"248,765","12,806","8,178","15,788","15,256","8,356","17,402","17,640","8,042","13,586","9,735","11,285","9,220","10,610","11,460","10,525","8,160","8,647","9,314","12,440","16,300","14,015"
2020,2,0,"11,874",653,687,"1,040",634,386,647,"1,099",204,624,541,343,352,462,413,201,645,388,394,470,970,721
2020,2,10,"14,766",761,576,"1,445",736,462,900,"1,315",353,820,474,444,453,537,569,263,727,415,494,817,"1,261",944
2020,2,20,"54,996","2,390",926,"1,940","4,125","2,746","5,910","2,873","2,516","3,051","2,152","3,149","2,122","2,449","2,977","4,308",830,"2,172","2,420","1,451","2,484","2,005"
2020,2,30,"39,879","2,002","1,343","2,064","2,858","1,534","3,018","2,749","1,385","2,413","1,865","2,036","1,413","1,772","1,762","2,472","1,036","1,455","1,524","1,279","2,165","1,734"
2020,2,40,"33,021","1,716","1,282","2,686","1,811",965,"1,861","2,623",822,"1,872","1,176","1,288","1,122","1,302","1,554","1,034","1,522","1,045","1,180","1,733","2,422","2,005"
2020,2,50,"34,932","1,894","1,220","2,460","1,851",815,"1,881","2,623",959,"1,826","1,435","1,524","1,287","1,476","1,635",803,"1,293","1,164","1,207","2,254","2,712","2,613"
2020,2,60,"30,922","1,757","1,065","2,058","1,694",701,"1,680","2,290",882,"1,584","1,180","1,368","1,238","1,404","1,325",766,"1,112","1,076","1,072","2,192","2,426","2,052"
2020,2,70,"19,682","1,139",692,"1,406","1,107",509,"1,099","1,466",645,"1,010",678,796,851,817,868,476,674,625,693,"1,491","1,290","1,350"
2020,2,80,"7,238",414,328,576,366,199,343,501,241,326,185,290,311,309,297,154,266,260,276,615,486,495
2020,2,90,"1,209",71,40,87,64,31,49,90,27,54,46,39,63,65,50,34,48,38,45,115,67,86
2020,2,100,246,9,19,26,10,8,14,11,8,6,3,8,8,17,10,14,7,9,9,23,17,10
2020,3,총,"248,631","12,754","8,139","15,760","15,264","8,382","17,394","17,603","8,106","13,595","9,740","11,298","9,199","10,609","11,470","10,500","8,137","8,660","9,355","12,407","16,280","13,979"
2020,3,0,"11,772",654,674,"1,039",635,379,645,"1,086",200,608,537,345,348,451,413,199,646,378,389,467,958,721
2020,3,10,"14,730",742,572,"1,434",727,473,906,"1,318",350,822,475,442,449,542,568,266,736,412,501,810,"1,251",934
2020,3,20,"55,338","2,406",925,"1,949","4,179","2,766","5,923","2,883","2,592","3,084","2,165","3,179","2,131","2,460","3,009","4,298",821,"2,189","2,443","1,448","2,500","1,988"
2020,3,30,"39,665","1,971","1,328","2,053","2,854","1,538","2,985","2,743","1,378","2,400","1,843","2,025","1,397","1,780","1,747","2,448","1,017","1,449","1,531","1,273","2,172","1,733"
2020,3,40,"32,834","1,710","1,277","2,668","1,780",959,"1,859","2,600",825,"1,862","1,176","1,292","1,117","1,301","1,533","1,043","1,512","1,046","1,180","1,711","2,398","1,985"
2020,3,50,"34,763","1,872","1,211","2,463","1,842",809,"1,871","2,598",957,"1,826","1,429","1,513","1,290","1,465","1,635",795,"1,301","1,156","1,201","2,240","2,686","2,603"
2020,3,60,"31,014","1,770","1,057","2,062","1,698",712,"1,694","2,295",880,"1,586","1,194","1,366","1,232","1,401","1,330",766,"1,108","1,094","1,074","2,200","2,437","2,058"
2020,3,70,"19,730","1,135",703,"1,401","1,108",504,"1,104","1,475",642,"1,011",683,794,846,818,874,481,672,628,701,"1,495","1,303","1,352"
2020,3,80,"7,302",416,331,574,364,202,342,504,246,335,184,295,317,311,301,157,270,256,280,619,493,505
2020,3,90,"1,238",69,42,91,66,32,52,90,28,55,51,39,64,63,50,33,47,43,46,121,67,89
2020,3,100,245,9,19,26,11,8,13,11,8,6,3,8,8,17,10,14,7,9,9,23,15,11
2020,4,총,"248,536","12,763","8,126","15,718","15,221","8,429","17,431","17,587","8,125","13,603","9,706","11,273","9,239","10,664","11,481","10,447","8,139","8,644","9,385","12,379","16,224","13,952"
2020,4,0,"11,653",639,666,"1,030",622,375,648,"1,080",196,611,525,344,348,446,409,196,642,363,385,464,947,717
2020,4,10,"14,684",742,576,"1,422",726,474,896,"1,318",356,822,468,435,452,544,562,267,736,419,502,799,"1,238",930
2020,4,20,"55,487","2,440",925,"1,966","4,158","2,791","5,949","2,880","2,600","3,081","2,169","3,197","2,149","2,480","3,025","4,274",818,"2,184","2,463","1,446","2,501","1,991"
2020,4,30,"39,563","1,952","1,322","2,030","2,852","1,563","3,002","2,740","1,388","2,390","1,828","1,997","1,409","1,799","1,740","2,416","1,018","1,456","1,536","1,269","2,150","1,706"
2020,4,40,"32,751","1,725","1,275","2,650","1,769",961,"1,860","2,579",828,"1,873","1,170","1,291","1,107","1,307","1,524","1,046","1,511","1,037","1,181","1,684","2,390","1,983"
2020,4,50,"34,717","1,866","1,204","2,458","1,841",807,"1,865","2,607",949,"1,817","1,422","1,512","1,293","1,464","1,634",797,"1,307","1,149","1,205","2,242","2,679","2,599"
2020,4,60,"31,052","1,765","1,067","2,061","1,702",711,"1,688","2,303",880,"1,588","1,199","1,361","1,238","1,412","1,338",764,"1,110","1,097","1,072","2,201","2,431","2,064"
2020,4,70,"19,787","1,136",696,"1,409","1,108",506,"1,108","1,469",646,"1,019",682,794,851,818,884,485,672,629,706,"1,502","1,311","1,356"
2020,4,80,"7,337",419,332,575,364,201,345,506,245,340,190,295,320,312,306,156,270,256,278,622,497,508
2020,4,90,"1,261",71,44,91,68,32,57,94,29,56,50,39,64,64,49,32,48,45,48,127,65,88
2020,4,100,244,8,19,26,11,8,13,11,8,6,3,8,8,18,10,14,7,9,9,23,15,10
2020,5,총,"248,803","12,715","8,105","15,755","15,252","8,477","17,663","17,552","8,146","13,606","9,671","11,299","9,250","10,714","11,486","10,489","8,147","8,653","9,393","12,337","16,183","13,910"
2020,5,0,"11,609",638,666,"1,032",620,375,656,"1,070",201,603,522,349,349,437,406,193,631,365,381,465,941,709
2020,5,10,"14,622",732,570,"1,422",725,479,892,"1,309",361,818,464,430,450,544,554,268,737,417,504,798,"1,237",911
2020,5,20,"55,779","2,446",926,"1,990","4,170","2,837","6,022","2,877","2,605","3,092","2,174","3,208","2,173","2,526","3,029","4,300",825,"2,185","2,476","1,426","2,490","2,002"
2020,5,30,"39,588","1,924","1,319","2,025","2,867","1,558","3,068","2,734","1,398","2,397","1,796","1,990","1,409","1,805","1,743","2,439","1,013","1,468","1,551","1,256","2,130","1,698"
2020,5,40,"32,683","1,723","1,264","2,636","1,775",955,"1,887","2,577",828,"1,864","1,167","1,304","1,107","1,310","1,527","1,041","1,511","1,041","1,164","1,665","2,371","1,966"
2020,5,50,"34,639","1,843","1,199","2,474","1,835",813,"1,878","2,594",946,"1,815","1,415","1,514","1,284","1,461","1,635",788,"1,314","1,137","1,202","2,240","2,670","2,582"
2020,5,60,"31,117","1,769","1,072","2,068","1,700",710,"1,711","2,303",872,"1,589","1,202","1,365","1,229","1,418","1,339",765,"1,113","1,102","1,070","2,206","2,444","2,070"
2020,5,70,"19,870","1,139",696,"1,411","1,114",510,"1,114","1,476",650,"1,028",682,795,856,820,891,490,679,628,711,"1,502","1,317","1,361"
2020,5,80,"7,383",419,329,577,366,200,363,510,248,338,195,296,322,314,302,157,269,257,277,629,504,511
