년도,월,나이,충청북도 증평군,충청북도 증평군 증평읍,충청북도 증평군 도안면
2020,1,총,"19,376","18,338","1,038"
2020,1,0,"1,831","1,804",27
2020,1,10,"1,804","1,754",50
2020,1,20,"2,638","2,559",79
2020,1,30,"2,733","2,674",59
2020,1,40,"3,116","2,968",148
2020,1,50,"3,190","2,991",199
2020,1,60,"2,364","2,110",254
2020,1,70,"1,190","1,043",147
2020,1,80,463,398,65
2020,1,90,44,34,10
2020,1,100,3,3,0
2020,2,총,"19,373","18,345","1,028"
2020,2,0,"1,811","1,784",27
2020,2,10,"1,799","1,750",49
2020,2,20,"2,634","2,556",78
2020,2,30,"2,720","2,662",58
2020,2,40,"3,121","2,974",147
2020,2,50,"3,198","3,002",196
2020,2,60,"2,384","2,131",253
2020,2,70,"1,188","1,045",143
2020,2,80,471,404,67
2020,2,90,44,34,10
2020,2,100,3,3,0
2020,3,총,"19,345","18,324","1,021"
2020,3,0,"1,799","1,775",24
2020,3,10,"1,795","1,747",48
2020,3,20,"2,647","2,568",79
2020,3,30,"2,699","2,647",52
2020,3,40,"3,098","2,956",142
2020,3,50,"3,218","3,014",204
2020,3,60,"2,386","2,133",253
2020,3,70,"1,180","1,041",139
2020,3,80,478,408,70
2020,3,90,42,32,10
2020,3,100,3,3,0
2020,4,총,"19,357","18,338","1,019"
2020,4,0,"1,784","1,760",24
2020,4,10,"1,797","1,750",47
2020,4,20,"2,636","2,559",77
2020,4,30,"2,693","2,641",52
2020,4,40,"3,104","2,963",141
2020,4,50,"3,220","3,017",203
2020,4,60,"2,414","2,157",257
2020,4,70,"1,181","1,042",139
2020,4,80,483,414,69
2020,4,90,42,32,10
2020,4,100,3,3,0
2020,5,총,"19,353","18,342","1,011"
2020,5,0,"1,774","1,750",24
2020,5,10,"1,801","1,754",47
2020,5,20,"2,639","2,566",73
2020,5,30,"2,676","2,626",50
2020,5,40,"3,101","2,963",138
2020,5,50,"3,224","3,020",204
2020,5,60,"2,418","2,159",259
2020,5,70,"1,184","1,047",137
2020,5,80,490,423,67
2020,5,90,43,31,12
2020,5,100,3,3,0
2020,6,총,"19,285","18,281","1,004"
2020,6,0,"1,755","1,731",24
2020,6,10,"1,780","1,735",45
2020,6,20,"2,624","2,552",72
2020,6,30,"2,670","2,620",50
2020,6,40,"3,090","2,955",135
2020,6,50,"3,210","3,009",201
2020,6,60,"2,443","2,182",261
2020,6,70,"1,177","1,039",138
2020,6,80,489,423,66
2020,6,90,44,32,12
2020,6,100,3,3,0
2020,7,총,"19,301","18,289","1,012"
2020,7,0,"1,752","1,728",24
2020,7,10,"1,772","1,729",43
2020,7,20,"2,624","2,549",75
2020,7,30,"2,679","2,623",56
2020,7,40,"3,100","2,965",135
2020,7,50,"3,201","3,001",200
2020,7,60,"2,451","2,187",264
2020,7,70,"1,182","1,043",139
2020,7,80,492,428,64
2020,7,90,45,33,12
2020,7,100,3,3,0
2020,8,총,"19,298","18,291","1,007"
2020,8,0,"1,754","1,731",23
2020,8,10,"1,770","1,730",40
2020,8,20,"2,628","2,550",78
2020,8,30,"2,673","2,618",55
2020,8,40,"3,083","2,948",135
2020,8,50,"3,196","3,002",194
2020,8,60,"2,461","2,195",266
2020,8,70,"1,192","1,051",141
2020,8,80,493,429,64
2020,8,90,45,34,11
2020,8,100,3,3,0
2020,9,총,"19,283","18,274","1,009"
2020,9,0,"1,740","1,717",23
2020,9,10,"1,766","1,727",39
2020,9,20,"2,634","2,555",79
2020,9,30,"2,666","2,611",55
2020,9,40,"3,073","2,940",133
2020,9,50,"3,203","3,009",194
2020,9,60,"2,463","2,195",268
2020,9,70,"1,198","1,057",141
2020,9,80,492,427,65
2020,9,90,44,33,11
2020,9,100,4,3,1
2020,10,총,"19,229","18,215","1,014"
2020,10,0,"1,710","1,686",24
2020,10,10,"1,757","1,719",38
2020,10,20,"2,631","2,551",80
2020,10,30,"2,670","2,610",60
2020,10,40,"3,056","2,926",130
2020,10,50,"3,195","3,002",193
2020,10,60,"2,474","2,203",271
2020,10,70,"1,195","1,054",141
2020,10,80,491,426,65
2020,10,90,46,35,11
2020,10,100,4,3,1
2020,11,총,"19,215","18,210","1,005"
2020,11,0,"1,702","1,676",26
2020,11,10,"1,753","1,716",37
2020,11,20,"2,643","2,568",75
2020,11,30,"2,654","2,595",59
2020,11,40,"3,047","2,917",130
2020,11,50,"3,185","2,994",191
2020,11,60,"2,488","2,218",270
2020,11,70,"1,200","1,061",139
2020,11,80,494,428,66
2020,11,90,45,34,11
2020,11,100,4,3,1
2020,12,총,"19,129","18,132",997
2020,12,0,"1,679","1,655",24
2020,12,10,"1,739","1,705",34
2020,12,20,"2,634","2,558",76
2020,12,30,"2,644","2,585",59
2020,12,40,"3,019","2,892",127
2020,12,50,"3,162","2,974",188
2020,12,60,"2,499","2,229",270
2020,12,70,"1,201","1,061",140
2020,12,80,503,436,67
2020,12,90,45,34,11
2020,12,100,4,3,1
2021,1,총,"19,125","18,135",990
2021,1,0,"1,647","1,622",25
2021,1,10,"1,740","1,706",34
2021,1,20,"2,632","2,558",74
2021,1,30,"2,637","2,578",59
2021,1,40,"3,008","2,884",124
2021,1,50,"3,181","2,993",188
2021,1,60,"2,511","2,243",268
2021,1,70,"1,213","1,076",137
2021,1,80,507,437,70
2021,1,90,45,35,10
2021,1,100,4,3,1
2021,2,총,"19,080","18,099",981
2021,2,0,"1,622","1,599",23
2021,2,10,"1,744","1,711",33
2021,2,20,"2,616","2,543",73
2021,2,30,"2,601","2,544",57
2021,2,40,"3,015","2,890",125
2021,2,50,"3,186","2,998",188
2021,2,60,"2,530","2,265",265
2021,2,70,"1,208","1,072",136
2021,2,80,509,439,70
2021,2,90,45,35,10
2021,2,100,4,3,1
2021,3,총,"19,011","18,040",971
2021,3,0,"1,627","1,601",26
2021,3,10,"1,746","1,712",34
2021,3,20,"2,608","2,537",71
2021,3,30,"2,576","2,521",55
2021,3,40,"2,981","2,859",122
2021,3,50,"3,170","2,985",185
2021,3,60,"2,542","2,281",261
2021,3,70,"1,204","1,067",137
2021,3,80,511,441,70
2021,3,90,44,34,10
2021,3,100,2,2,0
2021,4,총,"19,023","18,056",967
2021,4,0,"1,621","1,594",27
2021,4,10,"1,748","1,715",33
2021,4,20,"2,601","2,531",70
2021,4,30,"2,569","2,513",56
2021,4,40,"2,977","2,860",117
2021,4,50,"3,162","2,981",181
2021,4,60,"2,582","2,317",265
2021,4,70,"1,199","1,063",136
2021,4,80,516,443,73
2021,4,90,46,37,9
2021,4,100,2,2,0
2021,5,총,"19,025","18,055",970
2021,5,0,"1,605","1,579",26
2021,5,10,"1,749","1,715",34
2021,5,20,"2,597","2,525",72
2021,5,30,"2,546","2,489",57
2021,5,40,"2,991","2,874",117
2021,5,50,"3,161","2,982",179
2021,5,60,"2,612","2,348",264
2021,5,70,"1,205","1,065",140
2021,5,80,511,438,73
2021,5,90,46,38,8
2021,5,100,2,2,0
2021,6,총,"19,019","18,042",977
2021,6,0,"1,590","1,562",28
2021,6,10,"1,749","1,716",33
2021,6,20,"2,617","2,542",75
2021,6,30,"2,498","2,440",58
2021,6,40,"2,992","2,877",115
2021,6,50,"3,167","2,985",182
2021,6,60,"2,637","2,371",266
2021,6,70,"1,205","1,066",139
2021,6,80,519,445,74
2021,6,90,43,36,7
2021,6,100,2,2,0
2021,7,총,"19,031","18,048",983
2021,7,0,"1,579","1,549",30
2021,7,10,"1,753","1,717",36
2021,7,20,"2,633","2,556",77
2021,7,30,"2,494","2,436",58
2021,7,40,"2,978","2,863",115
2021,7,50,"3,172","2,991",181
2021,7,60,"2,654","2,387",267
2021,7,70,"1,204","1,065",139
