년도,월,나이,제주특별자치도 제주시,제주특별자치도 제주시 한림읍,제주특별자치도 제주시 애월읍,제주특별자치도 제주시 구좌읍,제주특별자치도 제주시 조천읍,제주특별자치도 제주시 한경면,제주특별자치도 제주시 추자면,제주특별자치도 제주시 우도면,제주특별자치도 제주시 일도1동,제주특별자치도 제주시 일도2동,제주특별자치도 제주시 이도1동,제주특별자치도 제주시 이도2동,제주특별자치도 제주시 삼도1동,제주특별자치도 제주시 삼도2동,제주특별자치도 제주시 용담1동,제주특별자치도 제주시 용담2동,제주특별자치도 제주시 건입동,제주특별자치도 제주시 화북동,제주특별자치도 제주시 삼양동,제주특별자치도 제주시 봉개동,제주특별자치도 제주시 아라동,제주특별자치도 제주시 오라동,제주특별자치도 제주시 연동,제주특별자치도 제주시 노형동,제주특별자치도 제주시 외도동,제주특별자치도 제주시 이호동,제주특별자치도 제주시 도두동
2020,1,총,"243,813","10,369","17,489","7,545","12,056","4,485",788,888,"1,288","17,063","3,904","25,428","7,013","3,912","3,516","7,486","4,509","12,442","12,764","2,534","17,514","7,627","21,129","27,558","10,784","2,205","1,517"
2020,1,0,"22,814",740,"1,592",431,984,261,31,50,56,"1,467",253,"2,348",585,220,213,582,354,"1,273","1,844",256,"2,213","1,136","1,599","2,544","1,434",199,149
2020,1,10,"25,877",809,"1,602",556,"1,064",286,43,62,77,"1,900",361,"3,118",769,331,312,710,366,"1,449","1,470",204,"2,196",768,"2,053","3,647","1,359",203,162
2020,1,20,"29,628",954,"1,645",642,"1,247",345,53,83,123,"2,121",562,"3,642",815,444,422,902,514,"1,553","1,369",349,"2,314",835,"3,374","3,736","1,135",286,163
2020,1,30,"31,439","1,116","2,111",770,"1,467",390,42,87,109,"1,967",424,"3,436",769,414,332,778,500,"1,536","2,120",374,"2,767","1,345","2,916","3,540","1,659",275,195
2020,1,40,"40,839","1,548","2,948",961,"1,820",567,77,107,148,"2,637",518,"4,350","1,125",570,506,"1,058",611,"2,092","2,295",365,"3,173","1,335","3,826","5,470","2,163",334,235
2020,1,50,"38,539","1,709","2,893","1,165","1,989",698,108,167,223,"2,925",715,"3,908","1,063",687,646,"1,260",734,"2,066","1,616",340,"2,267","1,055","3,636","4,589","1,416",391,273
2020,1,60,"26,068","1,430","1,979","1,111","1,496",722,162,108,272,"2,072",498,"2,535",837,562,496,"1,016",716,"1,243","1,065",262,"1,325",573,"2,200","2,233",769,236,150
2020,1,70,"16,142","1,098","1,392",894,"1,072",556,141,103,175,"1,238",308,"1,282",677,408,355,706,424,699,579,206,714,331,973,"1,087",467,162,95
2020,1,80,"10,063",815,"1,038",844,745,543,104,96,80,614,217,661,311,220,190,379,225,421,309,141,430,187,448,567,305,96,77
2020,1,90,"2,258",126,279,166,168,109,27,25,19,110,44,139,57,46,40,86,60,104,96,36,105,57,101,143,76,23,16
2020,1,100,146,24,10,5,4,8,0,0,6,12,4,9,5,10,4,9,5,6,1,1,10,5,3,2,1,0,2
2020,2,총,"243,910","10,341","17,549","7,546","12,117","4,485",798,872,"1,270","17,040","3,905","25,413","6,989","3,901","3,508","7,479","4,504","12,418","12,767","2,526","17,556","7,637","21,157","27,601","10,814","2,193","1,524"
2020,2,0,"22,860",738,"1,615",441,996,267,36,51,53,"1,463",259,"2,338",575,219,213,575,347,"1,278","1,840",259,"2,210","1,142","1,582","2,569","1,440",200,154
2020,2,10,"25,753",802,"1,599",559,"1,060",284,46,58,73,"1,882",354,"3,095",754,331,313,707,361,"1,452","1,464",199,"2,191",756,"2,051","3,635","1,367",197,163
2020,2,20,"29,553",932,"1,633",637,"1,232",337,52,79,122,"2,096",559,"3,643",828,442,415,898,512,"1,534","1,371",347,"2,339",840,"3,384","3,729","1,141",287,164
2020,2,30,"31,398","1,098","2,142",775,"1,477",399,41,84,103,"1,972",422,"3,407",759,413,332,781,497,"1,522","2,104",373,"2,755","1,339","2,936","3,542","1,655",275,195
2020,2,40,"40,858","1,560","2,946",961,"1,842",569,79,104,145,"2,634",519,"4,348","1,115",570,502,"1,057",604,"2,081","2,295",364,"3,194","1,353","3,827","5,454","2,171",326,238
2020,2,50,"38,623","1,703","2,899","1,173","1,994",692,109,165,223,"2,925",709,"3,944","1,062",685,649,"1,251",743,"2,067","1,633",338,"2,274","1,056","3,632","4,619","1,417",392,269
2020,2,60,"26,199","1,427","1,994","1,102","1,516",729,164,109,269,"2,089",505,"2,537",847,560,494,"1,026",719,"1,256","1,073",260,"1,336",572,"2,208","2,243",775,235,154
2020,2,70,"16,156","1,105","1,392",887,"1,071",553,141,102,176,"1,239",313,"1,282",677,405,356,709,432,698,577,205,718,332,975,"1,090",466,163,92
2020,2,80,"10,096",822,"1,042",838,752,541,101,96,80,615,215,664,311,223,188,378,223,424,314,145,426,188,458,575,304,97,76
2020,2,90,"2,270",130,277,168,173,106,29,24,20,113,46,146,57,44,42,88,61,100,95,35,104,54,100,143,77,21,17
2020,2,100,144,24,10,5,4,8,0,0,6,12,4,9,4,9,4,9,5,6,1,1,9,5,4,2,1,0,2
