년도,월,나이,남양주시,와부읍,진접읍,화도읍,화도읍동부출장소,진건읍,오남읍,퇴계원읍,별내면,수동면,조안면,호평동,평내동,금곡동,양정동,다산1동,다산2동,별내동
2020,1,총,"350,058","31,689","47,447","50,774","6,924","12,937","26,843","15,073","10,018","4,767","2,225","24,733","17,017","9,878","2,620","36,685","15,663","34,765"
2020,1,0,"34,553","2,469","4,772","4,780",758,659,"2,296",969,691,208,100,"2,950","1,649",424,82,"5,239","2,122","4,385"
2020,1,10,"40,029","3,990","6,017","6,026",641,"1,094","3,506","1,440","1,106",349,143,"3,539","2,583",714,114,"3,843","1,709","3,215"
2020,1,20,"43,153","4,151","5,535","6,176",780,"1,907","3,382","2,246","1,248",470,240,"2,772","2,047","1,464",304,"4,218","1,800","4,413"
2020,1,30,"44,977","3,155","5,516","6,424","1,079","1,327","2,859","1,837","1,008",397,224,"3,037","1,849","1,255",308,"6,278","2,577","5,847"
2020,1,40,"65,167","5,698","9,062","9,911","1,194","1,913","5,347","2,263","1,735",631,306,"5,331","3,596","1,288",338,"7,200","3,078","6,276"
2020,1,50,"58,160","5,686","8,000","8,602","1,097","2,855","4,794","2,860","1,875","1,028",441,"3,596","2,777","2,065",545,"4,721","2,225","4,993"
2020,1,60,"37,398","3,494","4,982","5,051",855,"1,944","2,599","2,146","1,284",940,431,"1,904","1,443","1,610",595,"3,119","1,380","3,621"
2020,1,70,"19,640","2,230","2,616","2,855",372,872,"1,505",965,746,538,244,"1,188",784,757,244,"1,576",577,"1,571"
2020,1,80,"6,353",731,862,871,137,333,509,326,289,174,88,380,264,270,85,457,174,403
2020,1,90,570,76,81,68,10,32,45,21,31,27,6,32,25,26,5,33,15,37
2020,1,100,58,9,4,10,1,1,1,0,5,5,2,4,0,5,0,1,6,4
2020,2,총,"350,840","31,509","47,317","50,684","6,979","12,897","26,799","15,029","9,965","4,778","2,216","24,742","17,041","9,831","2,619","36,854","16,647","34,933"
