년도,월,나이,대구광역시 수성구,대구광역시 수성구 범어1동,대구광역시 수성구 범어2동,대구광역시 수성구 범어3동,대구광역시 수성구 범어4동,대구광역시 수성구 만촌1동,대구광역시 수성구 만촌2동,대구광역시 수성구 만촌3동,대구광역시 수성구 수성1가동,대구광역시 수성구 수성2.3가동,대구광역시 수성구 수성4가동,대구광역시 수성구 황금1동,대구광역시 수성구 황금2동,대구광역시 수성구 중동,대구광역시 수성구 상동,대구광역시 수성구 파동,대구광역시 수성구 두산동,대구광역시 수성구 지산1동,대구광역시 수성구 지산2동,대구광역시 수성구 범물1동,대구광역시 수성구 범물2동,대구광역시 수성구 고산1동,대구광역시 수성구 고산2동,대구광역시 수성구 고산3동
2020,1,총,"208,071","8,008","7,582","7,881","9,335","11,620","5,994","10,626","8,869","6,029","7,389","11,918","5,521","5,145","8,240","6,665","6,951","11,034","9,400","5,511","7,813","15,638","13,989","16,913"
2020,1,0,"15,933",730,521,988,826,"1,015",305,782,684,640,480,"1,049",306,273,584,568,494,582,629,197,597,"1,238","1,027","1,418"
2020,1,10,"28,607","1,086",989,"1,031","2,272","1,401",745,"2,652","1,091",918,776,"2,287",477,363,713,573,625,"1,188","1,039",406,"1,000","2,575","1,962","2,438"
2020,1,20,"30,409","1,118","1,203","1,054","1,015","1,687","1,117","1,450","1,213",650,"1,125","1,504",903,709,"1,142",782,"1,192","1,826","1,420",787,"1,131","2,447","2,210","2,724"
2020,1,30,"21,342",733,939,"1,023",581,"1,189",641,645,828,581,798,937,718,680,"1,057",877,929,"1,230","1,018",543,792,"1,400","1,450","1,753"
2020,1,40,"34,291","1,389","1,198","1,502","2,139","1,818",866,"1,988","1,532","1,227","1,034","2,219",878,838,"1,246","1,022","1,121","1,561","1,361",692,"1,231","2,577","2,193","2,659"
2020,1,50,"36,523","1,445","1,290","1,262","1,408","2,015","1,071","1,745","1,535",912,"1,417","2,092",965,922,"1,419","1,001","1,285","2,002","1,705","1,061","1,366","2,889","2,493","3,223"
2020,1,60,"23,491",781,821,576,602,"1,383",705,768,981,606,952,"1,114",684,731,"1,175",993,805,"1,496","1,319","1,060","1,091","1,575","1,597","1,676"
2020,1,70,"12,245",489,447,302,336,770,382,430,667,365,539,513,425,428,663,630,372,828,615,566,464,632,712,670
2020,1,80,"4,815",216,164,130,140,317,151,157,312,122,245,183,154,187,226,203,120,294,263,177,128,278,319,329
2020,1,90,388,20,10,10,15,25,10,8,25,7,22,17,11,14,15,15,7,27,30,21,12,24,24,19
2020,1,100,27,1,0,3,1,0,1,1,1,1,1,3,0,0,0,1,1,0,1,1,1,3,2,4
2020,2,총,"208,070","8,001","7,575","7,914","9,300","11,611","5,961","10,791","8,883","6,042","7,374","11,940","5,482","5,340","8,231","6,574","6,931","11,015","9,357","5,504","7,773","15,604","13,989","16,878"
2020,2,0,"16,051",737,521,993,836,"1,023",301,827,685,651,474,"1,086",304,307,580,563,486,573,626,194,589,"1,241","1,047","1,407"
2020,2,10,"28,465","1,080",966,"1,030","2,246","1,379",724,"2,705","1,084",910,775,"2,263",470,385,722,568,621,"1,183","1,013",407,997,"2,556","1,945","2,436"
2020,2,20,"30,202","1,101","1,211","1,060","1,008","1,676","1,109","1,439","1,215",654,"1,120","1,488",878,731,"1,122",771,"1,191","1,821","1,409",786,"1,105","2,415","2,193","2,699"
2020,2,30,"21,349",734,948,"1,003",578,"1,200",647,651,824,582,807,952,706,714,"1,066",848,924,"1,224","1,009",531,793,"1,396","1,468","1,744"
2020,2,40,"34,307","1,401","1,195","1,536","2,133","1,810",857,"2,036","1,526","1,235","1,015","2,224",878,877,"1,231","1,013","1,116","1,548","1,361",696,"1,230","2,570","2,180","2,639"
2020,2,50,"36,575","1,445","1,279","1,271","1,412","2,010","1,068","1,761","1,550",911,"1,418","2,097",970,944,"1,420",990,"1,278","2,011","1,698","1,058","1,351","2,898","2,497","3,238"
2020,2,60,"23,570",774,834,572,601,"1,390",710,776,980,602,954,"1,114",685,750,"1,182",969,813,"1,498","1,330","1,066","1,101","1,579","1,599","1,691"
2020,2,70,"12,269",487,446,307,331,771,382,426,674,365,540,511,425,428,669,632,372,835,615,566,463,635,715,674
2020,2,80,"4,856",221,165,128,139,325,152,161,318,124,245,185,156,188,224,205,121,296,265,178,131,285,317,327
2020,2,90,399,20,10,11,15,27,10,8,26,7,25,17,10,16,15,14,8,26,30,21,12,26,26,19
2020,2,100,27,1,0,3,1,0,1,1,1,1,1,3,0,0,0,1,1,0,1,1,1,3,2,4
2020,3,총,"208,075","7,994","7,585","7,925","9,266","11,571","5,934","10,818","8,875","6,029","7,341","11,902","5,507","5,600","8,221","6,490","6,973","11,008","9,354","5,466","7,738","15,566","14,029","16,883"
2020,3,0,"16,022",724,523,994,830,"1,012",295,834,679,645,473,"1,080",299,344,581,558,488,574,621,192,588,"1,225","1,054","1,409"
2020,3,10,"28,284","1,084",964,"1,025","2,233","1,371",716,"2,690","1,074",906,764,"2,239",466,410,711,567,620,"1,176","1,015",395,988,"2,539","1,928","2,403"
2020,3,20,"30,271","1,094","1,210","1,078","1,005","1,680","1,102","1,453","1,233",658,"1,120","1,495",885,765,"1,118",748,"1,201","1,817","1,401",780,"1,098","2,415","2,205","2,710"
2020,3,30,"21,358",733,956,987,569,"1,185",655,659,826,567,795,944,711,757,"1,074",844,932,"1,219","1,004",524,779,"1,399","1,492","1,747"
2020,3,40,"34,171","1,397","1,193","1,541","2,114","1,785",840,"2,028","1,517","1,232","1,008","2,216",889,927,"1,224",999,"1,118","1,538","1,353",688,"1,227","2,559","2,161","2,617"
2020,3,50,"36,633","1,446","1,285","1,275","1,425","2,026","1,064","1,775","1,541",907,"1,415","2,097",967,989,"1,411",967,"1,286","2,011","1,699","1,048","1,345","2,878","2,519","3,257"
2020,3,60,"23,708",788,834,574,610,"1,388",715,779,982,618,951,"1,114",693,762,"1,188",953,828,"1,509","1,340","1,066","1,106","1,595","1,609","1,706"
2020,3,70,"12,304",482,446,310,328,768,384,424,679,362,539,511,429,442,667,636,368,834,620,571,464,647,715,678
2020,3,80,"4,897",225,164,127,137,330,152,165,317,126,249,185,157,189,232,202,123,303,271,180,130,280,318,335
2020,3,90,400,20,10,11,14,26,10,10,26,7,26,18,11,15,15,15,8,27,29,21,12,26,26,17
2020,3,100,27,1,0,3,1,0,1,1,1,1,1,3,0,0,0,1,1,0,1,1,1,3,2,4
2020,4,총,"207,610","7,963","7,572","7,918","9,231","11,533","5,911","10,803","8,837","6,033","7,293","11,882","5,483","5,721","8,205","6,424","6,968","10,970","9,295","5,452","7,723","15,512","14,031","16,850"
2020,4,0,"15,930",718,516,994,827,"1,006",292,835,670,634,464,"1,071",295,361,580,552,489,580,605,191,586,"1,213","1,045","1,406"
2020,4,10,"28,114","1,072",958,"1,011","2,218","1,369",712,"2,673","1,069",908,763,"2,238",462,419,701,567,617,"1,163","1,007",392,980,"2,530","1,920","2,365"
2020,4,20,"30,185","1,099","1,216","1,087","1,007","1,662","1,100","1,454","1,216",668,"1,121","1,488",882,773,"1,095",724,"1,191","1,793","1,385",778,"1,104","2,410","2,214","2,718"
2020,4,30,"21,264",729,948,981,572,"1,186",647,646,828,561,775,929,702,778,"1,088",831,935,"1,216",999,519,781,"1,377","1,503","1,733"
2020,4,40,"34,036","1,376","1,190","1,548","2,092","1,778",839,"2,033","1,501","1,228","1,000","2,223",886,951,"1,213",988,"1,108","1,528","1,351",688,"1,212","2,553","2,148","2,602"
2020,4,50,"36,617","1,449","1,289","1,270","1,428","2,017","1,063","1,780","1,539",915,"1,408","2,098",967,"1,006","1,420",964,"1,294","2,006","1,685","1,036","1,343","2,871","2,512","3,257"
2020,4,60,"23,772",791,829,575,599,"1,389",713,777,991,626,952,"1,114",689,781,"1,191",947,828,"1,516","1,336","1,064","1,109","1,604","1,624","1,727"
2020,4,70,"12,346",483,449,310,336,772,385,427,673,360,532,518,429,443,669,634,374,838,621,581,463,647,721,681
2020,4,80,"4,915",225,167,128,139,328,149,166,322,125,250,183,160,193,234,201,122,303,275,181,132,278,314,340
2020,4,90,404,20,10,11,12,26,10,11,27,7,27,17,11,16,14,15,9,27,30,21,12,26,28,17
2020,4,100,27,1,0,3,1,0,1,1,1,1,1,3,0,0,0,1,1,0,1,1,1,3,2,4
2020,5,총,"207,205","7,944","7,539","7,903","9,251","11,507","5,873","10,764","8,814","6,018","7,250","11,818","5,468","5,847","8,204","6,390","6,993","10,935","9,269","5,433","7,671","15,494","14,012","16,808"
2020,5,0,"15,836",712,511,988,830,"1,006",289,827,659,635,457,"1,059",292,391,577,544,487,573,595,192,577,"1,200","1,034","1,401"
2020,5,10,"27,873","1,062",941,"1,009","2,208","1,360",704,"2,643","1,075",900,751,"2,210",459,426,695,562,607,"1,151",995,389,970,"2,525","1,908","2,323"
2020,5,20,"30,146","1,095","1,218","1,081","1,016","1,654","1,082","1,471","1,205",668,"1,119","1,492",880,789,"1,101",719,"1,192","1,781","1,386",777,"1,086","2,415","2,204","2,715"
2020,5,30,"21,260",731,937,969,582,"1,194",646,651,823,558,767,913,706,801,"1,079",825,942,"1,213",998,515,775,"1,383","1,512","1,740"
2020,5,40,"33,855","1,372","1,192","1,535","2,096","1,769",827,"2,000","1,492","1,213",996,"2,211",879,964,"1,216",983,"1,107","1,520","1,346",677,"1,203","2,540","2,134","2,583"
2020,5,50,"36,651","1,443","1,281","1,290","1,428","2,005","1,067","1,797","1,536",922,"1,400","2,091",965,"1,032","1,423",966,"1,315","1,988","1,683","1,032","1,337","2,870","2,524","3,256"
2020,5,60,"23,838",799,832,584,601,"1,394",712,775,"1,003",626,954,"1,112",691,786,"1,195",937,833,"1,526","1,338","1,066","1,107","1,604","1,625","1,738"
2020,5,70,"12,385",483,451,307,341,772,387,423,669,362,532,525,425,446,675,636,377,846,618,574,471,648,728,689
2020,5,80,"4,927",227,165,125,136,328,149,165,323,126,243,186,160,196,229,201,122,310,279,189,133,282,313,340
2020,5,90,408,19,11,12,12,25,9,11,28,7,30,16,11,16,14,16,10,27,30,21,11,25,28,19
2020,5,100,26,1,0,3,1,0,1,1,1,1,1,3,0,0,0,1,1,0,1,1,1,2,2,4
2020,6,총,"206,873","7,932","7,502","7,886","9,269","11,487","5,862","10,771","8,801","5,990","7,214","11,829","5,432","5,904","8,206","6,345","7,000","10,920","9,241","5,411","7,654","15,490","13,991","16,736"
2020,6,0,"15,768",700,507,982,822,"1,003",295,821,659,627,455,"1,055",292,404,569,543,483,566,596,197,568,"1,197","1,032","1,395"
2020,6,10,"27,706","1,058",930,"1,006","2,220","1,349",696,"2,630","1,074",888,740,"2,209",445,427,689,555,604,"1,141",981,378,968,"2,524","1,889","2,305"
2020,6,20,"30,094","1,098","1,204","1,077","1,017","1,657","1,073","1,485","1,200",664,"1,111","1,500",876,797,"1,105",718,"1,198","1,772","1,385",769,"1,083","2,405","2,200","2,700"
2020,6,30,"21,253",729,944,966,577,"1,184",657,656,822,557,764,926,701,813,"1,077",817,937,"1,219",991,508,774,"1,394","1,516","1,724"
2020,6,40,"33,748","1,363","1,179","1,537","2,100","1,767",822,"1,992","1,491","1,204",993,"2,205",876,971,"1,214",975,"1,106","1,512","1,345",678,"1,190","2,526","2,125","2,577"
2020,6,50,"36,571","1,447","1,277","1,274","1,433","2,003","1,062","1,806","1,533",920,"1,391","2,091",954,"1,034","1,417",956,"1,329","1,981","1,665","1,020","1,342","2,866","2,525","3,245"
2020,6,60,"23,931",804,838,593,602,"1,398",712,776,998,630,953,"1,112",691,794,"1,213",930,836,"1,535","1,347","1,069","1,107","1,620","1,635","1,738"
2020,6,70,"12,436",490,450,309,344,776,389,428,673,365,533,525,423,453,675,631,374,855,622,580,477,652,723,689
2020,6,80,"4,933",224,162,127,140,326,148,165,321,127,241,186,162,194,233,203,122,312,279,190,132,280,316,343
2020,6,90,407,18,11,12,13,24,7,11,29,7,32,17,12,17,14,16,10,27,29,21,12,24,28,16
2020,6,100,26,1,0,3,1,0,1,1,1,1,1,3,0,0,0,1,1,0,1,1,1,2,2,4
2020,7,총,"206,700","7,894","7,519","7,897","9,266","11,470","5,845","10,783","8,790","5,975","7,179","11,799","5,430","5,916","8,222","6,337","7,038","10,894","9,200","5,409","7,636","15,461","14,000","16,740"
2020,7,0,"15,695",689,506,978,827,"1,003",290,822,652,623,450,"1,050",292,403,566,542,495,561,594,196,562,"1,187","1,028","1,379"
2020,7,10,"27,564","1,048",930,"1,008","2,202","1,351",690,"2,620","1,074",882,729,"2,194",445,424,689,559,595,"1,125",973,375,957,"2,498","1,888","2,308"
2020,7,20,"30,088","1,101","1,196","1,077","1,022","1,651","1,072","1,495","1,197",666,"1,104","1,492",873,798,"1,110",719,"1,215","1,778","1,375",762,"1,079","2,409","2,199","2,698"
2020,7,30,"21,222",725,949,966,583,"1,182",650,650,822,545,763,932,699,818,"1,075",811,946,"1,225",979,510,768,"1,386","1,519","1,719"
2020,7,40,"33,630","1,348","1,186","1,543","2,092","1,755",816,"1,993","1,480","1,200",983,"2,186",870,972,"1,216",973,"1,111","1,497","1,330",674,"1,190","2,518","2,121","2,576"
