년도,월,나이,부산광역시 사상구,부산광역시 사상구 삼락동,부산광역시 사상구 모라제1동,부산광역시 사상구 모라제3동,부산광역시 사상구 덕포제1동,부산광역시 사상구 덕포제2동,부산광역시 사상구 괘법동,부산광역시 사상구 감전동,부산광역시 사상구 주례제1동,부산광역시 사상구 주례제2동,부산광역시 사상구 주례제3동,부산광역시 사상구 학장동,부산광역시 사상구 엄궁동
2020,2,80,"5,535",211,721,703,251,310,414,410,369,543,415,699,489
2020,2,90,632,20,78,69,29,43,50,48,43,58,46,84,64
2020,2,100,64,5,16,2,4,2,12,7,2,6,0,6,2
2020,3,총,"216,840","6,166","28,697","11,402","9,158","13,483","21,766","14,154","15,951","23,730","13,654","29,898","28,781"
2020,3,0,"13,409",233,"1,693",340,561,808,"1,132",590,983,"1,629",816,"2,138","2,486"
2020,3,10,"15,907",335,"2,063",548,688,979,"1,111",784,"1,217","1,924","1,091","2,413","2,754"
2020,3,20,"29,744",680,"3,803",965,"1,118","1,810","3,909","1,806","2,271","4,044","1,904","3,630","3,804"
2020,3,30,"26,562",632,"3,466",920,"1,067","1,564","3,165","1,657","1,916","3,155","1,598","3,780","3,642"
2020,3,40,"30,389",778,"3,854","1,402","1,305","1,739","2,696","1,890","2,116","3,513","1,868","4,471","4,757"
2020,3,50,"42,734","1,382","5,796","2,306","1,886","2,911","4,361","2,993","3,286","4,049","2,551","5,640","5,573"
2020,3,60,"35,264","1,206","4,957","2,478","1,447","2,325","3,442","2,659","2,623","3,194","2,304","4,893","3,736"
2020,3,70,"16,534",682,"2,244","1,656",790,988,"1,466","1,313","1,118","1,611","1,061","2,135","1,470"
2020,3,80,"5,588",212,727,713,262,312,419,406,373,545,417,708,494
2020,3,90,642,21,78,72,30,45,51,48,46,60,44,84,63
2020,3,100,67,5,16,2,4,2,14,8,2,6,0,6,2
2020,4,총,"216,507","6,154","28,657","11,355","9,153","13,501","21,810","14,105","15,919","23,704","13,602","29,817","28,730"
2020,4,0,"13,331",234,"1,695",337,562,801,"1,137",579,979,"1,618",800,"2,119","2,470"
2020,4,10,"15,817",330,"2,055",545,685,982,"1,105",769,"1,210","1,904","1,090","2,391","2,751"
2020,4,20,"29,629",682,"3,778",948,"1,112","1,808","3,904","1,799","2,266","4,051","1,878","3,616","3,787"
2020,4,30,"26,443",622,"3,453",907,"1,068","1,565","3,163","1,652","1,909","3,156","1,591","3,734","3,623"
2020,4,40,"30,266",770,"3,838","1,389","1,293","1,747","2,726","1,877","2,098","3,489","1,850","4,452","4,737"
2020,4,50,"42,571","1,380","5,770","2,292","1,888","2,896","4,340","2,981","3,286","4,033","2,541","5,613","5,551"
2020,4,60,"35,467","1,208","4,986","2,483","1,448","2,338","3,476","2,652","2,628","3,221","2,312","4,938","3,777"
2020,4,70,"16,624",685,"2,257","1,662",794,999,"1,475","1,327","1,125","1,604","1,074","2,147","1,475"
2020,4,80,"5,647",216,735,718,269,318,420,412,370,559,422,714,494
2020,4,90,645,22,74,72,30,45,50,49,46,63,44,87,63
2020,4,100,67,5,16,2,4,2,14,8,2,6,0,6,2
2020,5,총,"216,083","6,147","28,641","11,308","9,119","13,480","21,856","14,051","15,872","23,683","13,578","29,699","28,649"
2020,5,0,"13,258",234,"1,693",337,548,796,"1,139",571,979,"1,596",800,"2,093","2,472"
2020,5,10,"15,735",330,"2,048",540,681,974,"1,095",767,"1,199","1,909","1,082","2,375","2,735"
2020,5,20,"29,555",681,"3,773",936,"1,104","1,804","3,923","1,771","2,242","4,070","1,873","3,615","3,763"
2020,5,30,"26,270",614,"3,436",890,"1,057","1,562","3,155","1,656","1,893","3,128","1,572","3,686","3,621"
2020,5,40,"30,192",770,"3,848","1,380","1,280","1,742","2,753","1,861","2,088","3,495","1,845","4,421","4,709"
2020,5,50,"42,442","1,367","5,759","2,271","1,890","2,879","4,343","2,964","3,281","4,027","2,533","5,602","5,526"
2020,5,60,"35,558","1,221","4,999","2,489","1,450","2,353","3,479","2,653","2,631","3,223","2,314","4,952","3,794"
2020,5,70,"16,672",685,"2,251","1,670",796,"1,007","1,484","1,330","1,133","1,604","1,088","2,147","1,477"
2020,5,80,"5,687",218,744,719,276,315,422,419,377,562,428,716,491
2020,5,90,647,22,74,74,33,46,49,51,47,63,43,86,59
2020,5,100,67,5,16,2,4,2,14,8,2,6,0,6,2
2020,6,총,"215,709","6,145","28,568","11,284","9,131","13,403","21,845","14,026","15,836","23,694","13,594","29,574","28,609"
2020,6,0,"13,170",231,"1,672",330,551,790,"1,129",567,981,"1,591",799,"2,067","2,462"
2020,6,10,"15,660",331,"2,057",537,682,959,"1,075",764,"1,192","1,885","1,089","2,358","2,731"
2020,6,20,"29,474",677,"3,755",941,"1,093","1,796","3,946","1,764","2,218","4,089","1,867","3,586","3,742"
2020,6,30,"26,182",608,"3,405",880,"1,065","1,542","3,155","1,646","1,892","3,138","1,568","3,663","3,620"
2020,6,40,"30,142",767,"3,850","1,366","1,283","1,731","2,736","1,862","2,078","3,506","1,850","4,415","4,698"
2020,6,50,"42,174","1,364","5,708","2,261","1,874","2,845","4,313","2,956","3,273","4,012","2,532","5,544","5,492"
2020,6,60,"35,759","1,234","5,023","2,490","1,468","2,366","3,520","2,656","2,645","3,233","2,327","4,970","3,827"
2020,6,70,"16,758",686,"2,260","1,679",799,"1,014","1,492","1,340","1,136","1,604","1,096","2,163","1,489"
2020,6,80,"5,677",219,747,724,279,314,418,409,373,569,423,715,487
2020,6,90,645,23,75,74,33,44,47,54,46,60,43,87,59
2020,6,100,68,5,16,2,4,2,14,8,2,7,0,6,2
2020,7,총,"215,332","6,164","28,495","11,260","9,061","13,351","21,926","13,999","15,813","23,665","13,554","29,508","28,536"
2020,7,0,"13,080",234,"1,654",328,539,774,"1,138",558,985,"1,577",793,"2,058","2,442"
2020,7,10,"15,588",329,"2,056",534,675,953,"1,080",761,"1,187","1,865","1,082","2,354","2,712"
2020,7,20,"29,372",674,"3,736",930,"1,087","1,785","3,948","1,758","2,206","4,098","1,854","3,559","3,737"
2020,7,30,"26,059",611,"3,367",879,"1,044","1,530","3,179","1,650","1,887","3,138","1,556","3,639","3,579"
2020,7,40,"30,046",775,"3,834","1,359","1,274","1,720","2,747","1,846","2,066","3,494","1,852","4,403","4,676"
2020,7,50,"42,050","1,358","5,681","2,257","1,855","2,836","4,314","2,953","3,264","3,998","2,510","5,537","5,487"
2020,7,60,"35,896","1,249","5,050","2,498","1,476","2,374","3,531","2,657","2,658","3,248","2,338","4,972","3,845"
2020,7,70,"16,825",685,"2,268","1,670",801,"1,020","1,506","1,347","1,138","1,611","1,098","2,179","1,502"
2020,7,80,"5,701",221,757,727,277,313,423,406,375,569,427,714,492
2020,7,90,647,23,76,76,29,44,46,55,45,60,44,87,62
2020,7,100,68,5,16,2,4,2,14,8,2,7,0,6,2
2020,8,총,"214,826","6,138","28,456","11,238","9,031","13,325","22,014","13,935","15,765","23,603","13,501","29,407","28,413"
2020,8,0,"12,955",232,"1,657",326,521,766,"1,135",545,982,"1,551",785,"2,028","2,427"
2020,8,10,"15,480",319,"2,050",526,685,951,"1,087",745,"1,171","1,861","1,079","2,337","2,669"
2020,8,20,"29,284",674,"3,720",917,"1,077","1,776","3,973","1,739","2,201","4,096","1,844","3,543","3,724"
2020,8,30,"25,877",605,"3,337",871,"1,028","1,526","3,191","1,646","1,878","3,108","1,543","3,601","3,543"
2020,8,40,"29,924",773,"3,838","1,354","1,260","1,718","2,761","1,835","2,054","3,483","1,827","4,382","4,639"
2020,8,50,"41,925","1,343","5,653","2,244","1,855","2,827","4,312","2,935","3,239","3,992","2,529","5,521","5,475"
2020,8,60,"36,037","1,259","5,069","2,511","1,477","2,381","3,551","2,666","2,681","3,256","2,323","4,996","3,867"
2020,8,70,"16,893",687,"2,285","1,675",815,"1,020","1,517","1,353","1,137","1,609","1,102","2,180","1,513"
2020,8,80,"5,728",218,752,735,279,315,426,409,374,576,424,727,493
2020,8,90,653,23,79,76,30,43,47,54,45,64,45,86,61
2020,8,100,70,5,16,3,4,2,14,8,3,7,0,6,2
2020,9,총,"214,345","6,105","28,421","11,175","8,976","13,328","22,009","13,923","15,730","23,578","13,481","29,293","28,326"
2020,9,0,"12,802",228,"1,656",321,515,754,"1,121",537,982,"1,526",768,"1,999","2,395"
2020,9,10,"15,407",315,"2,045",519,673,955,"1,094",728,"1,152","1,860","1,082","2,322","2,662"
2020,9,20,"29,189",668,"3,690",902,"1,068","1,770","3,968","1,749","2,206","4,108","1,835","3,512","3,713"
2020,9,30,"25,748",607,"3,324",862,"1,027","1,512","3,206","1,646","1,873","3,086","1,529","3,570","3,506"
2020,9,40,"29,778",756,"3,833","1,328","1,243","1,726","2,748","1,826","2,044","3,467","1,834","4,361","4,612"
2020,9,50,"41,739","1,336","5,622","2,230","1,845","2,808","4,295","2,907","3,221","3,996","2,501","5,513","5,465"
2020,9,60,"36,253","1,261","5,111","2,522","1,475","2,415","3,576","2,695","2,689","3,272","2,350","5,006","3,881"
2020,9,70,"16,954",690,"2,290","1,678",812,"1,025","1,517","1,362","1,139","1,619","1,105","2,183","1,534"
2020,9,80,"5,755",218,757,732,283,317,423,413,375,572,432,736,497
