년도,월,나이,강원도 원주시,강원도 원주시 문막읍,강원도 원주시 소초면,강원도 원주시 호저면,강원도 원주시 지정면,강원도 원주시 부론면,강원도 원주시 귀래면,강원도 원주시 흥업면,강원도 원주시 판부면,강원도 원주시 신림면,강원도 원주시 중앙동,강원도 원주시 원인동,강원도 원주시 개운동,강원도 원주시 명륜1동,강원도 원주시 명륜2동,강원도 원주시 단구동,강원도 원주시 일산동,강원도 원주시 학성동,강원도 원주시 단계동,강원도 원주시 우산동,강원도 원주시 태장1동,강원도 원주시 태장2동,강원도 원주시 봉산동,강원도 원주시 행구동,강원도 원주시 무실동,강원도 원주시 반곡관설동
2020,1,총,"173,891","9,321","4,604","1,998","10,701","1,174","1,127","4,690","3,838","1,882","1,523","2,608","6,343","4,323","7,756","21,429","4,365","2,559","13,284","7,240","4,952","12,558","4,197","3,739","16,427","21,253"
2020,1,0,"14,691",653,210,70,"1,832",23,28,227,229,34,37,136,357,207,394,"1,823",229,118,"1,043",583,448,"1,010",157,268,"1,803","2,772"
2020,1,10,"19,114",926,300,93,887,44,32,354,385,72,64,216,769,404,944,"2,867",385,166,"1,304",712,620,"1,459",422,461,"2,350","2,878"
2020,1,20,"23,946","1,204",611,203,"1,131",79,83,848,524,133,115,401,921,707,"1,154","3,401",799,352,"2,181","1,122",564,"1,644",542,496,"2,242","2,489"
2020,1,30,"23,004","1,100",427,156,"2,703",56,90,493,513,116,118,290,636,417,742,"2,787",555,250,"2,013",918,543,"1,514",436,338,"2,247","3,546"
2020,1,40,"28,507","1,608",570,205,"1,840",126,100,670,608,194,197,355,879,567,"1,236","3,847",528,375,"1,859","1,141",902,"2,202",585,581,"3,083","4,249"
2020,1,50,"30,280","1,769",975,440,"1,125",232,256,879,778,412,376,518,"1,242",876,"1,569","3,633",732,497,"2,415","1,262",875,"2,301",828,719,"2,470","3,101"
2020,1,60,"20,552","1,171",877,451,765,313,287,737,500,507,351,388,845,649,"1,045","1,911",608,446,"1,634",889,591,"1,464",691,516,"1,498","1,418"
2020,1,70,"9,461",617,431,242,288,201,164,321,223,271,163,200,485,341,452,815,349,229,577,416,285,665,357,247,552,570
2020,1,80,"3,934",246,186,128,115,88,80,146,73,129,85,91,194,139,201,310,158,118,238,181,116,275,160,99,168,210
2020,1,90,381,27,15,10,15,12,6,14,5,14,17,11,15,14,19,32,21,8,19,15,8,23,16,13,13,19
2020,1,100,21,0,2,0,0,0,1,1,0,0,0,2,0,2,0,3,1,0,1,1,0,1,3,1,1,1
2020,2,총,"174,222","9,285","4,605","1,992","11,403","1,162","1,124","4,687","3,859","1,870","1,517","2,588","6,303","4,316","7,753","21,288","4,342","2,537","13,299","7,221","4,940","12,522","4,202","3,712","16,383","21,312"
2020,2,0,"14,712",648,213,67,"1,933",21,27,222,223,32,38,132,356,210,397,"1,804",223,108,"1,057",577,448,"1,005",153,264,"1,788","2,766"
2020,2,10,"19,067",909,304,88,957,45,31,355,394,71,64,213,758,399,930,"2,801",391,163,"1,293",709,620,"1,443",422,448,"2,351","2,908"
2020,2,20,"23,950","1,211",607,206,"1,199",79,82,863,534,129,112,401,887,699,"1,153","3,388",804,353,"2,183","1,110",562,"1,639",542,496,"2,222","2,489"
2020,2,30,"23,058","1,076",424,151,"2,887",54,91,482,513,117,117,288,643,412,745,"2,769",528,243,"2,019",915,541,"1,502",434,336,"2,230","3,541"
2020,2,40,"28,532","1,592",571,202,"1,987",123,101,670,608,187,197,350,859,563,"1,246","3,802",532,368,"1,856","1,143",898,"2,177",587,572,"3,083","4,258"
