년도,월,나이,강원도 정선군,강원도 정선군 정선읍,강원도 정선군 고한읍,강원도 정선군 사북읍,강원도 정선군 신동읍,강원도 정선군 신동읍함백출장소,강원도 정선군 남면,강원도 정선군 북평면,강원도 정선군 임계면,강원도 정선군 화암면,강원도 정선군 여량면
2020,3,총,"37,044","10,761","4,708","4,871","1,870","1,689","3,285","2,597","3,541","1,682","2,040"
2020,3,0,"1,824",674,251,312,78,48,158,103,110,38,52
2020,3,10,"2,648","1,020",246,400,123,113,195,194,162,95,100
2020,3,20,"2,872","1,016",347,420,127,116,230,168,199,120,129
2020,3,30,"3,319",988,734,533,110,107,324,152,188,73,110
2020,3,40,"5,019","1,668",716,757,219,184,434,322,338,176,205
2020,3,50,"7,196","1,968",788,926,400,340,662,522,775,393,422
2020,3,60,"7,133","1,698",856,865,390,348,732,532,819,395,498
2020,3,70,"4,539","1,111",545,474,280,274,371,348,564,245,327
2020,3,80,"2,110",506,188,164,130,123,150,212,337,128,172
2020,3,90,340,99,28,15,13,26,28,43,46,18,24
2020,3,100,44,13,9,5,0,10,1,1,3,1,1
2020,4,총,"37,036","10,757","4,716","4,865","1,866","1,685","3,293","2,596","3,540","1,677","2,041"
2020,4,0,"1,811",676,246,314,75,46,157,100,112,35,50
2020,4,10,"2,642","1,015",248,393,128,111,196,190,162,97,102
2020,4,20,"2,869","1,015",351,411,124,119,233,170,199,120,127
2020,4,30,"3,274",975,727,522,105,101,321,152,185,73,113
2020,4,40,"5,021","1,679",712,762,220,188,428,321,338,172,201
2020,4,50,"7,160","1,946",795,925,396,337,666,519,767,389,420
2020,4,60,"7,209","1,716",863,879,392,350,745,537,827,397,503
2020,4,70,"4,531","1,112",545,472,281,274,368,347,559,245,328
2020,4,80,"2,129",508,192,167,131,122,152,215,340,129,173
2020,4,90,344,102,28,14,14,27,25,44,48,19,23
2020,4,100,46,13,9,6,0,10,2,1,3,1,1
2020,5,총,"37,025","10,766","4,726","4,863","1,857","1,679","3,292","2,596","3,546","1,676","2,024"
2020,5,0,"1,798",670,248,312,70,46,156,99,112,35,50
2020,5,10,"2,632","1,025",251,388,129,106,193,187,162,96,95
2020,5,20,"2,868","1,015",348,410,122,122,232,176,199,121,123
2020,5,30,"3,258",973,734,516,103,100,313,149,184,72,114
2020,5,40,"4,987","1,671",711,756,217,184,430,313,337,169,199
2020,5,50,"7,160","1,945",796,938,395,334,666,524,762,387,413
2020,5,60,"7,259","1,732",861,885,392,355,754,536,836,400,508
2020,5,70,"4,535","1,113",546,472,278,274,366,352,559,247,328
2020,5,80,"2,136",508,193,166,137,121,155,216,342,128,170
2020,5,90,345,101,29,14,14,27,25,42,50,20,23
2020,5,100,47,13,9,6,0,10,2,2,3,1,1
2020,6,총,"37,046","10,767","4,737","4,856","1,862","1,675","3,295","2,598","3,541","1,691","2,024"
2020,6,0,"1,798",659,257,308,72,42,157,104,113,35,51
2020,6,10,"2,610","1,025",243,388,129,109,187,178,160,96,95
2020,6,20,"2,868","1,015",347,404,123,119,233,179,202,124,122
2020,6,30,"3,242",967,732,517,105,99,313,151,178,69,111
2020,6,40,"4,988","1,671",708,753,216,182,435,313,333,177,200
2020,6,50,"7,140","1,947",793,931,391,333,665,522,760,389,409
2020,6,60,"7,324","1,742",875,892,397,358,760,538,846,401,515
2020,6,70,"4,539","1,112",546,477,277,275,364,354,558,250,326
2020,6,80,"2,147",514,198,165,138,121,155,217,338,129,172
2020,6,90,342,101,29,15,14,27,24,40,50,20,22
2020,6,100,48,14,9,6,0,10,2,2,3,1,1
2020,7,총,"37,001","10,757","4,722","4,862","1,851","1,678","3,295","2,591","3,536","1,683","2,026"
2020,7,0,"1,774",655,249,306,72,40,154,103,111,33,51
2020,7,10,"2,605","1,023",243,383,123,113,189,178,159,98,96
2020,7,20,"2,857","1,003",355,408,125,115,224,180,203,119,125
2020,7,30,"3,203",956,724,513,100,101,310,148,176,69,106
2020,7,40,"4,985","1,679",705,749,212,180,442,314,328,175,201
2020,7,50,"7,116","1,946",789,938,395,332,664,513,755,384,400
2020,7,60,"7,376","1,754",872,897,396,363,769,544,850,408,523
2020,7,70,"4,539","1,110",548,480,275,276,362,351,559,247,331
2020,7,80,"2,157",514,199,167,138,122,157,220,341,129,170
2020,7,90,340,103,29,15,15,25,22,38,51,20,22
2020,7,100,49,14,9,6,0,11,2,2,3,1,1
2020,8,총,"37,006","10,758","4,710","4,857","1,854","1,678","3,295","2,596","3,541","1,691","2,026"
2020,8,0,"1,761",642,251,303,71,41,152,104,112,35,50
2020,8,10,"2,600","1,022",239,382,123,114,189,178,156,99,98
2020,8,20,"2,840","1,009",347,402,125,114,218,180,205,117,123
2020,8,30,"3,178",952,712,513,99,101,304,146,175,71,105
2020,8,40,"4,983","1,673",710,757,208,180,449,310,325,173,198
2020,8,50,"7,117","1,959",783,926,392,330,661,518,762,386,400
2020,8,60,"7,402","1,756",876,903,401,364,770,544,850,411,527
2020,8,70,"4,562","1,108",549,481,281,276,369,357,560,249,332
2020,8,80,"2,167",517,204,169,139,122,158,217,342,128,171
2020,8,90,346,105,30,15,15,25,23,40,51,21,21
2020,8,100,50,15,9,6,0,11,2,2,3,1,1
2020,9,총,"36,956","10,775","4,709","4,833","1,842","1,683","3,285","2,591","3,530","1,687","2,021"
2020,9,0,"1,753",640,250,303,71,40,151,104,111,36,47
2020,9,10,"2,576","1,018",238,377,124,113,183,177,149,97,100
2020,9,20,"2,846","1,025",345,401,123,116,215,179,207,115,120
2020,9,30,"3,148",941,713,504,95,100,302,143,175,72,103
2020,9,40,"4,990","1,684",720,747,206,182,448,307,324,174,198
2020,9,50,"7,074","1,952",779,928,386,330,649,517,752,381,400
2020,9,60,"7,437","1,760",867,905,401,366,784,550,859,415,530
2020,9,70,"4,548","1,107",555,481,280,275,366,354,553,249,328
2020,9,80,"2,184",525,203,166,142,125,162,218,345,125,173
2020,9,90,350,108,30,15,14,25,23,40,52,22,21
2020,9,100,50,15,9,6,0,11,2,2,3,1,1
2020,10,총,"36,950","10,757","4,723","4,831","1,853","1,670","3,297","2,579","3,537","1,677","2,026"
2020,10,0,"1,745",635,251,303,71,39,149,106,108,36,47
2020,10,10,"2,566","1,018",240,380,125,106,179,173,151,95,99
2020,10,20,"2,844","1,022",343,401,120,120,225,174,209,113,117
2020,10,30,"3,126",935,710,496,95,99,297,146,175,69,104
2020,10,40,"4,992","1,686",727,743,212,179,452,301,319,175,198
2020,10,50,"7,046","1,940",779,928,382,324,652,515,750,378,398
2020,10,60,"7,476","1,768",867,915,408,368,779,550,868,420,533
2020,10,70,"4,541","1,098",556,476,281,271,373,351,554,246,335
2020,10,80,"2,209",530,209,168,145,129,166,220,347,123,172
2020,10,90,355,110,32,15,14,24,23,41,53,21,22
2020,10,100,50,15,9,6,0,11,2,2,3,1,1
2020,11,총,"36,937","10,761","4,730","4,826","1,857","1,663","3,299","2,561","3,534","1,684","2,022"
2020,11,0,"1,746",639,255,299,71,37,152,106,103,35,49
2020,11,10,"2,559","1,020",238,381,128,105,178,166,153,94,96
2020,11,20,"2,837","1,023",341,403,118,116,226,172,204,115,119
2020,11,30,"3,104",939,710,485,93,98,296,144,173,67,99
2020,11,40,"4,982","1,680",730,747,212,176,447,297,319,178,196
2020,11,50,"7,028","1,937",776,925,381,327,649,511,747,381,394
2020,11,60,"7,526","1,773",872,918,415,369,784,550,880,428,537
2020,11,70,"4,536","1,100",557,476,280,270,376,349,553,242,333
2020,11,80,"2,218",526,211,171,145,130,167,223,346,122,177
2020,11,90,351,109,31,15,14,24,22,41,53,21,21
2020,11,100,50,15,9,6,0,11,2,2,3,1,1
2020,12,총,"36,870","10,735","4,724","4,822","1,859","1,673","3,282","2,540","3,530","1,676","2,029"
2020,12,0,"1,736",638,260,298,71,37,151,97,100,35,49
2020,12,10,"2,544","1,016",233,379,124,105,178,164,154,94,97
2020,12,20,"2,820","1,017",335,410,121,121,219,174,194,109,120
2020,12,30,"3,078",934,707,476,96,98,292,136,178,65,96
2020,12,40,"4,978","1,680",728,751,213,174,446,295,318,175,198
2020,12,50,"6,986","1,921",776,914,374,332,646,502,746,383,392
2020,12,60,"7,575","1,783",878,925,418,373,784,555,885,430,544
2020,12,70,"4,520","1,092",553,477,280,269,371,351,551,242,334
2020,12,80,"2,231",533,214,171,147,129,171,223,349,121,173
2020,12,90,352,106,31,15,15,24,22,41,52,21,25
2020,12,100,50,15,9,6,0,11,2,2,3,1,1
2021,1,총,"36,783","10,726","4,725","4,791","1,859","1,672","3,263","2,535","3,519","1,674","2,019"
2021,1,0,"1,712",634,264,289,68,36,146,96,98,35,46
2021,1,10,"2,541","1,018",229,376,123,106,180,164,152,94,99
2021,1,20,"2,792","1,015",333,404,120,119,211,177,189,108,116
2021,1,30,"3,059",928,707,464,96,98,292,138,176,65,95
2021,1,40,"4,933","1,673",728,737,213,167,440,286,315,177,197
2021,1,50,"6,975","1,908",781,922,372,337,638,501,744,383,389
2021,1,60,"7,596","1,799",871,927,424,373,789,556,884,429,544
2021,1,70,"4,527","1,097",555,477,279,271,370,350,554,244,330
2021,1,80,"2,244",535,217,173,148,130,173,222,353,116,177
2021,1,90,355,104,31,16,16,24,22,43,52,22,25
2021,1,100,49,15,9,6,0,11,2,2,2,1,1
2021,2,총,"36,704","10,678","4,725","4,775","1,847","1,669","3,260","2,534","3,515","1,680","2,021"
2021,2,0,"1,714",629,264,292,69,39,141,95,99,40,46
2021,2,10,"2,526","1,013",228,367,124,105,180,165,153,92,99
2021,2,20,"2,765",991,336,404,115,114,209,177,191,111,117
2021,2,30,"3,028",913,713,450,95,98,290,139,168,66,96
2021,2,40,"4,907","1,656",726,743,214,165,435,286,312,175,195
2021,2,50,"6,944","1,914",773,914,363,338,641,489,743,383,386
2021,2,60,"7,630","1,808",872,932,428,372,795,562,882,429,550
2021,2,70,"4,530","1,095",555,475,278,273,369,354,558,244,329
2021,2,80,"2,258",540,217,177,146,131,176,222,356,117,176
2021,2,90,352,104,31,15,15,23,22,43,51,22,26
2021,2,100,50,15,10,6,0,11,2,2,2,1,1
2021,3,총,"36,059","10,576","4,453","4,721","1,828","1,582","3,232","2,516","3,498","1,656","1,997"
2021,3,0,"1,707",622,271,292,69,37,142,95,95,40,44
2021,3,10,"2,501","1,005",229,357,120,102,183,168,152,90,95
2021,3,20,"2,723",982,333,396,113,115,205,171,182,108,118
2021,3,30,"2,970",910,690,443,97,88,288,137,163,63,91
2021,3,40,"4,802","1,633",698,725,209,157,429,287,300,172,192
2021,3,50,"6,820","1,897",724,909,356,319,629,487,749,378,372
2021,3,60,"7,559","1,804",821,929,428,361,791,554,886,428,557
2021,3,70,"4,428","1,088",496,478,273,259,363,351,554,244,322
2021,3,80,"2,219",535,175,175,149,126,180,223,364,112,180
2021,3,90,313,97,16,12,14,14,21,42,51,21,25
2021,3,100,17,3,0,5,0,4,1,1,2,0,1
2021,4,총,"35,990","10,542","4,446","4,714","1,818","1,582","3,215","2,527","3,503","1,656","1,987"
2021,4,0,"1,705",628,266,283,67,39,143,97,97,41,44
2021,4,10,"2,483",985,233,357,121,100,183,171,151,91,91
2021,4,20,"2,717",978,331,393,112,117,206,174,182,107,117
2021,4,30,"2,944",906,681,439,96,91,278,138,160,62,93
2021,4,40,"4,777","1,623",697,726,205,155,423,286,303,169,190
2021,4,50,"6,790","1,887",722,908,355,316,622,485,746,379,370
2021,4,60,"7,586","1,815",824,936,429,363,793,555,889,428,554
2021,4,70,"4,433","1,087",501,478,272,259,366,348,557,244,321
2021,4,80,"2,225",533,175,176,148,124,181,230,364,114,180
2021,4,90,313,97,16,13,13,14,19,42,52,21,26
2021,4,100,17,3,0,5,0,4,1,1,2,0,1
2021,5,총,"35,991","10,536","4,457","4,707","1,820","1,585","3,218","2,531","3,499","1,654","1,984"
2021,5,0,"1,700",626,266,277,63,41,146,97,97,42,45
2021,5,10,"2,469",975,236,360,125,100,181,170,148,87,87
2021,5,20,"2,704",969,327,394,114,116,204,174,180,110,116
2021,5,30,"2,935",904,682,438,95,90,273,136,162,60,95
2021,5,40,"4,751","1,614",691,728,204,156,422,290,294,167,185
2021,5,50,"6,808","1,892",737,901,357,315,626,485,741,378,376
2021,5,60,"7,629","1,826",828,938,435,365,798,560,899,428,552
2021,5,70,"4,430","1,091",499,478,265,259,367,349,559,243,320
2021,5,80,"2,227",536,174,174,149,125,182,226,363,118,180
2021,5,90,320,99,17,14,13,14,18,43,54,21,27
2021,5,100,18,4,0,5,0,4,1,1,2,0,1
2021,6,총,"35,952","10,514","4,430","4,712","1,815","1,581","3,233","2,533","3,495","1,652","1,987"
2021,6,0,"1,700",621,271,278,64,40,145,97,95,43,46
2021,6,10,"2,457",972,234,361,123,99,180,168,149,87,84
2021,6,20,"2,700",967,321,396,114,117,207,176,175,109,118
2021,6,30,"2,907",900,675,430,95,88,266,138,163,58,94
2021,6,40,"4,744","1,611",683,736,202,156,427,287,290,168,184
2021,6,50,"6,767","1,875",728,898,353,318,626,486,737,373,373
2021,6,60,"7,694","1,838",831,943,439,364,811,564,912,433,559
2021,6,70,"4,406","1,086",499,478,262,256,372,346,550,240,317
2021,6,80,"2,243",542,171,174,151,125,180,228,369,120,183
2021,6,90,316,98,17,13,12,14,18,42,53,21,28
2021,6,100,18,4,0,5,0,4,1,1,2,0,1
2021,7,총,"35,902","10,494","4,421","4,708","1,811","1,575","3,236","2,525","3,495","1,646","1,991"
2021,7,0,"1,683",615,270,278,64,40,142,92,91,45,46
2021,7,10,"2,459",973,232,365,121,97,182,173,149,85,82
2021,7,20,"2,700",967,321,396,115,118,207,173,176,108,119
2021,7,30,"2,859",883,669,425,95,89,255,134,159,58,92
2021,7,40,"4,748","1,607",691,737,200,157,432,285,291,164,184
2021,7,50,"6,734","1,872",723,887,346,314,625,489,736,371,371
2021,7,60,"7,737","1,840",830,950,443,364,819,566,921,436,568
2021,7,70,"4,392","1,083",497,478,261,253,371,345,547,239,318
2021,7,80,"2,254",551,172,174,154,125,183,224,370,119,182
2021,7,90,318,99,16,13,12,14,19,43,53,21,28
2021,7,100,18,4,0,5,0,4,1,1,2,0,1
2021,8,총,"35,838","10,465","4,409","4,700","1,824","1,563","3,237","2,514","3,491","1,644","1,991"
2021,8,0,"1,674",608,269,277,66,40,139,93,91,45,46
2021,8,10,"2,452",979,234,359,119,96,188,168,146,83,80
2021,8,20,"2,683",957,324,394,120,116,200,170,174,106,122
2021,8,30,"2,840",873,666,419,95,86,253,136,159,60,93
2021,8,40,"4,716","1,592",685,736,205,153,436,277,290,157,185
