년도,월,나이,전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
2020,1,총,"25,984,646","4,988,421","1,737,617","1,232,101","1,474,370","735,757","737,893","557,804","171,599","6,585,058","765,674","789,262","1,040,903","913,917","928,750","1,322,162","1,669,840","333,518"
2020,1,0,"2,020,114","321,260","117,935","91,330","117,353","61,223","58,906","50,404","23,128","575,537","53,232","62,984","88,161","66,291","67,787","96,453","137,989","30,141"
2020,1,10,"2,381,294","396,729","135,915","112,302","137,024","78,556","73,440","54,984","20,103","655,664","68,351","73,583","99,758","87,554","83,669","111,022","158,372","34,268"
2020,1,20,"3,228,589","744,368","207,471","149,549","194,527","99,387","100,720","65,432","18,034","840,261","79,532","88,974","110,461","98,597","91,072","128,417","173,023","38,764"
2020,1,30,"3,424,334","753,432","212,087","147,201","202,859","94,622","96,330","75,006","31,465","933,887","81,304","94,188","128,904","95,524","91,910","142,701","201,395","41,519"
2020,1,40,"4,125,651","788,263","257,418","198,984","239,989","123,141","121,424","93,993","31,607","1,128,903","110,468","117,344","153,532","132,477","123,194","186,956","263,465","54,493"
2020,1,50,"4,299,021","785,090","300,270","218,682","258,017","118,059","122,501","103,489","20,603","1,084,911","131,882","133,248","161,792","147,109","148,165","224,956","287,059","53,188"
2020,1,60,"3,241,882","629,763","267,134","162,030","172,122","80,703","86,736","66,972","13,841","710,062","112,984","104,300","131,855","123,487","128,759","195,898","217,415","37,821"
2020,1,70,"1,993,383","373,868","156,936","96,595","94,102","50,785","48,227","30,380","7,407","405,992","75,218","65,919","92,163","93,150","109,370","133,580","135,221","24,470"
2020,1,80,"1,073,832","161,432","69,951","48,100","48,772","24,665","25,142","14,529","4,540","210,268","44,146","41,699","63,374","59,300","72,351","87,640","82,557","15,366"
2020,1,90,"181,063","29,515","11,096","6,798","8,945","4,266","4,214","2,487",826,"36,658","8,014","6,635","10,220","9,786","11,784","13,797","12,769","3,253"
2020,1,100,"15,483","4,701","1,404",530,660,350,253,128,45,"2,915",543,388,683,642,689,742,575,235
2020,2,총,"25,984,136","4,991,829","1,737,659","1,230,519","1,473,822","735,435","737,334","557,084","172,385","6,592,671","765,163","788,794","1,039,842","912,747","926,994","1,320,049","1,668,228","333,581"
2020,2,0,"2,013,548","320,270","117,637","90,934","116,785","60,955","58,544","50,209","23,170","574,771","53,030","62,764","87,645","65,896","67,498","96,029","137,228","30,183"
2020,2,10,"2,372,125","395,840","135,533","111,659","136,415","78,144","73,172","54,589","20,219","653,824","67,888","73,274","99,311","87,016","83,021","110,347","157,758","34,115"
2020,2,20,"3,219,887","744,531","207,320","148,879","193,944","99,212","100,546","65,022","17,926","839,080","79,155","88,533","109,715","97,992","90,268","127,320","171,865","38,579"
2020,2,30,"3,413,411","752,619","211,215","146,417","202,042","94,141","95,810","74,632","31,519","932,222","80,981","93,822","128,112","94,999","91,429","141,873","200,130","41,448"
2020,2,40,"4,129,679","788,954","257,585","198,551","240,187","123,328","121,437","93,952","31,936","1,131,310","110,407","117,428","154,044","132,572","123,162","186,782","263,509","54,535"
2020,2,50,"4,297,890","784,569","299,679","218,689","257,747","118,137","122,355","103,469","20,716","1,086,610","131,562","133,159","161,356","146,835","147,945","224,678","287,052","53,332"
2020,2,60,"3,263,188","633,016","268,320","162,846","173,725","81,214","87,345","67,492","14,015","716,369","113,970","104,988","132,806","124,138","129,289","196,753","218,933","37,969"
2020,2,70,"1,995,103","374,777","157,231","96,753","94,233","50,765","48,361","30,450","7,425","406,836","75,123","65,804","92,146","93,081","108,926","133,559","135,147","24,486"
