년도,월,나이,대전광역시 서구,대전광역시 서구 복수동,대전광역시 서구 도마1동,대전광역시 서구 도마2동,대전광역시 서구 정림동,대전광역시 서구 변동,대전광역시 서구 용문동,대전광역시 서구 탄방동,대전광역시 서구 괴정동,대전광역시 서구 가장동,대전광역시 서구 내동,대전광역시 서구 갈마1동,대전광역시 서구 갈마2동,대전광역시 서구 월평1동,대전광역시 서구 월평2동,대전광역시 서구 월평3동,대전광역시 서구 가수원동,대전광역시 서구 관저1동,대전광역시 서구 관저2동,대전광역시 서구 기성동,대전광역시 서구 둔산1동,대전광역시 서구 둔산2동,대전광역시 서구 만년동,대전광역시 서구 둔산3동
2020,1,총,"481,174","22,584","15,198","18,571","16,896","16,557","12,812","25,936","19,083","12,606","24,398","21,960","25,245","10,995","15,404","22,496","41,080","15,911","51,172","3,874","17,223","37,312","13,323","20,538"
2020,1,0,"40,198","2,237",735,964,"1,205","1,065",734,"1,595","1,297",955,"2,107","1,273","1,615",443,834,"1,977","5,693","1,344","6,653",118,"1,576","3,467","1,065","1,246"
2020,1,10,"51,779","3,085","1,115","1,532","1,601","1,326",662,"2,459","1,383","1,184","2,769","1,875","2,226",629,"1,393","2,901","4,619","1,714","6,418",161,"3,482","4,726","1,497","3,022"
2020,1,20,"73,764","2,843","2,403","2,602","2,261","2,241","2,525","5,059","4,171","1,716","3,185","4,173","5,510","2,610","2,012","3,037","4,962","2,832","6,857",306,"1,723","5,632","2,348","2,756"
2020,1,30,"67,776","2,832","1,632","1,974","1,846","2,103","2,239","4,239","3,606","1,625","2,983","3,482","4,238","1,818","1,620","2,713","6,852","2,119","8,728",306,"1,493","5,481","2,068","1,779"
2020,1,40,"80,203","4,266","1,870","2,641","2,436","2,452","1,720","4,409","2,905","1,963","4,167","3,290","3,942","1,606","2,102","3,677","7,539","2,473","9,573",429,"3,983","6,835","2,313","3,612"
2020,1,50,"78,394","3,418","2,758","3,305","3,318","3,039","1,934","4,241","2,556","2,019","3,929","3,571","4,119","1,873","2,990","4,184","5,691","2,833","7,135",722,"2,442","6,371","2,247","3,699"
2020,1,60,"51,711","2,272","2,575","3,089","2,434","2,423","1,659","2,330","1,833","1,759","3,013","2,704","2,292","1,228","2,409","2,651","3,545","1,425","3,359",756,"1,319","3,117","1,097","2,422"
2020,1,70,"24,760","1,141","1,451","1,677","1,171","1,333",898,"1,030",926,932,"1,562","1,116",854,522,"1,235",844,"1,471",751,"1,604",586,806,"1,094",448,"1,308"
2020,1,80,"10,938",422,580,694,541,495,393,517,353,392,604,411,405,229,682,455,598,360,735,396,346,517,206,607
2020,1,90,"1,567",65,75,88,80,76,43,55,51,57,72,56,44,34,125,56,106,59,99,90,51,68,34,83
2020,1,100,84,3,4,5,3,4,5,2,2,4,7,9,0,3,2,1,4,1,11,4,2,4,0,4
2020,2,총,"481,349","22,645","15,220","18,579","16,906","16,543","12,838","25,904","19,124","12,579","24,293","21,995","25,229","11,060","15,408","22,414","41,126","15,879","51,239","3,855","17,367","37,241","13,323","20,582"
2020,2,0,"40,115","2,240",738,958,"1,199","1,071",721,"1,578","1,288",929,"2,088","1,267","1,600",440,831,"1,965","5,680","1,327","6,628",114,"1,680","3,438","1,071","1,264"
2020,2,10,"51,580","3,097","1,128","1,538","1,594","1,324",661,"2,447","1,369","1,181","2,734","1,855","2,212",624,"1,386","2,874","4,605","1,713","6,426",161,"3,477","4,696","1,470","3,008"
2020,2,20,"73,603","2,830","2,411","2,587","2,238","2,219","2,549","5,040","4,189","1,709","3,172","4,188","5,497","2,650","2,000","2,999","4,934","2,803","6,863",303,"1,682","5,622","2,379","2,739"
2020,2,30,"67,758","2,832","1,624","1,978","1,842","2,094","2,228","4,212","3,613","1,615","2,936","3,492","4,248","1,837","1,601","2,712","6,884","2,115","8,705",301,"1,546","5,471","2,073","1,799"
2020,2,40,"80,333","4,298","1,879","2,639","2,446","2,437","1,732","4,427","2,905","1,958","4,170","3,286","3,944","1,600","2,107","3,660","7,564","2,464","9,602",423,"4,029","6,830","2,308","3,625"
2020,2,50,"78,295","3,420","2,738","3,297","3,302","3,036","1,931","4,244","2,569","2,018","3,929","3,572","4,106","1,884","3,004","4,146","5,685","2,843","7,159",723,"2,427","6,361","2,223","3,678"
2020,2,60,"52,090","2,290","2,596","3,107","2,467","2,441","1,668","2,337","1,857","1,764","3,017","2,726","2,315","1,233","2,421","2,694","3,570","1,436","3,386",753,"1,315","3,131","1,116","2,450"
2020,2,70,"24,885","1,142","1,447","1,671","1,178","1,332",906,"1,038",924,949,"1,554","1,123",860,525,"1,253",851,"1,486",756,"1,622",590,813,"1,102",446,"1,317"
2020,2,80,"11,009",426,583,707,555,508,394,520,357,393,615,418,404,227,681,452,604,361,737,393,343,518,201,612
2020,2,90,"1,593",67,72,92,82,77,43,58,50,59,71,59,43,37,122,60,110,60,100,90,53,68,35,85
2020,2,100,88,3,4,5,3,4,5,3,3,4,7,9,0,3,2,1,4,1,11,4,2,4,1,5
2020,3,총,"481,135","22,745","15,176","18,540","16,893","16,562","12,812","25,867","19,110","12,577","24,287","21,967","25,182","11,100","15,369","22,341","41,238","15,910","51,240","3,844","17,317","37,141","13,347","20,570"
