년도,월,나이,경기도 용인시,경기도 용인시 처인구,경기도 용인시 처인구 포곡읍,경기도 용인시 처인구 모현읍,경기도 용인시 처인구 이동읍,경기도 용인시 처인구 남사면,경기도 용인시 처인구 원삼면,경기도 용인시 처인구 백암면,경기도 용인시 처인구 양지면,경기도 용인시 처인구 중앙동,경기도 용인시 처인구 역삼동,경기도 용인시 처인구 유림동,경기도 용인시 처인구 동부동,경기도 용인시 기흥구,경기도 용인시 기흥구 신갈동,경기도 용인시 기흥구 영덕동,경기도 용인시 기흥구 영덕1동,경기도 용인시 기흥구 영덕2동,경기도 용인시 기흥구 구갈동,경기도 용인시 기흥구 상갈동,경기도 용인시 기흥구 보라동,경기도 용인시 기흥구 기흥동,경기도 용인시 기흥구 서농동,경기도 용인시 기흥구 구성동,경기도 용인시 기흥구 마북동,경기도 용인시 기흥구 동백1동,경기도 용인시 기흥구 동백2동,경기도 용인시 기흥구 동백3동,경기도 용인시 기흥구 동백동,경기도 용인시 기흥구 상하동,경기도 용인시 기흥구 보정동,경기도 용인시 수지구,경기도 용인시 수지구 풍덕천1동,경기도 용인시 수지구 풍덕천2동,경기도 용인시 수지구 신봉동,경기도 용인시 수지구 죽전1동,경기도 용인시 수지구 죽전2동,경기도 용인시 수지구 동천동,경기도 용인시 수지구 상현1동,경기도 용인시 수지구 상현2동,경기도 용인시 수지구 성복동,경기도 용인시 처인구 남사읍,경기도 용인시 처인구 역북동,경기도 용인시 처인구 삼가동,경기도 용인시 수지구 죽전3동,경기도 용인시 수지구 상현3동
2020,1,총,"534,617","123,864","15,951","12,223","9,846","11,369","3,935","3,930","8,660","12,013","21,793","17,710","6,434","221,165","19,473",0.0,"15,503","8,286","21,122","6,582","16,742","10,571","12,439","20,380","16,493","17,080","13,876","11,446",0.0,"12,715","18,457","189,588","18,126","21,525","19,572","29,416","9,440","23,389","25,213","17,585","25,322",,,,,
2020,1,0,"51,348","10,859","1,227",969,821,"1,547",181,112,639,830,"2,455","1,702",376,"22,134","1,781",0.0,"1,849",923,"2,194",504,"1,560",992,"1,644","1,790","1,381","1,909","1,373","1,475",0.0,"1,039","1,720","18,355","1,443","2,430","1,851","2,738",787,"2,567","2,449","1,665","2,425",,,,,
2020,1,10,"59,678","11,998","1,772","1,128",879,872,263,230,868,"1,051","2,178","2,200",557,"25,100","1,855",0.0,"1,765",620,"1,729",685,"2,118","1,027","1,168","2,393","1,554","2,866","2,303","1,398",0.0,"1,420","2,199","22,580","1,892","2,936","2,618","3,628",797,"2,481","3,161","2,111","2,956",,,,,
2020,1,20,"63,972","15,320","2,038","1,436",899,963,345,346,963,"2,074","3,197","2,201",858,"26,098","2,528",0.0,"1,749",995,"3,316",916,"1,890","1,113","2,000","2,010","1,933","1,671","1,416","1,075",0.0,"1,568","1,918","22,554","2,586","2,514","1,939","3,747","1,402","2,607","3,245","1,933","2,581",,,,,
2020,1,30,"75,586","16,468","1,881","1,524","1,108","2,154",312,291,"1,022","1,429","3,743","2,337",667,"31,867","3,062",0.0,"2,553","1,485","4,131",889,"2,108","1,441","2,393","2,404","2,163","2,052","1,519","1,729",0.0,"1,545","2,393","27,251","2,877","3,379","2,269","3,894","1,679","3,975","3,624","2,368","3,186",,,,,
2020,1,40,"101,467","20,551","2,941","1,997","1,552","1,681",492,424,"1,383","1,867","3,756","3,437","1,021","43,118","3,376",0.0,"3,125","1,324","3,506","1,188","3,326","1,898","2,055","4,087","2,795","4,219","3,443","2,461",0.0,"2,440","3,875","37,798","3,269","4,720","4,365","5,838","1,583","4,521","5,011","3,482","5,009",,,,,
2020,1,50,"77,640","20,455","2,664","2,060","1,771","1,572",769,766,"1,594","2,079","3,139","2,761","1,280","31,254","2,972",0.0,"2,259","1,347","3,096","1,007","2,346","1,702","1,672","2,846","2,510","1,969","1,826","1,252",0.0,"2,061","2,389","25,931","2,628","2,634","2,633","4,197","1,425","3,199","3,357","2,447","3,411",,,,,
2020,1,60,"52,392","14,416","1,706","1,621","1,378","1,410",747,776,"1,100","1,403","1,802","1,566",907,"20,806","1,946",0.0,"1,256",773,"1,711",653,"1,719","1,303",848,"2,310","1,966","1,123",977,"1,038",0.0,"1,351","1,832","17,170","1,621","1,254","1,841","2,628",898,"2,174","2,184","1,658","2,912",,,,,
2020,1,70,"34,350","8,373","1,048",933,832,730,465,512,603,793,981,976,500,"13,770","1,304",0.0,579,394,956,497,"1,147",701,431,"1,731","1,482",868,654,731,0.0,826,"1,469","12,207","1,187","1,047","1,436","1,813",545,"1,288","1,495","1,352","2,044",,,,,
2020,1,80,"15,152","4,540",591,459,499,367,310,397,390,405,444,464,214,"5,824",555,0.0,308,324,394,209,446,328,186,659,599,344,306,240,0.0,388,538,"4,788",539,534,520,792,274,463,548,468,650,,,,,
2020,1,90,"2,887",827,82,91,101,67,46,70,91,75,92,64,48,"1,147",89,0.0,60,100,82,32,79,63,40,146,103,56,56,47,0.0,74,120,913,78,74,97,137,49,111,131,96,140,,,,,
2020,1,100,145,57,1,5,6,6,5,6,7,7,6,2,6,47,5,0.0,0,1,7,2,3,3,2,4,7,3,3,0,0.0,3,4,41,6,3,3,4,1,3,8,5,8,,,,,
2020,2,총,"535,851","123,840","15,950","12,222","9,795","11,432","3,936","3,912","8,654","12,011","21,805","17,699","6,424","221,550","19,500",,"15,463","8,420","21,082","6,570","16,763","10,616","12,446","20,396","16,567","17,036","13,907","11,587",,"12,710","18,487","190,461","18,349","21,548","19,649","29,468","9,458","23,492","25,257","17,614","25,626",,,,,
2020,2,0,"51,368","10,797","1,215",953,812,"1,557",184,110,636,821,"2,441","1,696",372,"22,054","1,766",,"1,833",939,"2,163",496,"1,555",999,"1,656","1,764","1,380","1,890","1,379","1,472",,"1,030","1,732","18,517","1,446","2,478","1,885","2,729",771,"2,584","2,475","1,675","2,474",,,,,
