년도,월,나이,전라남도 고흥군,전라남도 고흥군 고흥읍,전라남도 고흥군 도양읍,전라남도 고흥군 도양읍소록출장소,전라남도 고흥군 도양읍시산출장소,전라남도 고흥군 풍양면,전라남도 고흥군 도덕면,전라남도 고흥군 금산면,전라남도 고흥군 도화면,전라남도 고흥군 포두면,전라남도 고흥군 봉래면,전라남도 고흥군 점암면,전라남도 고흥군 과역면,전라남도 고흥군 남양면,전라남도 고흥군 동강면,전라남도 고흥군 대서면,전라남도 고흥군 두원면,전라남도 고흥군 영남면,전라남도 고흥군 동일면
2020,3,총,"33,286","6,336","5,105",306,109,"1,618","1,558","2,269","2,050","2,606",982,"1,415","1,784","1,251","1,613","1,205","1,659",678,742
2020,3,0,"1,348",527,275,9,4,37,35,64,55,58,29,28,42,41,46,35,34,13,16
2020,3,10,"1,912",701,379,10,9,41,70,91,101,112,51,39,69,39,59,27,53,25,36
2020,3,20,"1,872",531,389,8,1,54,70,107,84,124,37,47,106,58,92,48,64,22,30
2020,3,30,"1,757",642,360,13,3,48,57,85,58,96,34,40,58,65,72,36,42,16,32
2020,3,40,"2,717",939,583,12,6,70,90,147,131,161,54,59,104,64,94,48,79,31,45
2020,3,50,"4,776",919,805,24,22,193,203,331,311,374,118,197,300,178,212,192,193,91,113
2020,3,60,"6,293",905,963,43,12,357,294,463,425,550,209,276,343,272,349,233,326,121,152
2020,3,70,"6,546",644,809,86,30,425,340,541,432,614,234,336,375,269,330,287,434,196,164
2020,3,80,"5,074",415,450,83,21,324,339,393,379,444,182,308,322,222,311,251,357,134,139
2020,3,90,953,110,89,18,1,69,58,46,67,67,33,85,61,41,45,47,73,28,15
2020,3,100,38,3,3,0,0,0,2,1,7,6,1,0,4,2,3,1,4,1,0
2020,4,총,"33,163","6,298","5,072",306,109,"1,622","1,559","2,263","2,051","2,599",984,"1,408","1,770","1,245","1,600","1,202","1,659",675,741
2020,4,0,"1,328",516,269,10,4,40,34,63,57,58,28,27,39,39,46,34,34,14,16
2020,4,10,"1,903",703,373,9,9,42,72,91,103,111,51,41,65,39,58,27,50,24,35
2020,4,20,"1,828",517,383,9,1,53,71,96,86,119,39,46,103,54,86,47,68,20,30
2020,4,30,"1,751",639,356,13,3,50,58,87,57,97,33,37,59,65,73,35,40,16,33
2020,4,40,"2,700",929,577,12,5,71,90,147,132,162,53,61,100,65,94,48,77,32,45
2020,4,50,"4,746",914,796,23,23,194,204,333,309,373,118,193,297,178,207,193,192,88,111
2020,4,60,"6,295",909,966,42,12,348,294,464,425,551,207,278,345,271,349,232,326,122,154
2020,4,70,"6,535",643,812,88,29,428,338,537,431,609,237,334,375,266,333,288,434,193,160
2020,4,80,"5,091",417,451,82,22,325,338,396,376,444,184,307,326,225,307,249,362,138,142
2020,4,90,948,107,86,18,1,71,59,48,68,69,33,84,57,41,44,48,72,27,15
2020,4,100,38,4,3,0,0,0,1,1,7,6,1,0,4,2,3,1,4,1,0
2020,5,총,"33,116","6,285","5,069",310,109,"1,612","1,553","2,266","2,047","2,592",975,"1,411","1,772","1,241","1,603","1,206","1,655",672,738
2020,5,0,"1,323",508,272,10,4,39,33,64,55,60,29,27,40,38,48,34,33,14,15
2020,5,10,"1,891",698,372,9,9,42,72,91,103,109,50,42,62,39,56,27,51,23,36
2020,5,20,"1,801",518,375,10,1,47,69,97,83,114,38,43,104,51,86,48,68,19,30
2020,5,30,"1,742",634,355,14,3,50,56,84,57,95,33,38,59,65,75,37,38,16,33
2020,5,40,"2,682",925,571,12,5,68,90,150,130,158,54,63,100,64,95,47,76,31,43
2020,5,50,"4,731",918,798,23,20,195,204,327,305,378,112,193,295,175,209,192,188,87,112
2020,5,60,"6,303",911,964,43,15,346,292,470,428,551,206,276,345,272,348,233,324,124,155
2020,5,70,"6,515",646,814,85,29,427,336,536,430,599,237,336,375,268,330,284,433,190,160
2020,5,80,"5,133",418,457,84,22,327,341,397,380,455,179,306,330,226,309,256,366,141,139
2020,5,90,954,104,88,20,1,71,59,49,69,66,36,87,58,41,43,47,74,26,15
2020,5,100,41,5,3,0,0,0,1,1,7,7,1,0,4,2,4,1,4,1,0
2020,6,총,"33,122","6,288","5,063",309,108,"1,611","1,554","2,271","2,045","2,598",973,"1,415","1,773","1,244","1,607","1,197","1,657",673,736
2020,6,0,"1,325",514,270,10,4,37,35,63,56,63,28,26,40,37,50,32,31,14,15
2020,6,10,"1,873",690,369,9,8,44,72,90,102,107,50,42,61,40,57,27,50,21,34
2020,6,20,"1,795",523,365,10,2,46,69,98,79,116,35,40,106,51,84,46,72,22,31
2020,6,30,"1,749",632,356,14,3,49,56,85,56,93,33,42,62,66,74,36,41,16,35
2020,6,40,"2,679",919,573,12,5,68,88,149,129,162,54,63,100,62,98,47,76,32,42
2020,6,50,"4,712",926,800,20,19,196,202,320,303,376,113,195,292,169,206,190,188,85,112
2020,6,60,"6,324",909,960,45,15,350,292,478,431,549,205,280,344,280,348,231,324,126,157
2020,6,70,"6,530",651,817,85,29,426,339,537,433,602,239,336,377,271,330,282,427,189,160
2020,6,80,"5,144",414,462,84,22,325,340,402,381,458,180,304,331,225,313,259,368,142,134
2020,6,90,950,105,88,20,1,70,60,48,68,65,35,87,56,41,43,46,76,25,16
2020,6,100,41,5,3,0,0,0,1,1,7,7,1,0,4,2,4,1,4,1,0
2020,7,총,"33,060","6,281","5,052",308,108,"1,610","1,555","2,270","2,035","2,584",973,"1,413","1,766","1,243","1,609","1,193","1,655",673,732
2020,7,0,"1,322",518,265,12,4,37,36,63,56,61,28,26,40,36,49,33,31,15,12
2020,7,10,"1,868",686,368,9,8,44,71,94,102,106,49,43,60,41,57,27,51,21,31
2020,7,20,"1,771",522,358,10,2,46,72,94,77,112,35,38,106,50,83,45,67,22,32
2020,7,30,"1,723",622,349,14,3,48,56,82,54,91,32,41,62,67,71,37,44,15,35
2020,7,40,"2,683",918,577,12,5,65,89,148,128,162,55,66,99,62,103,46,75,31,42
2020,7,50,"4,693",925,797,20,19,196,202,320,300,369,116,196,287,167,204,191,186,88,110
2020,7,60,"6,317",913,961,44,15,353,283,481,430,549,202,278,346,278,347,228,324,125,160
2020,7,70,"6,540",654,819,82,28,424,346,537,430,603,242,334,379,274,334,282,427,187,158
2020,7,80,"5,150",414,467,85,23,326,339,401,383,457,179,305,328,224,315,257,369,143,135
2020,7,90,952,104,88,20,1,71,60,49,68,67,34,86,55,42,42,46,77,25,17
2020,7,100,41,5,3,0,0,0,1,1,7,7,1,0,4,2,4,1,4,1,0
2020,8,총,"33,019","6,287","5,037",307,109,"1,607","1,554","2,273","2,027","2,586",976,"1,413","1,758","1,240","1,599","1,192","1,655",670,729
2020,8,0,"1,324",519,265,14,4,37,35,65,56,61,27,26,40,34,50,33,31,15,12
2020,8,10,"1,855",684,366,10,8,45,70,94,101,106,49,42,58,44,56,26,47,18,31
2020,8,20,"1,752",524,348,11,2,41,69,93,74,109,35,40,104,50,82,44,72,22,32
2020,8,30,"1,709",613,346,13,3,48,56,83,52,95,31,41,62,64,70,38,43,16,35
2020,8,40,"2,680",923,568,13,5,67,89,149,124,165,54,66,97,63,106,45,76,29,41
2020,8,50,"4,657",919,791,18,18,194,204,315,302,363,122,192,284,163,203,186,186,89,108
