년도,월,나이,충청북도 청주시,충청북도 청주시 상당구,충청북도 청주시 상당구 낭성면,충청북도 청주시 상당구 미원면,충청북도 청주시 상당구 가덕면,충청북도 청주시 상당구 남일면,충청북도 청주시 상당구 문의면,충청북도 청주시 상당구 중앙동,충청북도 청주시 상당구 성안동,충청북도 청주시 상당구 탑대성동,충청북도 청주시 상당구 영운동,충청북도 청주시 상당구 금천동,충청북도 청주시 상당구 용담.명암.산성동,충청북도 청주시 상당구 용암1동,충청북도 청주시 상당구 용암2동,충청북도 청주시 서원구,충청북도 청주시 서원구 남이면,충청북도 청주시 서원구 현도면,충청북도 청주시 서원구 사직1동,충청북도 청주시 서원구 사직2동,충청북도 청주시 서원구 사창동,충청북도 청주시 서원구 모충동,충청북도 청주시 서원구 산남동,충청북도 청주시 서원구 분평동,충청북도 청주시 서원구 수곡1동,충청북도 청주시 서원구 수곡2동,충청북도 청주시 서원구 성화.개신.죽림동,충청북도 청주시 흥덕구,충청북도 청주시 흥덕구 오송읍,충청북도 청주시 흥덕구 강내면,충청북도 청주시 흥덕구 옥산면,충청북도 청주시 흥덕구 운천.신봉동,충청북도 청주시 흥덕구 복대1동,충청북도 청주시 흥덕구 복대2동,충청북도 청주시 흥덕구 가경동,충청북도 청주시 흥덕구 봉명1동,충청북도 청주시 흥덕구 봉명2.송정동,충청북도 청주시 흥덕구 강서제1동,충청북도 청주시 흥덕구 강서제2동,충청북도 청주시 청원구,충청북도 청주시 청원구 내수읍,충청북도 청주시 청원구 오창읍,충청북도 청주시 청원구 북이면,충청북도 청주시 청원구 우암동,충청북도 청주시 청원구 내덕1동,충청북도 청주시 청원구 내덕2동,충청북도 청주시 청원구 율량.사천동,충청북도 청주시 청원구 오근장동
2020,1,총,"416,948","90,203","1,103","2,523","1,969","3,489","2,024","3,006","3,533","4,774","5,724","15,733","7,098","22,387","16,840","102,021","4,953","1,698","4,081","7,660","7,709","7,717","13,804","16,515","7,106","7,093","23,685","129,358","10,786","5,368","8,441","8,985","25,355","8,181","25,724","4,780","11,777","13,949","6,012","95,366","9,761","32,317","2,212","6,317","4,456","5,709","25,121","9,473"
2020,1,0,"37,656","7,352",24,55,50,228,65,120,103,242,389,"1,347",815,"2,019","1,895","7,715",345,54,194,745,391,401,"1,313","1,441",332,384,"2,115","12,089","1,156",399,"1,088",504,"3,072",379,"2,031",288,983,"1,081","1,108","10,500",817,"5,111",62,297,197,370,"2,321","1,325"
2020,1,10,"42,183","9,312",32,112,68,238,102,203,214,371,502,"1,924",990,"2,697","1,859","10,429",298,58,301,734,528,555,"2,045","2,115",496,567,"2,732","12,968","1,033",515,578,813,"3,205",592,"3,166",302,"1,213","1,170",381,"9,474",970,"3,471",104,401,301,464,"2,657","1,106"
2020,1,20,"54,151","10,597",80,153,149,336,136,391,464,501,679,"1,917",759,"2,845","2,187","13,452",522,91,461,879,"1,643","1,090","1,688","2,196",935,796,"3,151","18,536","1,373",664,940,"1,257","3,326","1,425","3,516",937,"1,894","2,390",814,"11,566",999,"3,692",145,973,501,718,"3,574",964
2020,1,30,"57,539","10,344",62,100,113,328,114,310,308,431,609,"1,771",927,"2,855","2,416","12,161",517,97,406,"1,106",957,780,"1,726","1,998",678,616,"3,280","19,483","1,822",573,"1,614",927,"4,299",854,"3,113",729,"1,775","2,222","1,555","15,551","1,093","7,289",105,690,407,564,"3,688","1,715"
2020,1,40,"67,805","14,605",71,178,161,409,166,384,400,637,806,"2,887","1,384","4,121","3,001","16,649",666,145,501,"1,060",959,966,"2,869","3,301",937,903,"4,342","21,333","1,739",755,"1,093","1,363","5,116","1,073","4,742",610,"1,905","2,183",754,"15,218","1,521","5,508",147,740,549,811,"4,287","1,655"
2020,1,50,"68,181","15,651",216,477,410,679,354,522,618,875,"1,003","2,604","1,025","3,901","2,967","17,921","1,064",282,796,"1,336","1,217","1,509","2,191","2,789","1,378","1,521","3,838","21,112","1,381","1,000","1,290","1,906","3,427","1,606","4,903",797,"2,002","2,198",602,"13,497","1,666","3,184",389,"1,043",814,"1,021","4,216","1,164"
2020,1,60,"45,994","10,951",246,565,414,575,395,479,678,826,854,"1,734",624,"2,155","1,406","12,339",747,367,659,988,"1,090","1,272","1,057","1,325","1,197","1,125","2,512","12,930","1,093",716,907,"1,201","1,655","1,248","2,558",612,"1,148","1,429",363,"9,774","1,197","2,139",487,996,844,850,"2,474",787
2020,1,70,"25,718","6,680",183,458,323,356,345,358,444,541,587,"1,002",355,"1,067",661,"6,839",413,295,457,475,641,724,535,813,735,712,"1,039","6,471",673,396,508,599,772,661,"1,073",329,506,720,234,"5,728",844,"1,065",412,725,532,588,"1,135",427
2020,1,80,"15,068","3,987",153,350,250,292,295,204,256,288,258,467,188,603,383,"3,815",336,256,261,273,246,357,320,452,347,402,565,"3,805",442,302,365,348,412,301,531,158,293,470,183,"3,461",553,721,311,399,268,283,651,275
2020,1,90,"2,514",679,34,67,30,44,49,31,43,58,36,76,29,120,62,668,42,50,41,59,33,60,57,84,67,67,108,598,71,45,55,62,65,40,87,18,56,83,16,569,96,134,44,50,41,39,113,52
2020,1,100,139,45,2,8,1,4,3,4,5,4,1,4,2,4,3,33,3,3,4,5,4,3,3,1,4,0,3,33,3,3,3,5,6,2,4,0,2,3,2,28,5,3,6,3,2,1,5,3
2020,2,총,"417,036","90,492","1,095","2,520","1,969","3,481","2,008","3,002","3,531","4,768","5,715","15,732","7,096","22,755","16,820","101,591","4,959","1,698","4,061","7,641","7,668","7,680","13,752","16,464","7,051","7,061","23,556","129,693","10,804","5,337","8,521","8,957","25,421","8,132","25,844","4,731","11,757","14,031","6,158","95,260","9,739","32,295","2,214","6,301","4,440","5,709","25,091","9,471"
2020,2,0,"37,542","7,403",25,54,50,232,64,117,104,235,388,"1,336",816,"2,076","1,906","7,609",345,57,195,740,384,396,"1,305","1,406",315,381,"2,085","12,100","1,143",396,"1,100",499,"3,067",370,"2,061",275,966,"1,066","1,157","10,430",808,"5,083",61,294,196,367,"2,304","1,317"
