년도,월,나이,대구광역시,중구,동구,서구,남구,북구,수성구,달서구,달성군
2020,1,총,"1,204,387","37,289","170,284","87,761","71,342","217,926","208,071","281,202","130,512"
2020,1,0,"96,147","2,820","13,781","4,221","3,783","18,078","15,933","22,134","15,397"
2020,1,10,"123,601","2,636","14,484","6,235","5,238","23,545","28,607","30,507","12,349"
2020,1,20,"173,663","5,642","22,684","12,418","10,253","32,797","30,409","43,228","16,232"
2020,1,30,"157,557","5,743","23,848","10,481","9,296","28,445","21,342","36,039","22,363"
2020,1,40,"193,857","5,629","26,990","12,894","10,595","36,306","34,291","44,997","22,155"
2020,1,50,"209,886","5,664","27,995","17,774","12,316","38,348","36,523","51,002","20,264"
2020,1,60,"147,776","4,693","22,971","14,057","10,742","24,499","23,491","33,610","13,713"
2020,1,70,"74,170","3,145","12,836","7,292","6,374","11,699","12,245","14,633","5,946"
2020,1,80,"25,644","1,182","4,346","2,226","2,510","3,938","4,815","4,693","1,934"
2020,1,90,"1,928",118,319,140,215,254,388,343,151
2020,1,100,158,17,30,23,20,17,27,16,8
2020,2,총,"1,202,364","37,184","169,757","87,544","71,220","217,534","208,070","280,670","130,385"
2020,2,0,"95,689","2,804","13,585","4,205","3,741","17,968","16,051","22,026","15,309"
2020,2,10,"122,869","2,657","14,421","6,149","5,219","23,395","28,465","30,242","12,321"
2020,2,20,"172,608","5,590","22,537","12,329","10,189","32,661","30,202","43,001","16,099"
2020,2,30,"156,980","5,688","23,744","10,413","9,294","28,305","21,349","35,961","22,226"
2020,2,40,"193,446","5,636","26,871","12,883","10,560","36,170","34,307","44,807","22,212"
2020,2,50,"209,933","5,652","27,984","17,695","12,298","38,395","36,575","51,049","20,285"
2020,2,60,"148,428","4,696","22,993","14,121","10,774","24,634","23,570","33,825","13,815"
2020,2,70,"74,464","3,135","12,895","7,339","6,381","11,757","12,269","14,677","6,011"
2020,2,80,"25,843","1,191","4,379","2,246","2,524","3,975","4,856","4,724","1,948"
2020,2,90,"1,944",117,318,141,220,257,399,341,151
2020,2,100,160,18,30,23,20,17,27,17,8
