년도,월,나이,전라북도 부안군,전라북도 부안군 부안읍,전라북도 부안군 주산면,전라북도 부안군 동진면,전라북도 부안군 행안면,전라북도 부안군 계화면,전라북도 부안군 보안면,전라북도 부안군 변산면,전라북도 부안군 진서면,전라북도 부안군 백산면,전라북도 부안군 상서면,전라북도 부안군 하서면,전라북도 부안군 줄포면,전라북도 부안군 위도면
2020,3,총,"52,813","20,664","2,002","3,007","2,377","3,596","2,503","4,623","2,388","2,646","2,284","2,830","2,708","1,185"
2020,3,0,"2,688","1,637",50,87,103,122,56,220,84,52,85,74,88,30
2020,3,10,"3,850","2,368",67,119,144,160,83,300,121,103,99,130,119,37
2020,3,20,"4,430","2,179",118,218,194,233,149,381,155,162,163,205,204,69
2020,3,30,"4,079","2,027",121,183,202,260,120,379,160,122,144,159,130,72
2020,3,40,"6,330","3,088",169,284,257,386,199,562,230,255,203,285,294,118
2020,3,50,"9,131","3,446",334,523,425,564,465,893,440,434,417,463,500,227
2020,3,60,"9,431","2,793",448,568,421,785,551,885,569,528,449,581,569,284
2020,3,70,"7,632","1,953",375,560,346,717,503,631,402,520,409,535,474,207
2020,3,80,"4,625","1,057",277,412,242,336,331,326,195,421,281,351,277,119
2020,3,90,579,111,40,51,41,31,44,44,28,47,30,44,47,21
2020,3,100,38,5,3,2,2,2,2,2,4,2,4,3,6,1
2020,4,총,"52,692","20,662","1,999","2,998","2,364","3,591","2,486","4,622","2,387","2,623","2,286","2,806","2,689","1,179"
2020,4,0,"2,673","1,635",50,84,104,124,53,219,83,50,82,70,88,31
2020,4,10,"3,835","2,365",66,120,144,162,83,300,119,96,96,129,119,36
2020,4,20,"4,389","2,169",121,213,190,227,143,380,155,158,168,201,199,65
2020,4,30,"4,047","2,017",122,180,200,257,116,377,158,118,142,154,130,76
2020,4,40,"6,313","3,090",167,284,255,389,197,565,232,248,199,284,287,116
2020,4,50,"9,102","3,439",330,520,421,563,464,902,440,430,416,461,490,226
2020,4,60,"9,435","2,801",448,571,421,782,549,874,573,531,452,579,574,280
2020,4,70,"7,644","1,967",376,564,343,714,503,625,400,520,412,536,476,208
2020,4,80,"4,630","1,061",275,410,243,340,333,334,195,421,285,341,273,119
2020,4,90,586,113,41,50,41,31,43,44,28,49,30,48,47,21
2020,4,100,38,5,3,2,2,2,2,2,4,2,4,3,6,1
2020,5,총,"52,624","20,777","1,999","2,981","2,345","3,564","2,490","4,582","2,376","2,619","2,259","2,784","2,679","1,169"
2020,5,0,"2,668","1,658",45,82,104,119,51,215,84,51,75,68,85,31
2020,5,10,"3,836","2,370",72,122,139,164,83,301,120,98,93,125,114,35
2020,5,20,"4,365","2,181",119,208,181,225,143,369,156,154,167,197,200,65
2020,5,30,"4,029","2,040",122,177,195,247,114,371,154,118,135,152,130,74
2020,5,40,"6,313","3,112",167,283,258,392,200,563,227,244,194,276,285,112
2020,5,50,"9,046","3,440",327,513,416,549,463,889,434,428,412,463,491,221
2020,5,60,"9,439","2,829",449,566,426,778,553,865,569,533,450,576,565,280
2020,5,70,"7,649","1,957",378,564,340,715,500,626,404,522,414,537,482,210
2020,5,80,"4,647","1,071",275,413,243,340,339,337,197,417,284,340,272,119
2020,5,90,591,113,41,51,41,33,42,43,27,52,31,47,49,21
2020,5,100,41,6,4,2,2,2,2,3,4,2,4,3,6,1
2020,6,총,"52,585","20,849","1,994","2,957","2,335","3,535","2,499","4,574","2,362","2,609","2,254","2,772","2,666","1,179"
2020,6,0,"2,650","1,650",44,73,101,117,52,222,81,52,74,67,84,33
2020,6,10,"3,837","2,384",72,122,138,157,87,300,119,98,92,121,112,35
2020,6,20,"4,353","2,182",118,207,174,223,142,377,155,150,164,197,197,67
2020,6,30,"4,018","2,060",122,170,194,240,115,371,148,112,134,151,128,73
2020,6,40,"6,272","3,113",163,280,257,384,199,550,223,247,189,272,279,116
2020,6,50,"9,021","3,426",326,507,416,548,464,889,430,425,418,463,485,224
2020,6,60,"9,495","2,874",450,564,429,783,553,859,572,537,451,578,566,279
2020,6,70,"7,651","1,965",381,569,340,701,505,626,406,521,410,532,486,209
2020,6,80,"4,650","1,076",272,412,242,346,340,334,197,412,285,342,274,118
2020,6,90,598,113,42,51,42,34,40,43,27,53,33,47,49,24
2020,6,100,40,6,4,2,2,2,2,3,4,2,4,2,6,1
2020,7,총,"52,547","20,873","2,004","2,954","2,327","3,514","2,491","4,573","2,358","2,609","2,256","2,746","2,664","1,178"
2020,7,0,"2,649","1,670",45,68,96,112,50,222,80,50,73,68,85,30
2020,7,10,"3,826","2,377",71,123,138,156,87,293,121,102,94,118,112,34
2020,7,20,"4,335","2,171",121,207,174,219,142,385,151,147,164,191,194,69
2020,7,30,"4,017","2,068",125,170,193,241,111,370,150,111,136,142,128,72
2020,7,40,"6,252","3,112",161,278,250,384,200,550,219,247,186,269,280,116
2020,7,50,"8,999","3,430",324,508,416,541,462,881,432,427,417,461,480,220
2020,7,60,"9,477","2,871",447,562,427,774,554,866,570,540,450,574,562,280
2020,7,70,"7,700","1,974",388,570,349,709,508,629,409,517,417,528,492,210
2020,7,80,"4,654","1,081",275,416,241,342,337,329,193,413,283,347,276,121
2020,7,90,600,113,43,50,42,34,38,45,29,53,33,46,49,25
2020,7,100,38,6,4,2,1,2,2,3,4,2,3,2,6,1
2020,8,총,"52,455","20,956","1,995","2,932","2,292","3,497","2,488","4,561","2,349","2,598","2,231","2,727","2,656","1,173"
2020,8,0,"2,625","1,674",44,65,84,111,50,221,79,50,70,64,85,28
2020,8,10,"3,818","2,395",73,119,132,150,87,288,121,98,91,116,114,34
2020,8,20,"4,319","2,177",123,206,178,214,139,384,147,147,162,186,187,69
2020,8,30,"3,981","2,072",119,170,182,237,109,365,148,109,131,139,129,71
2020,8,40,"6,243","3,123",157,269,251,385,201,552,219,243,185,264,277,117
2020,8,50,"8,972","3,444",321,498,403,541,463,878,429,423,417,459,480,216
2020,8,60,"9,496","2,889",451,566,432,762,556,867,567,542,447,574,562,281
2020,8,70,"7,711","1,978",383,575,348,721,501,628,415,517,414,525,495,211
2020,8,80,"4,648","1,078",279,410,239,340,343,331,193,413,278,352,271,121
2020,8,90,606,120,41,52,42,34,37,45,28,54,33,46,50,24
2020,8,100,36,6,4,2,1,2,2,2,3,2,3,2,6,1
2020,9,총,"52,358","20,953","1,983","2,915","2,281","3,469","2,484","4,551","2,340","2,602","2,235","2,722","2,656","1,167"
2020,9,0,"2,615","1,675",46,64,81,106,51,220,73,54,69,64,84,28
2020,9,10,"3,770","2,362",73,120,131,144,85,280,122,99,91,114,116,33
2020,9,20,"4,307","2,178",120,206,175,208,136,391,145,145,163,188,185,67
2020,9,30,"3,966","2,077",115,168,178,237,111,366,145,107,126,137,128,71
2020,9,40,"6,219","3,124",155,267,243,382,201,545,216,245,184,266,277,114
2020,9,50,"8,937","3,438",315,492,408,532,459,875,429,427,422,448,479,213
2020,9,60,"9,536","2,909",449,563,436,764,560,870,570,537,451,580,565,282
2020,9,70,"7,720","1,986",383,573,346,717,499,628,417,524,412,526,495,214
2020,9,80,"4,638","1,076",280,406,240,342,340,330,192,408,281,350,271,122
2020,9,90,613,122,43,54,42,35,40,44,28,54,33,47,50,21
2020,9,100,37,6,4,2,1,2,2,2,3,2,3,2,6,2
2020,10,총,"52,317","21,004","1,982","2,896","2,272","3,465","2,473","4,544","2,329","2,600","2,230","2,710","2,650","1,162"
2020,10,0,"2,598","1,676",47,57,77,105,51,216,73,53,67,65,85,26
2020,10,10,"3,740","2,350",70,115,124,147,81,283,117,102,92,112,115,32
2020,10,20,"4,330","2,203",120,206,180,212,132,390,148,140,161,189,183,66
2020,10,30,"3,947","2,080",115,163,175,233,110,360,141,110,127,136,129,68
