년도,월,나이,이천시,장호원읍,부발읍,신둔면,백사면,호법면,마장면,대월면,모가면,설성면,율면,창전동,증포동,중리동,관고동
2020,1,총,"111,284","7,570","18,693","6,937","5,636","3,007","6,914","7,379","2,395","2,566","1,377","8,654","26,758","8,149","5,249"
2020,1,0,"10,271",550,"1,851",531,417,182,678,696,91,96,41,541,"3,727",535,335
2020,1,10,"11,707",761,"2,394",537,462,165,515,624,141,136,68,832,"4,175",505,392
2020,1,20,"16,245",943,"2,660",888,709,346,"1,157","1,238",264,246,112,"1,533","3,415","1,918",816
2020,1,30,"16,344",830,"2,790",949,627,391,"1,236","1,345",230,241,91,"1,251","4,114","1,448",801
2020,1,40,"18,041","1,100","3,492","1,066",871,439,"1,039","1,145",292,321,163,"1,268","5,018","1,033",794
2020,1,50,"18,091","1,311","2,852","1,321","1,098",597,"1,002","1,062",498,532,252,"1,483","3,892","1,215",976
2020,1,60,"12,133","1,117","1,635","1,006",810,504,748,719,481,512,320,"1,061","1,611",886,723
2020,1,70,"5,900",653,725,454,435,264,379,393,257,322,194,515,575,435,299
2020,1,80,"2,318",273,273,164,183,109,141,139,129,148,123,157,218,157,104
2020,1,90,215,28,21,19,24,10,18,16,12,9,12,13,11,14,8
2020,1,100,19,4,0,2,0,0,1,2,0,3,1,0,2,3,1
2020,2,총,"111,272","7,538","18,680","6,918","5,627","3,010","6,972","7,405","2,388","2,561","1,365","8,620","26,792","8,149","5,247"
2020,2,0,"10,210",535,"1,821",528,418,180,697,689,90,96,40,543,"3,703",535,335
2020,2,10,"11,635",758,"2,396",520,455,158,508,627,144,134,63,808,"4,178",495,391
2020,2,20,"16,199",938,"2,658",872,701,351,"1,148","1,245",258,242,109,"1,517","3,434","1,916",810
2020,2,30,"16,358",827,"2,778",946,630,389,"1,244","1,357",232,248,92,"1,240","4,125","1,448",802
2020,2,40,"18,072","1,098","3,502","1,066",867,441,"1,062","1,141",289,313,161,"1,289","5,023","1,031",789
2020,2,50,"18,081","1,310","2,852","1,322","1,092",599,"1,011","1,065",493,532,252,"1,461","3,890","1,221",981
2020,2,60,"12,240","1,121","1,655","1,014",819,509,757,731,484,509,321,"1,075","1,626",894,725
2020,2,70,"5,902",650,720,464,435,259,381,394,258,324,192,514,578,432,301
2020,2,80,"2,334",269,275,165,186,114,143,138,128,149,121,160,221,160,105
2020,2,90,222,28,23,19,24,10,20,16,12,11,13,13,12,14,7
2020,2,100,19,4,0,2,0,0,1,2,0,3,1,0,2,3,1
2020,3,총,"111,554","7,535","18,748","6,943","5,633","3,008","7,009","7,397","2,382","2,547","1,376","8,625","26,854","8,220","5,277"
2020,3,0,"10,165",530,"1,808",537,425,179,697,676,89,92,41,543,"3,695",527,326
2020,3,10,"11,595",747,"2,401",516,450,157,494,631,144,130,64,813,"4,159",502,387
2020,3,20,"16,383",947,"2,722",873,703,346,"1,165","1,250",258,242,112,"1,499","3,470","1,975",821
2020,3,30,"16,397",824,"2,779",943,638,392,"1,255","1,358",231,245,91,"1,244","4,127","1,460",810
2020,3,40,"18,057","1,095","3,495","1,075",862,442,"1,062","1,134",287,312,164,"1,288","5,022","1,032",787
2020,3,50,"18,088","1,304","2,863","1,318","1,088",599,"1,021","1,060",489,520,247,"1,464","3,918","1,209",988
2020,3,60,"12,354","1,135","1,659","1,024",821,512,761,741,483,518,330,"1,083","1,646",899,742
2020,3,70,"5,920",646,722,467,434,259,385,392,261,325,191,516,582,436,304
2020,3,80,"2,356",277,278,169,188,112,147,138,128,149,122,161,221,163,103
2020,3,90,220,26,21,19,24,10,20,15,12,11,13,14,13,14,8
2020,3,100,19,4,0,2,0,0,2,2,0,3,1,0,1,3,1
2020,4,총,"111,858","7,550","18,833","6,980","5,645","3,019","7,050","7,407","2,391","2,546","1,378","8,595","26,919","8,276","5,269"
2020,4,0,"10,101",527,"1,794",534,424,176,700,670,89,94,41,527,"3,674",531,320
2020,4,10,"11,569",748,"2,388",514,450,158,479,625,145,131,65,820,"4,158",498,390
2020,4,20,"16,542",955,"2,796",879,700,348,"1,168","1,263",258,240,112,"1,491","3,516","2,005",811
2020,4,30,"16,417",827,"2,779",954,638,394,"1,269","1,369",232,244,89,"1,231","4,120","1,468",803
2020,4,40,"18,083","1,093","3,501","1,078",872,437,"1,077","1,133",288,312,166,"1,282","5,016","1,038",790
2020,4,50,"18,142","1,308","2,881","1,323","1,091",602,"1,028","1,060",489,516,242,"1,459","3,942","1,210",991
2020,4,60,"12,464","1,135","1,669","1,035",824,523,776,743,488,522,335,"1,090","1,672",905,747
2020,4,70,"5,923",648,719,470,432,260,386,388,263,324,191,517,583,438,304
2020,4,80,"2,376",280,285,171,190,111,145,139,127,150,122,164,223,166,103
2020,4,90,222,25,21,20,24,10,20,15,12,10,14,14,14,14,9
2020,4,100,19,4,0,2,0,0,2,2,0,3,1,0,1,3,1
2020,5,총,"112,430","7,556","18,838","6,992","5,659","3,225","7,325","7,407","2,392","2,533","1,382","8,592","26,953","8,301","5,275"
2020,5,0,"10,054",520,"1,763",532,422,173,698,669,88,93,42,536,"3,674",526,318
2020,5,10,"11,966",745,"2,369",507,451,340,725,622,142,128,65,819,"4,153",507,393
2020,5,20,"16,630",957,"2,847",888,704,363,"1,188","1,255",256,235,111,"1,487","3,517","2,018",804
2020,5,30,"16,415",828,"2,756",961,640,397,"1,280","1,378",232,244,88,"1,231","4,112","1,468",800
2020,5,40,"18,040","1,094","3,486","1,064",865,434,"1,071","1,131",291,312,164,"1,271","5,028","1,036",793
2020,5,50,"18,203","1,309","2,912","1,334","1,089",607,"1,028","1,067",486,507,242,"1,460","3,954","1,212",996
2020,5,60,"12,544","1,138","1,677","1,041",840,528,780,745,496,521,337,"1,092","1,687",911,751
2020,5,70,"5,946",656,717,473,430,260,387,384,261,324,196,521,592,440,305
2020,5,80,"2,390",280,290,170,193,113,146,140,128,156,122,161,221,166,104
2020,5,90,223,25,21,20,25,10,20,14,12,10,14,14,14,14,10
2020,5,100,19,4,0,2,0,0,2,2,0,3,1,0,1,3,1
2020,6,총,"113,002","7,544","18,867","7,165","5,662","3,332","7,546","7,407","2,395","2,545","1,383","8,594","26,959","8,318","5,285"
2020,6,0,"10,012",523,"1,756",538,419,176,694,665,88,92,42,537,"3,653",515,314
2020,6,10,"12,306",745,"2,343",632,451,426,908,612,141,132,64,812,"4,148",499,393
2020,6,20,"16,744",942,"2,886",903,700,377,"1,212","1,260",253,231,110,"1,478","3,531","2,056",805
2020,6,30,"16,415",811,"2,764",969,642,394,"1,284","1,373",227,247,90,"1,237","4,098","1,481",798
2020,6,40,"18,038","1,093","3,478","1,065",865,436,"1,061","1,143",299,309,162,"1,273","5,034","1,029",791
2020,6,50,"18,203","1,314","2,915","1,344","1,089",607,"1,032","1,062",489,506,241,"1,453","3,954","1,202",995
2020,6,60,"12,675","1,149","1,692","1,051",850,533,797,746,495,531,339,"1,101","1,711",917,763
2020,6,70,"5,961",656,720,471,426,260,389,388,261,326,196,525,596,437,310
2020,6,80,"2,403",280,292,171,196,113,147,142,130,158,123,164,218,164,105
2020,6,90,226,27,21,19,24,10,20,14,12,10,15,14,15,15,10
2020,6,100,19,4,0,2,0,0,2,2,0,3,1,0,1,3,1
2020,7,총,"113,271","7,537","18,877","7,163","5,680","3,384","7,727","7,418","2,398","2,533","1,388","8,586","26,982","8,341","5,257"
2020,7,0,"9,966",513,"1,741",533,416,170,713,663,89,91,41,533,"3,634",515,314
