년도,월,나이,강원도 동해시,강원도 동해시 천곡동,강원도 동해시 송정동,강원도 동해시 북삼동,강원도 동해시 부곡동,강원도 동해시 동호동,강원도 동해시 발한동,강원도 동해시 묵호동,강원도 동해시 북평동,강원도 동해시 망상동,강원도 동해시 삼화동
2020,3,총,"90,263","30,291","4,264","19,901","5,337","5,267","3,728","3,225","11,473","3,745","3,032"
2020,3,0,"6,813","2,902",191,"1,662",213,330,135,99,975,185,121
2020,3,10,"8,971","3,292",279,"2,722",374,449,192,177,"1,074",202,210
2020,3,20,"9,349","3,353",606,"2,200",494,500,292,197,"1,178",290,239
2020,3,30,"9,445","3,684",343,"2,129",432,481,272,205,"1,339",329,231
2020,3,40,"14,762","5,155",582,"3,889",730,767,468,422,"1,889",492,368
2020,3,50,"15,632","5,033",745,"3,525",970,990,608,519,"2,013",654,575
2020,3,60,"13,165","4,103",731,"2,055","1,075",850,810,692,"1,569",686,594
2020,3,70,"8,003","1,874",491,"1,171",709,638,626,602,900,557,435
2020,3,80,"3,615",783,255,482,292,238,283,273,482,303,224
2020,3,90,479,111,40,66,45,18,38,34,52,42,33
2020,3,100,29,1,1,0,3,6,4,5,2,5,2
2020,4,총,"90,233","30,204","4,222","19,728","5,319","5,272","3,692","3,208","11,828","3,741","3,019"
2020,4,0,"6,789","2,870",182,"1,619",209,329,131,97,"1,039",191,122
2020,4,10,"8,955","3,282",278,"2,694",376,446,184,174,"1,115",200,206
2020,4,20,"9,297","3,316",594,"2,178",496,494,283,195,"1,215",289,237
2020,4,30,"9,437","3,653",338,"2,096",424,481,266,207,"1,411",332,229
2020,4,40,"14,745","5,158",574,"3,835",735,763,460,422,"1,957",480,361
2020,4,50,"15,617","5,012",739,"3,525",958,989,604,514,"2,048",655,573
2020,4,60,"13,249","4,144",728,"2,065","1,074",865,809,682,"1,594",688,600
2020,4,70,"7,993","1,873",494,"1,167",705,645,626,598,902,553,430
2020,4,80,"3,635",784,253,481,294,236,287,280,489,307,224
2020,4,90,487,111,41,68,45,18,38,34,56,41,35
2020,4,100,29,1,1,0,3,6,4,5,2,5,2
2020,5,총,"90,366","30,468","4,186","19,620","5,325","5,224","3,652","3,199","11,961","3,720","3,011"
2020,5,0,"6,794","2,898",181,"1,589",211,321,125,98,"1,065",188,118
2020,5,10,"8,909","3,278",275,"2,667",376,446,173,170,"1,125",199,200
2020,5,20,"9,335","3,351",591,"2,173",494,487,283,196,"1,237",288,235
2020,5,30,"9,454","3,724",332,"2,065",425,471,252,205,"1,432",324,224
2020,5,40,"14,732","5,191",561,"3,799",738,758,456,423,"1,976",472,358
2020,5,50,"15,637","5,051",730,"3,515",949,979,613,510,"2,063",654,573
2020,5,60,"13,301","4,188",724,"2,078","1,083",852,799,681,"1,602",691,603
2020,5,70,"8,016","1,878",498,"1,180",707,644,621,595,908,548,437
2020,5,80,"3,665",796,250,484,294,242,287,283,492,311,226
2020,5,90,494,112,43,70,45,18,39,33,59,40,35
2020,5,100,29,1,1,0,3,6,4,5,2,5,2
2020,6,총,"90,454","30,697","4,160","19,470","5,273","5,219","3,638","3,187","12,095","3,724","2,991"
2020,6,0,"6,782","2,921",181,"1,549",205,322,119,96,"1,091",185,113
2020,6,10,"8,871","3,289",269,"2,638",373,443,167,166,"1,126",200,200
2020,6,20,"9,323","3,374",579,"2,155",484,486,283,195,"1,252",283,232
2020,6,30,"9,451","3,771",327,"2,029",409,470,249,205,"1,449",322,220
2020,6,40,"14,747","5,217",553,"3,776",734,763,455,418,"2,007",476,348
2020,6,50,"15,627","5,092",735,"3,498",936,967,609,500,"2,068",647,575
2020,6,60,"13,406","4,222",725,"2,089","1,090",852,800,688,"1,632",703,605
2020,6,70,"8,051","1,892",494,"1,188",706,648,625,595,914,553,436
2020,6,80,"3,666",805,252,479,290,243,285,285,493,310,224
2020,6,90,500,113,44,69,42,19,42,34,61,40,36
2020,6,100,30,1,1,0,4,6,4,5,2,5,2
2020,7,총,"90,481","30,790","4,127","19,467","5,237","5,208","3,622","3,183","12,143","3,729","2,975"
2020,7,0,"6,758","2,911",181,"1,552",197,319,115,96,"1,090",185,112
2020,7,10,"8,864","3,307",264,"2,624",365,447,168,164,"1,129",199,197
2020,7,20,"9,326","3,366",575,"2,176",476,483,286,196,"1,260",281,227
2020,7,30,"9,427","3,797",315,"2,017",394,467,250,200,"1,445",324,218
2020,7,40,"14,712","5,227",551,"3,752",733,761,439,412,"2,020",470,347
2020,7,50,"15,617","5,085",726,"3,496",942,960,612,502,"2,072",652,570
2020,7,60,"13,505","4,278",727,"2,113","1,095",847,794,693,"1,647",705,606
2020,7,70,"8,065","1,896",492,"1,191",700,655,628,590,920,558,435
2020,7,80,"3,670",807,251,478,287,244,284,291,495,308,225
2020,7,90,507,115,44,68,44,19,42,34,63,42,36
2020,7,100,30,1,1,0,4,6,4,5,2,5,2
2020,8,총,"90,548","30,858","4,124","19,452","5,187","5,253","3,612","3,193","12,209","3,696","2,964"
2020,8,0,"6,758","2,905",181,"1,544",194,314,117,100,"1,107",185,111
2020,8,10,"8,839","3,297",258,"2,609",344,482,168,163,"1,128",194,196
2020,8,20,"9,353","3,394",584,"2,179",472,491,282,198,"1,260",273,220
2020,8,30,"9,377","3,782",316,"1,990",384,465,244,202,"1,457",319,218
2020,8,40,"14,700","5,226",546,"3,773",723,756,436,412,"2,023",462,343
2020,8,50,"15,624","5,092",724,"3,487",939,961,613,500,"2,094",647,567
2020,8,60,"13,604","4,331",727,"2,128","1,090",856,792,699,"1,659",710,612
2020,8,70,"8,069","1,901",493,"1,190",702,660,626,587,918,556,436
2020,8,80,"3,682",814,249,484,292,243,288,293,498,299,222
2020,8,90,512,115,45,68,43,19,42,34,63,46,37
2020,8,100,30,1,1,0,4,6,4,5,2,5,2
2020,9,총,"90,575","30,873","4,102","19,385","5,190","5,234","3,595","3,199","12,344","3,681","2,972"
2020,9,0,"6,745","2,886",178,"1,530",194,319,113,104,"1,130",182,109
2020,9,10,"8,818","3,304",253,"2,588",346,470,168,164,"1,133",191,201
2020,9,20,"9,360","3,396",579,"2,166",477,491,282,199,"1,272",279,219
2020,9,30,"9,350","3,774",312,"1,971",381,455,232,201,"1,487",313,224
2020,9,40,"14,699","5,233",548,"3,774",718,751,433,413,"2,028",454,347
2020,9,50,"15,612","5,096",721,"3,466",940,955,610,495,"2,121",640,568
