년도,월,나이,경상남도 밀양시,경상남도 밀양시 삼랑진읍,경상남도 밀양시 삼랑진임천출장소,경상남도 밀양시 하남읍,경상남도 밀양시 부북면,경상남도 밀양시 상동면,경상남도 밀양시 산외면,경상남도 밀양시 산내면,경상남도 밀양시 단장면,경상남도 밀양시 상남면,경상남도 밀양시 초동면,경상남도 밀양시 무안면,경상남도 밀양시 청도면,경상남도 밀양시 내일동,경상남도 밀양시 내이동,경상남도 밀양시 삼문동,경상남도 밀양시 가곡동,경상남도 밀양시 교동
2020,3,총,"105,309","5,450","1,300","7,282","5,303","3,100","2,910","3,957","4,338","8,725","3,458","5,158","1,774","2,900","14,883","20,753","7,912","6,106"
2020,3,0,"5,870",154,24,299,146,67,82,99,87,503,81,118,40,76,"1,219","2,100",381,394
2020,3,10,"8,092",254,52,457,264,97,136,221,161,571,149,290,59,164,"1,320","2,633",667,597
2020,3,20,"9,358",360,113,531,385,178,197,229,255,713,188,334,76,274,"1,831","2,221",789,684
2020,3,30,"9,209",335,71,530,361,160,173,205,261,736,170,266,81,215,"1,919","2,341",710,675
2020,3,40,"13,237",549,114,810,500,215,279,374,333,"1,047",320,426,128,325,"2,274","3,551","1,056",936
2020,3,50,"19,267","1,042",227,"1,369","1,057",574,592,768,918,"1,580",615,940,290,579,"2,698","3,386","1,462","1,170"
2020,3,60,"20,208","1,339",315,"1,555","1,269",898,682,"1,005","1,212","1,721",921,"1,238",489,611,"2,112","2,496","1,402",943
2020,3,70,"12,377",914,229,"1,043",775,533,481,663,670,"1,150",604,869,344,437,970,"1,310",906,479
2020,3,80,"6,774",438,130,617,476,330,253,352,390,621,369,585,239,196,458,634,482,204
2020,3,90,876,63,25,65,69,48,33,40,48,76,37,89,28,19,80,79,56,21
2020,3,100,41,2,0,6,1,0,2,1,3,7,4,3,0,4,2,2,1,3
2020,4,총,"105,201","5,445","1,293","7,251","5,301","3,104","2,899","3,958","4,337","8,710","3,449","5,147","1,773","2,884","14,936","20,631","7,992","6,091"
2020,4,0,"5,840",151,23,298,146,64,79,101,85,504,81,118,40,78,"1,243","2,057",389,383
2020,4,10,"8,071",253,51,449,263,98,132,219,161,568,147,290,61,160,"1,317","2,625",677,600
2020,4,20,"9,318",359,109,524,384,172,198,227,248,711,184,329,77,270,"1,832","2,209",805,680
2020,4,30,"9,167",335,72,527,359,160,174,204,259,729,165,258,77,215,"1,934","2,322",716,661
2020,4,40,"13,188",541,111,799,493,216,275,376,333,"1,053",314,423,125,325,"2,273","3,529","1,074",928
2020,4,50,"19,196","1,041",229,"1,359","1,050",578,584,761,924,"1,573",611,932,288,571,"2,690","3,355","1,478","1,172"
2020,4,60,"20,265","1,344",315,"1,556","1,283",894,684,"1,007","1,209","1,719",925,"1,249",491,606,"2,130","2,505","1,398",950
2020,4,70,"12,414",914,224,"1,049",774,541,482,666,677,"1,144",609,864,344,439,978,"1,310",912,487
2020,4,80,"6,806",442,135,617,476,331,255,355,389,625,370,593,240,196,457,635,485,205
2020,4,90,895,63,24,67,72,50,34,41,49,77,39,88,30,20,80,82,57,22
2020,4,100,41,2,0,6,1,0,2,1,3,7,4,3,0,4,2,2,1,3
2020,5,총,"105,139","5,440","1,290","7,250","5,296","3,106","2,889","3,950","4,346","8,647","3,454","5,141","1,767","2,854","15,001","20,602","8,026","6,080"
2020,5,0,"5,819",149,23,297,143,66,76,100,83,498,81,118,39,77,"1,251","2,041",394,383
2020,5,10,"8,025",254,51,445,256,95,133,210,157,565,143,287,57,158,"1,321","2,634",666,593
2020,5,20,"9,279",355,111,524,381,172,195,223,254,699,188,326,78,264,"1,842","2,182",808,677
2020,5,30,"9,137",336,69,531,357,160,175,198,256,721,166,255,72,213,"1,942","2,316",715,655
2020,5,40,"13,152",530,107,800,486,218,277,374,334,"1,038",311,423,125,319,"2,272","3,539","1,076",923
2020,5,50,"19,159","1,044",229,"1,350","1,055",576,577,765,915,"1,558",608,930,284,560,"2,700","3,357","1,482","1,169"
2020,5,60,"20,336","1,348",320,"1,558","1,288",894,688,"1,011","1,223","1,721",929,"1,253",495,604,"2,141","2,492","1,416",955
2020,5,70,"12,467",908,220,"1,052",781,546,479,672,683,"1,138",610,866,343,440,991,"1,318",924,496
2020,5,80,"6,835",450,138,619,480,331,252,354,389,627,373,591,244,195,460,638,486,208
2020,5,90,888,64,22,68,68,48,34,42,49,75,41,89,30,20,79,83,58,18
2020,5,100,42,2,0,6,1,0,3,1,3,7,4,3,0,4,2,2,1,3
2020,6,총,"105,133","5,438","1,284","7,243","5,298","3,118","2,873","3,953","4,356","8,621","3,454","5,134","1,772","2,850","14,976","20,639","8,050","6,074"
2020,6,0,"5,809",150,21,298,141,69,70,101,80,493,80,120,39,78,"1,250","2,040",399,380
2020,6,10,"7,996",251,48,440,258,95,134,210,157,561,142,285,56,158,"1,309","2,622",672,598
2020,6,20,"9,225",352,111,516,379,171,197,219,257,686,184,322,76,254,"1,830","2,199",801,671
2020,6,30,"9,117",333,69,524,356,163,169,196,252,725,165,254,72,211,"1,948","2,311",715,654
2020,6,40,"13,133",530,106,798,491,215,273,376,329,"1,031",314,420,125,319,"2,268","3,525","1,091",922
2020,6,50,"19,056","1,031",232,"1,335","1,049",572,572,757,914,"1,542",601,918,284,562,"2,680","3,383","1,465","1,159"
2020,6,60,"20,522","1,367",322,"1,580","1,292",902,692,"1,024","1,237","1,734",935,"1,268",501,604,"2,150","2,509","1,439",966
2020,6,70,"12,510",905,216,"1,057",784,551,480,674,689,"1,138",616,862,346,443,999,"1,335",918,497
2020,6,80,"6,842",451,139,620,479,332,250,354,389,630,371,593,243,197,462,633,492,207
2020,6,90,879,66,20,68,68,48,33,41,49,74,42,89,30,19,78,80,57,17
2020,6,100,44,2,0,7,1,0,3,1,3,7,4,3,0,5,2,2,1,3
2020,7,총,"105,099","5,430","1,283","7,229","5,311","3,113","2,867","3,969","4,361","8,583","3,449","5,125","1,767","2,832","15,066","20,564","8,094","6,056"
2020,7,0,"5,762",148,20,292,143,67,69,97,81,485,79,122,36,73,"1,257","2,020",395,378
2020,7,10,"7,980",251,48,441,258,97,133,216,155,550,139,280,56,156,"1,330","2,603",676,591
2020,7,20,"9,201",341,109,506,376,168,192,222,253,683,183,319,73,257,"1,844","2,201",812,662
2020,7,30,"9,051",328,71,516,358,162,170,192,252,703,162,254,71,208,"1,956","2,271",720,657
2020,7,40,"13,154",533,105,800,492,216,272,376,332,"1,036",315,417,122,314,"2,287","3,520","1,096",921
2020,7,50,"19,038","1,029",230,"1,338","1,054",567,574,762,912,"1,525",601,918,287,561,"2,679","3,376","1,475","1,150"
2020,7,60,"20,567","1,359",324,"1,581","1,293",902,690,"1,028","1,245","1,741",930,"1,267",503,608,"2,158","2,517","1,450",971
2020,7,70,"12,551",917,215,"1,062",787,553,480,677,691,"1,145",625,861,348,434,"1,007","1,338",914,497
2020,7,80,"6,868",456,141,618,483,333,252,353,386,634,369,595,240,196,468,636,498,210
2020,7,90,881,66,20,68,66,48,32,45,51,74,42,89,31,19,78,79,57,16
2020,7,100,46,2,0,7,1,0,3,1,3,7,4,3,0,6,2,3,1,3
2020,8,총,"105,026","5,425","1,291","7,205","5,293","3,100","2,848","3,950","4,355","8,502","3,431","5,100","1,764","2,811","15,384","20,477","8,073","6,017"
2020,8,0,"5,754",150,20,295,140,67,67,93,80,467,78,123,36,67,"1,307","2,004",387,373
2020,8,10,"7,951",255,50,438,249,96,128,216,152,539,136,276,59,154,"1,346","2,601",672,584
2020,8,20,"9,172",337,111,502,385,166,189,220,256,672,175,311,73,255,"1,877","2,183",799,661
2020,8,30,"9,027",331,68,510,347,155,167,190,251,686,161,256,70,206,"2,030","2,239",716,644
2020,8,40,"13,098",530,107,789,486,217,264,369,329,"1,020",313,405,127,311,"2,322","3,511","1,090",908
2020,8,50,"18,974","1,015",231,"1,330","1,051",560,574,755,907,"1,507",598,911,281,558,"2,725","3,358","1,467","1,146"
2020,8,60,"20,688","1,366",327,"1,586","1,297",906,695,"1,032","1,248","1,748",931,"1,274",505,602,"2,201","2,534","1,462",974
2020,8,70,"12,559",913,214,"1,063",787,548,477,680,693,"1,141",628,860,344,435,"1,020","1,336",920,500
2020,8,80,"6,865",459,144,617,482,335,250,345,386,641,365,592,239,197,474,630,501,208
2020,8,90,893,67,19,68,68,50,34,49,50,75,42,89,30,20,80,78,58,16
2020,8,100,45,2,0,7,1,0,3,1,3,6,4,3,0,6,2,3,1,3
2020,9,총,"104,932","5,410","1,290","7,178","5,279","3,104","2,832","3,938","4,347","8,464","3,427","5,069","1,757","2,812","15,522","20,440","8,077","5,986"
2020,9,0,"5,704",146,19,283,133,65,64,92,79,466,78,115,34,73,"1,313","1,985",391,368
2020,9,10,"7,915",257,51,438,248,97,127,212,155,527,133,276,60,151,"1,347","2,598",664,574
2020,9,20,"9,191",334,113,503,383,163,184,224,251,671,173,315,75,255,"1,901","2,184",804,658
2020,9,30,"9,001",332,70,497,338,157,163,189,246,672,165,251,71,205,"2,058","2,229",724,634
2020,9,40,"13,042",524,100,783,490,215,260,362,329,"1,012",310,397,125,316,"2,343","3,496","1,083",897
2020,9,50,"18,901","1,004",229,"1,332","1,047",552,569,744,907,"1,510",593,895,283,557,"2,735","3,346","1,461","1,137"
2020,9,60,"20,837","1,373",330,"1,595","1,303",919,701,"1,041","1,255","1,750",934,"1,285",499,597,"2,242","2,554","1,467",992
2020,9,70,"12,547",907,215,"1,060",791,548,475,679,689,"1,143",631,857,339,433,"1,023","1,335",921,501
2020,9,80,"6,844",466,143,612,477,334,250,345,384,630,364,587,242,199,478,628,499,206
2020,9,90,905,66,20,67,68,54,36,49,49,77,42,88,29,20,80,82,62,16
2020,9,100,45,1,0,8,1,0,3,1,3,6,4,3,0,6,2,3,1,3
2020,10,총,"104,924","5,400","1,292","7,169","5,271","3,092","2,838","3,936","4,344","8,462","3,429","5,058","1,756","2,790","15,645","20,445","8,069","5,928"
2020,10,0,"5,662",147,20,282,124,63,63,91,77,462,79,119,33,68,"1,310","1,983",387,354
2020,10,10,"7,894",254,47,437,248,98,126,213,154,530,134,271,59,150,"1,357","2,599",651,566
2020,10,20,"9,211",336,113,495,383,160,187,224,252,670,172,319,78,251,"1,922","2,193",808,648
2020,10,30,"8,958",322,71,497,331,152,160,188,252,672,164,253,70,197,"2,077","2,213",718,621
2020,10,40,"13,014",518,100,775,487,213,263,358,323,"1,010",312,391,125,312,"2,365","3,487","1,085",890
2020,10,50,"18,854",999,229,"1,331","1,047",542,567,741,907,"1,498",590,890,282,554,"2,754","3,341","1,461","1,121"
2020,10,60,"20,961","1,381",334,"1,608","1,313",933,707,"1,048","1,248","1,757",936,"1,285",498,601,"2,262","2,575","1,471","1,004"
2020,10,70,"12,573",913,216,"1,056",793,546,475,673,694,"1,152",631,849,340,428,"1,038","1,339",927,503
2020,10,80,"6,858",464,143,616,477,334,251,349,384,628,367,595,242,202,479,630,498,199
2020,10,90,894,65,19,65,67,51,36,50,50,77,40,83,29,21,78,82,62,19
2020,10,100,45,1,0,7,1,0,3,1,3,6,4,3,0,6,3,3,1,3
2020,11,총,"104,868","5,391","1,292","7,174","5,251","3,082","2,821","3,948","4,327","8,480","3,431","5,054","1,758","2,781","15,754","20,397","8,025","5,902"
2020,11,0,"5,627",144,19,283,120,64,59,91,78,463,80,114,31,68,"1,315","1,968",380,350
2020,11,10,"7,867",249,48,433,243,94,123,216,152,530,132,266,58,147,"1,375","2,600",642,559
2020,11,20,"9,203",337,117,498,383,162,187,221,247,672,170,322,83,243,"1,933","2,173",804,651
2020,11,30,"8,937",322,71,500,328,148,153,190,252,673,166,250,68,194,"2,096","2,198",712,616
2020,11,40,"12,977",512,97,762,484,211,257,362,322,"1,013",308,387,127,312,"2,387","3,486","1,066",884
2020,11,50,"18,795",997,236,"1,332","1,030",538,564,738,895,"1,508",591,889,279,549,"2,767","3,315","1,454","1,113"
2020,11,60,"21,039","1,384",325,"1,613","1,321",933,714,"1,052","1,254","1,757",938,"1,294",497,612,"2,273","2,589","1,477","1,006"
2020,11,70,"12,622",920,218,"1,063",794,547,472,674,694,"1,151",634,852,341,427,"1,050","1,355",931,499
2020,11,80,"6,856",461,142,617,479,334,252,352,380,630,368,594,245,202,476,628,496,200
2020,11,90,898,63,19,66,68,51,36,52,50,77,40,83,29,20,79,82,62,21
2020,11,100,47,2,0,7,1,0,4,0,3,6,4,3,0,7,3,3,1,3
2020,12,총,"104,831","5,383","1,299","7,165","5,240","3,066","2,821","3,962","4,315","8,496","3,424","5,024","1,760","2,765","15,836","20,399","7,974","5,902"
2020,12,0,"5,620",148,20,287,125,62,58,92,79,467,76,111,32,67,"1,307","1,976",365,348
2020,12,10,"7,829",249,48,432,245,88,118,217,152,531,129,255,56,142,"1,381","2,601",630,555
2020,12,20,"9,214",334,121,496,373,160,189,223,238,672,182,320,85,241,"1,952","2,164",797,667
2020,12,30,"8,907",323,69,494,326,147,150,185,252,673,158,251,68,194,"2,115","2,177",710,615
2020,12,40,"12,942",512,98,761,481,209,258,367,313,"1,012",310,379,126,308,"2,387","3,490","1,056",875
2020,12,50,"18,736",995,234,"1,324","1,020",523,566,741,888,"1,501",583,881,278,544,"2,776","3,311","1,455","1,116"
2020,12,60,"21,102","1,379",332,"1,610","1,326",935,718,"1,061","1,269","1,775",930,"1,291",498,611,"2,292","2,610","1,457","1,008"
2020,12,70,"12,650",915,216,"1,069",791,557,472,673,688,"1,149",636,851,343,427,"1,070","1,353",940,500
2020,12,80,"6,878",463,141,620,481,336,252,351,382,628,376,596,245,205,472,631,503,196
2020,12,90,905,63,20,65,70,49,36,51,51,82,40,86,29,19,81,83,60,20
2020,12,100,48,2,0,7,2,0,4,1,3,6,4,3,0,7,3,3,1,2
2021,1,총,"104,687","5,368","1,304","7,152","5,224","3,074","2,807","3,939","4,300","8,478","3,426","5,010","1,767","2,750","15,923","20,339","7,940","5,886"
2021,1,0,"5,581",146,19,281,124,62,56,90,78,461,81,108,32,65,"1,321","1,963",359,335
2021,1,10,"7,804",249,48,425,242,86,119,214,151,529,124,253,58,141,"1,392","2,585",632,556
2021,1,20,"9,141",323,126,489,366,158,183,218,234,664,174,318,85,235,"1,945","2,169",785,669
2021,1,30,"8,850",327,71,491,331,149,146,177,244,663,164,241,64,190,"2,126","2,157",705,604
2021,1,40,"12,891",509,96,753,473,208,255,363,311,"1,012",302,375,130,306,"2,408","3,473","1,048",869
2021,1,50,"18,717",992,235,"1,332","1,010",521,566,739,887,"1,497",585,882,275,538,"2,781","3,313","1,449","1,115"
2021,1,60,"21,164","1,369",331,"1,615","1,325",945,715,"1,062","1,270","1,795",931,"1,294",497,619,"2,314","2,610","1,458","1,014"
2021,1,70,"12,687",921,218,"1,074",792,560,476,671,691,"1,144",640,847,349,423,"1,079","1,355",936,511
2021,1,80,"6,887",465,138,618,488,333,252,353,383,626,380,602,246,206,466,629,508,194
2021,1,90,917,65,22,67,71,52,35,51,48,81,41,87,31,21,88,82,58,17
2021,1,100,48,2,0,7,2,0,4,1,3,6,4,3,0,6,3,3,2,2
2021,2,총,"104,497","5,358","1,304","7,138","5,196","3,066","2,809","3,938","4,303","8,423","3,421","4,995","1,776","2,734","15,966","20,275","7,925","5,870"
2021,2,0,"5,521",141,21,282,119,59,57,87,78,450,84,105,34,63,"1,320","1,929",364,328
2021,2,10,"7,779",248,48,419,237,87,117,221,151,531,122,251,58,140,"1,400","2,574",624,551
2021,2,20,"9,031",322,125,478,357,152,179,211,228,649,171,309,88,230,"1,939","2,157",771,665
2021,2,30,"8,790",317,71,485,325,153,146,177,245,654,164,239,66,188,"2,125","2,130",699,606
2021,2,40,"12,864",512,96,759,466,205,256,363,306,"1,004",299,373,131,308,"2,414","3,469","1,046",857
2021,2,50,"18,670",991,232,"1,330","1,005",520,560,733,887,"1,491",577,867,277,530,"2,793","3,306","1,444","1,127"
2021,2,60,"21,232","1,368",331,"1,615","1,331",942,727,"1,061","1,280","1,793",934,"1,304",500,612,"2,326","2,626","1,470","1,012"
2021,2,70,"12,715",926,220,"1,074",793,562,472,677,690,"1,137",646,850,345,424,"1,090","1,359",940,510
2021,2,80,"6,932",464,138,622,489,336,255,355,387,627,378,611,248,212,467,643,506,194
2021,2,90,916,67,22,66,72,50,36,52,48,83,42,83,29,21,89,79,59,18
2021,2,100,47,2,0,8,2,0,4,1,3,4,4,3,0,6,3,3,2,2
2021,3,총,"104,354","5,334","1,311","7,111","5,189","3,070","2,804","3,932","4,284","8,387","3,415","5,001","1,783","2,707","16,037","20,212","7,927","5,850"
2021,3,0,"5,497",139,19,278,120,57,58,86,76,444,85,102,34,63,"1,343","1,899",373,321
2021,3,10,"7,733",241,53,407,231,88,116,228,152,520,123,253,57,138,"1,397","2,552",621,556
2021,3,20,"8,971",316,132,479,360,151,170,205,218,647,173,307,93,224,"1,933","2,145",763,655
