년도,월,나이,경상북도 봉화군,경상북도 봉화군 봉화읍,경상북도 봉화군 물야면,경상북도 봉화군 봉성면,경상북도 봉화군 법전면,경상북도 봉화군 춘양면,경상북도 봉화군 소천면,경상북도 봉화군 재산면,경상북도 봉화군 명호면,경상북도 봉화군 상운면,경상북도 봉화군 석포면
2020,1,총,"16,119","5,030","1,586","1,072","1,032","2,219","1,125",795,"1,204",913,"1,143"
2020,1,0,801,356,57,31,40,102,35,21,31,16,112
2020,1,10,"1,054",455,89,51,42,150,53,50,71,26,67
2020,1,20,"1,235",526,89,92,69,143,68,38,79,64,67
2020,1,30,"1,146",409,97,81,66,130,51,35,75,41,161
2020,1,40,"1,989",708,143,119,107,245,139,83,137,104,204
2020,1,50,"3,186",963,329,203,199,453,236,178,257,164,204
2020,1,60,"3,392",813,393,251,242,480,293,221,277,224,198
2020,1,70,"2,123",511,253,151,156,320,173,110,182,176,91
2020,1,80,"1,082",269,124,84,101,168,69,52,90,92,33
2020,1,90,106,19,12,8,10,25,8,7,5,6,6
2020,1,100,5,1,0,1,0,3,0,0,0,0,0
2020,2,총,"16,082","5,023","1,590","1,065","1,026","2,213","1,128",796,"1,201",912,"1,128"
2020,2,0,787,354,57,29,41,102,34,21,30,16,103
2020,2,10,"1,044",448,89,49,43,146,54,50,71,26,68
2020,2,20,"1,236",528,92,94,64,144,64,40,80,64,66
2020,2,30,"1,132",406,97,75,64,127,52,35,75,42,159
2020,2,40,"1,985",712,142,120,107,247,140,80,133,101,203
2020,2,50,"3,178",967,326,199,198,449,235,177,259,167,201
2020,2,60,"3,411",817,400,254,244,481,294,224,277,222,198
2020,2,70,"2,110",506,250,151,153,320,178,107,180,174,91
2020,2,80,"1,087",267,125,85,100,170,69,55,91,92,33
2020,2,90,107,17,12,8,12,24,8,7,5,8,6
2020,2,100,5,1,0,1,0,3,0,0,0,0,0
2020,3,총,"16,077","5,017","1,599","1,054","1,028","2,211","1,132",796,"1,201",909,"1,130"
2020,3,0,783,349,56,30,41,102,35,20,31,18,101
2020,3,10,"1,038",442,89,48,42,146,56,49,71,25,70
2020,3,20,"1,224",524,95,86,66,140,63,40,77,67,66
2020,3,30,"1,133",407,97,74,63,128,53,38,74,41,158
2020,3,40,"1,977",717,142,116,107,249,136,79,131,95,205
2020,3,50,"3,170",954,328,199,199,448,237,178,262,164,201
2020,3,60,"3,417",829,398,257,244,482,297,224,271,219,196
2020,3,70,"2,129",509,254,152,152,317,177,106,189,180,93
2020,3,80,"1,089",266,127,82,102,172,69,55,90,92,34
2020,3,90,112,19,13,9,12,24,9,7,5,8,6
2020,3,100,5,1,0,1,0,3,0,0,0,0,0
2020,4,총,"16,050","4,999","1,595","1,054","1,030","2,226","1,126",788,"1,195",906,"1,131"
2020,4,0,774,343,53,30,40,103,35,20,31,18,101
2020,4,10,"1,032",440,90,45,44,148,55,48,67,24,71
2020,4,20,"1,224",518,96,87,65,144,65,39,80,65,65
2020,4,30,"1,123",403,95,74,64,130,52,36,68,41,160
2020,4,40,"1,967",715,144,116,105,249,132,75,132,93,206
2020,4,50,"3,162",955,324,195,200,450,232,182,259,165,200
2020,4,60,"3,418",828,398,260,244,486,301,218,273,215,195
2020,4,70,"2,133",507,254,155,153,315,174,108,190,184,93
2020,4,80,"1,103",270,128,82,104,175,71,55,90,94,34
2020,4,90,109,19,13,9,11,23,9,7,5,7,6
2020,4,100,5,1,0,1,0,3,0,0,0,0,0
