년도,월,나이,성동구,왕십리제2동,왕십리도선동,마장동,사근동,행당제1동,행당제2동,응봉동,금호1가동,금호2.3가동,금호4가동,옥수동,성수1가제1동,성수1가제2동,성수2가제1동,성수2가제3동,송정동,용답동
2020,1,총,"153,390","8,878","14,284","11,779","5,648","8,229","12,991","8,450","8,266","12,479","7,830","14,353","8,415","7,162","8,155","5,572","5,167","5,732"
2020,1,0,"10,649",588,"1,260",633,221,533,"1,025",621,672,897,712,"1,297",512,404,427,306,292,249
2020,1,10,"10,654",639,829,868,436,570,"1,214",924,558,793,483,862,590,499,481,277,285,346
2020,1,20,"23,153","1,318","2,387","2,260","1,905","1,337","1,633",881,944,"1,499",801,"1,685","1,278","1,129","1,157","1,099",812,"1,028"
2020,1,30,"25,723","1,501","2,585","1,600",747,"1,298","1,986","1,198","1,523","2,265","1,504","2,956","1,473","1,356","1,230",970,764,767
2020,1,40,"23,442","1,390","2,066","1,582",558,"1,260","2,233","1,632","1,293","1,945","1,334","2,250","1,300","1,135","1,166",724,762,812
2020,1,50,"24,201","1,427","2,302","1,944",663,"1,360","1,987","1,247","1,264","1,961","1,122","2,122","1,489","1,057","1,517",868,913,958
2020,1,60,"18,173","1,054","1,426","1,478",505,939,"1,448",933,"1,069","1,554",952,"1,675",997,840,"1,170",664,726,743
2020,1,70,"11,359",641,904,929,422,618,973,666,610,"1,007",609,954,512,459,661,440,404,550
2020,1,80,"5,066",261,434,409,164,259,408,298,293,468,270,439,232,242,276,195,171,247
2020,1,90,800,46,73,62,22,49,71,46,30,71,38,95,27,31,57,22,31,29
2020,1,100,170,13,18,14,5,6,13,4,10,19,5,18,5,10,13,7,7,3
2020,2,총,"153,109","8,894","14,271","11,767","5,683","8,164","12,917","8,425","8,249","12,498","7,803","14,354","8,390","7,110","8,141","5,567","5,162","5,714"
2020,2,0,"10,526",586,"1,241",628,213,524,"1,000",615,672,893,699,"1,304",502,394,423,298,293,241
2020,2,10,"10,629",640,830,873,473,570,"1,202",910,552,801,474,852,584,498,471,281,282,336
2020,2,20,"23,045","1,321","2,380","2,250","1,902","1,326","1,627",884,926,"1,488",788,"1,680","1,264","1,124","1,144","1,099",813,"1,029"
2020,2,30,"25,612","1,495","2,563","1,589",743,"1,286","1,980","1,196","1,527","2,260","1,508","2,951","1,470","1,332","1,233",954,759,766
2020,2,40,"23,414","1,391","2,057","1,589",563,"1,250","2,217","1,615","1,294","1,951","1,337","2,247","1,295","1,135","1,167",738,756,812
2020,2,50,"24,162","1,431","2,325","1,936",657,"1,349","1,983","1,250","1,252","1,955","1,118","2,126","1,495","1,046","1,502",866,916,955
2020,2,60,"18,286","1,059","1,438","1,490",514,932,"1,450",939,"1,080","1,580",953,"1,679","1,000",840,"1,192",668,731,741
2020,2,70,"11,353",647,905,926,425,616,963,666,616,"1,006",607,958,515,461,657,434,404,547
2020,2,80,"5,105",264,441,409,165,257,411,300,291,474,277,442,232,238,280,200,170,254
2020,2,90,807,47,73,63,23,48,71,46,29,71,37,97,28,32,59,22,31,30
2020,2,100,170,13,18,14,5,6,13,4,10,19,5,18,5,10,13,7,7,3
2020,3,총,"152,742","8,891","14,238","11,770","5,716","7,955","12,937","8,422","8,219","12,487","7,778","14,315","8,375","7,078","8,137","5,550","5,184","5,690"
2020,3,0,"10,454",584,"1,232",628,214,514,987,617,660,883,692,"1,310",490,391,422,297,294,239
2020,3,10,"10,551",629,823,879,489,554,"1,201",893,543,793,468,832,584,494,469,279,287,334
2020,3,20,"23,041","1,325","2,356","2,243","1,920","1,294","1,627",896,933,"1,491",794,"1,685","1,261","1,119","1,145","1,103",820,"1,029"
2020,3,30,"25,505","1,496","2,580","1,575",734,"1,261","1,995","1,187","1,513","2,253","1,501","2,926","1,472","1,328","1,227",943,757,757
2020,3,40,"23,262","1,376","2,041","1,579",561,"1,205","2,204","1,611","1,288","1,949","1,330","2,241","1,286","1,119","1,166",733,766,807
2020,3,50,"24,109","1,447","2,316","1,940",660,"1,313","1,993","1,252","1,251","1,960","1,106","2,118","1,502","1,044","1,497",855,908,947
2020,3,60,"18,328","1,065","1,456","1,496",515,905,"1,461",941,"1,079","1,581",959,"1,673","1,001",841,"1,196",674,739,746
