년도,월,나이,경상북도 군위군,경상북도 군위군 군위읍,경상북도 군위군 소보면,경상북도 군위군 효령면,경상북도 군위군 부계면,경상북도 군위군 우보면,경상북도 군위군 의흥면,경상북도 군위군 산성면,경상북도 군위군 고로면,경상북도 군위군 삼국유사면
2020,1,총,"23,821","8,402","2,306","3,838","2,046","2,135","2,480","1,246","1,368",
2020,1,0,752,465,38,96,39,28,46,23,17,
2020,1,10,"1,033",605,52,130,63,61,70,27,25,
2020,1,20,"1,689",780,122,282,151,126,126,36,66,
2020,1,30,"1,497",724,115,206,108,102,125,59,58,
2020,1,40,"2,293","1,117",154,324,157,173,185,94,89,
2020,1,50,"4,532","1,560",450,767,417,401,434,231,272,
2020,1,60,"5,133","1,408",525,938,474,503,598,307,380,
2020,1,70,"4,045","1,063",458,669,370,415,506,274,290,
2020,1,80,"2,540",593,347,394,231,301,351,176,147,
2020,1,90,293,80,43,31,36,22,38,19,24,
2020,1,100,14,7,2,1,0,3,1,0,0,
2020,2,총,"23,800","8,384","2,304","3,830","2,065","2,126","2,478","1,235","1,378",
2020,2,0,744,465,36,95,38,27,43,22,18,
2020,2,10,"1,028",608,52,131,61,58,70,25,23,
2020,2,20,"1,668",765,119,279,150,123,125,38,69,
2020,2,30,"1,466",705,113,200,107,102,124,59,56,
2020,2,40,"2,303","1,120",159,328,158,174,183,91,90,
2020,2,50,"4,515","1,551",449,764,423,392,436,224,276,
2020,2,60,"5,164","1,425",526,938,485,504,598,304,384,
2020,2,70,"4,047","1,063",458,666,371,418,509,273,289,
2020,2,80,"2,551",596,346,397,234,302,349,178,149,
2020,2,90,300,79,44,31,38,23,40,21,24,
2020,2,100,14,7,2,1,0,3,1,0,0,
2020,3,총,"23,614","8,324","2,291","3,816","2,036","2,103","2,460","1,214","1,370",
2020,3,0,729,459,36,93,35,26,44,17,19,
2020,3,10,"1,016",604,51,135,58,56,68,24,20,
2020,3,20,"1,627",743,118,278,144,124,117,35,68,
2020,3,30,"1,442",701,113,199,100,96,121,58,54,
2020,3,40,"2,263","1,110",153,322,153,168,184,86,87,
2020,3,50,"4,450","1,533",440,748,419,385,430,222,273,
2020,3,60,"5,158","1,423",525,937,486,501,599,300,387,
2020,3,70,"4,034","1,056",462,672,368,415,504,272,285,
2020,3,80,"2,576",607,346,399,237,302,353,179,153,
2020,3,90,305,81,45,32,36,27,39,21,24,
2020,3,100,14,7,2,1,0,3,1,0,0,
2020,4,총,"23,534","8,292","2,284","3,817","2,037","2,080","2,449","1,209","1,366",
2020,4,0,724,452,35,94,38,25,45,17,18,
2020,4,10,"1,006",598,51,137,55,53,67,24,21,
2020,4,20,"1,597",734,111,276,141,124,113,31,67,
2020,4,30,"1,419",694,111,193,97,93,118,58,55,
2020,4,40,"2,257","1,111",150,324,158,162,184,82,86,
2020,4,50,"4,411","1,528",445,744,410,375,421,220,268,
2020,4,60,"5,171","1,422",525,935,496,501,596,307,389,
2020,4,70,"4,046","1,053",459,681,367,417,513,270,286,
2020,4,80,"2,579",613,349,399,239,300,349,179,151,
2020,4,90,310,80,46,33,36,27,42,21,25,
2020,4,100,14,7,2,1,0,3,1,0,0,
2020,5,총,"23,477","8,278","2,274","3,812","2,039","2,065","2,439","1,209","1,361",
2020,5,0,721,448,36,92,38,25,46,18,18,
2020,5,10,991,589,52,137,53,50,65,24,21,
2020,5,20,"1,589",737,110,274,139,119,113,30,67,
2020,5,30,"1,411",695,107,194,99,91,113,58,54,
2020,5,40,"2,232","1,102",147,320,157,157,182,82,85,
2020,5,50,"4,389","1,518",446,737,419,373,416,217,263,
2020,5,60,"5,174","1,427",522,936,492,506,596,306,389,
2020,5,70,"4,047","1,060",454,683,366,410,517,268,289,
2020,5,80,"2,591",615,352,404,238,303,347,183,149,
2020,5,90,318,80,46,34,38,28,43,23,26,
2020,5,100,14,7,2,1,0,3,1,0,0,
2020,6,총,"23,451","8,268","2,289","3,800","2,047","2,053","2,431","1,207","1,356",
2020,6,0,721,449,37,91,38,24,47,17,18,
2020,6,10,985,587,53,134,53,49,64,24,21,
2020,6,20,"1,574",733,110,274,144,113,110,29,61,
2020,6,30,"1,390",675,110,192,100,89,112,56,56,
2020,6,40,"2,229","1,108",148,317,154,156,183,80,83,
2020,6,50,"4,367","1,512",448,726,418,370,411,219,263,
2020,6,60,"5,213","1,441",526,944,498,508,598,308,390,
2020,6,70,"4,050","1,059",456,686,364,407,521,268,289,
2020,6,80,"2,588",616,353,399,240,305,342,183,150,
2020,6,90,318,81,46,36,38,29,40,23,25,
2020,6,100,16,7,2,1,0,3,3,0,0,
2020,7,총,"23,437","8,272","2,296","3,792","2,048","2,043","2,428","1,205","1,353",
2020,7,0,714,444,36,92,42,23,44,16,17,
2020,7,10,991,593,52,132,53,48,66,24,23,
2020,7,20,"1,546",721,112,271,138,114,103,28,59,
2020,7,30,"1,389",676,109,190,101,86,115,55,57,
