년도,월,나이,화천군,화천읍,간동면,하남면,상서면,사내면
2020,1,총,"13,426","4,434","1,488","1,523","2,559","3,422"
2020,1,0,936,386,33,73,145,299
2020,1,10,973,403,89,156,97,228
2020,1,20,"2,709",755,214,151,899,690
2020,1,30,"1,648",579,79,134,341,515
2020,1,40,"1,541",613,129,226,202,371
2020,1,50,"2,176",730,347,314,288,497
2020,1,60,"1,848",516,313,246,315,458
2020,1,70,"1,086",308,192,156,177,253
2020,1,80,457,133,83,60,87,94
2020,1,90,45,10,8,5,7,15
2020,1,100,7,1,1,2,1,2
2020,2,총,"13,334","4,394","1,473","1,522","2,542","3,403"
2020,2,0,911,378,32,71,142,288
2020,2,10,966,405,86,154,95,226
2020,2,20,"2,653",726,209,150,879,689
2020,2,30,"1,639",577,76,131,352,503
2020,2,40,"1,539",613,123,232,198,373
2020,2,50,"2,170",734,343,311,289,493
2020,2,60,"1,861",513,315,249,317,467
2020,2,70,"1,085",306,196,157,176,250
2020,2,80,456,131,84,59,86,96
2020,2,90,47,10,8,6,7,16
2020,2,100,7,1,1,2,1,2
2020,3,총,"13,333","4,393","1,469","1,522","2,545","3,404"
2020,3,0,921,378,32,74,143,294
2020,3,10,948,398,84,150,95,221
2020,3,20,"2,654",730,206,153,874,691
2020,3,30,"1,627",578,78,129,352,490
2020,3,40,"1,538",612,118,230,198,380
2020,3,50,"2,174",733,345,311,290,495
2020,3,60,"1,870",517,319,249,322,463
2020,3,70,"1,082",305,194,156,175,252
2020,3,80,463,131,84,61,87,100
2020,3,90,49,10,8,7,8,16
2020,3,100,7,1,1,2,1,2
2020,4,총,"13,318","4,402","1,473","1,511","2,544","3,388"
2020,4,0,921,380,31,73,144,293
2020,4,10,932,389,82,147,96,218
2020,4,20,"2,646",741,207,154,865,679
2020,4,30,"1,639",580,81,129,358,491
2020,4,40,"1,517",610,115,221,195,376
2020,4,50,"2,173",735,346,311,290,491
2020,4,60,"1,883",518,323,250,326,466
2020,4,70,"1,086",308,194,156,174,254
2020,4,80,462,128,84,61,87,102
2020,4,90,52,12,9,7,8,16
2020,4,100,7,1,1,2,1,2
2020,5,총,"13,336","4,386","1,472","1,510","2,556","3,412"
2020,5,0,923,374,31,74,146,298
2020,5,10,930,390,81,145,95,219
2020,5,20,"2,656",737,211,153,870,685
2020,5,30,"1,647",577,83,128,360,499
2020,5,40,"1,509",606,111,219,198,375
2020,5,50,"2,166",732,344,312,289,489
2020,5,60,"1,900",521,324,254,327,474
2020,5,70,"1,082",307,194,155,172,254
2020,5,80,463,129,83,60,89,102
2020,5,90,53,12,9,8,9,15
2020,5,100,7,1,1,2,1,2
2020,6,총,"13,372","4,404","1,474","1,514","2,556","3,424"
2020,6,0,927,374,31,74,148,300
2020,6,10,926,393,79,143,94,217
2020,6,20,"2,650",740,214,155,855,686
2020,6,30,"1,657",577,81,127,369,503
2020,6,40,"1,510",610,106,220,200,374
2020,6,50,"2,152",724,341,308,286,493
2020,6,60,"1,945",538,334,261,330,482
2020,6,70,"1,079",304,192,157,175,251
2020,6,80,467,131,86,60,89,101
2020,6,90,52,12,9,7,9,15
2020,6,100,7,1,1,2,1,2
2020,7,총,"13,421","4,415","1,467","1,508","2,576","3,455"
2020,7,0,927,374,30,73,146,304
2020,7,10,925,398,73,144,93,217
2020,7,20,"2,677",740,217,153,868,699
2020,7,30,"1,662",577,82,124,376,503
2020,7,40,"1,510",608,104,221,202,375
2020,7,50,"2,152",724,339,302,288,499
2020,7,60,"1,959",544,333,263,330,489
2020,7,70,"1,075",305,191,155,175,249
2020,7,80,473,132,87,64,88,102
2020,7,90,54,12,10,7,9,16
2020,7,100,7,1,1,2,1,2
2020,8,총,"13,440","4,391","1,466","1,509","2,606","3,468"
2020,8,0,928,368,32,74,148,306
2020,8,10,926,403,72,142,92,217
2020,8,20,"2,684",719,215,151,898,701
2020,8,30,"1,670",583,82,125,372,508
2020,8,40,"1,504",598,105,219,208,374
2020,8,50,"2,147",723,337,307,284,496
2020,8,60,"1,972",548,335,264,332,493
2020,8,70,"1,075",305,191,153,172,254
2020,8,80,472,131,85,65,90,101
2020,8,90,55,12,11,7,9,16
2020,8,100,7,1,1,2,1,2
2020,9,총,"13,458","4,403","1,458","1,512","2,601","3,484"
2020,9,0,922,362,32,74,147,307
2020,9,10,921,404,70,142,89,216
2020,9,20,"2,691",726,210,149,903,703
2020,9,30,"1,679",583,84,126,371,515
2020,9,40,"1,499",600,104,221,204,370
2020,9,50,"2,143",724,337,305,282,495
2020,9,60,"1,989",553,336,265,333,502
2020,9,70,"1,076",303,189,154,173,257
2020,9,80,475,135,83,67,89,101
2020,9,90,56,12,12,7,9,16
2020,9,100,7,1,1,2,1,2
2020,10,총,"13,503","4,406","1,453","1,502","2,632","3,510"
2020,10,0,913,359,31,70,147,306
2020,10,10,917,406,69,142,85,215
2020,10,20,"2,740",733,206,149,937,715
2020,10,30,"1,682",577,83,125,371,526
2020,10,40,"1,496",605,104,212,202,373
2020,10,50,"2,143",721,339,305,283,495
2020,10,60,"1,999",553,337,269,334,506
2020,10,70,"1,068",301,187,152,174,254
2020,10,80,479,136,83,69,89,102
2020,10,90,59,14,13,7,9,16
2020,10,100,7,1,1,2,1,2
2020,11,총,"13,488","4,407","1,449","1,508","2,623","3,501"
2020,11,0,903,363,30,69,141,300
2020,11,10,913,403,69,141,84,216
2020,11,20,"2,745",736,205,152,942,710
2020,11,30,"1,672",574,83,127,361,527
2020,11,40,"1,489",603,105,213,201,367
2020,11,50,"2,140",718,336,305,286,495
2020,11,60,"2,011",559,339,270,334,509
2020,11,70,"1,074",304,188,153,175,254
2020,11,80,473,132,79,69,89,104
2020,11,90,61,14,14,7,9,17
2020,11,100,7,1,1,2,1,2
2020,12,총,"13,472","4,397","1,442","1,514","2,620","3,499"
2020,12,0,899,363,29,68,139,300
2020,12,10,905,402,67,137,83,216
2020,12,20,"2,734",733,203,152,939,707
2020,12,30,"1,667",566,82,128,360,531
2020,12,40,"1,488",604,107,213,201,363
2020,12,50,"2,126",719,330,301,284,492
2020,12,60,"2,039",559,342,282,342,514
2020,12,70,"1,074",302,190,154,175,253
2020,12,80,474,134,78,70,87,105
2020,12,90,59,14,13,7,9,16
2020,12,100,7,1,1,2,1,2
2021,1,총,"13,412","4,387","1,436","1,514","2,603","3,472"
2021,1,0,897,361,29,70,141,296
2021,1,10,901,396,66,139,80,220
2021,1,20,"2,703",745,199,147,925,687
2021,1,30,"1,666",556,82,129,364,535
2021,1,40,"1,477",601,107,214,198,357
2021,1,50,"2,108",714,329,301,278,486
2021,1,60,"2,059",567,343,281,351,517
2021,1,70,"1,058",299,189,151,169,250
2021,1,80,478,133,77,73,88,107
2021,1,90,58,14,14,7,8,15
2021,1,100,7,1,1,2,1,2
2021,2,총,"13,377","4,370","1,436","1,512","2,582","3,477"
2021,2,0,908,359,28,71,139,311
2021,2,10,886,386,69,136,81,214
2021,2,20,"2,678",738,199,144,913,684
2021,2,30,"1,668",556,82,131,363,536
2021,2,40,"1,468",596,107,212,195,358
2021,2,50,"2,091",712,324,302,271,482
2021,2,60,"2,068",574,345,277,351,521
2021,2,70,"1,062",299,187,157,171,248
2021,2,80,484,135,80,73,90,106
2021,2,90,56,14,14,6,7,15
2021,2,100,8,1,1,3,1,2
2021,3,총,"13,313","4,361","1,429","1,495","2,558","3,470"
2021,3,0,898,356,27,71,135,309
2021,3,10,879,378,68,136,79,218
2021,3,20,"2,645",725,197,140,905,678
2021,3,30,"1,672",560,80,132,357,543
2021,3,40,"1,458",594,107,210,196,351
2021,3,50,"2,079",710,324,294,273,478
2021,3,60,"2,090",584,348,281,349,528
2021,3,70,"1,052",306,182,153,168,243
2021,3,80,484,137,82,70,88,107
2021,3,90,51,11,13,6,7,14
2021,3,100,5,0,1,2,1,1
2021,4,총,"13,278","4,354","1,431","1,490","2,535","3,468"
2021,4,0,891,357,27,69,127,311
2021,4,10,876,375,69,133,82,217
2021,4,20,"2,625",712,194,141,906,672
2021,4,30,"1,665",562,77,133,347,546
2021,4,40,"1,449",593,107,207,193,349
2021,4,50,"2,074",706,327,294,272,475
2021,4,60,"2,113",593,353,284,349,534
2021,4,70,"1,044",303,183,153,163,242
2021,4,80,487,142,80,68,88,109
2021,4,90,50,11,13,6,8,12
2021,4,100,4,0,1,2,0,1
2021,5,총,"13,252","4,350","1,437","1,500","2,513","3,452"
2021,5,0,892,357,27,73,123,312
2021,5,10,868,370,70,134,80,214
2021,5,20,"2,590",708,189,140,893,660
2021,5,30,"1,655",559,78,131,346,541
2021,5,40,"1,452",595,108,207,193,349
2021,5,50,"2,070",697,333,297,272,471
2021,5,60,"2,145",609,357,290,349,540
2021,5,70,"1,028",300,181,148,158,241
2021,5,80,495,142,79,72,91,111
2021,5,90,53,13,14,6,8,12
2021,5,100,4,0,1,2,0,1
2021,6,총,"13,266","4,370","1,441","1,499","2,510","3,446"
2021,6,0,888,356,27,74,123,308
2021,6,10,873,373,70,135,78,217
2021,6,20,"2,601",711,192,141,893,664
2021,6,30,"1,650",562,76,127,348,537
2021,6,40,"1,440",597,104,203,188,348
2021,6,50,"2,062",695,338,292,268,469
2021,6,60,"2,172",617,360,299,354,542
2021,6,70,"1,024",301,180,148,159,236
2021,6,80,500,145,80,72,91,112
2021,6,90,51,12,13,6,8,12
2021,6,100,5,1,1,2,0,1
2021,7,총,"13,246","4,354","1,449","1,493","2,507","3,443"
2021,7,0,892,352,26,75,128,311
2021,7,10,866,375,66,132,77,216
2021,7,20,"2,579",709,196,141,880,653
2021,7,30,"1,651",558,77,121,353,542
2021,7,40,"1,442",590,110,203,188,351
2021,7,50,"2,044",685,337,291,266,465
2021,7,60,"2,198",627,365,302,359,545
2021,7,70,"1,010",296,176,146,157,235
2021,7,80,506,149,82,74,91,110
2021,7,90,53,12,13,6,8,14
2021,7,100,5,1,1,2,0,1
2021,8,총,"13,223","4,356","1,441","1,485","2,504","3,437"
2021,8,0,894,353,28,74,129,310
2021,8,10,854,370,66,125,77,216
2021,8,20,"2,567",711,193,142,874,647
2021,8,30,"1,656",555,79,123,356,543
2021,8,40,"1,434",589,109,200,186,350
2021,8,50,"2,036",683,330,291,268,464
2021,8,60,"2,207",635,364,302,360,546
