년도,월,나이,파주시,문산읍,파주읍,법원읍,조리읍,월롱면,탄현면,광탄면,파평면,적성면,군내면,장단출장소,장단면,진동면,진서면,금촌1동,금촌2동,금촌3동,교하동,운정1동,운정2동,운정3동
2020,1,총,"223,503","23,900","6,166","5,224","14,973","3,466","6,246","5,330","1,895","3,546",0.0,282.0,0,70.0,0.0,"10,713","17,322","13,394","20,305","22,894","30,857","36,920"
2020,1,0,"22,087","2,661",261,194,959,105,356,256,51,290,0.0,14.0,0,5.0,0.0,618,"1,825","1,283","2,028","2,611","4,404","4,166"
2020,1,10,"23,469","2,278",381,360,"1,464",126,513,323,102,244,0.0,22.0,0,6.0,0.0,735,"2,159","1,344","2,676","2,927","3,594","4,215"
2020,1,20,"26,194","2,676",583,545,"1,736","1,006",667,505,147,362,0.0,30.0,0,0.0,0.0,"1,555","2,123","1,766","2,009","2,603","3,500","4,381"
2020,1,30,"31,481","3,602",577,414,"1,462",396,642,437,135,386,0.0,24.0,0,4.0,0.0,"1,246","2,449","1,797","2,738","3,448","5,795","5,929"
2020,1,40,"38,449","3,519",718,594,"2,255",297,966,589,151,369,0.0,23.0,0,10.0,0.0,"1,581","3,271","2,101","4,194","4,510","5,961","7,340"
2020,1,50,"33,191","3,318","1,087","1,029","2,833",515,"1,091","1,079",351,575,0.0,50.0,0,8.0,0.0,"1,872","2,488","2,199","2,914","3,229","3,439","5,114"
2020,1,60,"23,002","2,582","1,060",891,"2,065",487,914,944,371,556,0.0,43.0,0,16.0,0.0,"1,504","1,393","1,433","1,816","1,858","2,107","2,962"
2020,1,70,"15,724","1,984",854,699,"1,350",276,608,623,320,492,0.0,51.0,0,14.0,0.0,"1,003","1,026",919,"1,153","1,100","1,391","1,861"
2020,1,80,"8,323","1,101",526,422,724,218,388,461,214,221,0.0,24.0,0,7.0,0.0,505,495,482,630,508,571,826
2020,1,90,"1,458",165,90,66,115,38,93,102,48,51,0.0,1.0,0,0.0,0.0,85,83,70,138,94,95,124
2020,1,100,125,14,29,10,10,2,8,11,5,0,0.0,0.0,0,0.0,0.0,9,10,0,9,6,0,2
2020,2,총,"223,418","23,814","6,161","5,194","14,957","3,446","6,228","5,313","1,906","3,536",0.0,282.0,0,71.0,0.0,"10,721","17,316","13,383","20,192","22,934","30,917","37,047"
2020,2,0,"22,020","2,643",257,192,956,103,352,257,52,288,0.0,13.0,0,3.0,0.0,618,"1,807","1,271","2,010","2,609","4,432","4,157"
2020,2,10,"23,384","2,270",377,356,"1,442",126,513,321,99,237,0.0,23.0,0,8.0,0.0,731,"2,145","1,331","2,643","2,916","3,620","4,226"
2020,2,20,"26,146","2,649",587,543,"1,736",981,667,503,150,362,0.0,29.0,0,0.0,0.0,"1,564","2,134","1,763","2,000","2,597","3,475","4,406"
2020,2,30,"31,270","3,571",571,403,"1,458",392,628,430,133,383,0.0,25.0,0,4.0,0.0,"1,245","2,432","1,777","2,696","3,432","5,780","5,910"
2020,2,40,"38,494","3,504",707,590,"2,248",296,967,583,157,371,0.0,23.0,0,10.0,0.0,"1,586","3,268","2,115","4,184","4,533","5,972","7,380"
