년도,월,나이,울진군,울진읍,평해읍,북면,북면하당출장소,근남면,기성면,온정면,죽변면,후포면,금강송면,매화면
2020,1,총,"49,188","14,205","2,934","6,570",725,"2,788","2,627","1,775","6,624","7,598","1,282","2,060"
2020,1,0,"3,013","1,157",72,755,9,123,61,49,344,372,22,49
2020,1,10,"3,962","1,746",268,466,33,135,104,75,418,592,39,86
2020,1,20,"4,556","1,544",188,756,53,198,191,112,708,655,46,105
2020,1,30,"4,533","1,503",163,"1,121",22,182,124,72,652,561,50,83
2020,1,40,"6,512","2,401",258,926,73,320,174,162,902,987,136,173
2020,1,50,"8,813","2,368",486,"1,036",154,515,496,285,"1,311","1,499",308,355
2020,1,60,"7,749","1,663",533,724,133,521,548,352,"1,088","1,486",273,428
2020,1,70,"5,730","1,062",537,466,136,412,457,360,735,955,231,379
2020,1,80,"3,719",647,362,277,99,329,396,271,414,422,158,344
2020,1,90,582,112,64,39,13,52,74,37,48,68,18,57
2020,1,100,19,2,3,4,0,1,2,0,4,1,1,1
2020,2,총,"49,049","14,166","2,908","6,566",716,"2,792","2,617","1,768","6,590","7,571","1,286","2,069"
2020,2,0,"2,989","1,151",69,750,9,125,59,48,338,367,24,49
2020,2,10,"3,935","1,732",262,463,30,135,103,73,420,591,40,86
2020,2,20,"4,481","1,522",187,743,50,195,187,111,696,640,44,106
2020,2,30,"4,507","1,489",157,"1,127",23,187,124,70,642,555,48,85
2020,2,40,"6,493","2,409",254,927,68,318,174,161,892,977,137,176
2020,2,50,"8,780","2,357",483,"1,042",155,516,488,283,"1,304","1,490",304,358
2020,2,60,"7,794","1,663",539,731,135,521,551,354,"1,092","1,495",283,430
2020,2,70,"5,732","1,073",532,464,132,407,456,360,740,962,227,379
2020,2,80,"3,737",655,361,278,101,332,399,273,412,423,160,343
2020,2,90,581,113,61,37,13,55,74,35,50,70,17,56
2020,2,100,20,2,3,4,0,1,2,0,4,1,2,1
2020,3,총,"48,957","14,112","2,896","6,629",709,"2,778","2,609","1,771","6,539","7,574","1,280","2,060"
2020,3,0,"2,975","1,146",72,764,6,123,58,46,319,369,24,48
2020,3,10,"3,892","1,714",255,463,30,130,103,66,420,583,41,87
2020,3,20,"4,509","1,521",183,761,48,199,182,117,698,657,43,100
2020,3,30,"4,455","1,472",161,"1,141",25,184,125,69,605,545,46,82
2020,3,40,"6,435","2,384",249,926,64,311,174,162,880,977,133,175
2020,3,50,"8,756","2,369",481,"1,050",152,510,483,281,"1,306","1,468",298,358
2020,3,60,"7,846","1,660",539,733,138,523,550,360,"1,106","1,517",290,430
2020,3,70,"5,723","1,076",528,466,128,409,462,354,732,961,228,379
2020,3,80,"3,755",654,363,282,104,331,397,279,418,427,159,341
2020,3,90,591,114,62,39,14,57,73,37,51,69,16,59
2020,3,100,20,2,3,4,0,1,2,0,4,1,2,1
2020,4,총,"48,834","14,080","2,883","6,638",709,"2,769","2,604","1,766","6,505","7,548","1,277","2,055"
2020,4,0,"2,949","1,137",66,761,6,120,58,46,307,374,24,50
2020,4,10,"3,874","1,696",249,471,30,133,101,67,420,576,41,90
2020,4,20,"4,489","1,527",184,743,45,201,185,116,703,647,40,98
2020,4,30,"4,418","1,466",160,"1,149",26,175,124,66,582,542,46,82
2020,4,40,"6,395","2,375",247,930,63,304,172,157,873,972,128,174
2020,4,50,"8,727","2,372",483,"1,055",152,516,476,281,"1,294","1,443",298,357
2020,4,60,"7,873","1,658",539,739,139,520,553,362,"1,121","1,524",294,424
2020,4,70,"5,721","1,077",526,458,127,412,457,354,734,971,228,377
2020,4,80,"3,773",655,365,288,109,330,399,280,417,428,159,343
2020,4,90,596,115,62,40,12,57,77,37,50,70,17,59
2020,4,100,19,2,2,4,0,1,2,0,4,1,2,1
2020,5,총,"48,815","14,077","2,896","6,652",707,"2,758","2,594","1,762","6,523","7,514","1,281","2,051"
2020,5,0,"2,956","1,129",68,770,6,122,58,46,312,370,23,52
2020,5,10,"3,845","1,684",255,467,27,129,100,64,418,569,43,89
2020,5,20,"4,494","1,538",187,745,47,202,184,117,704,635,42,93
2020,5,30,"4,406","1,454",157,"1,150",26,172,122,66,589,539,45,86
2020,5,40,"6,376","2,387",252,939,63,295,169,154,867,956,125,169
2020,5,50,"8,693","2,363",476,"1,046",151,515,467,279,"1,299","1,442",297,358
2020,5,60,"7,905","1,667",544,741,141,524,557,364,"1,125","1,523",297,422
2020,5,70,"5,742","1,085",525,463,128,408,457,352,736,979,228,381
2020,5,80,"3,782",652,370,287,104,333,402,283,420,429,161,341
