년도,월,나이,경상남도 창녕군,경상남도 창녕군 창녕읍,경상남도 창녕군 남지읍,경상남도 창녕군 고암면,경상남도 창녕군 성산면,경상남도 창녕군 대합면,경상남도 창녕군 이방면,경상남도 창녕군 유어면,경상남도 창녕군 대지면,경상남도 창녕군 계성면,경상남도 창녕군 영산면,경상남도 창녕군 장마면,경상남도 창녕군 도천면,경상남도 창녕군 길곡면,경상남도 창녕군 부곡면
2020,3,총,"31,133","8,695","6,128","1,033",853,"1,886","1,340",927,"1,248","1,198","2,803",959,"1,430",768,"1,865"
2020,3,0,"1,695",700,493,35,13,59,35,17,60,34,116,17,48,18,50
2020,3,10,"1,966",772,422,47,17,61,150,35,76,36,157,22,86,23,62
2020,3,20,"2,179",810,427,50,41,95,59,38,78,74,207,34,108,41,117
2020,3,30,"2,441",918,625,43,44,103,61,33,90,58,191,45,78,32,120
2020,3,40,"3,135","1,130",731,55,65,150,64,56,120,83,289,57,143,54,138
2020,3,50,"5,285","1,428","1,053",159,148,289,215,125,182,203,564,161,243,161,354
2020,3,60,"5,849","1,337","1,046",174,196,398,280,214,246,253,563,193,308,185,456
2020,3,70,"4,598",880,749,236,146,398,241,226,211,231,406,225,219,120,310
2020,3,80,"3,451",634,503,196,166,289,214,152,158,192,267,179,165,112,224
2020,3,90,511,83,74,38,16,43,19,31,23,32,43,26,30,22,31
2020,3,100,23,3,5,0,1,1,2,0,4,2,0,0,2,0,3
2020,4,총,"31,119","8,674","6,142","1,036",850,"1,883","1,332",928,"1,250","1,205","2,798",953,"1,434",767,"1,867"
2020,4,0,"1,697",693,489,37,13,59,35,18,63,35,115,18,52,18,52
2020,4,10,"1,945",768,424,47,14,61,144,36,73,36,153,21,87,22,59
2020,4,20,"2,175",813,422,49,41,94,59,38,81,76,207,35,105,40,115
2020,4,30,"2,423",912,618,43,45,103,61,34,90,56,187,45,76,33,120
2020,4,40,"3,145","1,133",739,53,65,150,64,55,119,87,289,57,144,50,140
2020,4,50,"5,267","1,415","1,057",159,147,286,214,123,182,205,567,157,241,162,352
2020,4,60,"5,857","1,334","1,055",176,196,395,278,217,244,253,559,193,311,185,461
2020,4,70,"4,605",890,753,235,147,397,236,224,214,230,407,221,218,123,310
2020,4,80,"3,459",627,507,198,164,290,218,153,155,191,273,181,165,112,225
2020,4,90,523,85,73,39,18,47,20,30,25,34,41,25,33,22,31
2020,4,100,23,4,5,0,0,1,3,0,4,2,0,0,2,0,2
2020,5,총,"31,118","8,677","6,147","1,043",847,"1,888","1,325",932,"1,246","1,202","2,785",957,"1,434",766,"1,869"
2020,5,0,"1,694",697,481,41,14,60,32,19,64,34,114,18,52,17,51
2020,5,10,"1,941",762,426,48,15,62,146,36,71,38,150,21,86,22,58
2020,5,20,"2,147",801,412,48,40,97,54,39,82,71,206,34,104,39,120
2020,5,30,"2,405",913,609,46,42,102,59,34,88,57,183,46,76,30,120
2020,5,40,"3,169","1,144",753,52,65,151,63,56,118,89,289,59,143,52,135
2020,5,50,"5,266","1,419","1,058",160,148,283,214,125,183,201,561,154,244,161,355
2020,5,60,"5,857","1,332","1,064",176,194,395,279,215,240,254,559,197,306,186,460
2020,5,70,"4,614",887,752,235,149,396,238,223,217,231,410,222,221,123,310
2020,5,80,"3,471",632,513,198,162,293,216,155,153,190,272,181,165,114,227
2020,5,90,530,86,73,39,18,48,21,30,26,35,41,25,35,22,31
2020,5,100,24,4,6,0,0,1,3,0,4,2,0,0,2,0,2
2020,6,총,"31,117","8,675","6,143","1,043",844,"1,888","1,331",934,"1,242","1,204","2,792",957,"1,434",768,"1,862"
2020,6,0,"1,669",692,474,40,13,57,32,19,62,32,113,18,51,17,49
2020,6,10,"1,935",756,431,47,14,63,147,36,70,39,150,21,84,21,56
