년도,월,나이,청도군,화양읍,화양읍남성현출장소,청도읍,청도읍유호출장소,각남면,풍각면,각북면,이서면,운문면,금천면,매전면
2020,1,총,"21,865","3,712",568,"5,349",841,"1,143","2,045","1,143","2,400","1,079","1,675","1,910"
2020,1,0,769,224,25,252,22,20,63,28,65,13,23,34
2020,1,10,"1,198",354,5,376,22,48,96,46,135,22,45,49
2020,1,20,"1,258",266,22,394,34,48,102,55,137,53,75,72
2020,1,30,"1,405",341,50,427,38,49,118,52,145,52,70,63
2020,1,40,"2,027",499,32,623,55,76,147,79,225,86,104,101
2020,1,50,"3,644",630,84,872,142,177,361,224,389,189,252,324
2020,1,60,"4,656",595,140,"1,042",224,255,465,254,544,234,415,488
2020,1,70,"3,559",423,109,742,171,239,346,216,367,217,340,389
2020,1,80,"2,884",323,87,541,110,197,311,162,325,185,300,343
2020,1,90,444,51,13,76,23,34,33,27,65,28,48,46
2020,1,100,21,6,1,4,0,0,3,0,3,0,3,1
2020,2,총,"21,833","3,702",570,"5,331",837,"1,155","2,040","1,141","2,390","1,077","1,679","1,911"
2020,2,0,772,228,26,249,22,22,62,28,66,14,22,33
2020,2,10,"1,188",349,5,372,21,49,96,46,134,21,45,50
2020,2,20,"1,233",259,22,385,34,49,97,55,135,53,75,69
2020,2,30,"1,407",338,50,424,36,52,119,51,147,55,69,66
2020,2,40,"2,028",505,33,614,54,79,147,79,223,83,106,105
2020,2,50,"3,635",627,84,878,143,175,358,227,385,187,251,320
2020,2,60,"4,654",593,140,"1,042",225,259,466,250,544,236,417,482
2020,2,70,"3,557",423,106,745,168,239,344,218,364,214,343,393
2020,2,80,"2,887",322,88,540,111,197,314,162,323,188,296,346
2020,2,90,451,52,15,78,23,34,34,25,66,26,52,46
2020,2,100,21,6,1,4,0,0,3,0,3,0,3,1
2020,3,총,"21,751","3,705",565,"5,325",836,"1,148","2,024","1,131","2,370","1,077","1,669","1,901"
2020,3,0,774,227,26,249,23,22,61,28,67,15,22,34
2020,3,10,"1,169",345,5,371,20,47,94,46,127,19,46,49
2020,3,20,"1,214",263,22,385,35,47,93,49,130,55,70,65
2020,3,30,"1,394",343,49,417,37,49,115,48,146,54,67,69
2020,3,40,"2,017",502,33,617,55,79,143,79,217,83,104,105
2020,3,50,"3,597",626,82,874,139,172,353,224,374,188,248,317
2020,3,60,"4,662",596,141,"1,038",227,258,468,254,548,233,417,482
2020,3,70,"3,565",424,104,749,168,244,348,215,366,211,344,392
2020,3,80,"2,890",322,89,542,110,197,312,165,323,192,295,343
2020,3,90,450,52,13,80,22,33,34,23,69,27,53,44
2020,3,100,19,5,1,3,0,0,3,0,3,0,3,1
2020,4,총,"21,747","3,681",560,"5,320",839,"1,139","2,040","1,136","2,360","1,091","1,672","1,909"
2020,4,0,772,224,24,248,25,20,67,28,66,14,22,34
2020,4,10,"1,165",344,6,371,20,47,95,44,124,17,47,50
2020,4,20,"1,192",255,21,380,33,42,95,49,128,58,66,65
2020,4,30,"1,384",336,46,417,39,48,118,51,142,52,65,70
2020,4,40,"2,021",502,33,618,54,78,147,78,216,94,100,101
2020,4,50,"3,597",621,80,872,136,171,345,227,374,191,258,322
2020,4,60,"4,675",596,141,"1,046",231,260,469,256,547,232,415,482
2020,4,70,"3,572",423,106,747,168,243,352,216,364,211,347,395
2020,4,80,"2,902",326,89,539,111,199,314,163,327,195,294,345
2020,4,90,449,49,13,79,22,31,35,24,70,27,55,44
2020,4,100,18,5,1,3,0,0,3,0,2,0,3,1
2020,5,총,"21,738","3,678",564,"5,316",838,"1,128","2,034","1,139","2,360","1,093","1,676","1,912"
2020,5,0,769,222,24,249,26,21,65,28,64,14,22,34
2020,5,10,"1,151",343,5,368,18,43,96,43,123,15,46,51
2020,5,20,"1,196",258,22,377,33,41,93,53,127,59,68,65
2020,5,30,"1,368",329,49,413,39,48,116,51,140,52,64,67
2020,5,40,"2,018",498,33,624,53,72,147,75,216,98,100,102
2020,5,50,"3,597",620,81,873,135,169,341,229,379,193,254,323
2020,5,60,"4,690",603,141,"1,046",231,264,473,255,545,230,420,482
2020,5,70,"3,574",422,106,748,168,242,347,218,368,213,347,395
2020,5,80,"2,896",327,89,537,113,194,316,162,326,191,297,344
2020,5,90,460,51,13,78,21,34,37,25,70,28,55,48
2020,5,100,19,5,1,3,1,0,3,0,2,0,3,1
2020,6,총,"21,696","3,678",563,"5,296",838,"1,134","2,025","1,136","2,351","1,095","1,668","1,912"
2020,6,0,765,223,25,248,26,20,65,27,63,13,22,33
2020,6,10,"1,135",340,5,360,18,41,96,43,122,13,45,52
2020,6,20,"1,192",258,23,375,32,45,88,52,125,60,70,64
2020,6,30,"1,359",331,48,412,40,45,117,50,138,49,63,66
2020,6,40,"1,997",491,32,616,52,73,145,74,215,100,96,103
2020,6,50,"3,572",618,81,869,134,169,337,226,376,195,254,313
2020,6,60,"4,704",608,141,"1,044",233,268,468,254,544,230,419,495
2020,6,70,"3,597",430,106,749,167,243,351,222,372,215,345,397
2020,6,80,"2,899",324,88,541,114,196,319,163,324,192,296,342
2020,6,90,457,50,13,79,21,34,36,25,70,28,54,47
2020,6,100,19,5,1,3,1,0,3,0,2,0,4,0
2020,7,총,"21,653","3,702",560,"5,278",836,"1,129","2,028","1,133","2,339","1,094","1,656","1,898"
2020,7,0,763,226,25,242,25,20,66,28,64,13,22,32
2020,7,10,"1,129",341,5,356,18,41,95,42,122,15,43,51
2020,7,20,"1,169",255,22,374,32,44,85,48,118,59,69,63
2020,7,30,"1,361",341,46,408,38,46,117,50,140,49,62,64
2020,7,40,"1,977",491,32,614,51,74,140,76,206,99,95,99
2020,7,50,"3,570",623,83,868,133,165,346,219,371,197,251,314
2020,7,60,"4,703",609,140,"1,044",237,265,469,259,547,230,412,491
2020,7,70,"3,599",434,106,749,165,243,348,224,370,215,351,394
2020,7,80,"2,905",326,87,542,116,196,322,160,330,190,292,344
2020,7,90,459,51,13,78,21,35,37,27,69,27,55,46
2020,7,100,18,5,1,3,0,0,3,0,2,0,4,0
2020,8,총,"21,617","3,717",556,"5,253",833,"1,125","2,024","1,132","2,338","1,088","1,657","1,894"
2020,8,0,755,226,24,236,25,21,67,28,61,12,22,33
2020,8,10,"1,124",341,5,353,18,40,95,40,124,14,43,51
2020,8,20,"1,163",254,23,369,32,45,82,49,118,59,69,63
2020,8,30,"1,355",346,44,404,39,44,117,50,140,47,62,62
2020,8,40,"1,965",488,30,612,50,72,139,76,206,97,95,100
2020,8,50,"3,530",614,82,859,131,163,339,215,369,196,253,309
2020,8,60,"4,737",627,138,"1,049",237,267,470,261,549,232,413,494
2020,8,70,"3,607",437,108,748,165,242,353,224,372,214,349,395
2020,8,80,"2,893",323,87,543,114,194,321,161,328,190,292,340
2020,8,90,470,56,14,77,22,37,38,28,69,27,55,47
2020,8,100,18,5,1,3,0,0,3,0,2,0,4,0
2020,9,총,"21,596","3,697",558,"5,278",830,"1,118","2,022","1,134","2,324","1,082","1,661","1,892"
2020,9,0,763,225,24,240,25,21,71,28,62,11,23,33
2020,9,10,"1,111",333,5,356,17,39,94,40,120,14,43,50
2020,9,20,"1,159",255,23,370,33,44,82,51,112,56,71,62
2020,9,30,"1,354",344,44,405,37,44,117,50,139,48,64,62
2020,9,40,"1,954",479,31,613,51,71,138,75,203,94,96,103
2020,9,50,"3,511",609,81,866,129,158,334,211,366,198,254,305
2020,9,60,"4,757",630,141,"1,053",239,267,469,266,552,232,414,494
2020,9,70,"3,591",437,107,745,164,245,349,224,370,212,345,393
2020,9,80,"2,900",323,87,547,113,192,325,161,328,190,292,342
2020,9,90,478,57,14,80,22,37,40,28,70,27,55,48
2020,9,100,18,5,1,3,0,0,3,0,2,0,4,0
2020,10,총,"21,581","3,696",560,"5,271",832,"1,109","2,023","1,131","2,328","1,078","1,659","1,894"
2020,10,0,763,227,22,244,26,17,71,28,62,11,23,32
2020,10,10,"1,109",329,8,360,17,37,91,41,121,13,43,49
2020,10,20,"1,151",256,24,359,33,42,85,46,117,54,73,62
2020,10,30,"1,338",338,43,400,37,45,118,51,137,46,61,62
2020,10,40,"1,961",480,30,617,52,67,136,76,208,96,97,102
2020,10,50,"3,474",605,80,856,126,159,325,205,364,196,253,305
2020,10,60,"4,784",637,143,"1,060",239,267,479,270,550,232,410,497
2020,10,70,"3,579",435,106,746,164,244,347,225,368,212,345,387
2020,10,80,"2,920",328,89,544,116,194,326,161,330,191,291,350
2020,10,90,484,56,14,82,22,37,42,28,69,27,59,48
2020,10,100,18,5,1,3,0,0,3,0,2,0,4,0
2020,11,총,"21,541","3,675",560,"5,274",836,"1,107","2,014","1,129","2,326","1,077","1,655","1,888"
2020,11,0,749,225,22,236,27,16,71,29,60,11,21,31
2020,11,10,"1,111",326,6,371,17,35,89,40,120,13,44,50
2020,11,20,"1,147",253,25,358,33,44,82,47,116,54,74,61
2020,11,30,"1,326",331,43,398,40,44,113,51,136,46,60,64
2020,11,40,"1,952",478,29,616,52,64,139,75,204,96,98,101
2020,11,50,"3,448",593,81,858,124,157,316,208,368,194,249,300
2020,11,60,"4,811",645,145,"1,060",241,271,486,267,550,233,413,500
2020,11,70,"3,576",438,104,746,163,244,344,226,374,209,343,385
2020,11,80,"2,916",325,89,546,117,196,328,159,326,193,289,348
2020,11,90,486,56,15,82,22,36,43,27,70,28,59,48
2020,11,100,19,5,1,3,0,0,3,0,2,0,5,0
2020,12,총,"21,488","3,661",563,"5,276",835,"1,107","2,007","1,130","2,309","1,074","1,648","1,878"
2020,12,0,747,220,23,239,26,17,68,29,60,11,24,30
2020,12,10,"1,099",327,6,365,17,33,89,38,115,14,44,51
2020,12,20,"1,156",252,28,356,34,46,86,50,116,55,71,62
2020,12,30,"1,302",322,42,398,39,45,113,50,131,43,58,61
2020,12,40,"1,949",480,29,619,53,64,136,74,203,94,98,99
2020,12,50,"3,421",592,81,854,124,156,305,208,367,192,249,293
2020,12,60,"4,813",642,144,"1,066",237,268,495,269,548,239,406,499
2020,12,70,"3,579",440,107,751,164,246,343,224,373,205,345,381
2020,12,80,"2,924",327,86,544,119,195,326,160,327,194,293,353
2020,12,90,478,54,16,81,22,37,43,27,67,27,55,49
2020,12,100,20,5,1,3,0,0,3,1,2,0,5,0
2021,1,총,"21,463","3,655",553,"5,275",830,"1,107","2,000","1,127","2,329","1,059","1,643","1,885"
2021,1,0,737,218,22,234,26,18,66,29,62,11,23,28
2021,1,10,"1,117",329,5,372,17,32,86,35,126,14,44,57
2021,1,20,"1,146",251,28,355,31,46,88,48,114,52,71,62
2021,1,30,"1,286",322,37,393,38,47,113,52,126,41,55,62
2021,1,40,"1,957",478,27,620,54,65,135,72,215,89,100,102
2021,1,50,"3,393",592,81,853,121,155,300,205,361,188,247,290
2021,1,60,"4,829",642,138,"1,067",237,269,504,272,556,235,408,501
2021,1,70,"3,579",439,111,754,164,244,340,226,373,206,341,381
2021,1,80,"2,916",322,87,540,121,192,323,159,327,196,296,353
2021,1,90,484,57,16,84,21,39,42,28,67,27,54,49
2021,1,100,19,5,1,3,0,0,3,1,2,0,4,0
2021,2,총,"21,457","3,663",554,"5,274",833,"1,105","2,001","1,123","2,320","1,055","1,637","1,892"
2021,2,0,725,218,22,230,26,19,62,28,59,11,22,28
2021,2,10,"1,120",336,5,371,19,30,86,35,124,14,44,56
2021,2,20,"1,146",250,29,359,29,46,92,47,112,50,69,63
2021,2,30,"1,266",319,36,380,38,46,109,52,129,39,54,64
2021,2,40,"1,956",477,26,624,57,63,139,71,212,87,97,103
2021,2,50,"3,376",593,82,852,119,156,297,202,355,187,247,286
2021,2,60,"4,852",646,137,"1,072",239,267,504,274,554,239,410,510
2021,2,70,"3,591",440,111,756,167,245,342,226,379,204,341,380
2021,2,80,"2,915",321,88,544,118,194,323,159,324,197,296,351
2021,2,90,490,58,17,82,21,39,44,28,70,27,53,51
2021,2,100,20,5,1,4,0,0,3,1,2,0,4,0
2021,3,총,"21,414","3,664",549,"5,263",826,"1,106","1,991","1,128","2,302","1,059","1,629","1,897"
2021,3,0,716,219,21,226,26,19,61,27,58,13,20,26
2021,3,10,"1,117",332,6,373,18,32,85,37,123,12,45,54
2021,3,20,"1,128",249,29,360,27,44,83,45,108,50,66,67
2021,3,30,"1,259",317,37,373,37,46,115,53,124,40,53,64
2021,3,40,"1,949",482,24,619,57,61,137,73,208,91,95,102
2021,3,50,"3,353",590,83,841,114,154,297,199,351,183,251,290
2021,3,60,"4,851",652,135,"1,077",235,263,500,280,554,239,410,506
2021,3,70,"3,610",442,109,759,173,249,347,226,378,206,339,382
2021,3,80,"2,923",323,89,547,118,197,320,156,326,198,295,354
2021,3,90,499,58,16,84,21,41,45,31,71,27,53,52
2021,3,100,9,0,0,4,0,0,1,1,1,0,2,0
2021,4,총,"21,378","3,665",556,"5,245",827,"1,114","1,987","1,132","2,288","1,056","1,619","1,889"
2021,4,0,702,212,21,221,24,20,60,27,59,13,19,26
2021,4,10,"1,109",336,6,367,19,34,85,37,118,12,43,52
2021,4,20,"1,125",246,32,363,26,44,81,45,108,47,65,68
2021,4,30,"1,239",319,37,358,36,48,116,54,120,41,52,58
2021,4,40,"1,941",485,27,623,54,60,138,72,201,87,92,102
2021,4,50,"3,346",587,79,837,116,158,295,200,351,185,249,289
2021,4,60,"4,850",649,139,"1,083",236,264,499,280,550,239,408,503
2021,4,70,"3,621",449,106,761,175,250,348,224,376,207,341,384
2021,4,80,"2,939",325,93,543,120,195,319,159,335,198,297,355
2021,4,90,496,56,16,85,21,41,45,33,69,27,51,52
2021,4,100,10,1,0,4,0,0,1,1,1,0,2,0
2021,5,총,"21,310","3,666",550,"5,215",821,"1,122","1,974","1,124","2,283","1,055","1,616","1,884"
2021,5,0,703,210,21,220,25,22,58,27,60,13,20,27
2021,5,10,"1,101",334,6,363,18,34,83,37,119,13,43,51
2021,5,20,"1,133",248,31,367,27,44,83,42,110,47,67,67
2021,5,30,"1,218",316,36,352,36,49,113,52,118,39,50,57
2021,5,40,"1,927",488,26,613,49,61,136,71,202,87,93,101
2021,5,50,"3,304",577,75,831,115,159,295,196,343,186,241,286
2021,5,60,"4,847",660,139,"1,073",237,262,497,279,551,236,411,502
2021,5,70,"3,620",449,105,767,172,253,343,225,380,205,335,386
2021,5,80,"2,950",326,95,539,123,197,321,160,330,200,304,355
2021,5,90,497,57,16,86,19,41,44,34,69,29,50,52
2021,5,100,10,1,0,4,0,0,1,1,1,0,2,0
2021,6,총,"21,267","3,665",549,"5,205",817,"1,125","1,971","1,119","2,281","1,050","1,613","1,872"
2021,6,0,700,214,21,215,24,23,58,28,60,12,20,25
2021,6,10,"1,082",330,6,356,17,32,83,38,114,13,42,51
2021,6,20,"1,128",247,31,365,29,46,82,41,110,46,66,65
2021,6,30,"1,216",318,36,354,33,48,116,49,120,41,47,54
2021,6,40,"1,911",486,26,605,48,61,138,70,197,87,94,99
2021,6,50,"3,295",571,74,839,113,160,294,192,344,186,239,283
2021,6,60,"4,854",665,138,"1,075",236,262,493,281,554,232,411,507
2021,6,70,"3,618",447,105,772,174,253,338,223,383,204,340,379
2021,6,80,"2,955",329,95,537,124,198,323,162,327,200,302,358
2021,6,90,500,57,17,85,19,42,45,34,71,29,50,51
2021,6,100,8,1,0,2,0,0,1,1,1,0,2,0
2021,7,총,"21,253","3,658",550,"5,197",822,"1,118","1,979","1,119","2,279","1,049","1,612","1,870"
2021,7,0,697,210,20,215,27,22,59,25,61,12,20,26
2021,7,10,"1,079",334,7,352,16,31,83,39,112,13,41,51
2021,7,20,"1,114",244,29,358,28,46,81,41,113,47,64,63
2021,7,30,"1,211",313,38,360,34,47,115,49,119,40,44,52
2021,7,40,"1,914",488,26,603,49,60,139,72,194,88,93,102
2021,7,50,"3,305",574,76,843,112,160,292,193,346,185,243,281
2021,7,60,"4,850",661,139,"1,074",235,261,501,283,548,233,413,502
2021,7,70,"3,621",446,103,773,177,252,338,222,388,201,338,383
2021,7,80,"2,951",330,94,535,123,200,323,161,325,202,302,356
2021,7,90,503,57,18,82,21,39,47,33,72,28,52,54
2021,7,100,8,1,0,2,0,0,1,1,1,0,2,0
2021,8,총,"21,218","3,637",552,"5,179",820,"1,116","1,981","1,124","2,275","1,052","1,609","1,873"
