년도,월,나이,구리시,갈매동,동구동,인창동,교문1동,교문2동,수택1동,수택2동,수택3동
2020,1,총,"98,858","15,556","19,240","11,643","8,392","10,982","9,755","12,102","11,188"
2020,1,0,"8,378","2,489","1,638",940,410,899,464,635,903
2020,1,10,"9,837","1,084","2,288","1,278",568,"1,470",789,"1,101","1,259"
2020,1,20,"14,044","1,638","2,917","1,687","1,169","1,568","1,532","1,945","1,588"
2020,1,30,"13,881","3,220","2,417","1,518","1,153","1,245","1,279","1,557","1,492"
2020,1,40,"16,638","2,817","3,214","1,967","1,370","1,909","1,450","1,826","2,085"
2020,1,50,"17,728","1,991","3,574","2,137","1,703","1,915","2,020","2,400","1,988"
2020,1,60,"11,422","1,521","1,971","1,255","1,200","1,226","1,448","1,650","1,151"
2020,1,70,"5,090",662,845,631,590,534,576,726,526
2020,1,80,"1,660",117,344,200,198,203,176,242,180
2020,1,90,157,16,30,27,21,13,19,16,15
2020,1,100,23,1,2,3,10,0,2,4,1
2020,2,총,"98,807","15,576","19,141","11,583","8,412","10,947","9,670","12,353","11,125"
2020,2,0,"8,306","2,478","1,615",918,415,880,457,661,882
2020,2,10,"9,774","1,072","2,255","1,266",575,"1,459",762,"1,132","1,253"
2020,2,20,"14,001","1,646","2,888","1,679","1,160","1,571","1,526","1,960","1,571"
2020,2,30,"13,846","3,194","2,408","1,493","1,155","1,245","1,265","1,607","1,479"
2020,2,40,"16,655","2,853","3,182","1,964","1,371","1,887","1,432","1,885","2,081"
2020,2,50,"17,730","1,992","3,584","2,128","1,701","1,915","2,006","2,432","1,972"
2020,2,60,"11,494","1,526","1,985","1,264","1,207","1,234","1,445","1,675","1,158"
2020,2,70,"5,137",676,844,635,598,537,582,737,528
2020,2,80,"1,681",122,348,204,197,207,175,243,185
2020,2,90,160,16,30,29,23,12,18,17,15
2020,2,100,23,1,2,3,10,0,2,4,1
2020,3,총,"98,873","15,673","19,119","11,517","8,368","10,925","9,539","12,656","11,076"
2020,3,0,"8,288","2,481","1,601",910,420,868,447,695,866
2020,3,10,"9,764","1,099","2,233","1,252",571,"1,456",752,"1,146","1,255"
2020,3,20,"14,035","1,673","2,902","1,683","1,146","1,582","1,496","1,987","1,566"
2020,3,30,"13,863","3,187","2,413","1,481","1,141","1,247","1,241","1,693","1,460"
2020,3,40,"16,585","2,863","3,151","1,938","1,368","1,864","1,414","1,926","2,061"
2020,3,50,"17,702","2,012","3,579","2,110","1,673","1,907","1,982","2,473","1,966"
2020,3,60,"11,573","1,530","2,007","1,262","1,218","1,240","1,427","1,722","1,167"
2020,3,70,"5,176",689,845,641,598,539,587,749,528
2020,3,80,"1,699",122,354,208,199,209,174,243,190
2020,3,90,165,16,32,29,24,13,17,18,16
2020,3,100,23,1,2,3,10,0,2,4,1
2020,4,총,"98,816","15,684","19,096","11,429","8,341","10,927","9,444","12,772","11,123"
2020,4,0,"8,215","2,480","1,567",904,409,848,441,701,865
2020,4,10,"9,712","1,092","2,235","1,239",554,"1,446",749,"1,146","1,251"
2020,4,20,"14,057","1,682","2,907","1,665","1,147","1,599","1,473","2,001","1,583"
2020,4,30,"13,839","3,170","2,410","1,459","1,151","1,247","1,232","1,719","1,451"
2020,4,40,"16,566","2,878","3,139","1,931","1,351","1,857","1,391","1,961","2,058"
2020,4,50,"17,683","2,008","3,561","2,106","1,668","1,917","1,964","2,467","1,992"
2020,4,60,"11,677","1,540","2,035","1,258","1,236","1,251","1,424","1,753","1,180"
2020,4,70,"5,161",693,849,622,592,540,577,756,532
2020,4,80,"1,713",124,356,214,199,208,174,246,192
2020,4,90,169,16,35,28,23,14,17,18,18
2020,4,100,24,1,2,3,11,0,2,4,1
2020,5,총,"98,734","15,707","19,130","11,318","8,331","10,921","9,370","12,825","11,132"
2020,5,0,"8,165","2,475","1,561",890,410,837,432,702,858
2020,5,10,"9,665","1,102","2,231","1,227",546,"1,446",734,"1,151","1,228"
2020,5,20,"14,067","1,692","2,915","1,653","1,146","1,588","1,459","2,015","1,599"
2020,5,30,"13,783","3,138","2,406","1,449","1,150","1,250","1,213","1,721","1,456"
2020,5,40,"16,505","2,896","3,125","1,916","1,343","1,854","1,374","1,962","2,035"
2020,5,50,"17,721","2,025","3,576","2,080","1,670","1,921","1,963","2,470","2,016"
2020,5,60,"11,722","1,538","2,054","1,241","1,240","1,259","1,424","1,772","1,194"
2020,5,70,"5,186",701,861,617,590,546,576,763,532
2020,5,80,"1,724",124,364,214,202,204,174,248,194
2020,5,90,172,15,35,28,23,16,19,17,19
2020,5,100,24,1,2,3,11,0,2,4,1
2020,6,총,"98,503","15,704","19,104","11,179","8,306","10,920","9,311","12,837","11,142"
2020,6,0,"8,150","2,469","1,556",878,408,843,430,706,860
2020,6,10,"9,598","1,095","2,222","1,201",539,"1,447",714,"1,153","1,227"
2020,6,20,"14,076","1,693","2,913","1,659","1,158","1,578","1,457","2,011","1,607"
2020,6,30,"13,635","3,104","2,389","1,418","1,128","1,249","1,198","1,710","1,439"
2020,6,40,"16,462","2,933","3,101","1,885","1,335","1,850","1,368","1,956","2,034"
2020,6,50,"17,649","2,021","3,562","2,058","1,655","1,913","1,950","2,467","2,023"
2020,6,60,"11,824","1,544","2,094","1,229","1,255","1,275","1,419","1,807","1,201"
2020,6,70,"5,174",705,863,608,594,544,573,755,532
2020,6,80,"1,738",124,366,212,200,205,181,251,199
2020,6,90,173,15,36,28,23,16,19,17,19
2020,6,100,24,1,2,3,11,0,2,4,1
2020,7,총,"98,386","15,703","19,112","11,078","8,332","10,939","9,250","12,846","11,126"
2020,7,0,"8,137","2,467","1,549",871,411,837,427,707,868
2020,7,10,"9,526","1,090","2,204","1,199",542,"1,440",693,"1,149","1,209"
2020,7,20,"14,061","1,705","2,917","1,628","1,160","1,600","1,445","2,008","1,598"
2020,7,30,"13,572","3,083","2,387","1,405","1,132","1,246","1,201","1,680","1,438"
2020,7,40,"16,439","2,939","3,110","1,874","1,330","1,846","1,348","1,973","2,019"
2020,7,50,"17,650","2,031","3,567","2,034","1,670","1,899","1,941","2,471","2,037"
2020,7,60,"11,858","1,542","2,100","1,224","1,258","1,293","1,419","1,818","1,204"
2020,7,70,"5,195",709,871,600,595,552,576,758,534
2020,7,80,"1,749",120,369,211,199,209,180,261,200
2020,7,90,175,16,36,29,24,17,18,17,18
2020,7,100,24,1,2,3,11,0,2,4,1
2020,8,총,"98,262","15,708","19,053","11,064","8,344","10,912","9,205","12,845","11,131"
2020,8,0,"8,078","2,451","1,542",864,406,826,421,703,865
2020,8,10,"9,475","1,103","2,183","1,193",536,"1,438",690,"1,138","1,194"
2020,8,20,"14,028","1,688","2,913","1,633","1,156","1,588","1,429","2,019","1,602"
2020,8,30,"13,501","3,063","2,363","1,410","1,123","1,239","1,188","1,676","1,439"
2020,8,40,"16,444","2,978","3,092","1,857","1,348","1,840","1,353","1,958","2,018"
2020,8,50,"17,652","2,031","3,564","2,038","1,669","1,904","1,922","2,480","2,044"
2020,8,60,"11,921","1,542","2,116","1,234","1,269","1,296","1,427","1,831","1,206"
2020,8,70,"5,198",708,871,593,598,556,572,757,543
2020,8,80,"1,766",126,371,210,203,209,183,262,202
2020,8,90,174,16,36,29,25,16,18,17,17
2020,8,100,25,2,2,3,11,0,2,4,1
2020,9,총,"98,260","15,677","18,939","11,392","8,321","10,901","9,134","12,808","11,088"
2020,9,0,"8,035","2,439","1,506",898,394,831,420,691,856
2020,9,10,"9,460","1,109","2,163","1,233",536,"1,426",676,"1,135","1,182"
2020,9,20,"14,021","1,688","2,900","1,673","1,150","1,590","1,404","2,022","1,594"
2020,9,30,"13,414","3,014","2,336","1,482","1,107","1,232","1,165","1,657","1,421"
2020,9,40,"16,471","3,004","3,078","1,905","1,353","1,831","1,343","1,954","2,003"
2020,9,50,"17,664","2,016","3,535","2,101","1,665","1,910","1,924","2,468","2,045"
2020,9,60,"11,999","1,556","2,131","1,261","1,269","1,305","1,419","1,844","1,214"
2020,9,70,"5,211",704,879,597,607,549,578,749,548
2020,9,80,"1,787",130,373,210,204,211,185,267,207
2020,9,90,173,15,36,29,25,16,18,17,17
2020,9,100,25,2,2,3,11,0,2,4,1
2020,10,총,"98,145","15,626","18,900","11,504","8,309","10,899","9,051","12,794","11,062"
2020,10,0,"7,974","2,423","1,484",902,387,831,409,677,861
2020,10,10,"9,424","1,103","2,146","1,247",525,"1,428",668,"1,123","1,184"
2020,10,20,"14,001","1,678","2,903","1,683","1,157","1,581","1,391","2,021","1,587"
2020,10,30,"13,353","2,976","2,338","1,497","1,104","1,239","1,148","1,645","1,406"
