년도,월,나이,경상북도 고령군,경상북도 고령군 대가야읍,경상북도 고령군 덕곡면,경상북도 고령군 운수면,경상북도 고령군 성산면,경상북도 고령군 다산면,경상북도 고령군 개진면,경상북도 고령군 우곡면,경상북도 고령군 쌍림면
2020,1,총,"32,296","10,348","1,469","1,915","2,644","8,741","2,017","1,645","3,517"
2020,1,0,"1,587",649,35,50,75,575,43,35,125
2020,1,10,"2,188",969,54,51,85,817,46,56,110
2020,1,20,"2,773","1,033",99,140,230,803,155,86,227
2020,1,30,"2,541",888,78,115,196,860,125,81,198
2020,1,40,"4,068","1,596",110,165,271,"1,310",167,147,302
2020,1,50,"6,130","1,903",266,358,566,"1,648",431,292,666
2020,1,60,"6,049","1,620",359,429,570,"1,441",468,371,791
2020,1,70,"4,069","1,048",238,348,375,821,339,313,587
2020,1,80,"2,580",578,207,227,245,422,215,241,445
2020,1,90,304,64,21,31,30,44,28,22,64
2020,1,100,7,0,2,1,1,0,0,1,2
2020,2,총,"32,220","10,319","1,462","1,916","2,640","8,699","2,023","1,646","3,515"
2020,2,0,"1,569",649,35,51,72,560,45,35,122
2020,2,10,"2,168",958,52,50,85,811,47,56,109
2020,2,20,"2,761","1,035",98,136,231,794,157,85,225
2020,2,30,"2,504",878,78,115,193,845,121,79,195
2020,2,40,"4,055","1,589",107,161,269,"1,311",166,148,304
2020,2,50,"6,103","1,889",263,359,567,"1,644",428,295,658
2020,2,60,"6,071","1,627",354,436,573,"1,439",473,368,801
2020,2,70,"4,072","1,042",239,349,375,824,340,314,589
2020,2,80,"2,601",588,213,227,244,426,218,243,442
2020,2,90,309,64,21,31,30,45,28,22,68
2020,2,100,7,0,2,1,1,0,0,1,2
2020,3,총,"31,968","10,230","1,448","1,899","2,618","8,639","2,007","1,629","3,498"
2020,3,0,"1,514",624,35,49,69,543,45,30,119
2020,3,10,"2,159",954,46,49,85,817,46,55,107
2020,3,20,"2,698","1,017",97,130,229,775,150,81,219
2020,3,30,"2,474",870,79,117,185,833,120,75,195
2020,3,40,"4,014","1,579",104,157,263,"1,306",162,145,298
2020,3,50,"6,041","1,871",261,358,557,"1,626",424,294,650
2020,3,60,"6,039","1,615",346,430,574,"1,441",471,361,801
2020,3,70,"4,098","1,050",241,352,378,827,341,318,591
2020,3,80,"2,610",586,214,227,246,425,218,246,448
2020,3,90,314,64,23,29,31,46,30,23,68
2020,3,100,7,0,2,1,1,0,0,1,2
2020,4,총,"31,910","10,229","1,452","1,906","2,623","8,604","2,002","1,614","3,480"
2020,4,0,"1,490",616,36,47,69,531,42,30,119
2020,4,10,"2,132",942,46,50,84,807,44,52,107
2020,4,20,"2,672","1,015",98,132,226,765,145,79,212
2020,4,30,"2,450",865,76,110,186,826,122,73,192
2020,4,40,"3,997","1,581",105,159,260,"1,292",161,140,299
2020,4,50,"6,056","1,873",261,364,558,"1,634",427,294,645
2020,4,60,"6,065","1,624",349,436,577,"1,448",468,359,804
2020,4,70,"4,100","1,054",243,350,382,831,343,315,582
