년도,월,나이,경상북도 청송군,경상북도 청송군 청송읍,경상북도 청송군 주왕산면,경상북도 청송군 부남면,경상북도 청송군 현동면,경상북도 청송군 현서면,경상북도 청송군 안덕면,경상북도 청송군 파천면,경상북도 청송군 진보면
2020,1,총,"12,724","2,673",957,"1,283","1,038","1,277","1,385",921,"3,190"
2020,1,0,508,143,27,35,40,28,39,29,167
2020,1,10,603,192,24,43,47,49,39,30,179
2020,1,20,764,218,47,57,51,66,58,41,226
2020,1,30,741,232,46,44,43,53,54,36,233
2020,1,40,"1,066",285,61,85,78,84,88,60,325
2020,1,50,"2,312",476,191,243,196,260,259,134,553
2020,1,60,"2,660",459,217,323,208,323,304,198,628
2020,1,70,"2,306",370,207,264,209,239,296,189,532
2020,1,80,"1,519",248,123,162,146,151,206,171,312
2020,1,90,230,44,14,25,18,23,41,32,33
2020,1,100,15,6,0,2,2,1,1,1,2
2020,2,총,"12,722","2,661",954,"1,277","1,034","1,277","1,386",921,"3,212"
2020,2,0,499,141,25,35,39,28,39,27,165
2020,2,10,598,187,24,42,45,48,40,30,182
2020,2,20,761,215,46,58,51,63,57,41,230
2020,2,30,740,230,48,40,43,52,53,39,235
2020,2,40,"1,067",285,59,82,78,86,91,57,329
2020,2,50,"2,319",478,192,243,195,255,260,134,562
2020,2,60,"2,655",459,215,323,211,329,298,196,624
2020,2,70,"2,310",369,206,261,206,238,303,191,536
2020,2,80,"1,522",250,124,165,148,150,202,170,313
2020,2,90,236,41,15,26,16,27,42,35,34
2020,2,100,15,6,0,2,2,1,1,1,2
2020,3,총,"12,689","2,653",954,"1,284","1,037","1,284","1,380",914,"3,183"
2020,3,0,495,141,22,35,39,26,39,28,165
2020,3,10,594,184,26,43,44,49,40,28,180
2020,3,20,737,213,45,54,54,60,53,43,215
2020,3,30,725,226,47,41,43,51,53,35,229
2020,3,40,"1,064",286,59,83,78,88,92,55,323
2020,3,50,"2,308",481,191,247,195,252,253,131,558
2020,3,60,"2,677",457,217,325,212,339,301,199,627
2020,3,70,"2,293",367,204,259,205,239,301,188,530
2020,3,80,"1,539",249,127,169,146,152,205,172,319
2020,3,90,242,43,16,26,19,27,42,34,35
2020,3,100,15,6,0,2,2,1,1,1,2
2020,4,총,"12,655","2,652",952,"1,274","1,035","1,285","1,373",913,"3,171"
2020,4,0,486,137,22,34,39,24,37,30,163
2020,4,10,586,182,24,44,44,48,39,27,178
2020,4,20,730,209,47,53,54,62,51,43,211
2020,4,30,725,231,46,41,43,51,51,37,225
2020,4,40,"1,053",289,57,81,76,88,90,53,319
2020,4,50,"2,303",483,188,247,198,254,253,132,548
2020,4,60,"2,668",454,218,319,210,340,298,193,636
2020,4,70,"2,280",367,201,258,202,235,305,189,523
2020,4,80,"1,565",252,133,168,147,154,207,174,330
2020,4,90,243,41,16,27,20,28,41,34,36
2020,4,100,16,7,0,2,2,1,1,1,2
