년도,월,나이,의왕시,고천동,부곡동,오전동,내손1동,내손2동,청계동
2020,7,90,157,12,40,30,18,21,36
2020,7,100,15,2,4,2,2,1,4
2020,8,총,"81,006","6,187","15,083","19,053","10,489","11,920","18,274"
2020,8,0,"6,919",432,"1,177","1,465",839,"1,240","1,766"
2020,8,10,"7,624",508,"1,275","2,060","1,092","1,137","1,552"
2020,8,20,"12,120",881,"2,291","2,692","1,731","1,783","2,742"
2020,8,30,"11,514",880,"2,320","2,509","1,244","1,782","2,779"
2020,8,40,"12,205",881,"2,301","2,947","1,537","1,814","2,725"
2020,8,50,"14,308",981,"2,549","3,342","2,046","2,097","3,293"
2020,8,60,"10,498","1,011","1,870","2,653","1,325","1,386","2,253"
2020,8,70,"4,226",471,881,"1,051",471,476,876
2020,8,80,"1,419",128,373,302,185,183,248
2020,8,90,158,12,42,30,17,21,36
2020,8,100,15,2,4,2,2,1,4
2020,9,총,"81,504","7,087","15,040","18,916","10,479","11,718","18,264"
2020,9,0,"6,917",477,"1,165","1,450",827,"1,236","1,762"
2020,9,10,"7,642",513,"1,286","2,047","1,099","1,140","1,557"
2020,9,20,"12,306","1,209","2,262","2,659","1,730","1,724","2,722"
2020,9,30,"11,745","1,275","2,282","2,450","1,228","1,754","2,756"
2020,9,40,"12,212",921,"2,307","2,929","1,543","1,789","2,723"
2020,9,50,"14,261",996,"2,551","3,337","2,034","2,056","3,287"
2020,9,60,"10,608","1,043","1,892","2,673","1,346","1,359","2,295"
2020,9,70,"4,211",496,877,"1,038",466,460,874
2020,9,80,"1,429",143,372,300,188,177,249
2020,9,90,159,12,42,31,17,22,35
2020,9,100,14,2,4,2,1,1,4
2020,10,총,"81,603","7,368","15,042","18,843","10,461","11,628","18,261"
2020,10,0,"6,891",490,"1,165","1,426",829,"1,220","1,761"
2020,10,10,"7,594",518,"1,271","2,040","1,093","1,132","1,540"
2020,10,20,"12,348","1,290","2,265","2,645","1,727","1,708","2,713"
2020,10,30,"11,795","1,403","2,270","2,415","1,212","1,745","2,750"
2020,10,40,"12,218",932,"2,325","2,910","1,528","1,783","2,740"
2020,10,50,"14,237","1,002","2,549","3,349","2,034","2,025","3,278"
2020,10,60,"10,680","1,063","1,899","2,682","1,362","1,364","2,310"
2020,10,70,"4,220",508,878,"1,038",467,453,876
2020,10,80,"1,450",147,376,306,191,175,255
2020,10,90,157,13,40,30,17,22,35
2020,10,100,13,2,4,2,1,1,3
2020,11,총,"81,584","7,437","15,053","18,808","10,437","11,571","18,278"
2020,11,0,"6,843",488,"1,155","1,411",815,"1,216","1,758"
2020,11,10,"7,599",524,"1,266","2,032","1,107","1,135","1,535"
2020,11,20,"12,348","1,310","2,267","2,637","1,712","1,687","2,735"
2020,11,30,"11,776","1,445","2,275","2,409","1,193","1,718","2,736"
2020,11,40,"12,196",931,"2,317","2,913","1,522","1,784","2,729"
2020,11,50,"14,223",993,"2,564","3,330","2,031","2,016","3,289"
2020,11,60,"10,719","1,068","1,903","2,693","1,367","1,363","2,325"
2020,11,70,"4,250",513,888,"1,043",476,452,878
2020,11,80,"1,458",149,373,308,195,177,256
2020,11,90,159,14,41,30,18,22,34
2020,11,100,13,2,4,2,1,1,3
2020,12,총,"81,470","7,420","15,070","18,753","10,414","11,533","18,280"
2020,12,0,"6,817",483,"1,157","1,400",812,"1,217","1,748"
2020,12,10,"7,524",514,"1,251","2,020","1,104","1,107","1,528"
2020,12,20,"12,363","1,318","2,270","2,617","1,698","1,705","2,755"
2020,12,30,"11,785","1,452","2,281","2,398","1,191","1,724","2,739"
2020,12,40,"12,152",923,"2,312","2,898","1,514","1,774","2,731"
2020,12,50,"14,174",978,"2,587","3,316","2,021","1,999","3,273"
2020,12,60,"10,746","1,075","1,901","2,700","1,377","1,366","2,327"
2020,12,70,"4,269",511,893,"1,057",482,444,882
2020,12,80,"1,466",149,375,315,194,174,259
2020,12,90,161,15,39,30,20,22,35
2020,12,100,13,2,4,2,1,1,3
2021,1,총,"81,379","7,392","15,055","18,719","10,412","11,511","18,290"
2021,1,0,"6,749",478,"1,154","1,371",806,"1,205","1,735"
2021,1,10,"7,506",510,"1,241","2,015","1,100","1,115","1,525"
2021,1,20,"12,332","1,308","2,270","2,619","1,692","1,689","2,754"
2021,1,30,"11,753","1,451","2,273","2,390","1,198","1,717","2,724"
2021,1,40,"12,128",917,"2,307","2,894","1,507","1,773","2,730"
2021,1,50,"14,145",970,"2,584","3,296","2,013","1,997","3,285"
2021,1,60,"10,837","1,086","1,912","2,712","1,397","1,377","2,353"
2021,1,70,"4,284",505,894,"1,072",484,443,886
2021,1,80,"1,464",150,375,317,193,174,255
2021,1,90,168,15,41,31,21,20,40
2021,1,100,13,2,4,2,1,1,3
2021,2,총,"81,175","7,375","15,106","18,674","10,328","11,445","18,247"
2021,2,0,"6,717",472,"1,154","1,358",793,"1,204","1,736"
2021,2,10,"7,431",513,"1,243","1,997","1,078","1,088","1,512"
2021,2,20,"12,275","1,291","2,284","2,615","1,693","1,669","2,723"
2021,2,30,"11,693","1,448","2,274","2,374","1,178","1,712","2,707"
2021,2,40,"12,062",916,"2,310","2,883","1,477","1,751","2,725"
2021,2,50,"14,132",970,"2,590","3,301","2,007","1,983","3,281"
2021,2,60,"10,890","1,089","1,927","2,710","1,401","1,383","2,380"
2021,2,70,"4,316",501,906,"1,083",488,453,885
2021,2,80,"1,478",158,375,320,189,179,257
2021,2,90,168,15,39,31,23,22,38
2021,2,100,13,2,4,2,1,1,3
2021,3,총,"80,839","7,330","15,034","18,588","10,301","11,362","18,224"
2021,3,0,"6,692",471,"1,138","1,358",790,"1,200","1,735"
2021,3,10,"7,398",508,"1,241","1,975","1,079","1,072","1,523"
