년도,월,나이,강원도 원주시,강원도 원주시 문막읍,강원도 원주시 소초면,강원도 원주시 호저면,강원도 원주시 지정면,강원도 원주시 부론면,강원도 원주시 귀래면,강원도 원주시 흥업면,강원도 원주시 판부면,강원도 원주시 신림면,강원도 원주시 중앙동,강원도 원주시 원인동,강원도 원주시 개운동,강원도 원주시 명륜1동,강원도 원주시 명륜2동,강원도 원주시 단구동,강원도 원주시 일산동,강원도 원주시 학성동,강원도 원주시 단계동,강원도 원주시 우산동,강원도 원주시 태장1동,강원도 원주시 태장2동,강원도 원주시 봉산동,강원도 원주시 행구동,강원도 원주시 무실동,강원도 원주시 반곡관설동
2020,3,총,"351,154","18,077","8,750","3,793","23,955","2,277","2,201","8,824","7,369","3,647","2,846","5,332","13,089","8,895","15,956","43,167","8,809","5,056","27,492","13,788","9,807","25,113","8,490","7,538","33,337","43,546"
2020,3,0,"28,836","1,276",405,116,"4,004",47,54,434,433,59,63,251,752,420,823,"3,464",412,184,"2,030","1,110",841,"1,929",311,500,"3,471","5,447"
2020,3,10,"36,492","1,745",559,158,"1,975",94,69,640,725,129,114,381,"1,375",815,"1,822","5,356",694,315,"2,456","1,298","1,168","2,771",765,882,"4,402","5,784"
2020,3,20,"45,181","2,102","1,018",352,"2,608",133,149,"1,517",976,233,202,781,"1,714","1,276","2,185","6,271","1,649",620,"4,288","1,957","1,037","3,016",989,909,"4,121","5,078"
2020,3,30,"45,403","2,004",720,253,"5,947",94,138,859,878,188,225,555,"1,290",799,"1,460","5,480",934,435,"3,848","1,732","1,121","2,903",711,670,"4,653","7,506"
2020,3,40,"57,606","2,998","1,053",346,"3,961",181,178,"1,177","1,207",314,306,669,"1,831","1,206","2,542","8,003","1,079",671,"4,064","2,149","1,743","4,302","1,148","1,220","6,502","8,756"
2020,3,50,"60,081","3,307","1,750",766,"2,638",411,481,"1,596","1,418",791,614,"1,046","2,499","1,811","3,143","7,312","1,488",978,"5,200","2,353","1,628","4,587","1,661","1,452","5,143","6,008"
2020,3,60,"42,640","2,390","1,729",865,"1,698",605,545,"1,429",982,974,627,842,"1,879","1,366","2,177","4,110","1,305",943,"3,458","1,755","1,232","3,088","1,450","1,032","3,161","2,998"
2020,3,70,"21,552","1,406",898,492,673,414,348,694,464,585,373,492,"1,114",767,"1,067","2,059",773,560,"1,311",931,672,"1,559",875,514,"1,245","1,266"
2020,3,80,"11,534",739,542,400,385,257,203,421,244,327,262,281,557,372,642,965,397,295,714,439,329,843,497,292,529,602
2020,3,90,"1,727",105,72,45,62,40,33,56,42,47,55,30,73,59,94,138,71,52,113,60,33,112,74,61,105,95
2020,3,100,102,5,4,0,4,1,3,1,0,0,5,4,5,4,1,9,7,3,10,4,3,3,9,6,5,6
2020,4,총,"351,421","18,053","8,743","3,792","24,608","2,281","2,194","8,809","7,332","3,644","2,851","5,305","13,076","8,884","15,895","43,028","8,818","5,051","27,617","13,789","9,801","25,106","8,470","7,516","33,245","43,513"
2020,4,0,"28,816","1,263",407,118,"4,111",46,53,436,425,63,64,245,747,416,818,"3,446",408,185,"2,029","1,115",835,"1,910",310,501,"3,448","5,417"
2020,4,10,"36,391","1,737",555,162,"2,038",94,72,638,711,129,112,381,"1,365",815,"1,793","5,315",692,310,"2,457","1,294","1,164","2,770",752,883,"4,384","5,768"
2020,4,20,"45,180","2,118","1,015",342,"2,689",134,144,"1,503",970,224,198,777,"1,700","1,265","2,179","6,237","1,675",614,"4,299","1,950","1,043","3,013",989,901,"4,110","5,091"
2020,4,30,"45,408","1,989",725,253,"6,099",96,134,854,862,186,224,550,"1,285",799,"1,455","5,444",933,440,"3,877","1,727","1,115","2,899",703,671,"4,620","7,468"
2020,4,40,"57,475","2,994","1,048",343,"4,077",184,175,"1,180","1,200",314,305,662,"1,817","1,207","2,509","7,936","1,076",657,"4,050","2,150","1,735","4,276","1,132","1,212","6,479","8,757"
2020,4,50,"60,140","3,283","1,740",765,"2,699",406,477,"1,589","1,417",783,620,"1,037","2,508","1,810","3,144","7,333","1,475",983,"5,229","2,348","1,632","4,596","1,656","1,441","5,137","6,032"
2020,4,60,"43,027","2,406","1,742",873,"1,763",606,549,"1,433",991,982,630,852,"1,895","1,367","2,197","4,156","1,309",952,"3,495","1,771","1,239","3,120","1,465","1,042","3,174","3,018"
2020,4,70,"21,552","1,404",898,491,673,411,350,698,470,582,375,490,"1,120",765,"1,061","2,049",774,553,"1,334",927,664,"1,561",881,507,"1,251","1,263"
2020,4,80,"11,588",746,533,401,392,264,203,422,246,334,263,276,559,378,644,968,395,301,722,442,337,850,497,290,528,597
2020,4,90,"1,740",108,76,44,63,39,34,54,40,47,55,31,75,58,94,136,73,53,115,61,34,108,76,62,109,95
2020,4,100,104,5,4,0,4,1,3,2,0,0,5,4,5,4,1,8,8,3,10,4,3,3,9,6,5,7
2020,5,총,"351,979","18,051","8,731","3,785","25,156","2,277","2,198","8,784","7,292","3,643","2,833","5,287","13,006","8,849","15,913","43,047","8,823","5,054","27,656","13,775","9,790","25,217","8,439","7,521","33,268","43,584"
2020,5,0,"28,794","1,253",403,120,"4,225",45,54,432,425,62,59,237,744,412,811,"3,429",406,182,"2,006","1,111",834,"1,899",307,496,"3,446","5,396"
2020,5,10,"36,301","1,727",551,162,"2,078",95,72,635,692,128,111,378,"1,351",808,"1,789","5,284",686,317,"2,440","1,286","1,163","2,784",738,873,"4,378","5,775"
2020,5,20,"45,216","2,113","1,004",338,"2,714",130,143,"1,491",970,225,195,771,"1,690","1,262","2,182","6,274","1,690",608,"4,321","1,956","1,031","3,014",983,913,"4,109","5,089"
2020,5,30,"45,503","1,979",733,253,"6,273",96,133,850,845,180,217,541,"1,268",795,"1,452","5,421",920,444,"3,881","1,706","1,107","2,917",705,670,"4,625","7,492"
2020,5,40,"57,450","2,982","1,038",341,"4,163",183,174,"1,182","1,190",311,300,659,"1,797","1,194","2,498","7,909","1,076",658,"4,037","2,160","1,728","4,288","1,116","1,215","6,485","8,766"
2020,5,50,"60,341","3,289","1,756",764,"2,755",402,476,"1,568","1,412",786,620,"1,037","2,488","1,803","3,151","7,401","1,475",977,"5,262","2,345","1,641","4,618","1,655","1,449","5,142","6,069"
2020,5,60,"43,296","2,431","1,737",869,"1,793",613,558,"1,447",990,988,640,863,"1,912","1,369","2,223","4,165","1,318",957,"3,516","1,779","1,244","3,152","1,472","1,045","3,183","3,032"
2020,5,70,"21,562","1,412",896,493,691,406,344,703,475,578,370,486,"1,109",765,"1,056","2,048",768,553,"1,344",921,665,"1,583",880,503,"1,250","1,263"
2020,5,80,"11,663",750,532,401,397,265,205,422,252,338,261,282,565,380,654,971,405,302,723,441,342,850,499,290,535,601
2020,5,90,"1,749",110,77,44,64,40,36,52,41,47,55,29,77,57,95,137,72,53,116,66,32,109,75,61,110,94
2020,5,100,104,5,4,0,3,2,3,2,0,0,5,4,5,4,2,8,7,3,10,4,3,3,9,6,5,7
2020,6,총,"352,201","18,032","8,730","3,776","25,603","2,279","2,194","8,768","7,269","3,620","2,816","5,225","12,973","8,852","15,840","42,975","8,795","5,001","27,769","13,713","10,109","25,202","8,412","7,558","33,139","43,551"
2020,6,0,"28,703","1,241",396,115,"4,293",44,52,436,426,59,59,229,740,412,795,"3,404",403,180,"2,000","1,098",843,"1,885",302,496,"3,423","5,372"
2020,6,10,"36,252","1,718",549,164,"2,127",94,73,633,682,126,111,374,"1,333",811,"1,770","5,253",676,310,"2,451","1,272","1,168","2,774",735,878,"4,380","5,790"
