년도,월,나이,경상북도 청송군,경상북도 청송군 청송읍,경상북도 청송군 주왕산면,경상북도 청송군 부남면,경상북도 청송군 현동면,경상북도 청송군 현서면,경상북도 청송군 안덕면,경상북도 청송군 파천면,경상북도 청송군 진보면
2020,1,총,"12,715","2,637",942,"1,241","1,063","1,248","1,272",906,"3,406"
2020,1,0,542,164,23,37,40,37,48,29,164
2020,1,10,704,189,41,58,55,51,52,22,236
2020,1,20,"1,108",298,65,89,87,73,81,67,348
2020,1,30,"1,075",273,83,75,76,73,68,75,352
2020,1,40,"1,440",347,105,84,124,119,126,92,443
2020,1,50,"2,520",534,187,263,215,247,252,165,657
2020,1,60,"2,648",432,233,307,227,327,306,220,596
2020,1,70,"1,772",275,146,206,144,206,224,152,419
2020,1,80,840,117,57,112,90,108,103,73,180
2020,1,90,61,6,2,9,5,7,12,10,10
2020,1,100,5,2,0,1,0,0,0,1,1
2020,2,총,"12,708","2,632",930,"1,233","1,062","1,254","1,278",902,"3,417"
2020,2,0,537,163,22,36,38,36,47,28,167
2020,2,10,701,186,41,56,55,53,55,21,234
2020,2,20,"1,093",297,60,86,88,72,77,66,347
2020,2,30,"1,066",265,81,72,76,73,68,78,353
2020,2,40,"1,445",352,101,85,125,121,128,88,445
2020,2,50,"2,525",534,190,262,216,245,251,166,661
2020,2,60,"2,671",436,233,307,223,333,315,223,601
2020,2,70,"1,764",272,143,208,146,206,221,150,418
2020,2,80,839,119,56,112,90,106,104,72,180
2020,2,90,62,6,3,8,5,9,12,9,10
2020,2,100,5,2,0,1,0,0,0,1,1
2020,3,총,"12,651","2,614",926,"1,233","1,058","1,258","1,261",900,"3,401"
2020,3,0,528,161,24,35,38,36,44,28,162
2020,3,10,690,182,39,58,54,52,55,21,229
2020,3,20,"1,080",291,58,83,88,71,74,62,353
2020,3,30,"1,050",268,81,69,71,75,65,76,345
2020,3,40,"1,428",343,100,86,124,119,123,91,442
2020,3,50,"2,525",533,187,265,223,247,246,165,659
2020,3,60,"2,677",437,234,306,219,334,318,225,604
2020,3,70,"1,753",269,143,206,146,207,217,149,416
2020,3,80,852,122,57,114,90,108,107,74,180
2020,3,90,63,6,3,10,5,9,12,8,10
2020,3,100,5,2,0,1,0,0,0,1,1
2020,4,총,"12,636","2,629",929,"1,229","1,058","1,257","1,255",892,"3,387"
2020,4,0,528,164,24,35,38,38,42,28,159
2020,4,10,678,180,38,56,55,52,54,21,222
2020,4,20,"1,080",293,58,81,87,70,74,61,356
2020,4,30,"1,047",269,82,70,70,76,65,74,341
2020,4,40,"1,415",348,96,86,125,116,118,84,442
2020,4,50,"2,526",536,189,264,220,246,250,163,658
2020,4,60,"2,674",436,235,304,222,333,318,229,597
2020,4,70,"1,759",270,145,206,146,210,213,150,419
2020,4,80,860,125,59,116,90,107,109,72,182
2020,4,90,64,6,3,10,5,9,12,9,10
2020,4,100,5,2,0,1,0,0,0,1,1
2020,5,총,"12,631","2,624",927,"1,237","1,060","1,259","1,252",892,"3,380"
2020,5,0,525,160,23,36,40,38,41,27,160
2020,5,10,676,181,38,55,55,52,54,20,221
2020,5,20,"1,080",291,57,84,85,70,72,61,360
2020,5,30,"1,044",268,82,70,70,77,65,74,338
2020,5,40,"1,418",345,99,89,126,117,116,84,442
2020,5,50,"2,520",538,184,265,220,245,249,161,658
2020,5,60,"2,681",437,237,305,220,335,319,233,595
2020,5,70,"1,760",269,145,208,148,208,214,151,417
2020,5,80,857,127,59,115,90,108,110,71,177
2020,5,90,65,6,3,9,6,9,12,9,11
2020,5,100,5,2,0,1,0,0,0,1,1
2020,6,총,"12,616","2,610",929,"1,232","1,055","1,259","1,254",895,"3,382"
2020,6,0,526,159,23,35,40,39,40,25,165
2020,6,10,671,182,38,55,56,53,53,20,214
2020,6,20,"1,071",285,58,82,83,68,74,59,362
2020,6,30,"1,039",261,82,68,68,78,66,74,342
2020,6,40,"1,411",348,97,85,128,116,117,84,436
2020,6,50,"2,521",530,186,264,218,247,252,161,663
2020,6,60,"2,687",443,239,307,219,331,316,238,594
2020,6,70,"1,766",269,144,210,148,209,214,153,419
2020,6,80,854,125,59,117,88,109,110,71,175
2020,6,90,65,6,3,8,7,9,12,9,11
2020,6,100,5,2,0,1,0,0,0,1,1
2020,7,총,"12,580","2,605",930,"1,233","1,050","1,258","1,245",895,"3,364"
2020,7,0,522,161,24,34,40,38,39,25,161
2020,7,10,667,181,38,55,55,54,54,19,211
2020,7,20,"1,062",284,57,82,85,67,70,60,357
2020,7,30,"1,031",262,83,69,66,76,64,75,336
2020,7,40,"1,404",346,97,86,125,119,116,82,433
2020,7,50,"2,517",528,183,265,219,249,251,161,661
2020,7,60,"2,687",439,241,306,217,333,315,239,597
2020,7,70,"1,766",268,146,211,147,207,214,152,421
2020,7,80,856,127,58,118,89,108,110,72,174
2020,7,90,63,7,3,6,7,7,12,9,12
2020,7,100,5,2,0,1,0,0,0,1,1
2020,8,총,"12,558","2,608",927,"1,230","1,051","1,249","1,245",892,"3,356"
2020,8,0,514,158,24,34,41,36,39,24,158
2020,8,10,661,180,37,54,52,55,53,21,209
2020,8,20,"1,059",288,56,80,87,65,72,59,352
2020,8,30,"1,017",259,84,68,66,76,64,73,327
2020,8,40,"1,402",344,97,84,123,117,114,82,441
2020,8,50,"2,515",531,183,266,219,246,251,159,660
2020,8,60,"2,700",443,241,308,219,331,313,241,604
2020,8,70,"1,770",269,145,213,149,209,218,151,416
2020,8,80,853,127,56,116,88,107,110,73,176
2020,8,90,62,7,4,6,7,7,11,8,12
2020,8,100,5,2,0,1,0,0,0,1,1
2020,9,총,"12,523","2,602",924,"1,228","1,048","1,248","1,243",888,"3,342"
2020,9,0,506,160,24,34,39,34,37,22,156
2020,9,10,659,178,37,54,52,56,54,21,207
2020,9,20,"1,035",279,53,76,85,65,72,60,345
2020,9,30,"1,015",263,83,67,65,74,64,71,328
2020,9,40,"1,394",341,98,84,122,116,114,79,440
2020,9,50,"2,506",534,182,267,220,245,248,160,650
2020,9,60,"2,713",441,242,309,219,336,315,240,611
2020,9,70,"1,767",264,146,213,151,207,218,153,415
2020,9,80,861,133,56,117,87,108,110,73,177
2020,9,90,62,7,3,6,8,7,11,8,12
2020,9,100,5,2,0,1,0,0,0,1,1
2020,10,총,"12,541","2,599",925,"1,225","1,050","1,255","1,251",887,"3,349"
2020,10,0,504,159,23,34,39,34,38,21,156
2020,10,10,659,180,39,52,51,56,55,20,206
2020,10,20,"1,041",276,52,76,86,66,72,61,352
2020,10,30,"1,008",264,82,68,62,78,63,72,319
2020,10,40,"1,391",338,97,84,123,115,114,80,440
2020,10,50,"2,501",528,181,265,224,242,251,157,653
2020,10,60,"2,739",449,245,310,218,342,318,240,617
2020,10,70,"1,768",264,146,215,152,208,218,152,413
2020,10,80,863,133,57,114,87,107,111,75,179
2020,10,90,61,6,3,6,8,7,11,8,12
2020,10,100,6,2,0,1,0,0,0,1,2
2020,11,총,"12,518","2,592",919,"1,227","1,043","1,259","1,251",891,"3,336"
2020,11,0,502,153,24,34,39,36,37,21,158
2020,11,10,648,181,37,55,52,55,55,20,193
2020,11,20,"1,034",273,51,73,85,66,74,61,351
2020,11,30,"1,005",268,81,68,61,79,61,71,316
2020,11,40,"1,393",331,95,86,123,115,115,81,447
2020,11,50,"2,489",525,181,265,223,240,250,159,646
2020,11,60,"2,746",454,243,312,216,346,315,240,620
2020,11,70,"1,771",266,148,213,152,208,222,153,409
2020,11,80,867,133,57,115,85,107,112,76,182
2020,11,90,57,6,2,5,7,7,10,8,12
2020,11,100,6,2,0,1,0,0,0,1,2
2020,12,총,"12,482","2,582",921,"1,229","1,040","1,259","1,247",896,"3,308"
2020,12,0,503,154,23,34,38,35,39,23,157
2020,12,10,635,180,37,53,52,55,54,20,184
2020,12,20,"1,025",273,52,78,83,63,71,60,345
2020,12,30,992,267,80,66,58,80,61,70,310
2020,12,40,"1,382",324,94,87,125,112,115,83,442
2020,12,50,"2,493",524,183,267,225,245,250,162,637
2020,12,60,"2,752",451,242,312,218,345,313,243,628
2020,12,70,"1,767",269,150,210,149,207,223,148,411
2020,12,80,870,132,58,115,85,110,112,78,180
2020,12,90,57,6,2,6,7,7,9,8,12
2020,12,100,6,2,0,1,0,0,0,1,2
2021,1,총,"12,477","2,597",919,"1,231","1,036","1,259","1,249",888,"3,298"
2021,1,0,499,156,23,33,38,34,35,25,155
2021,1,10,643,177,36,56,53,55,55,21,190
2021,1,20,"1,021",279,53,76,80,65,76,53,339
2021,1,30,985,270,79,68,58,77,60,68,305
2021,1,40,"1,358",320,90,88,123,106,114,82,435
2021,1,50,"2,504",533,185,261,223,254,251,160,637
2021,1,60,"2,762",453,243,318,219,345,314,242,628
2021,1,70,"1,769",269,147,211,150,206,223,150,413
2021,1,80,872,132,61,113,85,110,110,78,183
2021,1,90,58,6,2,6,7,7,11,8,11
2021,1,100,6,2,0,1,0,0,0,1,2
2021,2,총,"12,478","2,599",918,"1,232","1,038","1,262","1,250",882,"3,297"
2021,2,0,500,158,23,33,38,30,37,25,156
2021,2,10,639,175,35,57,52,57,54,19,190
2021,2,20,"1,013",269,55,77,80,66,75,52,339
2021,2,30,983,271,75,69,58,78,59,68,305
2021,2,40,"1,362",324,91,89,122,106,116,78,436
2021,2,50,"2,486",529,182,257,226,250,252,159,631
2021,2,60,"2,787",463,245,320,217,353,315,243,631
2021,2,70,"1,764",270,147,207,154,203,222,150,411
2021,2,80,880,131,62,116,86,112,109,79,185
2021,2,90,58,7,3,6,5,7,11,8,11
2021,2,100,6,2,0,1,0,0,0,1,2
2021,3,총,"12,444","2,591",908,"1,229","1,035","1,252","1,254",888,"3,287"
2021,3,0,502,159,23,32,37,31,39,25,156
2021,3,10,632,172,33,56,52,57,53,21,188
2021,3,20,"1,000",270,54,75,81,62,73,52,333
2021,3,30,974,269,73,68,55,79,60,67,303
2021,3,40,"1,349",322,89,89,117,102,115,80,435
2021,3,50,"2,489",530,183,254,229,248,255,155,635
2021,3,60,"2,804",465,245,324,217,353,316,252,632
2021,3,70,"1,753",265,143,208,156,200,221,149,411
2021,3,80,880,133,62,116,85,113,111,78,182
2021,3,90,58,6,3,6,6,7,11,9,10
2021,3,100,3,0,0,1,0,0,0,0,2
2021,4,총,"12,433","2,577",905,"1,238","1,037","1,248","1,248",889,"3,291"
2021,4,0,497,157,23,33,36,31,38,24,155
2021,4,10,620,170,33,54,53,55,50,22,183
2021,4,20,"1,011",272,53,77,80,66,72,54,337
2021,4,30,964,258,71,66,55,77,61,65,311
2021,4,40,"1,343",318,90,93,114,100,116,80,432
2021,4,50,"2,494",533,180,258,233,244,256,153,637
2021,4,60,"2,801",463,246,320,219,358,312,256,627
2021,4,70,"1,754",265,144,213,156,192,221,146,417
2021,4,80,888,135,62,117,85,118,111,79,181
2021,4,90,58,6,3,6,6,7,11,10,9
2021,4,100,3,0,0,1,0,0,0,0,2
2021,5,총,"12,380","2,561",907,"1,232","1,036","1,244","1,254",882,"3,264"
2021,5,0,491,154,23,33,35,30,39,23,154
2021,5,10,624,173,33,53,55,51,52,22,185
2021,5,20,995,268,53,76,80,67,71,52,328
2021,5,30,950,252,72,65,54,76,66,65,300
2021,5,40,"1,322",313,89,91,113,99,114,79,424
2021,5,50,"2,474",529,182,256,232,242,256,147,630
2021,5,60,"2,819",466,245,320,220,361,315,258,634
2021,5,70,"1,754",265,145,214,155,192,220,148,415
2021,5,80,889,135,62,117,85,119,110,78,183
2021,5,90,59,6,3,6,7,7,11,10,9
2021,5,100,3,0,0,1,0,0,0,0,2
2021,6,총,"12,359","2,556",904,"1,228","1,035","1,242","1,256",881,"3,257"
2021,6,0,484,152,21,34,35,29,38,22,153
2021,6,10,626,175,34,54,55,51,53,22,182
2021,6,20,997,268,51,75,82,65,70,51,335
2021,6,30,934,251,72,62,50,77,65,64,293
2021,6,40,"1,321",313,88,91,113,99,116,78,423
2021,6,50,"2,450",527,179,255,228,237,254,146,624
2021,6,60,"2,834",464,249,322,223,363,317,262,634
2021,6,70,"1,757",264,146,211,157,194,221,147,417
2021,6,80,894,135,61,117,85,120,111,79,186
2021,6,90,59,7,3,6,7,7,11,10,8
2021,6,100,3,0,0,1,0,0,0,0,2
2021,7,총,"12,346","2,542",903,"1,228","1,039","1,237","1,257",880,"3,260"
2021,7,0,486,152,20,34,36,28,38,22,156
2021,7,10,628,174,34,53,55,51,54,22,185
2021,7,20,984,258,51,77,82,65,70,51,330
2021,7,30,932,252,70,62,51,76,63,62,296
2021,7,40,"1,318",309,88,89,114,98,113,81,426
2021,7,50,"2,439",526,176,256,230,234,252,147,618
2021,7,60,"2,826",465,254,319,218,359,324,256,631
2021,7,70,"1,778",264,146,215,163,200,219,149,422
2021,7,80,892,134,61,116,83,119,113,80,186
2021,7,90,60,8,3,6,7,7,11,10,8
2021,7,100,3,0,0,1,0,0,0,0,2
2021,8,총,"12,340","2,543",906,"1,229","1,039","1,235","1,252",882,"3,254"
2021,8,0,485,149,20,35,36,28,40,24,153
2021,8,10,624,173,33,53,54,51,52,22,186
2021,8,20,983,263,51,76,81,65,67,51,329
2021,8,30,922,248,68,63,54,71,63,60,295
2021,8,40,"1,314",306,90,92,112,99,113,81,421
2021,8,50,"2,433",528,175,253,231,234,251,148,613
2021,8,60,"2,842",468,257,320,217,359,324,258,639
2021,8,70,"1,783",265,147,216,162,201,219,149,424
2021,8,80,888,135,62,114,85,119,112,78,183
2021,8,90,63,8,3,6,7,8,11,11,9
2021,8,100,3,0,0,1,0,0,0,0,2
2021,9,총,"12,306","2,540",904,"1,230","1,037","1,228","1,249",879,"3,239"
2021,9,0,485,150,20,35,37,28,40,25,150
2021,9,10,622,174,33,52,53,51,53,21,185
2021,9,20,955,253,50,76,79,62,63,49,323
2021,9,30,918,251,66,62,55,70,63,60,291
2021,9,40,"1,311",307,89,94,111,98,111,80,421
2021,9,50,"2,428",525,176,253,232,233,254,146,609
2021,9,60,"2,844",473,255,323,215,357,320,259,642
2021,9,70,"1,779",261,147,212,165,202,219,148,425
