년도,월,나이,나주시,남평읍,세지면,왕곡면,반남면,공산면,동강면,다시면,문평면,노안면,금천면,산포면,다도면,봉황면,송월동,영강동,금남동,성북동,영산동,이창동,빛가람동
2020,1,총,"56,975","6,107","1,410","1,497",766,"1,216","1,323","1,806","1,036","2,323","2,150","1,718",952,"2,139","3,944","1,451","2,589","4,635","1,733","1,724","16,456"
2020,1,0,"5,058",568,32,46,14,46,30,36,20,42,76,55,23,67,332,84,113,420,54,80,"2,920"
2020,1,10,"4,557",391,81,74,25,66,41,67,26,104,108,73,29,94,443,122,168,458,186,114,"1,887"
2020,1,20,"5,843",610,108,135,43,73,81,103,60,170,180,141,51,158,560,155,258,622,129,183,"2,023"
2020,1,30,"7,093",834,58,71,25,60,58,76,36,112,144,109,50,114,476,146,196,552,108,137,"3,731"
2020,1,40,"7,077",772,81,100,46,91,72,112,53,139,167,154,58,145,637,194,302,686,136,169,"2,963"
2020,1,50,"7,954","1,013",212,221,120,173,192,299,167,390,334,292,159,291,602,236,437,720,268,265,"1,563"
2020,1,60,"7,491",864,264,287,159,228,249,354,192,477,404,341,192,416,400,209,440,531,302,311,871
2020,1,70,"6,611",606,293,293,160,260,338,388,247,457,439,300,210,473,288,176,413,378,307,266,319
2020,1,80,"4,513",389,227,234,147,196,232,315,206,360,239,221,158,320,184,106,224,229,209,162,155
2020,1,90,726,56,50,34,27,19,30,54,28,67,55,32,22,56,21,23,34,36,30,29,23
2020,1,100,52,4,4,2,0,4,0,2,1,5,4,0,0,5,1,0,4,3,4,8,1
2020,2,총,"56,942","6,087","1,402","1,479",773,"1,211","1,316","1,809","1,034","2,319","2,134","1,700",948,"2,135","3,928","1,437","2,591","4,621","1,721","1,713","16,584"
2020,2,0,"5,033",562,32,48,14,45,29,36,19,42,71,50,22,68,330,82,113,415,51,80,"2,924"
2020,2,10,"4,550",388,78,71,26,64,39,67,26,101,109,72,31,96,438,118,168,459,183,116,"1,900"
2020,2,20,"5,796",597,107,128,42,71,84,100,61,169,177,138,50,158,549,153,260,614,126,173,"2,039"
2020,2,30,"7,095",834,59,70,25,60,56,77,36,111,139,108,49,113,476,142,197,545,107,127,"3,764"
2020,2,40,"7,088",768,82,93,46,91,72,111,53,142,168,150,53,140,634,196,298,690,133,173,"2,995"
2020,2,50,"7,943","1,012",210,220,121,171,186,295,164,382,331,290,164,292,607,237,438,714,267,266,"1,576"
2020,2,60,"7,551",877,265,289,165,232,257,361,194,484,406,341,195,417,400,205,434,531,305,310,883
2020,2,70,"6,573",603,289,290,159,253,329,385,246,453,432,297,205,469,283,176,421,383,311,266,323
2020,2,80,"4,531",386,226,234,146,200,235,319,206,363,245,222,158,321,187,104,224,228,206,165,156
2020,2,90,729,56,50,34,29,20,29,56,28,67,52,32,21,56,23,23,34,39,28,29,23
2020,2,100,53,4,4,2,0,4,0,2,1,5,4,0,0,5,1,1,4,3,4,8,1
2020,3,총,"56,849","6,088","1,392","1,469",772,"1,210","1,306","1,809","1,029","2,313","2,125","1,683",945,"2,118","3,943","1,424","2,581","4,578","1,719","1,701","16,644"
2020,3,0,"5,012",570,32,45,14,45,29,37,19,44,72,50,22,66,332,82,107,408,52,78,"2,908"
2020,3,10,"4,512",381,76,72,24,65,39,64,25,98,105,70,30,94,432,116,164,453,177,117,"1,910"
2020,3,20,"5,789",591,105,128,42,70,81,103,60,164,176,135,48,158,553,151,259,607,130,168,"2,060"
2020,3,30,"7,062",838,59,69,27,62,53,79,35,108,138,106,48,111,477,138,197,527,108,125,"3,757"
2020,3,40,"7,092",762,78,90,46,91,72,114,53,141,167,144,55,138,636,192,300,683,133,170,"3,027"
2020,3,50,"7,924","1,013",206,217,121,165,184,293,162,382,332,286,161,285,614,235,439,713,267,263,"1,586"
2020,3,60,"7,571",881,267,282,165,235,255,359,197,484,405,344,197,413,403,204,436,537,303,310,894
2020,3,70,"6,543",604,288,292,157,251,328,380,243,452,424,291,202,468,281,174,422,385,309,265,327
2020,3,80,"4,543",389,226,237,147,201,235,322,202,363,250,221,161,324,191,108,217,222,208,167,152
2020,3,90,748,56,51,35,29,21,30,56,32,72,52,36,21,56,23,23,36,40,28,29,22
2020,3,100,53,3,4,2,0,4,0,2,1,5,4,0,0,5,1,1,4,3,4,9,1
2020,4,총,"56,760","6,065","1,385","1,461",768,"1,210","1,303","1,813","1,034","2,309","2,121","1,674",941,"2,110","3,940","1,417","2,557","4,569","1,705","1,699","16,679"
2020,4,0,"4,986",565,32,44,14,44,30,35,21,44,70,49,21,65,332,79,104,403,50,79,"2,905"
2020,4,10,"4,506",380,76,71,25,65,37,66,26,99,102,72,30,91,432,113,157,453,168,114,"1,929"
2020,4,20,"5,766",591,100,127,41,72,76,105,59,162,173,138,49,152,545,153,256,603,132,169,"2,063"
2020,4,30,"7,054",832,61,68,26,61,55,77,37,107,138,105,46,115,478,139,192,525,104,126,"3,762"
2020,4,40,"7,073",751,76,89,44,89,68,113,52,142,169,138,56,135,633,189,293,683,135,169,"3,049"
2020,4,50,"7,867","1,003",204,214,122,161,187,288,161,380,332,283,160,278,611,231,435,711,268,258,"1,580"
2020,4,60,"7,615",891,266,283,164,239,251,366,199,487,402,338,197,422,409,210,438,543,304,312,894
2020,4,70,"6,520",599,288,287,153,252,327,381,241,449,430,291,199,463,284,171,423,385,306,264,327
2020,4,80,"4,565",393,226,240,151,202,242,325,201,361,250,222,161,328,192,109,218,222,207,167,148
2020,4,90,758,57,52,35,28,21,30,55,36,74,51,38,22,56,23,23,37,40,27,32,21
2020,4,100,50,3,4,3,0,4,0,2,1,4,4,0,0,5,1,0,4,1,4,9,1
2020,5,총,"56,826","6,069","1,376","1,465",766,"1,210","1,298","1,821","1,033","2,309","2,124","1,664",930,"2,101","3,940","1,412","2,554","4,579","1,700","1,693","16,782"
2020,5,0,"4,967",566,32,46,13,44,30,35,21,41,69,48,18,64,334,81,102,403,49,78,"2,893"
2020,5,10,"4,526",381,76,68,25,65,37,66,28,95,104,72,28,91,429,110,162,454,168,113,"1,954"
2020,5,20,"5,748",588,100,130,40,71,72,105,57,162,170,132,47,151,545,156,252,604,128,167,"2,071"
2020,5,30,"7,051",828,60,65,27,63,52,76,38,105,142,102,46,113,481,134,193,528,104,122,"3,772"
2020,5,40,"7,088",751,74,90,43,89,68,109,52,143,171,141,54,131,628,191,287,685,132,169,"3,080"
2020,5,50,"7,864",998,200,215,121,162,188,294,156,381,325,278,159,279,613,223,434,707,267,257,"1,607"
2020,5,60,"7,661",895,269,285,165,236,252,370,201,492,408,341,196,420,409,212,440,544,308,310,908
2020,5,70,"6,527",603,285,286,154,253,326,380,238,447,428,292,200,466,282,174,424,389,308,268,324
2020,5,80,"4,583",397,226,242,151,202,242,330,203,362,251,220,159,328,195,106,219,225,207,168,150
2020,5,90,763,59,50,36,27,21,31,54,38,77,52,38,23,54,23,25,37,39,25,32,22
