년도,월,나이,경기도 시흥시,경기도 시흥시 대야동,경기도 시흥시 신천동,경기도 시흥시 신현동,경기도 시흥시 은행동,경기도 시흥시 매화동,경기도 시흥시 목감동,경기도 시흥시 군자동,경기도 시흥시 월곶동,경기도 시흥시 정왕본동,경기도 시흥시 정왕1동,경기도 시흥시 정왕2동,경기도 시흥시 정왕3동,경기도 시흥시 정왕4동,경기도 시흥시 배곧동,경기도 시흥시 과림동,경기도 시흥시 연성동,경기도 시흥시 장곡동,경기도 시흥시 능곡동,경기도 시흥시 배곧1동,경기도 시흥시 배곧2동
2020,1,총,"475,396","34,479","37,527","10,354","48,288","12,496","43,182","22,993","15,294","20,713","22,790","32,010","23,092","21,712","69,189","1,992","24,420","17,490","17,375",,
2020,1,0,"46,857","2,390","1,960",527,"5,809",787,"6,533","1,816","1,513","1,272","1,534","2,719","1,855","1,816","11,266",51,"1,950","1,662","1,397",,
2020,1,10,"49,923","3,153","3,737",836,"5,301","1,313","3,453","2,366","1,469","1,151","2,060","3,807","2,241","2,897","7,441",64,"3,267","2,977","2,390",,
2020,1,20,"66,247","5,387","6,041","1,492","6,422","1,745","4,266","3,016","1,643","3,202","3,340","5,157","3,134","3,597","8,954",158,"3,682","2,489","2,522",,
2020,1,30,"73,951","4,715","4,041","1,089","7,993","1,190","9,120","3,024","2,342","4,451","3,743","4,395","3,393","2,570","15,317",188,"2,659","1,766","1,955",,
2020,1,40,"86,826","5,026","5,872","1,461","8,157","2,136","7,330","4,041","3,078","4,316","4,741","6,342","4,672","4,050","13,595",199,"4,721","3,791","3,298",,
2020,1,50,"83,257","7,075","8,349","2,328","8,151","2,515","5,847","4,211","2,504","3,801","4,366","5,884","4,484","4,247","8,122",483,"4,652","3,152","3,086",,
2020,1,60,"40,752","4,015","4,529","1,482","3,998","1,503","4,063","2,591","1,594","1,594","1,909","2,164","2,029","1,376","3,187",516,"1,842",890,"1,470",,
2020,1,70,"18,151","1,719","2,019",733,"1,599",837,"1,732","1,266",781,651,758,991,839,722,939,229,"1,060",482,794,,
2020,1,80,"8,178",861,841,355,746,419,719,575,321,238,296,501,371,391,320,82,509,241,392,,
2020,1,90,"1,164",130,119,42,107,47,105,77,47,35,40,49,73,44,47,20,73,38,71,,
2020,1,100,90,8,19,9,5,4,14,10,2,2,3,1,1,2,1,2,5,2,0,,
2020,2,총,"476,481","35,668","37,458","10,311","48,309","12,477","43,151","22,873","15,303","20,629","22,708","31,972","23,050","21,693","69,566","1,984","24,436","17,427","17,466",,
2020,2,0,"46,874","2,657","1,926",527,"5,780",786,"6,488","1,791","1,510","1,249","1,490","2,683","1,838","1,804","11,283",50,"1,945","1,642","1,425",,
2020,2,10,"49,821","3,205","3,688",828,"5,301","1,306","3,444","2,346","1,470","1,146","2,053","3,792","2,220","2,871","7,520",62,"3,243","2,948","2,378",,
2020,2,20,"66,225","5,505","6,054","1,480","6,365","1,742","4,249","2,995","1,651","3,175","3,338","5,145","3,111","3,588","8,981",156,"3,689","2,482","2,519",,
2020,2,30,"73,929","5,071","4,037","1,064","7,953","1,184","9,072","2,981","2,322","4,411","3,694","4,350","3,372","2,555","15,303",193,"2,637","1,745","1,985",,
2020,2,40,"87,124","5,227","5,837","1,448","8,198","2,121","7,348","4,024","3,083","4,297","4,726","6,342","4,686","4,039","13,759",195,"4,705","3,787","3,302",,
2020,2,50,"83,506","7,126","8,351","2,327","8,167","2,510","5,860","4,194","2,528","3,805","4,378","5,921","4,479","4,284","8,151",481,"4,690","3,150","3,104",,
2020,2,60,"41,264","4,120","4,562","1,501","4,067","1,513","4,109","2,614","1,584","1,612","1,931","2,183","2,051","1,396","3,237",519,"1,874",901,"1,490",,
2020,2,70,"18,216","1,745","2,020",730,"1,612",841,"1,731","1,268",783,652,758,997,842,720,951,225,"1,057",483,801,,
2020,2,80,"8,261",875,846,357,756,421,725,572,322,245,296,509,379,391,332,81,513,249,392,,
2020,2,90,"1,172",129,118,41,105,49,111,78,48,34,42,49,71,43,48,20,78,39,69,,
2020,2,100,89,8,19,8,5,4,14,10,2,3,2,1,1,2,1,2,5,1,1,,
2020,3,총,"477,425","36,127","37,473","10,317","48,481","12,486","43,101","22,812","15,439","20,572","22,645","31,993","23,031","21,674","69,904","1,980","24,443","17,377","17,570",,
2020,3,0,"46,839","2,734","1,907",522,"5,800",776,"6,474","1,775","1,515","1,244","1,485","2,654","1,827","1,778","11,316",51,"1,929","1,621","1,431",,
2020,3,10,"49,642","3,190","3,661",826,"5,279","1,291","3,432","2,338","1,471","1,152","2,031","3,770","2,194","2,845","7,572",61,"3,242","2,914","2,373",,
2020,3,20,"66,563","5,597","6,052","1,473","6,405","1,749","4,251","3,003","1,678","3,180","3,355","5,132","3,119","3,619","9,061",154,"3,692","2,501","2,542",,
