년도,월,나이,인천광역시 중구,인천광역시 중구 연안동,인천광역시 중구 신포동,인천광역시 중구 신흥동,인천광역시 중구 도원동,인천광역시 중구 율목동,인천광역시 중구 동인천동,인천광역시 중구 북성동,인천광역시 중구 송월동,인천광역시 중구 영종동,인천광역시 중구 영종1동,인천광역시 중구 운서동,인천광역시 중구 용유동,인천광역시 중구 개항동
2020,3,총,"137,587","6,506","5,220","13,448","4,140","3,508","6,050","2,964","4,601","15,381","42,149","29,435","4,185",
2020,3,0,"12,221",262,241,943,155,142,209,92,214,969,"7,100","1,800",94,
2020,3,10,"12,462",399,358,"1,147",310,219,314,168,350,"1,222","4,504","3,346",125,
2020,3,20,"19,210",667,546,"1,639",435,397,654,304,526,"2,160","3,967","7,631",284,
2020,3,30,"21,065",655,508,"1,697",421,330,700,268,457,"2,224","9,016","4,484",305,
2020,3,40,"24,289",925,838,"2,094",602,500,803,409,635,"2,540","8,926","5,491",526,
2020,3,50,"19,851","1,357",906,"2,292",748,660,"1,156",545,866,"2,671","4,235","3,457",958,
2020,3,60,"15,238","1,245",834,"1,923",725,628,"1,084",558,778,"2,143","2,649","1,624","1,047",
2020,3,70,"9,056",656,618,"1,168",517,430,721,413,526,961,"1,297","1,149",600,
2020,3,80,"3,524",279,304,462,189,163,330,170,202,404,405,412,204,
2020,3,90,596,57,61,78,35,33,68,28,35,76,48,39,38,
2020,3,100,75,4,6,5,3,6,11,9,12,11,2,2,4,
2020,4,총,"137,994","6,472","5,221","13,440","4,141","3,485","6,035","2,962","4,599","15,429","42,430","29,611","4,169",
2020,4,0,"12,193",262,237,933,151,134,206,95,215,957,"7,130","1,780",93,
2020,4,10,"12,504",391,365,"1,139",309,218,303,166,348,"1,243","4,525","3,372",125,
2020,4,20,"19,250",656,552,"1,638",431,386,657,304,523,"2,153","4,008","7,658",284,
2020,4,30,"21,157",650,499,"1,685",425,327,691,271,461,"2,216","9,087","4,539",306,
2020,4,40,"24,306",909,839,"2,090",601,499,802,408,629,"2,545","8,953","5,513",518,
2020,4,50,"19,917","1,357",908,"2,283",753,662,"1,145",538,861,"2,691","4,277","3,484",958,
2020,4,60,"15,321","1,252",822,"1,935",716,625,"1,094",557,782,"2,169","2,680","1,654","1,035",
2020,4,70,"9,112",649,627,"1,183",524,432,722,417,532,963,"1,305","1,153",605,
2020,4,80,"3,562",286,306,468,193,163,335,169,201,404,415,418,204,
2020,4,90,594,56,60,81,35,33,68,28,35,75,48,38,37,
2020,4,100,78,4,6,5,3,6,12,9,12,13,2,2,4,
