년도,월,나이,양주시,백석읍,은현면,남면,광적면,장흥면,양주1동,양주2동,회천1동,회천2동,회천3동,회천4동
2020,1,총,"222,275","26,770","6,203","7,234","12,252","10,297","5,549","51,214","10,024","27,437","28,334","36,961"
2020,1,0,"19,748","1,576",178,417,691,512,218,"5,533",671,"2,050","2,575","5,327"
2020,1,10,"23,803","2,672",359,453,959,581,310,"7,363",814,"2,852","3,902","3,538"
2020,1,20,"26,238","3,395",711,840,"1,354","1,081",607,"5,065","1,649","3,627","3,779","4,130"
2020,1,30,"27,446","2,461",536,831,"1,229","1,109",475,"5,980","1,191","2,976","3,156","7,502"
2020,1,40,"38,617","4,089",738,842,"1,850","1,186",679,"10,837","1,479","4,543","5,554","6,820"
2020,1,50,"36,828","5,279","1,360","1,389","2,558","1,819","1,146","7,169","1,853","5,446","4,573","4,236"
2020,1,60,"26,305","3,940","1,276","1,296","1,960","2,056","1,054","4,765","1,278","3,321","2,269","3,090"
2020,1,70,"15,704","2,228",652,709,"1,061","1,239",695,"3,257",712,"1,829","1,636","1,686"
2020,1,80,"6,591",986,329,372,521,575,321,"1,094",326,711,809,547
2020,1,90,927,139,61,78,64,131,40,141,39,77,78,79
2020,1,100,68,5,3,7,5,8,4,10,12,5,3,6
2020,2,총,"222,435","26,701","6,202","7,224","12,251","10,265","5,530","51,029","9,968","27,364","28,183","37,718"
2020,2,0,"19,699","1,557",172,407,694,510,220,"5,476",655,"2,039","2,525","5,444"
2020,2,10,"23,770","2,661",361,460,950,574,308,"7,302",802,"2,840","3,854","3,658"
2020,2,20,"26,252","3,365",709,843,"1,368","1,066",606,"5,084","1,638","3,593","3,774","4,206"
2020,2,30,"27,334","2,455",533,834,"1,223","1,108",482,"5,903","1,195","2,933","3,105","7,563"
2020,2,40,"38,709","4,069",736,838,"1,849","1,179",680,"10,797","1,459","4,560","5,521","7,021"
2020,2,50,"36,758","5,253","1,343","1,366","2,549","1,799","1,128","7,157","1,845","5,425","4,584","4,309"
2020,2,60,"26,557","3,980","1,295","1,320","1,964","2,082","1,054","4,791","1,290","3,344","2,277","3,160"
2020,2,70,"15,733","2,218",660,702,"1,070","1,233",690,"3,253",711,"1,834","1,649","1,713"
2020,2,80,"6,631","1,007",328,371,515,573,319,"1,112",323,715,809,559
2020,2,90,925,131,62,76,65,133,38,145,38,76,82,79
2020,2,100,67,5,3,7,4,8,5,9,12,5,3,6
2020,3,총,"223,704","26,672","6,177","7,189","12,218","10,339","5,478","50,720","9,981","27,337","28,071","39,522"
2020,3,0,"19,805","1,538",166,405,687,517,217,"5,365",664,"2,040","2,511","5,695"
2020,3,10,"23,810","2,648",355,427,939,579,303,"7,265",794,"2,799","3,816","3,885"
