년도,월,나이,서울특별시 광진구,서울특별시 광진구 화양동,서울특별시 광진구 군자동,서울특별시 광진구 중곡제1동,서울특별시 광진구 중곡제2동,서울특별시 광진구 중곡제3동,서울특별시 광진구 중곡제4동,서울특별시 광진구 능동,서울특별시 광진구 광장동,서울특별시 광진구 자양제1동,서울특별시 광진구 자양제2동,서울특별시 광진구 자양제3동,서울특별시 광진구 자양제4동,서울특별시 광진구 구의제1동,서울특별시 광진구 구의제2동,서울특별시 광진구 구의제3동
2020,3,총,"350,417","22,186","19,888","15,808","22,278","16,936","30,014","11,600","35,872","22,946","26,265","28,980","18,336","22,405","27,301","29,602"
2020,3,0,"21,056",454,949,824,"1,303",807,"1,671",596,"3,531","1,108","1,771","2,439",775,946,"1,899","1,983"
2020,3,10,"27,146",817,"1,111",777,"1,488","1,058","2,093",566,"5,630","1,576","2,026","2,697",936,"1,264","2,437","2,670"
2020,3,20,"62,144","9,147","4,281","2,744","3,927","2,708","4,524","2,367","4,096","4,287","3,921","4,051","2,746","4,812","3,756","4,777"
2020,3,30,"57,503","4,281","3,671","2,987","4,034","2,753","4,612","2,683","4,077","3,895","4,155","4,415","2,773","4,387","4,031","4,749"
2020,3,40,"54,137","2,202","2,653","2,289","3,142","2,465","4,351","1,617","7,931","3,479","4,229","4,702","2,591","3,285","4,509","4,692"
2020,3,50,"55,342","2,105","2,975","2,565","3,649","3,035","5,464","1,462","5,313","3,700","4,352","4,711","3,296","3,280","4,551","4,884"
2020,3,60,"41,004","1,658","2,296","2,051","2,706","2,326","4,172","1,207","2,883","2,748","3,471","3,442","2,904","2,371","3,415","3,354"
2020,3,70,"22,163","1,041","1,379","1,142","1,464","1,264","2,274",752,"1,473","1,509","1,657","1,591","1,630","1,431","1,888","1,668"
2020,3,80,"8,482",398,499,367,476,447,726,299,797,552,583,808,589,550,695,696
2020,3,90,"1,235",62,64,54,80,59,98,48,132,78,88,112,82,65,94,119
2020,3,100,205,21,10,8,9,14,29,3,9,14,12,12,14,14,26,10
2020,4,총,"350,016","22,252","19,894","15,791","22,198","16,953","29,993","11,642","35,814","22,853","26,235","28,980","18,269","22,335","27,228","29,579"
2020,4,0,"20,870",447,947,814,"1,290",801,"1,639",585,"3,495","1,090","1,764","2,430",765,943,"1,886","1,974"
2020,4,10,"27,020",816,"1,101",772,"1,464","1,057","2,099",565,"5,608","1,550","2,012","2,699",928,"1,259","2,432","2,658"
2020,4,20,"62,239","9,203","4,336","2,753","3,936","2,702","4,517","2,397","4,128","4,275","3,910","4,041","2,729","4,770","3,751","4,791"
2020,4,30,"57,371","4,288","3,669","2,966","4,012","2,762","4,610","2,682","4,048","3,867","4,161","4,428","2,749","4,378","4,005","4,746"
2020,4,40,"53,910","2,213","2,633","2,279","3,109","2,458","4,351","1,620","7,881","3,463","4,203","4,697","2,579","3,275","4,473","4,676"
2020,4,50,"55,278","2,099","2,963","2,582","3,638","3,030","5,464","1,475","5,324","3,695","4,341","4,695","3,273","3,269","4,557","4,873"
2020,4,60,"41,172","1,664","2,299","2,053","2,718","2,331","4,190","1,217","2,917","2,756","3,490","3,464","2,915","2,380","3,412","3,366"
2020,4,70,"22,195","1,039","1,373","1,139","1,459","1,287","2,271",751,"1,468","1,512","1,671","1,591","1,637","1,433","1,899","1,665"
2020,4,80,"8,509",397,501,370,481,450,727,301,799,553,583,806,597,549,694,701
2020,4,90,"1,246",64,62,55,82,61,97,46,136,78,89,117,82,65,94,118
2020,4,100,206,22,10,8,9,14,28,3,10,14,11,12,15,14,25,11
2020,5,총,"349,800","22,307","19,935","15,751","22,179","16,922","29,973","11,685","35,794","22,833","26,197","28,930","18,221","22,317","27,207","29,549"
2020,5,0,"20,774",437,931,810,"1,278",798,"1,636",595,"3,460","1,082","1,766","2,434",758,938,"1,886","1,965"
2020,5,10,"26,803",800,"1,105",767,"1,446","1,049","2,065",561,"5,605","1,538","1,982","2,675",918,"1,247","2,422","2,623"
2020,5,20,"62,450","9,283","4,369","2,749","3,939","2,692","4,550","2,401","4,135","4,292","3,908","4,035","2,730","4,810","3,762","4,795"
2020,5,30,"57,272","4,306","3,686","2,965","4,031","2,756","4,592","2,692","4,044","3,851","4,129","4,412","2,721","4,358","3,988","4,741"
2020,5,40,"53,749","2,206","2,627","2,252","3,082","2,447","4,344","1,633","7,862","3,462","4,199","4,679","2,571","3,244","4,472","4,669"
2020,5,50,"55,236","2,097","2,955","2,586","3,630","3,013","5,456","1,484","5,340","3,679","4,347","4,698","3,264","3,278","4,546","4,863"
2020,5,60,"41,299","1,659","2,316","2,043","2,726","2,340","4,195","1,227","2,931","2,763","3,508","3,469","2,927","2,388","3,421","3,386"
2020,5,70,"22,208","1,035","1,371","1,143","1,472","1,298","2,273",745,"1,472","1,520","1,667","1,585","1,634","1,429","1,894","1,670"
2020,5,80,"8,553",399,501,371,486,454,734,298,798,555,589,814,603,548,695,708
2020,5,90,"1,248",63,64,56,80,61,100,45,137,77,90,117,80,63,97,118
2020,5,100,208,22,10,9,9,14,28,4,10,14,12,12,15,14,24,11
2020,6,총,"349,574","22,360","19,952","15,759","22,159","16,881","29,894","11,684","35,749","22,856","26,185","28,939","18,192","22,295","27,160","29,509"
2020,6,0,"20,639",427,927,809,"1,269",790,"1,610",594,"3,446","1,083","1,740","2,427",757,930,"1,875","1,955"
2020,6,10,"26,686",780,"1,107",780,"1,439","1,039","2,053",556,"5,597","1,534","1,973","2,663",915,"1,239","2,417","2,594"
2020,6,20,"62,568","9,354","4,401","2,728","3,938","2,693","4,539","2,401","4,124","4,317","3,931","4,029","2,730","4,825","3,746","4,812"
2020,6,30,"57,165","4,326","3,679","2,979","4,013","2,760","4,556","2,694","4,040","3,850","4,125","4,423","2,689","4,334","3,976","4,721"
2020,6,40,"53,563","2,206","2,619","2,233","3,062","2,420","4,327","1,634","7,815","3,454","4,181","4,665","2,567","3,245","4,484","4,651"
