년도,월,나이,전라북도 군산시,전라북도 군산시 옥구읍,전라북도 군산시 옥산면,전라북도 군산시 회현면,전라북도 군산시 임피면,전라북도 군산시 서수면,전라북도 군산시 대야면,전라북도 군산시 개정면,전라북도 군산시 성산면,전라북도 군산시 나포면,전라북도 군산시 옥도면,전라북도 군산시 옥서면,전라북도 군산시 해신동,전라북도 군산시 월명동,전라북도 군산시 신풍동,전라북도 군산시 삼학동,전라북도 군산시 중앙동,전라북도 군산시 흥남동,전라북도 군산시 조촌동,전라북도 군산시 경암동,전라북도 군산시 구암동,전라북도 군산시 개정동,전라북도 군산시 수송동,전라북도 군산시 나운1동,전라북도 군산시 나운2동,전라북도 군산시 나운3동,전라북도 군산시 소룡동,전라북도 군산시 미성동
2020,1,총,"269,779","3,259","4,827","3,528","2,753","2,669","5,185","3,116","3,003","2,283","3,626","3,193","2,458","6,002","7,534","5,943","2,936","12,348","21,179","7,726","5,584","2,984","56,178","13,299","24,390","33,463","17,152","13,161"
2020,1,0,"22,370",101,585,193,76,81,186,88,105,59,115,139,131,234,416,195,78,"1,043","2,378",429,367,166,"7,247",742,"1,932","3,017","1,375",892
2020,1,10,"27,702",133,386,369,123,114,249,167,147,111,202,149,143,457,682,381,111,"1,098","1,991",533,489,268,"7,824","1,279","3,065","4,515","1,716","1,000"
2020,1,20,"29,836",251,426,249,250,188,386,291,269,147,386,272,187,529,816,617,209,"1,352","2,451",756,589,327,"6,600","1,733","3,032","4,256","1,855","1,412"
2020,1,30,"32,417",215,727,238,157,177,403,196,205,126,300,265,238,530,674,459,242,"1,649","3,608",819,598,265,"8,306","1,461","2,402","3,993","2,324","1,840"
2020,1,40,"44,381",319,744,522,279,254,550,333,316,248,550,409,286,795,"1,024",668,344,"1,904","3,403","1,141",751,395,"11,059","1,921","4,076","6,484","3,241","2,365"
2020,1,50,"44,195",606,719,559,515,488,868,638,612,428,794,491,395,"1,059","1,176","1,005",512,"1,981","3,027","1,294","1,017",514,"7,762","2,507","4,195","5,506","3,108","2,419"
2020,1,60,"35,782",708,588,604,591,573,"1,122",646,634,493,693,617,498,"1,173","1,343","1,182",680,"1,677","2,450","1,409",986,511,"4,283","2,097","3,140","3,227","2,079","1,778"
2020,1,70,"21,818",559,378,436,434,409,818,452,436,376,391,542,422,831,992,960,535,"1,178","1,287",973,556,338,"2,130","1,103","1,614","1,691","1,004",973
2020,1,80,"9,759",311,242,308,266,321,510,264,235,253,173,261,132,337,364,417,191,416,513,325,197,171,842,397,824,694,370,425
2020,1,90,"1,408",51,32,50,58,59,87,37,42,39,19,41,19,47,42,55,32,47,69,43,33,27,121,58,107,74,69,50
2020,1,100,111,5,0,0,4,5,6,4,2,3,3,7,7,10,5,4,2,3,2,4,1,2,4,1,3,6,11,7
2020,2,총,"269,201","3,255","4,814","3,509","2,742","2,640","5,177","3,119","3,012","2,278","3,624","3,175","2,456","5,945","7,529","5,911","2,919","12,802","21,127","7,703","5,550","2,985","55,999","13,251","24,311","33,244","17,066","13,058"
2020,2,0,"22,151",98,580,186,76,80,181,86,105,58,114,137,128,230,409,192,77,"1,101","2,368",427,354,167,"7,173",727,"1,922","2,968","1,343",864
2020,2,10,"27,532",134,385,362,119,111,248,170,153,110,201,151,147,440,680,365,107,"1,161","1,978",533,483,267,"7,771","1,276","3,054","4,461","1,695",970
2020,2,20,"29,668",246,425,254,248,185,373,289,263,149,376,262,182,523,816,614,202,"1,396","2,424",755,585,326,"6,602","1,709","3,012","4,207","1,847","1,398"
2020,2,30,"32,117",213,721,235,153,174,402,196,209,122,294,267,239,524,663,447,241,"1,725","3,571",808,594,264,"8,221","1,434","2,376","3,955","2,286","1,783"
2020,2,40,"44,369",330,746,507,276,248,557,330,313,249,553,404,287,791,"1,032",665,343,"1,988","3,442","1,138",737,394,"11,031","1,925","4,063","6,413","3,238","2,369"
2020,2,50,"44,178",606,713,565,514,476,868,639,619,423,795,483,390,"1,039","1,173",997,502,"2,042","3,012","1,290","1,020",514,"7,769","2,501","4,184","5,513","3,117","2,414"
2020,2,60,"35,924",702,597,596,594,575,"1,125",651,634,494,702,616,496,"1,158","1,338","1,187",678,"1,727","2,460","1,398",986,513,"4,319","2,113","3,143","3,244","2,083","1,795"
2020,2,70,"21,893",554,373,447,435,413,826,451,437,377,394,546,424,842,997,952,542,"1,189","1,291",975,559,335,"2,135","1,101","1,624","1,692","1,006",976
2020,2,80,"9,815",313,241,306,262,313,502,267,235,253,172,261,137,341,372,429,191,424,511,332,196,176,847,404,821,705,374,430
2020,2,90,"1,443",54,33,51,61,60,88,36,42,40,20,42,19,47,44,59,34,46,68,43,35,27,127,60,109,80,66,52
2020,2,100,111,5,0,0,4,5,7,4,2,3,3,6,7,10,5,4,2,3,2,4,1,2,4,1,3,6,11,7
2020,3,총,"268,766","3,268","4,772","3,509","2,724","2,627","5,174","3,094","2,996","2,275","3,588","3,151","2,455","5,936","7,489","5,874","2,907","12,961","21,163","7,679","5,524","2,985","55,932","13,237","24,296","33,143","17,072","12,935"
2020,3,0,"22,010",101,580,187,73,80,180,84,99,57,118,139,129,236,398,184,81,"1,122","2,372",428,339,168,"7,117",736,"1,905","2,926","1,332",839
2020,3,10,"27,417",134,381,363,119,111,248,166,157,110,194,145,142,443,672,352,109,"1,162","1,982",528,481,265,"7,765","1,271","3,036","4,434","1,697",950
2020,3,20,"29,611",246,413,256,237,181,368,282,260,147,367,259,184,515,814,610,203,"1,436","2,430",753,577,328,"6,600","1,689","2,997","4,212","1,846","1,401"
2020,3,30,"31,913",219,721,230,156,170,401,192,199,126,286,265,238,520,655,442,232,"1,759","3,563",806,581,265,"8,174","1,433","2,363","3,900","2,269","1,748"
2020,3,40,"44,204",331,731,509,268,247,564,326,311,247,547,395,289,778,"1,027",658,340,"2,002","3,451","1,131",735,390,"10,992","1,920","4,045","6,385","3,250","2,335"
2020,3,50,"44,109",605,706,569,509,474,854,632,616,413,782,477,384,"1,035","1,168","1,001",493,"2,062","3,010","1,277","1,020",514,"7,805","2,482","4,191","5,518","3,108","2,404"
2020,3,60,"36,059",697,593,589,599,575,"1,126",655,629,498,702,612,502,"1,160","1,324","1,176",680,"1,748","2,464","1,397",998,518,"4,342","2,132","3,175","3,269","2,107","1,792"
2020,3,70,"22,020",555,367,450,431,414,833,456,446,380,400,544,422,849,"1,006",959,539,"1,185","1,309",977,562,337,"2,162","1,108","1,640","1,701","1,015",973
2020,3,80,"9,856",321,246,306,265,310,504,263,234,253,171,267,138,343,376,429,195,434,512,335,197,170,840,402,833,711,370,431
2020,3,90,"1,454",54,34,50,63,59,89,34,44,41,18,42,20,46,44,58,33,48,67,43,33,28,130,63,109,82,67,55
2020,3,100,113,5,0,0,4,6,7,4,1,3,3,6,7,11,5,5,2,3,3,4,1,2,5,1,2,5,11,7
2020,4,총,"268,667","3,259","4,782","3,489","2,729","2,622","5,159","3,085","2,987","2,258","3,574","3,133","2,457","5,910","7,468","5,900","2,900","13,015","21,254","7,672","5,548","2,960","55,941","13,227","24,322","33,130","17,067","12,819"
2020,4,0,"21,913",101,592,184,72,81,171,83,98,57,117,139,129,228,399,184,81,"1,141","2,378",416,342,168,"7,087",744,"1,883","2,897","1,321",820
2020,4,10,"27,302",135,377,356,123,110,249,164,155,103,201,138,141,435,662,354,108,"1,151","1,994",524,490,262,"7,745","1,257","3,037","4,409","1,683",939
2020,4,20,"29,681",245,407,257,237,181,364,284,256,145,367,258,187,509,811,620,205,"1,439","2,424",759,576,327,"6,643","1,683","3,027","4,234","1,856","1,380"
2020,4,30,"31,788",213,728,226,156,166,397,192,196,128,283,259,235,526,647,443,230,"1,767","3,587",800,576,258,"8,110","1,439","2,349","3,889","2,267","1,721"
2020,4,40,"44,101",328,737,505,272,247,566,320,304,244,542,390,287,775,"1,029",666,336,"2,014","3,449","1,121",744,380,"11,013","1,901","4,044","6,345","3,241","2,301"
2020,4,50,"44,103",609,703,563,505,476,851,627,614,402,775,474,385,"1,024","1,157","1,001",491,"2,060","3,035","1,290","1,022",506,"7,812","2,475","4,196","5,559","3,091","2,400"
2020,4,60,"36,188",690,591,589,598,571,"1,125",652,637,504,705,615,500,"1,164","1,325","1,173",675,"1,762","2,476","1,395","1,001",519,"4,378","2,139","3,195","3,287","2,134","1,788"
2020,4,70,"22,116",557,365,453,436,415,838,461,443,380,396,545,425,851,"1,009",966,545,"1,194","1,319",983,564,337,"2,171","1,121","1,643","1,703","1,024",972
2020,4,80,"9,900",322,246,307,264,310,501,265,239,253,168,266,142,341,377,431,194,434,517,337,199,174,848,404,836,719,372,434
2020,4,90,"1,459",54,36,49,62,59,90,33,44,39,16,43,19,46,47,57,32,50,71,43,33,27,129,64,110,83,67,56
2020,4,100,116,5,0,0,4,6,7,4,1,3,4,6,7,11,5,5,3,3,4,4,1,2,5,0,2,5,11,8
2020,5,총,"268,558","3,255","4,777","3,496","2,719","2,622","5,148","3,065","2,962","2,249","3,553","3,114","2,461","5,873","7,455","5,894","2,893","13,035","21,658","7,669","5,509","2,952","55,885","13,196","24,190","33,084","17,061","12,783"
2020,5,0,"21,821",101,592,183,69,79,173,81,97,53,114,134,130,231,396,183,82,"1,146","2,436",412,338,167,"7,040",724,"1,861","2,874","1,308",817
2020,5,10,"27,242",129,375,360,120,110,250,162,153,105,202,142,144,428,655,350,110,"1,158","2,042",522,488,258,"7,742","1,249","2,995","4,382","1,681",930
2020,5,20,"29,659",255,402,254,235,180,363,282,247,142,357,257,184,500,811,619,200,"1,448","2,485",759,569,321,"6,657","1,677","3,009","4,240","1,833","1,373"
2020,5,30,"31,664",209,731,223,154,166,392,190,195,129,281,248,235,525,637,445,227,"1,757","3,692",781,572,265,"8,059","1,415","2,305","3,865","2,252","1,714"
2020,5,40,"44,011",320,739,510,270,247,561,314,300,240,537,393,282,769,"1,025",665,342,"1,998","3,515","1,136",735,379,"11,001","1,900","4,010","6,312","3,239","2,272"
2020,5,50,"44,090",615,700,558,507,481,845,625,607,397,766,466,382,"1,009","1,153","1,003",482,"2,073","3,067","1,291","1,018",501,"7,794","2,478","4,176","5,575","3,110","2,411"
2020,5,60,"36,294",687,593,590,602,568,"1,121",655,636,505,702,614,503,"1,164","1,332","1,168",674,"1,761","2,492","1,380",998,519,"4,423","2,149","3,223","3,306","2,153","1,776"
2020,5,70,"22,269",553,363,458,432,417,842,457,445,385,406,546,434,853,"1,007",966,549,"1,205","1,333","1,000",563,341,"2,183","1,137","1,659","1,720","1,031",984
2020,5,80,"9,925",326,245,311,264,308,504,264,238,251,167,265,142,337,386,433,193,436,522,339,193,175,850,401,840,723,371,441
2020,5,90,"1,466",55,37,49,62,60,90,31,43,39,17,43,18,46,48,57,31,50,70,45,34,24,131,66,110,81,72,57
2020,5,100,117,5,0,0,4,6,7,4,1,3,4,6,7,11,5,5,3,3,4,4,1,2,5,0,2,6,11,8
