년도,월,나이,강원도 태백시,강원도 태백시 황지동,강원도 태백시 황연동,강원도 태백시 삼수동,강원도 태백시 상장동,강원도 태백시 문곡소도동,강원도 태백시 장성동,강원도 태백시 구문소동,강원도 태백시 철암동
2020,11,80,739,94,86,120,123,87,72,77,80
2020,11,90,65,11,10,12,7,5,4,5,11
2020,11,100,26,7,3,3,5,2,2,2,2
2020,12,총,"21,640","3,206","2,288","3,074","6,925","1,959","1,729","1,360","1,099"
2020,12,0,"1,338",245,91,224,565,79,67,46,21
2020,12,10,"1,994",301,167,257,857,118,117,122,55
2020,12,20,"2,114",369,210,242,820,146,164,88,75
2020,12,30,"1,988",320,154,270,767,154,156,85,82
2020,12,40,"3,432",464,343,541,"1,326",281,205,167,105
2020,12,50,"3,940",564,443,550,"1,163",389,372,244,215
2020,12,60,"3,786",523,510,511,848,457,368,307,262
2020,12,70,"2,209",307,270,342,444,238,202,216,190
2020,12,80,748,95,87,122,123,90,72,78,81
2020,12,90,64,11,10,12,7,5,4,5,10
2020,12,100,27,7,3,3,5,2,2,2,3
2021,1,총,"21,557","3,198","2,283","3,075","6,877","1,962","1,734","1,341","1,087"
2021,1,0,"1,322",247,92,217,555,79,67,44,21
2021,1,10,"1,976",300,164,262,853,117,118,108,54
2021,1,20,"2,093",367,209,246,803,147,161,86,74
2021,1,30,"1,971",316,153,268,761,155,154,84,80
2021,1,40,"3,408",464,341,535,"1,311",279,207,166,105
2021,1,50,"3,916",551,438,551,"1,162",389,369,244,212
2021,1,60,"3,808",529,513,512,852,463,376,307,256
2021,1,70,"2,211",312,272,341,443,234,202,215,192
2021,1,80,761,94,89,127,125,92,74,80,80
2021,1,90,64,11,9,13,7,5,4,5,10
2021,1,100,27,7,3,3,5,2,2,2,3
2021,2,총,"21,456","3,176","2,276","3,066","6,841","1,955","1,730","1,329","1,083"
2021,2,0,"1,312",244,92,214,552,79,67,43,21
2021,2,10,"1,936",298,161,260,834,115,115,101,52
2021,2,20,"2,090",364,206,242,804,147,165,87,75
2021,2,30,"1,944",312,153,268,750,150,150,81,80
2021,2,40,"3,386",465,341,529,"1,304",273,205,163,106
2021,2,50,"3,893",539,430,554,"1,157",392,362,248,211
2021,2,60,"3,830",531,519,514,857,465,383,308,253
2021,2,70,"2,199",308,271,340,443,232,202,213,190
2021,2,80,774,97,91,128,128,95,75,78,82
2021,2,90,65,11,9,14,7,5,4,5,10
2021,2,100,27,7,3,3,5,2,2,2,3
2021,3,총,"21,398","3,157","2,270","3,050","6,797","1,948","1,728","1,373","1,075"
2021,3,0,"1,308",244,90,213,552,78,69,41,21
2021,3,10,"1,959",293,162,255,824,113,113,151,48
2021,3,20,"2,085",371,205,245,796,145,160,86,77
2021,3,30,"1,923",302,156,270,735,150,151,81,78
2021,3,40,"3,358",468,336,516,"1,295",272,202,163,106
2021,3,50,"3,880",537,430,548,"1,152",390,365,248,210
2021,3,60,"3,846",530,522,517,868,466,384,306,253
2021,3,70,"2,174",302,266,338,434,235,202,209,188
2021,3,80,790,98,94,131,132,92,76,83,84
2021,3,90,66,11,9,14,8,5,4,5,10
2021,3,100,9,1,0,3,1,2,2,0,0
2021,4,총,"21,370","3,146","2,269","3,044","6,797","1,944","1,724","1,374","1,072"
2021,4,0,"1,305",239,89,210,558,76,71,41,21
2021,4,10,"1,946",294,163,258,811,112,113,147,48
2021,4,20,"2,072",364,206,244,798,145,154,88,73
2021,4,30,"1,917",306,153,264,731,151,151,82,79
2021,4,40,"3,346",462,334,514,"1,295",271,202,163,105
2021,4,50,"3,863",534,418,545,"1,155",385,369,248,209
2021,4,60,"3,865",533,532,518,871,469,382,309,251
2021,4,70,"2,175",302,265,341,435,235,198,208,191
2021,4,80,806,100,99,133,135,93,78,83,85
2021,4,90,65,11,9,14,7,5,4,5,10
2021,4,100,10,1,1,3,1,2,2,0,0
2021,5,총,"21,160","3,088","2,269","2,979","6,774","1,926","1,691","1,371","1,062"
2021,5,0,"1,291",239,90,203,555,76,68,39,21
2021,5,10,"1,943",291,164,258,810,113,111,150,46
2021,5,20,"2,077",362,203,242,806,145,156,87,76
2021,5,30,"1,880",309,149,255,723,148,141,77,78
2021,5,40,"3,305",456,335,501,"1,289",267,195,162,100
2021,5,50,"3,837",534,421,521,"1,156",378,366,251,210
2021,5,60,"3,826",525,537,506,863,463,373,311,248
2021,5,70,"2,141",279,258,340,434,233,197,209,191
2021,5,80,790,87,102,136,130,95,78,80,82
2021,5,90,60,5,9,14,7,6,4,5,10
2021,5,100,10,1,1,3,1,2,2,0,0
2021,6,총,"21,006","3,098","2,188","2,967","6,736","1,934","1,693","1,348","1,042"
2021,6,0,"1,277",240,88,198,551,74,65,40,21
2021,6,10,"1,945",294,162,257,815,114,112,148,43
