년도,월,나이,여주시,가남읍,점동면,흥천면,금사면,능서면,대신면,북내면,강천면,산북면,여흥동,중앙동,오학동,세종대왕면
2020,1,총,"111,017","15,510","4,619","5,010","2,963","6,455","7,152","4,949","4,125","2,589","22,030","18,636","16,979",
2020,1,0,"7,681","1,067",172,183,92,306,243,165,140,130,"1,717","1,461","2,005",
2020,1,10,"9,904","1,347",298,283,144,438,459,390,258,155,"2,058","2,361","1,713",
2020,1,20,"12,064","1,631",457,437,241,585,605,425,365,217,"2,826","2,345","1,930",
2020,1,30,"11,916","1,900",304,369,192,531,478,315,310,205,"2,668","2,026","2,618",
2020,1,40,"16,192","2,242",439,506,289,707,754,613,484,289,"3,574","3,306","2,989",
2020,1,50,"20,161","2,824",889,"1,011",594,"1,240","1,411","1,002",841,454,"3,900","3,259","2,736",
2020,1,60,"17,131","2,367",977,"1,086",720,"1,251","1,526",944,829,562,"2,998","2,186","1,685",
2020,1,70,"10,082","1,317",651,687,443,848,"1,010",650,542,368,"1,534","1,155",877,
2020,1,80,"5,089",707,384,384,209,472,577,390,296,185,645,467,373,
2020,1,90,758,100,47,63,38,77,85,51,58,23,102,67,47,
2020,1,100,39,8,1,1,1,0,4,4,2,1,8,3,6,
2020,2,총,"111,008","15,487","4,622","5,012","2,966","6,446","7,134","4,944","4,128","2,582","22,017","18,595","17,075",
2020,2,0,"7,685","1,068",172,182,90,300,245,159,144,128,"1,704","1,463","2,030",
2020,2,10,"9,854","1,328",294,281,139,454,456,393,263,148,"2,050","2,337","1,711",
2020,2,20,"11,981","1,622",456,429,246,569,595,422,353,221,"2,805","2,327","1,936",
2020,2,30,"11,899","1,882",308,373,189,528,478,307,318,202,"2,651","2,029","2,634",
2020,2,40,"16,161","2,253",433,505,289,713,744,611,488,283,"3,576","3,268","2,998",
2020,2,50,"20,134","2,818",886,"1,003",594,"1,224","1,399","1,010",838,453,"3,887","3,272","2,750",
