년도,월,나이,전라북도 남원시,전라북도 남원시 운봉읍,전라북도 남원시 주천면,전라북도 남원시 수지면,전라북도 남원시 송동면,전라북도 남원시 주생면,전라북도 남원시 금지면,전라북도 남원시 대강면,전라북도 남원시 대산면,전라북도 남원시 사매면,전라북도 남원시 덕과면,전라북도 남원시 보절면,전라북도 남원시 산동면,전라북도 남원시 이백면,전라북도 남원시 아영면,전라북도 남원시 산내면,전라북도 남원시 인월면,전라북도 남원시 동충동,전라북도 남원시 죽항동,전라북도 남원시 노암동,전라북도 남원시 금동,전라북도 남원시 왕정동,전라북도 남원시 향교동,전라북도 남원시 도통동
2020,1,총,"81,439","3,898","2,590","1,187","2,123","1,894","2,370","1,656","1,669","1,574",973,"1,587","1,937","2,316","1,962","2,110","2,784","3,615","3,488","5,872","6,866","4,218","7,389","17,361"
2020,1,0,"5,297",165,101,49,74,63,96,53,66,58,31,66,74,95,102,91,123,201,187,531,661,224,450,"1,736"
2020,1,10,"7,625",223,171,56,125,110,132,76,100,63,39,82,108,176,127,178,207,374,290,620,802,346,661,"2,559"
2020,1,20,"7,724",281,215,83,156,143,136,76,105,123,65,109,130,191,115,150,189,396,377,662,605,497,842,"2,078"
2020,1,30,"6,786",225,154,68,135,85,130,78,97,77,59,71,104,132,110,106,160,317,267,647,729,429,661,"1,945"
2020,1,40,"11,083",360,321,114,190,183,244,142,150,129,70,157,183,235,187,294,324,481,492,893,"1,120",534,"1,034","3,246"
2020,1,50,"13,944",722,474,189,396,310,360,247,313,285,165,252,345,436,338,484,543,642,571,987,"1,043",702,"1,360","2,780"
2020,1,60,"12,374",774,502,231,393,362,479,342,330,279,211,252,351,394,384,335,566,521,586,707,915,683,"1,110","1,667"
2020,1,70,"9,673",622,385,188,329,345,447,306,266,309,184,312,339,336,353,274,415,444,465,544,662,512,763,873
2020,1,80,"5,988",449,224,177,280,257,303,285,199,218,131,247,265,272,210,181,222,214,215,249,288,247,444,411
2020,1,90,902,73,37,32,43,35,42,50,42,31,18,35,36,47,34,17,34,25,37,29,39,43,60,63
2020,1,100,43,4,6,0,2,1,1,1,1,2,0,4,2,2,2,0,1,0,1,3,2,1,4,3
2020,2,총,"81,358","3,900","2,613","1,175","2,113","1,882","2,365","1,664","1,670","1,568",970,"1,605","1,940","2,311","1,949","2,109","2,765","3,576","3,469","6,036","6,838","4,190","7,379","17,271"
2020,2,0,"5,268",164,101,51,72,63,94,54,65,54,30,73,76,95,100,91,122,192,182,567,657,217,444,"1,704"
2020,2,10,"7,577",217,175,53,125,108,132,79,97,68,40,82,105,174,125,178,204,365,285,628,793,344,657,"2,543"
2020,2,20,"7,661",279,217,83,150,141,134,78,104,123,64,108,128,185,113,149,183,388,374,669,609,487,835,"2,060"
2020,2,30,"6,746",227,155,65,133,82,125,78,94,77,57,69,104,134,106,105,155,303,262,687,722,425,655,"1,926"
2020,2,40,"11,088",365,327,113,188,181,243,144,154,130,69,163,188,232,184,286,325,481,497,918,"1,116",529,"1,035","3,220"
2020,2,50,"13,933",716,481,186,391,305,360,252,308,280,163,254,346,436,332,491,540,644,561,"1,008","1,035",700,"1,366","2,778"
2020,2,60,"12,440",780,505,231,391,364,485,339,337,281,213,254,351,395,386,337,570,524,589,717,913,678,"1,109","1,691"
2020,2,70,"9,696",623,385,186,338,344,445,307,266,305,183,313,342,337,354,277,415,437,471,554,657,515,768,874
2020,2,80,"5,993",448,224,175,280,256,304,282,200,218,134,251,263,272,212,177,216,216,211,254,293,249,446,412
2020,2,90,914,77,38,32,43,37,42,50,44,30,17,34,35,49,35,18,34,26,36,31,41,45,60,60
2020,2,100,42,4,5,0,2,1,1,1,1,2,0,4,2,2,2,0,1,0,1,3,2,1,4,3
2020,3,총,"81,257","3,877","2,610","1,183","2,107","1,874","2,356","1,663","1,668","1,566",967,"1,595","1,926","2,311","1,950","2,103","2,767","3,579","3,455","6,091","6,821","4,201","7,386","17,201"
2020,3,0,"5,249",164,101,51,73,66,93,53,65,56,29,72,73,93,102,91,124,191,180,584,636,225,441,"1,686"
2020,3,10,"7,545",213,173,58,123,106,132,79,95,66,41,79,101,175,124,179,206,373,281,623,794,336,666,"2,522"
2020,3,20,"7,641",279,213,84,145,131,128,77,104,122,64,109,132,181,112,147,178,375,380,675,616,489,828,"2,072"
2020,3,30,"6,699",222,156,70,136,81,125,75,94,80,57,68,107,134,105,99,158,302,264,696,708,425,650,"1,887"
2020,3,40,"11,055",359,324,117,184,182,242,145,152,127,67,161,181,235,182,281,323,483,488,929,"1,117",534,"1,040","3,202"
2020,3,50,"13,896",711,482,180,394,303,362,256,309,277,165,256,343,432,333,490,544,639,560,"1,000","1,033",695,"1,362","2,770"
2020,3,60,"12,523",782,506,228,393,368,479,339,337,283,212,252,346,397,387,342,573,536,585,744,914,689,"1,121","1,710"
2020,3,70,"9,691",623,387,187,336,344,444,306,265,304,182,310,344,337,351,275,413,440,469,554,666,515,767,872
2020,3,80,"6,008",444,224,176,278,255,308,282,204,220,132,252,264,277,216,181,213,215,211,253,292,246,448,417
2020,3,90,908,76,39,32,43,37,41,49,42,29,18,32,33,47,36,18,34,25,36,31,43,46,61,60
2020,3,100,42,4,5,0,2,1,2,2,1,2,0,4,2,3,2,0,1,0,1,2,2,1,2,3
2020,4,총,"81,170","3,867","2,608","1,178","2,100","1,862","2,338","1,654","1,666","1,565",961,"1,590","1,918","2,299","1,942","2,094","2,768","3,581","3,453","6,130","6,821","4,226","7,367","17,182"
2020,4,0,"5,214",164,98,51,72,66,88,53,65,52,29,72,71,96,103,86,123,191,177,593,624,233,433,"1,674"
2020,4,10,"7,533",206,175,61,123,102,131,78,95,66,37,79,100,173,122,180,205,375,274,623,799,341,665,"2,523"
2020,4,20,"7,613",283,211,82,145,127,121,74,102,125,64,107,133,175,114,143,180,380,381,683,615,490,814,"2,064"
2020,4,30,"6,674",219,156,66,134,82,121,75,94,80,58,69,104,133,103,99,158,303,268,708,698,425,648,"1,873"
