년도,월,나이,부산광역시 해운대구,부산광역시 해운대구 우제1동,부산광역시 해운대구 우제2동,부산광역시 해운대구 우제3동,부산광역시 해운대구 중제1동,부산광역시 해운대구 중제2동,부산광역시 해운대구 좌제1동,부산광역시 해운대구 좌제2동,부산광역시 해운대구 좌제3동,부산광역시 해운대구 좌제4동,부산광역시 해운대구 송정동,부산광역시 해운대구 반여제1동,부산광역시 해운대구 반여제2동,부산광역시 해운대구 반여제3동,부산광역시 해운대구 반여제4동,부산광역시 해운대구 반송제1동,부산광역시 해운대구 반송제2동,부산광역시 해운대구 재송제1동,부산광역시 해운대구 재송제2동
2020,1,총,"196,037","11,199","15,031","13,371","11,370","7,614","8,682","15,168","8,000","11,562","5,007","17,704","6,685","4,635","8,215","7,594","12,273","18,932","12,995"
2020,1,0,"15,446",678,"1,516","1,402",886,643,677,"1,164",617,"1,010",317,"1,449",279,180,701,234,563,"2,293",837
2020,1,10,"20,588",845,"1,662","1,587","1,158",593,"1,187","1,603","1,011","1,649",303,"2,350",408,322,829,502,876,"2,598","1,105"
2020,1,20,"26,269","1,552","1,924","1,614","1,530",929,"1,321","2,422","1,128","1,672",693,"2,288",893,584,"1,243",987,"1,471","2,141","1,877"
2020,1,30,"23,652","1,520","1,816","1,420","1,388","1,141",990,"2,166",886,"1,144",733,"1,802",922,519,"1,067",752,"1,267","2,405","1,714"
2020,1,40,"32,070","1,743","2,497","2,205","1,926","1,296","1,487","2,319","1,171","1,932",742,"3,044",993,677,"1,270","1,110","1,900","3,740","2,018"
2020,1,50,"33,883","1,858","2,559","2,247","1,989","1,255","1,539","2,634","1,468","2,102",816,"3,178","1,242",905,"1,453","1,496","2,219","2,654","2,269"
2020,1,60,"26,259","1,657","1,769","1,726","1,435","1,121",831,"1,683",974,"1,221",861,"2,232","1,117",810,"1,124","1,369","2,326","1,930","2,073"
2020,1,70,"13,175","1,008",942,859,749,485,391,792,483,556,401,"1,013",648,486,440,847,"1,273",928,874
2020,1,80,"4,285",306,316,280,281,134,225,363,232,251,133,316,168,138,79,273,345,228,217
2020,1,90,369,24,29,31,25,15,33,22,30,25,8,29,13,13,8,14,27,13,10
2020,1,100,41,8,1,0,3,2,1,0,0,0,0,3,2,1,1,10,6,2,1
2020,2,총,"195,730","11,200","14,992","13,401","11,598","7,618","8,671","15,157","7,983","11,468","4,970","17,621","6,676","4,614","8,206","7,543","12,200","18,873","12,939"
2020,2,0,"15,443",668,"1,523","1,439",918,652,684,"1,161",626,991,311,"1,429",276,177,706,225,548,"2,283",826
2020,2,10,"20,437",845,"1,654","1,577","1,167",590,"1,171","1,601","1,000","1,628",300,"2,334",399,314,820,484,872,"2,582","1,099"
2020,2,20,"26,105","1,539","1,918","1,576","1,565",930,"1,326","2,421","1,102","1,656",689,"2,279",883,576,"1,235",985,"1,455","2,112","1,858"
2020,2,30,"23,557","1,531","1,803","1,458","1,408","1,129",975,"2,158",891,"1,136",724,"1,776",919,519,"1,068",733,"1,245","2,385","1,699"
2020,2,40,"32,023","1,735","2,489","2,208","1,942","1,306","1,484","2,317","1,169","1,915",731,"3,043",992,674,"1,283","1,105","1,879","3,739","2,012"
2020,2,50,"33,880","1,878","2,546","2,239","2,044","1,253","1,537","2,629","1,463","2,078",814,"3,176","1,247",902,"1,443","1,489","2,223","2,659","2,260"
2020,2,60,"26,319","1,649","1,764","1,734","1,478","1,114",845,"1,688",978,"1,235",854,"2,221","1,127",808,"1,120","1,373","2,324","1,929","2,078"
2020,2,70,"13,227","1,012",938,852,760,488,392,793,488,560,404,"1,016",647,488,447,847,"1,277",939,879
2020,2,80,"4,332",312,327,287,289,138,223,366,236,246,135,315,171,142,76,278,343,231,217
2020,2,90,366,23,29,31,24,16,33,23,30,23,8,29,13,13,7,14,28,12,10
2020,2,100,41,8,1,0,3,2,1,0,0,0,0,3,2,1,1,10,6,2,1
2020,3,총,"195,405","11,239","14,959","13,414","11,693","7,583","8,659","15,069","7,983","11,441","4,939","17,644","6,669","4,587","8,193","7,514","12,138","18,807","12,874"
2020,3,0,"15,378",669,"1,521","1,451",927,646,680,"1,145",626,985,309,"1,431",281,170,699,221,544,"2,272",801
2020,3,10,"20,276",852,"1,645","1,570","1,168",577,"1,160","1,582",990,"1,612",294,"2,303",392,311,821,482,852,"2,564","1,101"
2020,3,20,"26,118","1,552","1,898","1,574","1,585",918,"1,341","2,411","1,102","1,664",686,"2,306",885,576,"1,225",984,"1,456","2,117","1,838"
2020,3,30,"23,421","1,529","1,802","1,454","1,420","1,123",969,"2,139",885,"1,139",722,"1,792",912,510,"1,061",722,"1,226","2,345","1,671"
2020,3,40,"31,889","1,737","2,488","2,211","1,945","1,301","1,470","2,283","1,173","1,894",722,"3,043",995,667,"1,276","1,101","1,860","3,720","2,003"
2020,3,50,"33,845","1,880","2,546","2,248","2,056","1,257","1,545","2,623","1,454","2,074",800,"3,164","1,244",900,"1,443","1,473","2,212","2,670","2,256"
2020,3,60,"26,423","1,657","1,762","1,727","1,503","1,121",849,"1,697",994,"1,240",856,"2,249","1,121",807,"1,131","1,374","2,328","1,925","2,082"
2020,3,70,"13,287","1,014",941,856,767,484,391,797,491,566,404,"1,011",649,493,454,849,"1,279",950,891
2020,3,80,"4,354",316,323,292,294,138,220,367,238,246,138,312,175,139,75,282,348,230,221
2020,3,90,372,25,31,31,25,16,33,25,30,21,8,30,13,13,7,16,27,12,9
2020,3,100,42,8,2,0,3,2,1,0,0,0,0,3,2,1,1,10,6,2,1
2020,4,총,"195,412","11,228","14,968","13,445","11,782","7,597","8,646","15,045","7,944","11,425","4,920","17,710","6,663","4,558","8,204","7,500","12,118","18,825","12,834"
2020,4,0,"15,292",675,"1,514","1,444",937,646,673,"1,139",609,972,304,"1,441",282,162,698,216,535,"2,262",783
2020,4,10,"20,212",847,"1,653","1,576","1,159",581,"1,152","1,560",993,"1,604",294,"2,283",397,299,814,481,855,"2,565","1,099"
2020,4,20,"26,138","1,554","1,884","1,563","1,612",925,"1,332","2,423","1,099","1,668",678,"2,323",876,572,"1,232",975,"1,449","2,134","1,839"
2020,4,30,"23,430","1,527","1,794","1,476","1,429","1,110",973,"2,125",875,"1,139",724,"1,827",913,509,"1,069",723,"1,219","2,335","1,663"
2020,4,40,"31,798","1,725","2,483","2,229","1,957","1,298","1,471","2,270","1,157","1,882",721,"3,032",991,659,"1,268","1,095","1,849","3,722","1,989"
2020,4,50,"33,854","1,875","2,568","2,233","2,071","1,272","1,547","2,626","1,456","2,080",791,"3,178","1,233",894,"1,438","1,471","2,200","2,675","2,246"
2020,4,60,"26,515","1,667","1,770","1,736","1,516","1,125",852,"1,701",990,"1,246",851,"2,258","1,129",813,"1,141","1,373","2,339","1,929","2,079"
2020,4,70,"13,358","1,005",946,860,779,484,389,803,494,568,411,"1,018",644,494,461,855,"1,292",955,900
2020,4,80,"4,401",324,322,297,293,139,224,372,240,245,138,317,183,142,75,283,348,234,225
2020,4,90,372,22,32,31,26,15,32,26,31,21,8,30,13,12,7,18,26,12,10
2020,4,100,42,7,2,0,3,2,1,0,0,0,0,3,2,2,1,10,6,2,1
2020,5,총,"194,943","11,227","14,928","13,430","11,791","7,556","8,628","15,030","7,908","11,378","4,886","17,697","6,623","4,535","8,172","7,452","12,093","18,862","12,747"
2020,5,0,"15,227",681,"1,512","1,437",947,637,670,"1,127",600,972,298,"1,441",279,158,696,213,534,"2,258",767
2020,5,10,"20,070",836,"1,645","1,574","1,156",579,"1,150","1,553",987,"1,582",287,"2,265",391,295,811,472,847,"2,557","1,083"
2020,5,20,"26,084","1,572","1,860","1,557","1,615",922,"1,333","2,423","1,094","1,653",670,"2,341",865,563,"1,219",963,"1,437","2,165","1,832"
2020,5,30,"23,311","1,520","1,784","1,474","1,442","1,097",974,"2,115",862,"1,127",717,"1,817",911,509,"1,060",713,"1,221","2,333","1,635"
2020,5,40,"31,684","1,722","2,476","2,223","1,957","1,293","1,457","2,265","1,158","1,882",713,"3,031",980,650,"1,268","1,079","1,834","3,718","1,978"
2020,5,50,"33,807","1,872","2,568","2,238","2,065","1,259","1,548","2,635","1,451","2,074",786,"3,174","1,237",894,"1,426","1,475","2,194","2,683","2,228"
2020,5,60,"26,512","1,668","1,767","1,736","1,505","1,130",849,"1,707",989,"1,250",857,"2,248","1,122",817,"1,140","1,366","2,343","1,937","2,081"
2020,5,70,"13,418","1,008",954,864,785,483,390,805,495,573,408,"1,027",641,489,468,860,"1,300",960,908
2020,5,80,"4,418",319,328,297,291,139,223,373,241,245,142,321,184,146,76,283,349,237,224
2020,5,90,370,22,32,30,25,15,33,27,31,20,8,29,11,12,7,18,28,12,10
2020,5,100,42,7,2,0,3,2,1,0,0,0,0,3,2,2,1,10,6,2,1
2020,6,총,"194,638","11,210","14,887","13,431","11,815","7,533","8,642","15,030","7,878","11,346","4,870","17,709","6,590","4,517","8,138","7,429","12,045","18,892","12,676"
2020,6,0,"15,119",674,"1,501","1,439",934,633,668,"1,127",597,966,292,"1,433",280,156,692,213,525,"2,243",746
2020,6,10,"20,015",835,"1,637","1,565","1,184",576,"1,140","1,543",983,"1,568",286,"2,266",387,294,804,465,839,"2,567","1,076"
2020,6,20,"26,013","1,557","1,848","1,556","1,615",923,"1,343","2,434","1,091","1,642",667,"2,340",860,558,"1,214",957,"1,429","2,164","1,815"
2020,6,30,"23,177","1,516","1,778","1,453","1,440","1,087",973,"2,116",847,"1,121",706,"1,834",905,504,"1,044",707,"1,209","2,322","1,615"
2020,6,40,"31,652","1,725","2,461","2,245","1,955","1,306","1,457","2,257","1,160","1,872",709,"3,011",971,647,"1,272","1,081","1,829","3,724","1,970"
2020,6,50,"33,737","1,857","2,587","2,234","2,060","1,250","1,557","2,622","1,433","2,084",790,"3,183","1,215",887,"1,418","1,464","2,175","2,697","2,224"
2020,6,60,"26,620","1,683","1,757","1,747","1,514","1,121",851,"1,728",998,"1,251",857,"2,260","1,129",826,"1,138","1,371","2,346","1,957","2,086"
2020,6,70,"13,467","1,015",949,862,789,481,397,801,501,577,414,"1,033",649,484,472,856,"1,308",966,913
2020,6,80,"4,429",320,335,301,296,139,222,376,239,243,142,317,181,147,76,287,351,237,220
2020,6,90,365,21,32,28,25,15,33,26,28,22,7,29,11,12,7,18,28,13,10
2020,6,100,44,7,2,1,3,2,1,0,1,0,0,3,2,2,1,10,6,2,1
