년도,월,나이,부산광역시 사상구,부산광역시 사상구 삼락동,부산광역시 사상구 모라제1동,부산광역시 사상구 모라제3동,부산광역시 사상구 덕포제1동,부산광역시 사상구 덕포제2동,부산광역시 사상구 괘법동,부산광역시 사상구 감전동,부산광역시 사상구 주례제1동,부산광역시 사상구 주례제2동,부산광역시 사상구 주례제3동,부산광역시 사상구 학장동,부산광역시 사상구 엄궁동
2020,3,총,"107,204","2,857","14,242","5,968","4,479","6,634","10,505","6,663","7,778","11,845","6,944","14,942","14,347"
2020,3,0,"6,591",109,862,175,283,391,558,284,487,813,394,"1,029","1,206"
2020,3,10,"7,579",154,971,246,325,469,524,365,582,945,523,"1,143","1,332"
2020,3,20,"13,792",290,"1,716",413,471,846,"1,967",823,"1,012","1,965",906,"1,653","1,730"
2020,3,30,"12,361",279,"1,597",408,502,733,"1,420",694,891,"1,491",733,"1,814","1,799"
2020,3,40,"14,533",316,"1,861",594,622,824,"1,237",816,"1,041","1,674",941,"2,189","2,418"
2020,3,50,"21,453",617,"3,006","1,104",874,"1,496","2,088","1,386","1,667","2,110","1,382","2,908","2,815"
2020,3,60,"17,663",559,"2,495","1,390",761,"1,127","1,637","1,289","1,251","1,592","1,193","2,489","1,880"
2020,3,70,"8,864",366,"1,177","1,041",435,499,751,702,559,836,567,"1,169",762
2020,3,80,"3,770",144,480,533,178,207,263,258,246,363,268,479,351
2020,3,90,539,18,61,63,25,41,47,40,41,50,37,64,52
2020,3,100,59,5,16,1,3,1,13,6,1,6,0,5,2
2020,4,총,"107,010","2,846","14,236","5,949","4,466","6,641","10,514","6,629","7,757","11,826","6,913","14,910","14,323"
2020,4,0,"6,556",108,859,173,281,389,564,280,482,811,388,"1,023","1,198"
2020,4,10,"7,544",151,975,245,325,473,518,354,582,936,523,"1,128","1,334"
2020,4,20,"13,711",294,"1,698",406,465,835,"1,961",816,"1,008","1,967",890,"1,647","1,724"
2020,4,30,"12,274",273,"1,589",403,499,732,"1,421",690,888,"1,484",726,"1,790","1,779"
2020,4,40,"14,480",317,"1,855",587,610,832,"1,242",811,"1,034","1,657",935,"2,184","2,416"
2020,4,50,"21,339",603,"2,990","1,098",878,"1,484","2,080","1,380","1,662","2,103","1,369","2,888","2,804"
2020,4,60,"17,798",562,"2,528","1,392",758,"1,138","1,650","1,281","1,256","1,611","1,202","2,519","1,901"
2020,4,70,"8,900",369,"1,181","1,045",439,504,757,707,560,826,573,"1,175",764
2020,4,80,"3,805",146,485,536,183,212,262,263,243,372,270,484,349
2020,4,90,544,18,60,63,25,41,46,41,41,53,37,67,52
2020,4,100,59,5,16,1,3,1,13,6,1,6,0,5,2
2020,5,총,"106,804","2,858","14,223","5,915","4,443","6,641","10,546","6,602","7,742","11,805","6,901","14,847","14,281"
2020,5,0,"6,529",108,864,170,273,386,567,272,483,802,388,"1,015","1,201"
2020,5,10,"7,498",156,972,244,322,472,506,356,574,930,521,"1,121","1,324"
2020,5,20,"13,669",292,"1,690",396,462,835,"1,980",807,"1,005","1,968",892,"1,636","1,706"
2020,5,30,"12,186",273,"1,577",399,493,732,"1,423",689,870,"1,472",708,"1,770","1,780"
2020,5,40,"14,436",318,"1,863",578,601,829,"1,257",797,"1,034","1,665",934,"2,165","2,395"
2020,5,50,"21,275",604,"2,975","1,085",875,"1,474","2,076","1,378","1,664","2,100","1,364","2,879","2,801"
2020,5,60,"17,844",569,"2,539","1,391",760,"1,150","1,655","1,277","1,256","1,609","1,206","2,522","1,910"
2020,5,70,"8,934",368,"1,176","1,047",439,511,759,710,566,829,579,"1,184",766
2020,5,80,"3,830",147,491,539,187,209,266,267,247,372,273,484,348
2020,5,90,544,18,60,65,28,42,44,43,42,52,36,66,48
2020,5,100,59,5,16,1,3,1,13,6,1,6,0,5,2
2020,6,총,"106,601","2,848","14,185","5,892","4,450","6,604","10,559","6,591","7,731","11,789","6,906","14,788","14,258"
2020,6,0,"6,477",107,854,167,273,382,562,272,484,797,388,997,"1,194"
2020,6,10,"7,457",157,976,244,322,464,500,352,570,912,523,"1,117","1,320"
2020,6,20,"13,661",290,"1,682",394,461,833,"2,004",812,993,"1,981",896,"1,614","1,701"
2020,6,30,"12,125",269,"1,562",392,496,727,"1,419",684,870,"1,468",704,"1,759","1,775"
2020,6,40,"14,382",315,"1,859",570,598,817,"1,242",796,"1,032","1,670",928,"2,166","2,389"
2020,6,50,"21,135",598,"2,945","1,080",869,"1,455","2,073","1,371","1,662","2,086","1,361","2,849","2,786"
2020,6,60,"17,960",576,"2,561","1,384",770,"1,164","1,673","1,274","1,266","1,618","1,214","2,534","1,926"
2020,6,70,"8,983",366,"1,179","1,054",442,513,768,719,568,826,585,"1,192",771
2020,6,80,"3,816",147,490,541,188,208,262,259,244,375,271,487,344
2020,6,90,546,18,61,65,28,40,43,46,41,50,36,68,50
2020,6,100,59,5,16,1,3,1,13,6,1,6,0,5,2
2020,7,총,"106,426","2,848","14,158","5,882","4,418","6,577","10,603","6,569","7,725","11,786","6,894","14,749","14,217"
2020,7,0,"6,433",108,849,163,271,371,567,267,483,791,391,993,"1,179"
2020,7,10,"7,420",157,975,245,318,462,502,353,567,903,514,"1,110","1,314"
2020,7,20,"13,620",286,"1,666",397,456,831,"2,002",812,987,"1,997",888,"1,606","1,692"
2020,7,30,"12,063",272,"1,543",388,480,721,"1,438",678,877,"1,463",704,"1,741","1,758"
2020,7,40,"14,320",310,"1,856",564,601,807,"1,250",780,"1,019","1,668",927,"2,161","2,377"
2020,7,50,"21,083",594,"2,934","1,077",855,"1,459","2,070","1,375","1,665","2,083","1,352","2,842","2,777"
2020,7,60,"18,033",584,"2,582","1,387",781,"1,162","1,683","1,270","1,270","1,621","1,221","2,532","1,940"
2020,7,70,"9,020",365,"1,180","1,055",444,517,772,725,570,828,587,"1,201",776
2020,7,80,"3,830",149,495,540,186,207,264,256,246,375,274,490,348
2020,7,90,545,18,62,65,23,39,42,47,40,51,36,68,54
2020,7,100,59,5,16,1,3,1,13,6,1,6,0,5,2
2020,8,총,"106,210","2,837","14,156","5,880","4,408","6,572","10,627","6,543","7,702","11,765","6,874","14,695","14,151"
2020,8,0,"6,384",105,852,163,261,368,564,261,481,781,388,985,"1,175"
2020,8,10,"7,365",154,968,243,328,461,502,345,558,900,516,"1,091","1,299"
2020,8,20,"13,572",282,"1,665",395,452,826,"2,000",804,990,"1,998",880,"1,608","1,672"
2020,8,30,"11,997",273,"1,535",388,475,720,"1,447",677,864,"1,445",707,"1,722","1,744"
2020,8,40,"14,250",308,"1,854",557,591,811,"1,251",775,"1,021","1,666",906,"2,147","2,363"
2020,8,50,"21,013",593,"2,924","1,071",860,"1,451","2,066","1,362","1,649","2,079","1,369","2,825","2,764"
2020,8,60,"18,124",588,"2,597","1,391",780,"1,171","1,697","1,278","1,283","1,626","1,213","2,547","1,953"
2020,8,70,"9,052",365,"1,186","1,058",447,517,782,731,569,830,588,"1,202",777
2020,8,80,"3,844",146,495,547,187,208,262,258,245,381,271,497,347
2020,8,90,548,18,64,65,24,38,43,46,40,53,36,66,55
2020,8,100,61,5,16,2,3,1,13,6,2,6,0,5,2
2020,9,총,"105,978","2,820","14,146","5,846","4,380","6,564","10,599","6,546","7,684","11,757","6,868","14,629","14,139"
2020,9,0,"6,304",106,848,161,259,365,555,257,477,767,380,964,"1,165"
2020,9,10,"7,330",147,965,242,321,459,511,342,543,899,515,"1,087","1,299"
2020,9,20,"13,530",279,"1,651",386,446,820,"1,991",809,998,"2,006",874,"1,593","1,677"
2020,9,30,"11,936",273,"1,538",385,478,711,"1,444",671,865,"1,434",703,"1,703","1,731"
2020,9,40,"14,175",307,"1,842",548,577,815,"1,250",779,"1,016","1,651",906,"2,138","2,346"
2020,9,50,"20,924",586,"2,915","1,062",856,"1,439","2,049","1,346","1,637","2,092","1,363","2,822","2,757"
2020,9,60,"18,235",582,"2,619","1,393",779,"1,190","1,704","1,297","1,289","1,635","1,228","2,547","1,972"
2020,9,70,"9,080",370,"1,190","1,058",446,518,781,735,571,837,587,"1,202",785
2020,9,80,"3,856",146,498,544,190,207,258,259,245,376,276,505,352
2020,9,90,546,19,64,64,25,39,43,45,41,54,36,63,53
2020,9,100,62,5,16,3,3,1,13,6,2,6,0,5,2
2020,10,총,"105,703","2,803","14,115","5,825","4,370","6,553","10,606","6,527","7,653","11,754","6,846","14,590","14,061"
2020,10,0,"6,228",105,835,158,254,359,547,252,476,762,377,952,"1,151"
2020,10,10,"7,262",145,967,230,312,462,502,338,543,879,509,"1,081","1,294"
2020,10,20,"13,519",270,"1,648",389,452,820,"2,013",802,984,"2,014",872,"1,591","1,664"
2020,10,30,"11,812",276,"1,533",383,472,697,"1,442",668,866,"1,416",689,"1,676","1,694"
2020,10,40,"14,122",300,"1,838",538,571,821,"1,242",769,"1,004","1,661",908,"2,136","2,334"
