년도,월,나이,강원도 홍천군,강원도 홍천군 홍천읍,강원도 홍천군 화촌면,강원도 홍천군 두촌면,강원도 홍천군 내촌면,강원도 홍천군 서석면,강원도 홍천군 동면,강원도 홍천군 남면,강원도 홍천군 서면,강원도 홍천군 북방면,강원도 홍천군 내면,강원도 홍천군 영귀미면
2020,1,총,"68,933","34,874","4,603","2,385","2,366","3,800","3,924","5,969","3,833","3,943","3,236",
2020,1,0,"3,993","2,845",128,37,48,128,92,375,93,129,118,
2020,1,10,"5,455","3,738",165,93,119,219,172,428,143,204,174,
2020,1,20,"6,554","3,972",349,158,129,289,265,650,260,298,184,
2020,1,30,"6,296","4,052",326,94,95,210,212,575,256,271,205,
2020,1,40,"8,527","5,459",388,180,193,346,355,560,363,372,311,
2020,1,50,"13,071","6,029",875,492,511,843,787,"1,060",805,873,796,
2020,1,60,"12,898","4,729","1,163",623,652,909,"1,023","1,126","1,006",879,788,
2020,1,70,"7,325","2,523",713,422,372,495,611,686,561,524,418,
2020,1,80,"4,199","1,326",413,247,226,319,363,455,295,349,206,
2020,1,90,577,185,78,39,20,39,39,53,49,40,35,
2020,1,100,38,16,5,0,1,3,5,1,2,4,1,
2020,2,총,"68,715","34,754","4,601","2,382","2,371","3,801","3,888","5,947","3,806","3,935","3,230",
2020,2,0,"3,928","2,810",126,36,49,132,86,359,92,119,119,
2020,2,10,"5,401","3,693",164,94,120,217,172,430,139,204,168,
2020,2,20,"6,489","3,958",342,153,123,282,247,646,258,298,182,
2020,2,30,"6,252","4,035",319,95,96,211,207,566,259,264,200,
2020,2,40,"8,478","5,421",393,179,197,350,348,567,354,361,308,
2020,2,50,"13,025","6,012",875,490,505,842,791,"1,050",785,876,799,
2020,2,60,"12,985","4,760","1,168",630,657,909,"1,023","1,132","1,015",896,795,
2020,2,70,"7,306","2,522",710,414,372,493,603,687,560,529,416,
2020,2,80,"4,221","1,335",419,250,229,324,367,454,291,344,208,
2020,2,90,590,192,80,41,22,38,37,55,51,40,34,
2020,2,100,40,16,5,0,1,3,7,1,2,4,1,
2020,3,총,"68,630","34,695","4,604","2,369","2,372","3,792","3,906","5,926","3,794","3,930","3,242",
2020,3,0,"3,908","2,780",127,34,49,136,89,360,92,120,121,
2020,3,10,"5,358","3,682",161,94,117,213,167,416,139,199,170,
2020,3,20,"6,479","3,957",348,147,126,276,247,651,259,286,182,
2020,3,30,"6,219","3,998",322,95,95,215,207,566,255,265,201,
2020,3,40,"8,429","5,408",387,171,198,347,344,551,354,364,305,
2020,3,50,"12,967","6,006",869,476,501,834,793,"1,042",777,870,799,
2020,3,60,"13,088","4,792","1,178",648,657,914,"1,040","1,138","1,016",909,796,
2020,3,70,"7,311","2,522",704,411,374,490,609,688,560,529,424,
2020,3,80,"4,238","1,341",425,253,231,325,364,457,288,344,210,
2020,3,90,592,193,78,40,24,39,39,56,51,39,33,
2020,3,100,41,16,5,0,0,3,7,1,3,5,1,
2020,4,총,"68,688","34,736","4,600","2,373","2,366","3,778","3,914","5,965","3,788","3,923","3,245",
2020,4,0,"3,897","2,770",126,35,49,137,89,359,92,121,119,
2020,4,10,"5,326","3,672",163,91,109,209,162,419,140,193,168,
2020,4,20,"6,520","3,988",344,148,126,279,247,665,256,287,180,
2020,4,30,"6,221","3,997",317,96,96,210,205,573,257,266,204,
2020,4,40,"8,381","5,380",391,167,196,341,346,555,355,356,294,
2020,4,50,"12,949","6,013",856,477,499,828,798,"1,036",772,865,805,
2020,4,60,"13,170","4,830","1,191",647,656,913,"1,051","1,150","1,013",915,804,
2020,4,70,"7,321","2,533",705,415,378,494,604,686,556,527,423,
2020,4,80,"4,269","1,347",424,255,233,324,366,464,292,350,214,
2020,4,90,594,190,79,42,24,40,39,57,52,38,33,
2020,4,100,40,16,4,0,0,3,7,1,3,5,1,
2020,5,총,"68,832","34,804","4,613","2,406","2,385","3,772","3,921","5,983","3,791","3,914","3,243",
2020,5,0,"3,882","2,748",127,39,49,134,91,361,92,124,117,
2020,5,10,"5,327","3,667",160,115,108,206,161,423,138,187,162,
2020,5,20,"6,570","4,028",354,149,125,277,248,665,257,286,181,
2020,5,30,"6,232","4,017",317,95,99,210,201,570,251,269,203,
2020,5,40,"8,380","5,373",392,166,199,338,350,560,361,346,295,
2020,5,50,"12,976","6,039",857,475,501,831,795,"1,039",769,871,799,
2020,5,60,"13,225","4,842","1,186",649,666,917,"1,060","1,153","1,021",917,814,
2020,5,70,"7,325","2,534",711,420,379,492,601,688,556,522,422,
2020,5,80,"4,271","1,347",423,256,234,322,369,466,292,347,215,
2020,5,90,603,193,82,42,25,41,38,57,51,40,34,
2020,5,100,41,16,4,0,0,4,7,1,3,5,1,
2020,6,총,"68,998","34,810","4,582","2,412","2,376","3,777","3,938","6,148","3,775","3,928","3,252",
2020,6,0,"3,882","2,739",124,39,49,136,93,364,94,125,119,
2020,6,10,"5,293","3,633",162,114,107,207,166,420,136,192,156,
2020,6,20,"6,759","4,089",339,146,121,274,258,792,258,293,189,
2020,6,30,"6,226","4,007",312,100,98,210,202,581,248,264,204,
2020,6,40,"8,365","5,352",389,165,199,335,350,570,358,351,296,
2020,6,50,"12,918","6,042",843,469,499,826,789,"1,036",762,863,789,
2020,6,60,"13,314","4,851","1,200",659,671,926,"1,065","1,166","1,021",928,827,
2020,6,70,"7,324","2,535",703,420,375,494,603,698,555,520,421,
2020,6,80,"4,263","1,347",424,255,232,323,366,462,289,348,217,
2020,6,90,612,199,81,45,25,42,39,58,51,39,33,
2020,6,100,42,16,5,0,0,4,7,1,3,5,1,
2020,7,총,"69,232","34,924","4,638","2,412","2,392","3,769","3,945","6,205","3,785","3,920","3,242",
2020,7,0,"3,866","2,723",128,39,48,134,98,365,96,118,117,
2020,7,10,"5,292","3,629",163,113,112,209,164,417,135,194,156,
2020,7,20,"6,973","4,196",392,145,119,269,265,850,256,290,191,
2020,7,30,"6,199","3,992",316,100,98,206,197,584,249,257,200,
2020,7,40,"8,348","5,353",382,161,202,331,350,566,354,353,296,
2020,7,50,"12,912","6,050",844,467,501,830,787,"1,027",761,860,785,
2020,7,60,"13,361","4,869","1,199",662,679,927,"1,066","1,172","1,029",933,825,
2020,7,70,"7,328","2,536",704,420,376,493,599,703,558,521,418,
2020,7,80,"4,300","1,359",425,260,231,327,373,461,290,352,222,
2020,7,90,611,201,80,45,26,39,39,59,54,37,31,
2020,7,100,42,16,5,0,0,4,7,1,3,5,1,
2020,8,총,"69,167","34,865","4,648","2,412","2,391","3,761","3,929","6,208","3,802","3,918","3,233",
2020,8,0,"3,846","2,698",127,41,51,134,96,367,98,118,116,
2020,8,10,"5,251","3,616",163,112,110,204,160,409,135,193,149,
2020,8,20,"6,939","4,174",395,145,115,270,260,846,249,289,196,
2020,8,30,"6,173","3,959",315,104,99,207,195,595,253,251,195,
2020,8,40,"8,324","5,343",386,152,201,321,347,565,357,353,299,
2020,8,50,"12,895","6,067",836,466,496,826,781,"1,026",754,861,782,
2020,8,60,"13,437","4,894","1,207",666,684,939,"1,068","1,175","1,047",936,821,
2020,8,70,"7,317","2,535",702,420,376,486,606,699,555,521,417,
2020,8,80,"4,321","1,363",426,259,233,330,371,464,296,354,225,
2020,8,90,622,200,85,47,26,40,39,61,55,37,32,
2020,8,100,42,16,6,0,0,4,6,1,3,5,1,
2020,9,총,"69,164","34,845","4,663","2,418","2,399","3,755","3,943","6,208","3,784","3,912","3,237",
2020,9,0,"3,819","2,674",123,43,51,129,101,367,97,118,116,
2020,9,10,"5,248","3,616",166,113,108,204,159,408,133,192,149,
2020,9,20,"6,916","4,172",392,143,118,268,255,837,245,289,197,
2020,9,30,"6,162","3,948",314,107,99,205,203,595,247,249,195,
2020,9,40,"8,296","5,327",388,152,194,319,347,562,358,353,296,
2020,9,50,"12,881","6,063",837,465,501,828,780,"1,028",748,854,777,
2020,9,60,"13,534","4,931","1,220",669,689,945,"1,077","1,184","1,047",946,826,
2020,9,70,"7,309","2,536",704,417,376,482,604,699,553,518,420,
2020,9,80,"4,330","1,357",429,260,237,333,372,467,297,352,226,
2020,9,90,628,203,86,49,26,38,39,60,56,37,34,
2020,9,100,41,18,4,0,0,4,6,1,3,4,1,
2020,10,총,"69,163","34,859","4,675","2,438","2,384","3,760","3,944","6,207","3,778","3,890","3,228",
2020,10,0,"3,793","2,652",122,43,50,129,104,363,96,117,117,
2020,10,10,"5,246","3,617",170,126,102,200,152,410,133,190,146,
2020,10,20,"6,895","4,175",391,145,122,277,251,824,238,278,194,
2020,10,30,"6,141","3,929",313,107,92,205,208,597,246,248,196,
2020,10,40,"8,299","5,324",387,155,195,322,345,564,364,351,292,
2020,10,50,"12,849","6,075",837,459,493,813,770,"1,030",743,850,779,
2020,10,60,"13,609","4,950","1,231",679,695,959,"1,086","1,192","1,044",947,826,
2020,10,70,"7,306","2,541",706,415,372,482,603,697,552,517,421,
2020,10,80,"4,353","1,374",427,259,238,330,378,468,304,352,223,
2020,10,90,629,204,87,48,25,39,41,61,55,36,33,
2020,10,100,43,18,4,2,0,4,6,1,3,4,1,
2020,11,총,"69,192","34,892","4,669","2,426","2,388","3,740","3,962","6,205","3,797","3,887","3,226",
2020,11,0,"3,792","2,638",122,44,50,128,105,373,98,118,116,
2020,11,10,"5,212","3,603",164,124,98,199,157,400,131,188,148,
2020,11,20,"6,900","4,194",393,144,123,272,247,821,237,274,195,
2020,11,30,"6,118","3,912",311,104,93,200,209,600,252,247,190,
2020,11,40,"8,299","5,335",384,151,198,316,342,559,367,356,291,
2020,11,50,"12,815","6,068",827,462,490,805,768,"1,026",753,836,780,
2020,11,60,"13,705","4,987","1,238",678,695,967,"1,102","1,202","1,045",963,828,
2020,11,70,"7,300","2,541",707,413,373,484,610,692,545,512,423,
2020,11,80,"4,370","1,392",431,254,243,327,371,469,308,351,224,
2020,11,90,637,203,88,50,25,38,45,62,58,38,30,
2020,11,100,44,19,4,2,0,4,6,1,3,4,1,
2020,12,총,"69,242","34,932","4,656","2,420","2,392","3,753","3,972","6,184","3,829","3,887","3,217",
2020,12,0,"3,800","2,640",121,45,47,131,108,376,101,114,117,
2020,12,10,"5,180","3,601",160,118,93,198,162,388,130,186,144,
2020,12,20,"6,875","4,191",389,141,129,271,242,802,244,269,197,
2020,12,30,"6,139","3,918",308,107,96,205,213,608,251,243,190,
2020,12,40,"8,297","5,346",385,153,195,309,343,551,370,355,290,
2020,12,50,"12,754","6,036",822,457,491,805,763,"1,019",756,836,769,
2020,12,60,"13,820","5,029","1,245",683,698,978,"1,102","1,210","1,064",976,835,
2020,12,70,"7,310","2,556",702,410,373,488,616,695,541,513,416,
2020,12,80,"4,387","1,390",439,252,244,327,373,469,314,351,228,
2020,12,90,637,206,82,52,26,37,44,65,55,40,30,
2020,12,100,43,19,3,2,0,4,6,1,3,4,1,
2021,1,총,"69,142","34,864","4,672","2,422","2,382","3,750","3,985","6,147","3,828","3,886","3,206",
2021,1,0,"3,771","2,618",126,48,45,128,105,371,99,114,117,
2021,1,10,"5,131","3,588",163,105,84,194,166,372,131,185,143,
2021,1,20,"6,858","4,182",388,145,124,271,237,808,243,267,193,
2021,1,30,"6,063","3,871",310,107,97,204,212,590,243,241,188,
2021,1,40,"8,274","5,338",387,156,192,307,350,544,363,356,281,
2021,1,50,"12,695","6,026",814,459,489,805,758,"1,002",751,826,765,
2021,1,60,"13,932","5,053","1,255",687,706,987,"1,112","1,229","1,076",985,842,
2021,1,70,"7,330","2,557",702,411,372,488,621,696,549,517,417,
2021,1,80,"4,402","1,404",442,252,246,324,373,465,315,352,229,
2021,1,90,644,209,82,50,27,38,45,69,55,39,30,
2021,1,100,42,18,3,2,0,4,6,1,3,4,1,
2021,2,총,"69,041","34,718","4,670","2,427","2,379","3,749","3,997","6,188","3,810","3,897","3,206",
2021,2,0,"3,773","2,587",129,49,46,135,103,389,99,116,120,
2021,2,10,"5,071","3,537",165,106,83,190,163,377,126,183,141,
2021,2,20,"6,829","4,163",386,146,118,272,240,810,237,267,190,
2021,2,30,"6,044","3,845",300,108,99,204,216,609,240,234,189,
2021,2,40,"8,219","5,298",390,160,183,304,344,540,359,359,282,
2021,2,50,"12,630","6,008",804,453,486,792,763,"1,001",740,827,756,
2021,2,60,"14,049","5,092","1,268",688,716,997,"1,118","1,245","1,081",995,849,
2021,2,70,"7,300","2,540",707,408,375,488,625,676,552,518,411,
2021,2,80,"4,429","1,418",436,255,247,323,374,473,315,354,234,
2021,2,90,652,211,82,52,25,40,45,67,58,39,33,
2021,2,100,45,19,3,2,1,4,6,1,3,5,1,
2021,3,총,"68,751","34,486","4,623","2,413","2,374","3,729","4,001","6,247","3,788","3,882","3,208",
2021,3,0,"3,729","2,550",124,47,47,131,108,388,100,113,121,
2021,3,10,"5,110","3,497",163,108,77,184,187,443,123,188,140,
2021,3,20,"6,764","4,118",380,146,118,277,237,809,234,262,183,
2021,3,30,"5,981","3,822",285,107,98,199,216,603,229,230,192,
2021,3,40,"8,130","5,250",393,156,181,301,335,527,353,362,272,
2021,3,50,"12,472","5,946",788,441,479,772,750,995,731,812,758,
2021,3,60,"14,202","5,132","1,272",699,727,"1,018","1,127","1,268","1,092","1,007",860,
2021,3,70,"7,254","2,521",702,404,370,484,626,670,554,512,411,
2021,3,80,"4,432","1,426",434,253,247,317,371,476,317,354,237,
2021,3,90,643,206,79,51,29,42,41,68,53,41,33,
2021,3,100,34,18,3,1,1,4,3,0,2,1,1,
2021,4,총,"68,681","34,425","4,635","2,417","2,375","3,727","3,988","6,247","3,788","3,902","3,177",
2021,4,0,"3,730","2,551",123,48,47,130,106,388,100,118,119,
2021,4,10,"5,081","3,480",161,108,75,184,185,435,122,190,141,
2021,4,20,"6,728","4,087",376,145,120,273,235,812,230,266,184,
2021,4,30,"5,945","3,798",287,111,95,202,217,598,223,231,183,
2021,4,40,"8,108","5,242",397,156,179,300,328,527,355,361,263,
2021,4,50,"12,392","5,911",785,434,472,769,747,992,727,802,753,
2021,4,60,"14,327","5,177","1,289",705,732,"1,021","1,131","1,286","1,103","1,024",859,
2021,4,70,"7,247","2,524",700,401,374,483,625,670,550,512,408,
2021,4,80,"4,444","1,429",435,258,250,319,371,471,319,356,236,
2021,4,90,645,208,79,50,30,42,40,68,57,41,30,
2021,4,100,34,18,3,1,1,4,3,0,2,1,1,
2021,5,총,"68,597","34,395","4,608","2,433","2,365","3,734","3,984","6,237","3,775","3,897","3,169",
2021,5,0,"3,718","2,543",122,48,47,127,106,387,100,115,123,
2021,5,10,"5,048","3,461",156,108,71,185,186,432,117,194,138,
2021,5,20,"6,684","4,067",375,148,119,276,232,797,223,263,184,
2021,5,30,"5,903","3,771",285,109,95,203,218,588,223,231,180,
2021,5,40,"8,077","5,220",391,156,177,292,329,536,351,364,261,
2021,5,50,"12,343","5,909",765,440,466,767,744,986,728,797,741,
2021,5,60,"14,447","5,231","1,303",715,737,"1,032","1,133","1,299","1,101","1,026",870,
2021,5,70,"7,241","2,527",696,399,374,487,621,669,554,508,406,
2021,5,80,"4,462","1,438",436,258,248,320,372,475,319,360,236,
2021,5,90,641,211,76,51,30,41,40,68,57,38,29,
2021,5,100,33,17,3,1,1,4,3,0,2,1,1,
2021,6,총,"68,619","34,381","4,602","2,444","2,364","3,719",0,"6,225","3,791","3,913","3,174","4,006"
2021,6,0,"3,691","2,525",119,48,46,123,0,382,100,119,124,105
2021,6,10,"5,054","3,453",159,110,71,185,0,430,125,196,138,187
2021,6,20,"6,652","4,058",370,147,117,274,0,789,217,265,187,228
2021,6,30,"5,878","3,754",285,111,93,198,0,592,222,229,178,216
2021,6,40,"8,074","5,226",387,155,176,296,0,535,348,363,261,327
2021,6,50,"12,275","5,883",757,438,468,759,0,963,734,793,728,752
2021,6,60,"14,606","5,293","1,309",727,741,"1,035",0,"1,322","1,111","1,036",886,"1,146"
2021,6,70,"7,204","2,510",697,395,367,476,0,669,558,510,401,621
2021,6,80,"4,507","1,452",439,260,253,329,0,475,316,364,239,380
2021,6,90,646,211,77,52,31,40,0,68,58,37,31,41
2021,6,100,32,16,3,1,1,4,0,0,2,1,1,3
2021,7,총,"68,573","34,347","4,594","2,459","2,371","3,713",,"6,222","3,796","3,884","3,169","4,018"
2021,7,0,"3,671","2,522",112,48,45,124,,382,99,111,122,106
2021,7,10,"5,034","3,439",160,112,72,183,,423,126,192,139,188
2021,7,20,"6,587","4,017",365,141,114,276,,781,220,259,186,228
2021,7,30,"5,863","3,746",286,108,91,198,,592,226,222,176,218
2021,7,40,"8,053","5,218",381,158,177,296,,531,344,360,261,327
2021,7,50,"12,209","5,860",750,438,465,751,,959,731,782,721,752
2021,7,60,"14,730","5,332","1,322",742,751,"1,036",,"1,334","1,117","1,048",897,"1,151"
2021,7,70,"7,223","2,517",699,397,369,478,,674,554,511,397,627
2021,7,80,"4,528","1,469",441,262,256,327,,476,319,363,240,375
2021,7,90,643,211,75,52,30,40,,70,58,35,29,43
2021,7,100,32,16,3,1,1,4,,0,2,1,1,3
2021,8,총,"68,489","34,286","4,592","2,448","2,364","3,711",,"6,207","3,802","3,886","3,161","4,032"
2021,8,0,"3,650","2,495",114,48,43,126,,383,99,115,120,107
2021,8,10,"4,998","3,420",162,108,72,179,,421,125,190,138,183
2021,8,20,"6,516","3,980",350,142,110,275,,772,224,255,186,222
2021,8,30,"5,860","3,741",289,102,90,197,,594,226,227,173,221
2021,8,40,"8,046","5,209",375,161,172,296,,531,342,358,264,338
2021,8,50,"12,200","5,877",753,424,465,748,,958,733,779,712,751
2021,8,60,"14,806","5,360","1,329",755,752,"1,039",,"1,335","1,122","1,050",901,"1,163"
2021,8,70,"7,193","2,509",693,392,369,477,,664,552,513,397,627
2021,8,80,"4,545","1,471",448,264,260,330,,479,319,361,239,374
2021,8,90,643,208,77,51,29,40,,70,58,37,30,43
2021,8,100,32,16,2,1,2,4,,0,2,1,1,3
2021,9,총,"68,452","34,240","4,567","2,438","2,384","3,715",,"6,189","3,795","3,906","3,165","4,053"
2021,9,0,"3,625","2,485",112,46,43,125,,374,99,116,117,108
2021,9,10,"4,980","3,400",160,110,84,177,,416,122,188,140,183
2021,9,20,"6,489","3,963",347,139,112,271,,770,219,264,185,219
2021,9,30,"5,819","3,728",282,99,91,192,,583,220,230,175,219
2021,9,40,"8,013","5,186",365,162,169,295,,535,343,355,265,338
2021,9,50,"12,193","5,883",744,421,465,754,,949,727,782,708,760
2021,9,60,"14,893","5,383","1,338",755,758,"1,043",,"1,347","1,131","1,055",908,"1,175"
2021,9,70,"7,188","2,511",692,389,367,480,,667,545,513,398,626
