년도,월,나이,구례군,구례읍,문척면,간전면,토지면,마산면,광의면,용방면,산동면
2020,1,총,"12,751","5,390",660,762,"1,263","1,381","1,092",746,"1,457"
2020,1,0,606,341,21,30,32,65,36,32,49
2020,1,10,"1,038",603,42,34,80,109,61,37,72
2020,1,20,"1,152",595,48,46,98,114,61,64,126
2020,1,30,991,487,30,40,82,114,82,66,90
2020,1,40,"1,747",785,91,110,144,196,119,107,195
2020,1,50,"2,615","1,008",154,176,327,269,225,132,324
2020,1,60,"2,145",785,133,136,245,238,208,126,274
2020,1,70,"1,584",529,84,122,147,172,192,117,221
2020,1,80,803,234,54,62,96,96,100,61,100
2020,1,90,67,22,3,6,12,7,8,4,5
2020,1,100,3,1,0,0,0,1,0,0,1
2020,2,총,"12,687","5,370",658,753,"1,255","1,373","1,082",741,"1,455"
2020,2,0,605,338,21,30,31,66,36,34,49
2020,2,10,"1,025",602,40,31,77,104,63,38,70
2020,2,20,"1,121",584,46,46,96,112,55,57,125
2020,2,30,982,479,31,39,80,113,85,64,91
2020,2,40,"1,713",774,90,104,141,197,115,104,188
2020,2,50,"2,623","1,015",154,177,326,269,222,134,326
2020,2,60,"2,148",785,133,135,246,236,209,127,277
2020,2,70,"1,596",532,85,123,149,173,193,118,223
2020,2,80,802,237,55,62,96,95,96,61,100
2020,2,90,69,23,3,6,13,7,8,4,5
2020,2,100,3,1,0,0,0,1,0,0,1
2020,3,총,"12,647","5,346",661,755,"1,256","1,367","1,085",734,"1,443"
2020,3,0,602,338,23,26,30,66,38,31,50
2020,3,10,"1,028",601,42,33,77,102,63,39,71
2020,3,20,"1,105",576,48,46,97,111,55,55,117
2020,3,30,971,472,32,40,79,114,84,63,87
2020,3,40,"1,695",770,90,107,140,196,112,102,178
2020,3,50,"2,609","1,010",152,175,324,271,227,130,320
2020,3,60,"2,164",788,134,137,248,232,207,131,287
2020,3,70,"1,592",529,85,121,151,172,194,115,225
2020,3,80,805,236,52,65,96,94,97,63,102
2020,3,90,73,25,3,5,14,8,8,5,5
2020,3,100,3,1,0,0,0,1,0,0,1
2020,4,총,"12,587","5,329",648,750,"1,253","1,365","1,081",723,"1,438"
2020,4,0,596,333,23,28,30,65,36,30,51
2020,4,10,"1,025",596,41,33,79,102,64,39,71
2020,4,20,"1,081",571,45,40,94,105,56,55,115
2020,4,30,958,466,30,41,74,114,85,62,86
2020,4,40,"1,690",770,90,106,141,198,110,97,178
2020,4,50,"2,583","1,007",147,171,321,268,226,126,317
2020,4,60,"2,181",792,133,139,252,239,206,133,287
2020,4,70,"1,585",528,83,122,150,172,193,114,223
2020,4,80,808,239,53,65,98,92,96,61,104
2020,4,90,77,26,3,5,14,9,9,6,5
2020,4,100,3,1,0,0,0,1,0,0,1
2020,5,총,"12,551","5,318",640,746,"1,253","1,358","1,081",716,"1,439"
2020,5,0,585,331,21,28,32,62,36,27,48
2020,5,10,"1,029",605,38,32,76,102,62,40,74
2020,5,20,"1,068",560,43,40,94,103,58,55,115
2020,5,30,938,458,29,39,72,109,84,59,88
2020,5,40,"1,669",763,87,101,144,199,105,97,173
2020,5,50,"2,589","1,010",148,170,322,269,230,123,317
2020,5,60,"2,194",799,134,141,252,241,206,133,288
2020,5,70,"1,591",526,84,124,150,172,196,114,225
2020,5,80,806,239,54,66,95,91,95,61,105
2020,5,90,79,26,2,5,16,9,9,7,5
2020,5,100,3,1,0,0,0,1,0,0,1
2020,6,총,"12,523","5,301",642,752,"1,246","1,355","1,079",710,"1,438"
2020,6,0,589,339,21,28,32,61,36,25,47
2020,6,10,"1,026",603,38,32,75,102,60,39,77
2020,6,20,"1,061",556,43,41,91,103,58,53,116
2020,6,30,915,447,30,38,70,106,82,56,86
