년도,월,나이,전라남도 순천시,전라남도 순천시 승주읍,전라남도 순천시 해룡면,전라남도 순천시 해룡면상삼출장소,전라남도 순천시 해룡면신대출장소,전라남도 순천시 서면,전라남도 순천시 황전면,전라남도 순천시 월등면,전라남도 순천시 주암면,전라남도 순천시 송광면,전라남도 순천시 외서면,전라남도 순천시 낙안면,전라남도 순천시 별량면,전라남도 순천시 상사면,전라남도 순천시 향동,전라남도 순천시 매곡동,전라남도 순천시 삼산동,전라남도 순천시 조곡동,전라남도 순천시 덕연동,전라남도 순천시 풍덕동,전라남도 순천시 남제동,전라남도 순천시 저전동,전라남도 순천시 장천동,전라남도 순천시 중앙동,전라남도 순천시 도사동,전라남도 순천시 왕조1동,전라남도 순천시 왕조2동
2020,3,총,"140,597","1,360","2,433","9,195","16,095","6,183","1,500",876,"1,652",804,442,"1,608","2,818","1,425","1,906","2,366","11,979","3,262","22,527","3,926","4,655","1,415","1,286","1,643","9,310","20,133","9,798"
2020,3,0,"12,404",38,65,855,"3,057",448,30,19,39,12,17,44,73,39,81,75,906,193,"1,796",216,213,64,37,59,"1,168","1,887",973
2020,3,10,"16,259",66,123,"1,453","2,472",555,57,28,91,22,20,85,148,104,159,210,"1,384",300,"3,032",330,392,95,58,113,904,"2,642","1,416"
2020,3,20,"20,154",112,249,"1,689","1,594",714,97,61,118,54,35,135,271,153,217,448,"2,082",438,"3,701",523,679,191,148,232,"1,174","3,322","1,717"
2020,3,30,"17,176",64,194,"1,103","3,256",625,96,64,111,52,19,82,169,90,188,232,"1,361",350,"2,699",437,445,132,134,160,"1,377","2,518","1,218"
2020,3,40,"21,750",160,332,"1,557","3,260",964,156,91,172,92,38,158,355,170,235,288,"1,733",478,"3,404",544,657,171,188,254,"1,468","3,268","1,557"
2020,3,50,"24,919",333,550,"1,706","1,696","1,192",300,184,339,186,94,322,564,295,308,393,"2,085",617,"4,213",636,880,234,266,299,"1,530","3,796","1,901"
2020,3,60,"16,181",273,427,567,581,944,324,221,327,177,103,362,576,290,369,340,"1,518",491,"2,499",646,735,244,246,261,"1,012","1,879",769
2020,3,70,"8,252",189,320,185,139,528,285,133,293,131,79,283,414,185,261,271,682,283,891,421,493,189,141,191,484,597,184
2020,3,80,"3,191",110,162,76,38,194,138,66,151,70,31,127,226,90,77,103,209,102,261,162,154,85,61,62,179,199,58
2020,3,90,303,15,11,4,2,19,17,9,11,5,5,9,21,9,11,6,18,10,30,11,7,10,7,12,14,25,5
