년도,월,나이,부산광역시 해운대구,부산광역시 해운대구 우제1동,부산광역시 해운대구 우제2동,부산광역시 해운대구 우제3동,부산광역시 해운대구 중제1동,부산광역시 해운대구 중제2동,부산광역시 해운대구 좌제1동,부산광역시 해운대구 좌제2동,부산광역시 해운대구 좌제3동,부산광역시 해운대구 좌제4동,부산광역시 해운대구 송정동,부산광역시 해운대구 반여제1동,부산광역시 해운대구 반여제2동,부산광역시 해운대구 반여제3동,부산광역시 해운대구 반여제4동,부산광역시 해운대구 반송제1동,부산광역시 해운대구 반송제2동,부산광역시 해운대구 재송제1동,부산광역시 해운대구 재송제2동
2020,4,10,"39,189","1,663","3,230","3,161","2,234","1,150","2,170","2,990","1,902","3,178",551,"4,367",770,581,"1,603",893,"1,659","4,936","2,151"
2020,4,20,"49,987","3,113","3,583","2,996","3,120","1,785","2,815","5,171","2,053","3,130","1,256","4,255","1,601","1,066","2,250","1,749","2,591","4,108","3,345"
2020,4,30,"48,069","3,077","3,939","3,453","2,938","2,265","2,150","4,576","1,829","2,440","1,355","3,781","1,636",881,"2,115","1,244","2,172","5,038","3,180"
2020,4,40,"66,978","3,578","5,399","4,947","4,209","2,694","3,376","5,178","2,639","4,264","1,359","6,471","1,884","1,225","2,643","1,922","3,393","7,764","4,033"
2020,4,50,"71,124","3,989","5,405","4,851","4,297","2,821","3,151","5,798","3,097","4,385","1,797","6,318","2,548","1,843","3,067","2,856","4,522","5,437","4,942"
2020,4,60,"55,922","3,596","3,775","3,628","3,194","2,376","1,760","3,573","2,116","2,541","1,839","4,530","2,500","1,830","2,294","2,818","5,014","4,089","4,449"
2020,4,70,"30,333","2,172","2,067","1,835","1,787","1,110","1,023","1,942","1,206","1,352",971,"2,173","1,536","1,125",948,"2,083","3,098","1,947","1,958"
2020,4,80,"12,451",779,851,741,753,400,605,999,690,705,433,889,569,420,291,786,"1,199",636,705
2020,4,90,"1,661",107,143,116,86,54,82,111,88,92,59,130,60,52,43,107,156,88,87
2020,4,100,157,27,7,2,15,8,2,1,0,0,4,3,15,6,2,27,25,6,7
2020,5,총,"404,459","23,442","31,214","28,515","24,479","15,850","18,421","32,534","16,752","23,811","10,111","35,652","13,606","9,282","16,568","14,814","24,809","38,383","26,216"
2020,5,0,"29,280","1,371","2,876","2,796","1,789","1,257","1,313","2,208","1,191","1,819",546,"2,736",546,300,"1,349",418,"1,026","4,258","1,481"
2020,5,10,"38,919","1,644","3,213","3,148","2,234","1,139","2,155","2,987","1,888","3,144",541,"4,334",759,569,"1,595",871,"1,640","4,924","2,134"
2020,5,20,"49,907","3,129","3,552","2,993","3,134","1,773","2,825","5,163","2,046","3,108","1,240","4,282","1,584","1,049","2,242","1,730","2,570","4,165","3,322"
2020,5,30,"47,846","3,073","3,923","3,447","2,960","2,241","2,152","4,546","1,800","2,416","1,339","3,772","1,628",876,"2,103","1,226","2,182","5,027","3,135"
2020,5,40,"66,732","3,576","5,387","4,932","4,222","2,691","3,346","5,154","2,632","4,250","1,339","6,459","1,870","1,209","2,638","1,900","3,368","7,750","4,009"
2020,5,50,"71,010","3,978","5,388","4,859","4,301","2,798","3,153","5,815","3,087","4,365","1,787","6,329","2,548","1,838","3,051","2,852","4,495","5,449","4,917"
2020,5,60,"56,004","3,602","3,790","3,644","3,188","2,385","1,756","3,587","2,121","2,551","1,853","4,529","2,489","1,829","2,293","2,808","5,018","4,113","4,448"
2020,5,70,"30,431","2,162","2,075","1,840","1,794","1,106","1,028","1,954","1,210","1,356",965,"2,181","1,540","1,123",963,"2,081","3,122","1,961","1,970"
2020,5,80,"12,508",775,860,743,752,396,607,"1,007",687,711,436,896,568,433,290,793,"1,205",642,707
2020,5,90,"1,664",105,143,111,89,56,84,112,90,91,61,131,59,50,42,108,158,88,86
2020,5,100,158,27,7,2,16,8,2,1,0,0,4,3,15,6,2,27,25,6,7
2020,6,총,"403,923","23,381","31,188","28,489","24,561","15,817","18,423","32,504","16,695","23,768","10,079","35,686","13,557","9,235","16,507","14,782","24,737","38,423","26,091"
2020,6,0,"29,073","1,357","2,865","2,790","1,769","1,259","1,307","2,200","1,178","1,804",537,"2,722",549,294,"1,333",421,"1,012","4,230","1,446"
2020,6,10,"38,809","1,636","3,217","3,130","2,270","1,130","2,137","2,973","1,890","3,120",538,"4,331",756,562,"1,590",864,"1,621","4,928","2,116"
2020,6,20,"49,708","3,090","3,548","2,976","3,157","1,749","2,814","5,169","2,023","3,099","1,232","4,294","1,560","1,037","2,226","1,717","2,563","4,155","3,299"
2020,6,30,"47,696","3,061","3,902","3,423","2,950","2,260","2,162","4,534","1,784","2,414","1,326","3,799","1,622",871,"2,084","1,219","2,163","5,018","3,104"
2020,6,40,"66,613","3,582","5,372","4,951","4,229","2,683","3,348","5,140","2,625","4,225","1,324","6,437","1,856","1,202","2,639","1,899","3,340","7,764","3,997"
2020,6,50,"70,836","3,947","5,397","4,849","4,313","2,791","3,167","5,788","3,062","4,383","1,781","6,334","2,521","1,815","3,029","2,842","4,477","5,449","4,891"
2020,6,60,"56,307","3,630","3,799","3,674","3,201","2,381","1,764","3,626","2,138","2,558","1,867","4,557","2,505","1,842","2,308","2,810","5,028","4,168","4,451"
2020,6,70,"30,527","2,172","2,067","1,842","1,805","1,105","1,035","1,946","1,221","1,367",974,"2,187","1,553","1,123",961,"2,073","3,141","1,970","1,985"
2020,6,80,"12,532",774,871,746,759,395,603,"1,015",687,704,437,892,561,433,292,802,"1,206",644,711
2020,6,90,"1,663",106,142,106,92,56,84,112,86,94,59,130,59,50,43,108,161,91,84
2020,6,100,159,26,8,2,16,8,2,1,1,0,4,3,15,6,2,27,25,6,7
2020,7,총,"403,878","23,355","31,191","28,537","24,730","15,810","18,391","32,497","16,634","23,706","10,072","35,627","13,509","9,198","16,725","14,732","24,683","38,513","25,968"
2020,7,0,"29,023","1,346","2,874","2,798","1,783","1,266","1,311","2,189","1,171","1,800",534,"2,692",539,284,"1,345",415,"1,014","4,231","1,431"
2020,7,10,"38,726","1,645","3,212","3,125","2,279","1,127","2,133","2,967","1,873","3,113",527,"4,326",736,557,"1,603",856,"1,619","4,921","2,107"
2020,7,20,"49,558","3,090","3,548","2,976","3,177","1,737","2,807","5,165","2,003","3,072","1,234","4,285","1,543","1,029","2,216","1,695","2,551","4,171","3,259"
2020,7,30,"47,608","3,062","3,903","3,409","2,966","2,242","2,154","4,539","1,771","2,412","1,333","3,773","1,624",869,"2,113","1,215","2,137","4,995","3,091"
2020,7,40,"66,552","3,558","5,356","4,962","4,253","2,683","3,334","5,134","2,612","4,209","1,317","6,418","1,851","1,197","2,682","1,887","3,323","7,800","3,976"
2020,7,50,"70,818","3,939","5,401","4,865","4,363","2,796","3,157","5,766","3,043","4,344","1,778","6,337","2,510","1,803","3,062","2,826","4,463","5,484","4,881"
2020,7,60,"56,586","3,636","3,800","3,705","3,224","2,391","1,770","3,650","2,162","2,590","1,873","4,595","2,517","1,838","2,367","2,821","5,035","4,185","4,427"
2020,7,70,"30,602","2,179","2,076","1,838","1,820","1,108","1,035","1,952","1,224","1,364",972,"2,192","1,557","1,125",994,"2,064","3,130","1,979","1,993"
2020,7,80,"12,576",769,871,749,755,395,609,"1,020",686,706,440,876,559,441,299,817,"1,223",647,714
2020,7,90,"1,670",105,142,108,94,57,79,114,89,96,60,129,58,49,42,109,163,94,82
2020,7,100,159,26,8,2,16,8,2,1,0,0,4,4,15,6,2,27,25,6,7
2020,8,총,"403,118","23,333","31,209","28,518","24,751","15,834","18,364","32,401","16,593","23,609","10,076","35,565","13,427","9,185","16,701","14,653","24,567","38,496","25,836"
2020,8,0,"28,887","1,351","2,875","2,793","1,793","1,274","1,309","2,146","1,161","1,785",529,"2,698",530,277,"1,330",405,998,"4,222","1,411"
2020,8,10,"38,551","1,638","3,208","3,124","2,268","1,128","2,122","2,949","1,866","3,085",522,"4,290",720,558,"1,599",843,"1,605","4,923","2,103"
2020,8,20,"49,457","3,093","3,555","2,949","3,195","1,736","2,824","5,142","1,998","3,063","1,227","4,284","1,516","1,022","2,204","1,676","2,552","4,185","3,236"
2020,8,30,"47,325","3,042","3,880","3,409","2,971","2,236","2,129","4,502","1,754","2,398","1,343","3,745","1,622",862,"2,106","1,203","2,102","4,975","3,046"
2020,8,40,"66,350","3,563","5,361","4,970","4,230","2,700","3,330","5,116","2,603","4,174","1,320","6,406","1,826","1,190","2,675","1,869","3,294","7,780","3,943"
2020,8,50,"70,579","3,922","5,409","4,850","4,374","2,787","3,139","5,747","3,030","4,334","1,763","6,326","2,489","1,802","3,052","2,809","4,414","5,479","4,853"
2020,8,60,"56,838","3,648","3,823","3,725","3,225","2,387","1,770","3,700","2,182","2,603","1,890","4,605","2,523","1,845","2,384","2,827","5,053","4,211","4,437"
2020,8,70,"30,658","2,167","2,081","1,838","1,825","1,122","1,049","1,962","1,212","1,369",966,"2,200","1,566","1,127","1,001","2,060","3,138","1,972","2,003"
2020,8,80,"12,641",775,868,753,762,399,611,"1,016",697,703,451,880,563,446,306,825,"1,226",649,711
2020,8,90,"1,673",108,142,103,92,57,79,120,90,95,61,127,57,50,42,109,161,94,86
2020,8,100,159,26,7,4,16,8,2,1,0,0,4,4,15,6,2,27,24,6,7
2020,9,총,"402,749","23,254","31,127","28,558","25,121","15,815","18,325","32,354","16,519","23,548","10,048","35,541","13,432","9,137","16,663","14,581","24,526","38,493","25,707"
2020,9,0,"28,766","1,346","2,860","2,806","1,846","1,254","1,292","2,126","1,140","1,786",526,"2,696",529,272,"1,323",397,998,"4,193","1,376"
2020,9,10,"38,437","1,635","3,181","3,123","2,300","1,131","2,110","2,951","1,855","3,066",515,"4,278",710,548,"1,589",824,"1,599","4,933","2,089"
2020,9,20,"49,335","3,100","3,537","2,947","3,246","1,715","2,829","5,103","1,996","3,049","1,225","4,262","1,509","1,017","2,194","1,677","2,527","4,180","3,222"
2020,9,30,"47,181","2,997","3,858","3,415","3,040","2,254","2,110","4,494","1,737","2,396","1,331","3,752","1,627",844,"2,097","1,193","2,089","4,949","2,998"
2020,9,40,"66,179","3,554","5,357","4,973","4,287","2,688","3,316","5,102","2,571","4,159","1,312","6,374","1,805","1,191","2,643","1,851","3,279","7,792","3,925"
2020,9,50,"70,524","3,908","5,374","4,848","4,436","2,775","3,146","5,765","3,026","4,317","1,764","6,345","2,493","1,781","3,054","2,789","4,395","5,473","4,835"
2020,9,60,"57,098","3,645","3,857","3,745","3,261","2,401","1,775","3,715","2,196","2,605","1,890","4,621","2,539","1,850","2,410","2,826","5,076","4,230","4,456"
2020,9,70,"30,669","2,163","2,074","1,841","1,825","1,134","1,059","1,960","1,209","1,362",966,"2,196","1,572","1,121",999,"2,065","3,139","1,987","1,997"
2020,9,80,"12,714",772,876,751,775,397,611,"1,017",698,707,453,884,576,457,309,826,"1,236",654,715
