년도,월,나이,경기도 시흥시,경기도 시흥시 대야동,경기도 시흥시 신천동,경기도 시흥시 신현동,경기도 시흥시 은행동,경기도 시흥시 매화동,경기도 시흥시 목감동,경기도 시흥시 군자동,경기도 시흥시 월곶동,경기도 시흥시 정왕본동,경기도 시흥시 정왕1동,경기도 시흥시 정왕2동,경기도 시흥시 정왕3동,경기도 시흥시 정왕4동,경기도 시흥시 배곧동,경기도 시흥시 과림동,경기도 시흥시 연성동,경기도 시흥시 장곡동,경기도 시흥시 능곡동,경기도 시흥시 배곧1동,경기도 시흥시 배곧2동
2020,1,총,"248,693","17,552","19,364","5,451","24,233","6,518","21,840","12,039","7,983","13,005","13,328","17,089","12,939","10,771","35,539","1,214","12,438","8,737","8,653",,
2020,1,0,"23,947","1,238","1,042",270,"3,004",385,"3,286",938,774,643,768,"1,382",930,925,"5,709",31,"1,007",872,743,,
2020,1,10,"25,701","1,657","1,949",435,"2,708",691,"1,778","1,235",771,596,"1,062","1,956","1,192","1,489","3,735",35,"1,705","1,520","1,187",,
2020,1,20,"35,932","2,817","3,262",830,"3,311",979,"2,147","1,672",875,"2,083","2,063","2,927","1,792","1,833","4,751",99,"1,931","1,272","1,288",,
2020,1,30,"39,654","2,499","2,205",606,"3,944",633,"4,527","1,692","1,229","3,024","2,349","2,504","2,020","1,301","7,822",127,"1,359",801,"1,012",,
2020,1,40,"46,452","2,525","3,022",761,"4,104","1,130","4,028","2,221","1,702","2,898","2,922","3,396","2,768","1,900","7,258",140,"2,304","1,795","1,578",,
2020,1,50,"44,417","3,620","4,335","1,250","4,125","1,384","2,943","2,211","1,341","2,395","2,642","3,154","2,581","2,185","4,085",304,"2,504","1,736","1,622",,
2020,1,60,"21,567","2,133","2,405",812,"2,076",806,"2,059","1,299",788,939,"1,092","1,165","1,138",713,"1,652",306,973,457,754,,
2020,1,70,"8,105",764,881,346,724,365,828,559,380,332,325,423,377,283,414,131,446,185,342,,
2020,1,80,"2,646",274,230,122,216,130,221,196,112,88,97,170,132,127,103,34,191,86,117,,
2020,1,90,248,24,31,14,20,14,19,14,10,7,7,12,8,15,10,5,16,12,10,,
2020,1,100,24,1,2,5,1,1,4,2,1,0,1,0,1,0,0,2,2,1,0,,
2020,2,총,"249,307","18,151","19,344","5,431","24,249","6,504","21,844","11,979","7,993","12,956","13,293","17,091","12,919","10,771","35,701","1,202","12,457","8,712","8,710",,
2020,2,0,"23,963","1,375","1,030",268,"2,989",387,"3,270",921,776,629,746,"1,367",923,929,"5,698",31,"1,008",857,759,,
2020,2,10,"25,654","1,681","1,919",433,"2,717",690,"1,780","1,227",777,592,"1,051","1,946","1,176","1,468","3,777",33,"1,697","1,507","1,183",,
2020,2,20,"35,944","2,856","3,277",825,"3,292",983,"2,151","1,657",873,"2,069","2,075","2,925","1,788","1,832","4,754",96,"1,938","1,266","1,287",,
2020,2,30,"39,657","2,687","2,202",596,"3,914",625,"4,499","1,666","1,229","2,994","2,327","2,489","2,001","1,294","7,827",128,"1,347",801,"1,031",,
2020,2,40,"46,595","2,639","3,012",749,"4,127","1,112","4,030","2,222","1,702","2,892","2,914","3,406","2,775","1,895","7,320",136,"2,298","1,790","1,576",,
2020,2,50,"44,541","3,635","4,328","1,254","4,133","1,388","2,944","2,200","1,350","2,402","2,647","3,169","2,581","2,202","4,111",302,"2,521","1,746","1,628",,
2020,2,60,"21,845","2,194","2,422",817,"2,109",806,"2,090","1,313",786,949,"1,098","1,177","1,154",727,"1,677",307,988,461,770,,
2020,2,70,"8,161",782,887,348,733,367,828,563,375,333,328,427,377,282,423,129,446,187,346,,
2020,2,80,"2,674",277,234,122,213,131,229,194,114,88,99,173,135,128,104,33,196,86,118,,
2020,2,90,248,24,31,14,21,14,19,14,10,7,7,12,8,14,10,5,16,11,11,,
2020,2,100,25,1,2,5,1,1,4,2,1,1,1,0,1,0,0,2,2,0,1,,
2020,3,총,"249,786","18,370","19,360","5,427","24,321","6,518","21,813","11,967","8,065","12,904","13,267","17,115","12,919","10,767","35,867","1,198","12,454","8,684","8,770",,
2020,3,0,"23,955","1,407","1,017",265,"2,989",383,"3,264",922,784,629,740,"1,347",932,919,"5,714",31,998,846,768,,
2020,3,10,"25,567","1,671","1,913",434,"2,705",684,"1,771","1,222",779,597,"1,038","1,932","1,153","1,456","3,803",32,"1,706","1,490","1,181",,
2020,3,20,"36,098","2,904","3,272",814,"3,314",992,"2,147","1,664",885,"2,064","2,099","2,924","1,787","1,854","4,785",92,"1,928","1,270","1,303",,
2020,3,30,"39,552","2,746","2,210",597,"3,916",624,"4,473","1,639","1,238","2,919","2,303","2,498","2,002","1,286","7,810",129,"1,335",795,"1,032",,
2020,3,40,"46,643","2,676","3,007",746,"4,135","1,111","4,036","2,226","1,693","2,909","2,904","3,402","2,777","1,877","7,369",137,"2,283","1,772","1,583",,
2020,3,50,"44,633","3,639","4,312","1,251","4,149","1,391","2,926","2,194","1,380","2,398","2,637","3,192","2,583","2,205","4,143",300,"2,543","1,748","1,642",,
2020,3,60,"22,132","2,239","2,456",827,"2,130",812,"2,111","1,318",798,960,"1,111","1,205","1,161",747,"1,696",311,"1,003",471,776,,
2020,3,70,"8,229",788,899,347,745,375,837,567,382,332,322,429,380,281,429,127,444,193,352,,
2020,3,80,"2,703",277,241,127,217,131,226,198,116,88,105,174,135,128,108,33,195,86,118,,
2020,3,90,248,22,31,14,19,14,18,15,9,7,7,12,8,14,10,4,17,13,14,,
2020,3,100,26,1,2,5,2,1,4,2,1,1,1,0,1,0,0,2,2,0,1,,
