년도,월,나이,전라남도 고흥군,전라남도 고흥군 고흥읍,전라남도 고흥군 도양읍,전라남도 고흥군 도양읍소록출장소,전라남도 고흥군 도양읍시산출장소,전라남도 고흥군 풍양면,전라남도 고흥군 도덕면,전라남도 고흥군 금산면,전라남도 고흥군 도화면,전라남도 고흥군 포두면,전라남도 고흥군 봉래면,전라남도 고흥군 점암면,전라남도 고흥군 과역면,전라남도 고흥군 남양면,전라남도 고흥군 동강면,전라남도 고흥군 대서면,전라남도 고흥군 두원면,전라남도 고흥군 영남면,전라남도 고흥군 동일면
2020,1,총,"31,428","6,134","4,871",313,117,"1,600","1,414","2,177","1,897","2,423",929,"1,256","1,608","1,119","1,541","1,129","1,473",644,783
2020,1,0,"1,343",526,267,6,0,32,36,65,36,58,27,20,43,38,64,34,45,16,30
2020,1,10,"2,194",806,429,9,6,62,69,114,81,125,44,57,85,67,69,48,52,34,37
2020,1,20,"2,556",697,445,4,7,107,73,156,134,168,55,80,127,81,132,89,86,53,62
2020,1,30,"2,129",558,415,8,10,95,94,122,100,134,45,68,94,59,98,76,79,31,43
2020,1,40,"3,893",993,664,16,29,171,145,246,222,290,107,131,183,104,170,104,156,69,93
2020,1,50,"5,842","1,009",916,27,24,306,301,384,365,474,190,251,333,211,298,231,261,110,151
2020,1,60,"6,065",792,859,59,16,363,329,446,392,480,205,281,355,279,320,252,304,151,182
2020,1,70,"4,892",540,630,99,16,298,226,414,396,455,170,249,235,180,237,191,309,113,134
2020,1,80,"2,256",194,226,77,9,146,125,213,157,217,73,103,131,93,128,97,163,58,46
2020,1,90,251,17,19,8,0,20,16,16,14,21,12,16,22,7,25,6,18,9,5
2020,1,100,7,2,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0
2020,2,총,"31,368","6,117","4,860",313,117,"1,601","1,413","2,178","1,897","2,417",928,"1,252","1,614","1,106","1,540","1,129","1,468",639,779
2020,2,0,"1,332",518,269,7,0,34,37,65,36,60,27,19,42,34,62,34,44,14,30
2020,2,10,"2,173",803,423,9,6,61,69,112,80,122,43,59,87,61,69,47,53,34,35
2020,2,20,"2,540",692,445,4,7,108,69,154,136,168,52,79,129,82,130,88,86,51,60
