년도,월,나이,서울특별시 마포구,서울특별시 마포구 아현동,서울특별시 마포구 공덕동,서울특별시 마포구 도화동,서울특별시 마포구 용강동,서울특별시 마포구 대흥동,서울특별시 마포구 염리동,서울특별시 마포구 신수동,서울특별시 마포구 서강동,서울특별시 마포구 서교동,서울특별시 마포구 합정동,서울특별시 마포구 망원제1동,서울특별시 마포구 망원제2동,서울특별시 마포구 연남동,서울특별시 마포구 성산제1동,서울특별시 마포구 성산제2동,서울특별시 마포구 상암동
2020,4,100,245,37,31,21,7,19,10,12,14,15,14,6,11,12,11,9,16
2020,5,총,"197,852","13,209","20,838","11,540","11,527","7,163","6,314","11,968","13,152","13,243","9,958","11,229","10,052","8,372","10,405","22,224","16,658"
2020,5,0,"12,825","1,396","1,140",729,"1,222",315,461,841,945,436,596,567,612,355,518,"1,376","1,316"
2020,5,10,"14,463",840,"1,277",790,"1,005",443,574,904,891,662,540,706,855,395,750,"1,716","2,115"
2020,5,20,"33,536","1,717","3,737","1,590","1,226","1,742",914,"1,732","2,471","3,182","1,993","1,892","1,498","1,712","1,704","4,044","2,382"
2020,5,30,"34,452","2,752","3,399","1,937","2,035","1,099","1,003","1,987","2,276","2,798","2,007","2,121","1,590","1,665","1,819","3,732","2,232"
2020,5,40,"31,891","1,981","2,977","1,733","2,267","1,008","1,061","2,136","2,153","1,934","1,390","1,697","1,687","1,186","1,826","3,555","3,300"
2020,5,50,"27,664","1,953","3,438","1,829","1,482",927,899,"1,744","1,916","1,596","1,271","1,530","1,404","1,102","1,484","2,927","2,162"
2020,5,60,"20,832","1,352","2,317","1,401","1,090",744,627,"1,249","1,203","1,229","1,065","1,337","1,213",925,"1,180","2,285","1,615"
2020,5,70,"14,131",717,"1,578",877,741,548,507,914,814,875,695,917,821,650,778,"1,729",970
2020,5,80,"6,645",394,814,523,394,257,224,383,400,421,330,393,314,319,295,707,477
2020,5,90,"1,167",70,130,110,58,61,34,66,69,94,56,63,47,51,41,144,73
2020,5,100,246,37,31,21,7,19,10,12,14,16,15,6,11,12,10,9,16
2020,6,총,"197,726","13,227","20,732","11,508","11,498","7,246","6,313","11,979","13,151","13,361","9,902","11,187","10,057","8,366","10,373","22,203","16,623"
2020,6,0,"12,759","1,403","1,128",726,"1,217",314,461,836,942,437,582,563,610,353,522,"1,361","1,304"
2020,6,10,"14,419",844,"1,257",787,"1,007",446,580,904,889,661,536,695,852,389,750,"1,709","2,113"
2020,6,20,"33,661","1,704","3,739","1,593","1,209","1,770",906,"1,732","2,460","3,295","1,983","1,894","1,512","1,737","1,691","4,060","2,376"
2020,6,30,"34,387","2,758","3,395","1,918","2,018","1,120","1,009","1,989","2,281","2,826","2,000","2,110","1,573","1,644","1,813","3,711","2,222"
2020,6,40,"31,793","1,989","2,955","1,719","2,275","1,025","1,062","2,121","2,143","1,905","1,385","1,695","1,700","1,194","1,818","3,521","3,286"
2020,6,50,"27,583","1,950","3,401","1,838","1,471",936,893,"1,752","1,920","1,588","1,256","1,518","1,398","1,092","1,471","2,945","2,154"
2020,6,60,"20,926","1,358","2,311","1,394","1,099",749,629,"1,262","1,222","1,246","1,064","1,338","1,220",925,"1,182","2,300","1,627"
