년도,월,나이,화천군,화천읍,간동면,하남면,상서면,사내면
2020,1,총,"11,380","4,090","1,263","1,386","1,668","2,973"
2020,1,0,925,391,27,53,156,298
2020,1,10,913,366,79,149,77,242
2020,1,20,"1,210",485,74,129,204,318
2020,1,30,"1,214",476,61,120,173,384
2020,1,40,"1,278",558,117,167,132,304
2020,1,50,"1,831",619,257,234,256,465
2020,1,60,"1,631",475,247,212,252,445
2020,1,70,"1,402",453,226,177,240,306
2020,1,80,826,230,145,125,149,177
2020,1,90,142,35,30,17,28,32
2020,1,100,8,2,0,3,1,2
2020,2,총,"11,339","4,079","1,255","1,398","1,670","2,937"
2020,2,0,925,388,25,57,158,297
2020,2,10,898,359,79,149,76,235
2020,2,20,"1,198",488,68,131,207,304
2020,2,30,"1,195",466,61,123,171,374
2020,2,40,"1,272",559,117,166,132,298
2020,2,50,"1,828",621,255,235,254,463
2020,2,60,"1,651",477,249,218,253,454
2020,2,70,"1,395",451,225,174,242,303
2020,2,80,829,232,145,127,148,177
2020,2,90,140,36,31,15,28,30
2020,2,100,8,2,0,3,1,2
2020,3,총,"11,313","4,059","1,254","1,398","1,669","2,933"
2020,3,0,931,389,29,57,158,298
2020,3,10,893,355,75,148,75,240
2020,3,20,"1,172",480,68,125,205,294
2020,3,30,"1,197",463,61,127,169,377
2020,3,40,"1,261",555,113,163,132,298
2020,3,50,"1,831",620,255,241,256,459
2020,3,60,"1,652",478,250,218,253,453
2020,3,70,"1,395",449,226,173,242,305
2020,3,80,828,229,145,127,150,177
2020,3,90,145,39,32,16,28,30
2020,3,100,8,2,0,3,1,2
2020,4,총,"11,309","4,057","1,259","1,391","1,668","2,934"
2020,4,0,931,383,28,58,162,300
2020,4,10,893,360,78,139,73,243
2020,4,20,"1,165",480,63,126,201,295
2020,4,30,"1,197",459,63,129,172,374
2020,4,40,"1,260",555,113,160,133,299
2020,4,50,"1,820",618,259,238,250,455
2020,4,60,"1,675",483,253,223,259,457
2020,4,70,"1,380",445,225,168,241,301
2020,4,80,834,233,145,130,148,178
2020,4,90,146,39,32,17,28,30
2020,4,100,8,2,0,3,1,2
2020,5,총,"11,321","4,044","1,263","1,390","1,672","2,952"
2020,5,0,931,377,28,60,167,299
2020,5,10,890,361,78,137,73,241
2020,5,20,"1,163",471,65,124,200,303
2020,5,30,"1,205",460,63,130,173,379
2020,5,40,"1,252",556,111,160,133,292
2020,5,50,"1,826",613,263,240,248,462
2020,5,60,"1,679",480,253,221,263,462
2020,5,70,"1,382",445,226,169,238,304
2020,5,80,834,240,143,128,146,177
2020,5,90,151,39,33,18,30,31
2020,5,100,8,2,0,3,1,2
2020,6,총,"11,345","4,046","1,263","1,388","1,686","2,962"
2020,6,0,929,370,28,60,172,299
2020,6,10,892,364,77,135,75,241
2020,6,20,"1,178",471,66,128,207,306
2020,6,30,"1,190",454,62,128,171,375
2020,6,40,"1,263",561,111,159,134,298
2020,6,50,"1,827",615,261,237,245,469
2020,6,60,"1,688",483,257,223,266,459
2020,6,70,"1,382",444,227,170,237,304
2020,6,80,838,243,142,128,148,177
