년도,월,나이,안동시,풍산읍,와룡면,북후면,서후면,풍천면,일직면,남후면,남선면,임하면,길안면,임동면,예안면,도산면,녹전면,중구동,명륜동,용상동,서구동,태화동,평화동,안기동,옥동,송하동,강남동
2020,1,총,"79,122","3,314","2,171","1,616","1,939","2,720","1,414",908,"1,100","1,572","1,404",931,990,894,935,"2,570","2,495","11,091","4,525","6,819","3,198","3,226","10,723","7,638","4,929"
2020,1,0,"5,866",117,53,34,50,122,31,16,38,31,25,22,27,14,22,149,182,"1,035",387,497,209,218,"1,168",824,595
2020,1,10,"7,406",158,134,60,99,146,89,40,41,61,42,25,35,29,35,192,208,"1,226",468,579,303,322,"1,415",884,815
2020,1,20,"9,300",291,196,106,209,329,95,52,113,152,91,59,63,43,51,321,294,"1,706",464,846,381,381,"1,442","1,001",614
2020,1,30,"8,282",236,111,121,133,340,74,55,78,100,77,48,53,53,53,283,236,"1,325",455,868,360,347,"1,302","1,068",506
2020,1,40,"11,884",398,239,228,237,356,175,116,114,194,141,111,89,100,99,360,401,"1,795",710,"1,030",489,449,"1,885","1,233",935
2020,1,50,"13,739",634,396,343,375,474,276,179,253,328,311,187,219,179,172,447,482,"1,760",745,"1,128",509,617,"1,712","1,270",743
2020,1,60,"11,819",685,455,303,418,434,294,196,236,361,351,242,239,216,243,404,378,"1,259",654,998,496,509,"1,133",883,432
2020,1,70,"7,333",512,358,255,267,341,244,159,150,233,219,149,174,162,171,306,237,682,450,630,333,286,472,334,209
2020,1,80,"3,169",251,209,150,131,159,123,90,71,91,134,82,82,91,81,100,68,275,175,225,110,87,181,128,75
2020,1,90,310,30,20,16,20,18,13,5,6,20,13,6,9,7,7,6,9,25,17,16,8,10,13,11,5
2020,1,100,14,2,0,0,0,1,0,0,0,1,0,0,0,0,1,2,0,3,0,2,0,0,0,2,0
2020,2,총,"79,090","3,310","2,157","1,618","1,934","2,729","1,396",908,"1,099","1,560","1,401",932,987,894,936,"2,569","2,497","11,112","4,515","6,806","3,193","3,218","10,687","7,654","4,978"
2020,2,0,"5,855",117,52,36,49,119,29,15,38,31,26,21,27,14,21,145,179,"1,038",389,496,208,214,"1,164",822,605
2020,2,10,"7,389",159,137,62,96,147,87,42,42,60,42,26,35,30,35,188,204,"1,234",460,580,304,319,"1,398",879,823
2020,2,20,"9,251",291,193,105,198,335,91,50,111,144,86,60,61,44,46,322,302,"1,675",462,841,376,377,"1,437","1,023",621
2020,2,30,"8,273",235,111,117,136,340,72,55,79,101,75,47,54,53,54,276,237,"1,343",452,859,356,346,"1,297","1,062",516
2020,2,40,"11,843",394,230,232,238,354,174,114,112,189,142,107,88,98,99,363,394,"1,798",708,"1,033",491,451,"1,866","1,231",937
2020,2,50,"13,750",639,400,337,370,474,268,179,255,329,311,188,220,177,174,449,485,"1,778",748,"1,117",510,616,"1,709","1,270",747
2020,2,60,"11,853",677,449,308,427,436,292,198,235,362,355,243,239,219,243,402,382,"1,259",653,999,494,508,"1,148",891,434
2020,2,70,"7,353",511,358,255,266,345,245,159,149,230,215,148,172,161,176,312,238,686,449,635,336,288,471,334,214
2020,2,80,"3,198",253,208,152,134,159,124,91,71,93,136,86,83,90,80,104,67,274,177,229,110,88,184,129,76
2020,2,90,310,32,19,14,20,19,14,5,7,20,13,6,8,8,7,6,9,24,17,15,8,11,12,11,5
