년도,월,나이,경상남도 함양군,경상남도 함양군 함양읍,경상남도 함양군 마천면,경상남도 함양군 휴천면,경상남도 함양군 유림면,경상남도 함양군 수동면,경상남도 함양군 지곡면,경상남도 함양군 안의면,경상남도 함양군 서하면,경상남도 함양군 서상면,경상남도 함양군 백전면,경상남도 함양군 병곡면
2020,1,총,"20,497","9,594","1,158",806,913,"1,228","1,082","2,442",765,993,804,712
2020,1,0,948,682,22,16,15,34,33,74,11,26,20,15
2020,1,10,"1,521",973,62,39,43,79,55,122,20,57,37,34
2020,1,20,"1,418",870,47,36,37,78,41,126,39,63,41,40
2020,1,30,"1,324",876,43,27,29,57,51,120,28,42,25,26
2020,1,40,"2,094","1,332",95,54,42,96,83,176,39,66,58,53
2020,1,50,"3,357","1,582",218,125,138,182,166,356,152,154,161,123
2020,1,60,"3,484","1,378",219,147,165,240,194,491,174,181,170,125
2020,1,70,"3,316","1,058",243,195,205,245,247,488,138,204,150,143
2020,1,80,"2,602",727,172,140,192,191,189,413,143,182,123,130
2020,1,90,409,108,34,26,42,25,23,72,21,18,19,21
2020,1,100,24,8,3,1,5,1,0,4,0,0,0,2
2020,2,총,"20,444","9,579","1,149",803,911,"1,230","1,077","2,428",767,993,797,710
2020,2,0,952,685,22,16,15,34,33,75,13,24,20,15
2020,2,10,"1,499",964,59,37,43,75,54,119,20,57,36,35
2020,2,20,"1,389",853,48,37,37,82,39,122,34,61,38,38
2020,2,30,"1,324",874,43,27,30,59,50,120,28,41,26,26
2020,2,40,"2,079","1,329",90,55,42,92,83,172,41,65,57,53
2020,2,50,"3,327","1,571",217,121,135,181,163,354,150,156,160,119
2020,2,60,"3,497","1,383",220,147,165,239,197,492,175,182,169,128
2020,2,70,"3,326","1,069",243,194,206,245,246,486,140,207,148,142
2020,2,80,"2,610",734,170,140,191,197,188,412,143,180,124,131
2020,2,90,415,109,34,28,42,25,24,71,23,20,18,21
2020,2,100,26,8,3,1,5,1,0,5,0,0,1,2
2020,3,총,"20,413","9,562","1,146",802,899,"1,225","1,090","2,422",762,998,799,708
2020,3,0,947,683,23,15,14,33,38,69,12,26,20,14
2020,3,10,"1,488",956,58,38,40,76,54,118,20,57,36,35
2020,3,20,"1,383",852,47,37,35,79,40,122,34,61,37,39
2020,3,30,"1,314",868,44,27,28,59,51,119,28,41,24,25
2020,3,40,"2,055","1,320",87,54,40,88,83,165,42,67,57,52
2020,3,50,"3,300","1,570",215,117,134,177,166,353,142,152,158,116
2020,3,60,"3,522","1,390",224,147,164,244,197,493,176,186,172,129
2020,3,70,"3,324","1,070",238,197,204,243,242,491,140,207,152,140
2020,3,80,"2,630",733,173,141,194,200,193,412,146,180,123,135
2020,3,90,423,112,33,28,41,25,26,75,22,21,19,21
2020,3,100,27,8,4,1,5,1,0,5,0,0,1,2
2020,4,총,"20,391","9,538","1,147",809,894,"1,233","1,094","2,424",760,992,791,709
2020,4,0,941,674,23,15,14,34,37,71,12,25,20,16
2020,4,10,"1,480",953,58,37,40,76,56,117,20,53,36,34
2020,4,20,"1,371",842,50,37,34,78,38,121,33,62,36,40
2020,4,30,"1,315",867,44,29,26,63,52,118,28,41,23,24
2020,4,40,"2,043","1,313",84,59,40,86,82,164,42,64,57,52
2020,4,50,"3,310","1,578",216,116,134,179,166,363,138,152,155,113
2020,4,60,"3,526","1,392",221,146,167,248,198,486,178,185,172,133
2020,4,70,"3,311","1,066",237,196,200,240,243,490,140,208,151,140
2020,4,80,"2,644",731,177,145,193,202,196,413,149,181,122,135
2020,4,90,423,114,33,28,41,26,26,76,20,21,18,20
2020,4,100,27,8,4,1,5,1,0,5,0,0,1,2
2020,5,총,"20,380","9,542","1,148",813,891,"1,228","1,086","2,420",755,994,793,710
2020,5,0,940,671,24,17,14,34,37,71,12,25,19,16
2020,5,10,"1,461",941,59,38,39,74,55,117,19,55,32,32
2020,5,20,"1,377",849,49,37,33,79,36,121,33,62,37,41
2020,5,30,"1,309",863,45,30,27,61,50,119,25,42,23,24
2020,5,40,"2,042","1,319",82,60,41,85,79,163,43,63,56,51
2020,5,50,"3,302","1,579",220,116,135,178,165,356,134,153,153,113
2020,5,60,"3,540","1,397",220,145,165,248,201,489,180,186,176,133
2020,5,70,"3,301","1,062",236,194,199,242,241,488,140,206,153,140
2020,5,80,"2,655",738,175,146,192,201,196,414,149,182,124,138
2020,5,90,427,115,34,29,41,26,26,77,20,20,19,20
2020,5,100,26,8,4,1,5,0,0,5,0,0,1,2
2020,6,총,"20,378","9,542","1,148",817,892,"1,227","1,078","2,419",750,995,795,715
2020,6,0,934,670,23,18,14,34,32,71,12,24,19,17
2020,6,10,"1,458",939,58,39,39,74,57,115,19,55,31,32
2020,6,20,"1,373",848,49,36,33,79,37,119,31,65,34,42
2020,6,30,"1,300",856,43,31,27,62,47,117,25,43,26,23
2020,6,40,"2,038","1,320",80,61,43,84,79,161,42,62,56,50
2020,6,50,"3,286","1,577",222,116,134,170,164,355,130,154,149,115
2020,6,60,"3,568","1,405",222,145,165,251,200,494,182,186,183,135
2020,6,70,"3,314","1,068",237,193,201,246,244,490,140,205,150,140
2020,6,80,"2,652",737,177,148,190,201,191,414,149,180,127,138
