년도,월,나이,충청북도 음성군,충청북도 음성군 음성읍,충청북도 음성군 금왕읍,충청북도 음성군 소이면,충청북도 음성군 원남면,충청북도 음성군 맹동면,충청북도 음성군 대소면,충청북도 음성군 삼성면,충청북도 음성군 생극면,충청북도 음성군 감곡면
2020,3,총,"44,570","8,437","9,644","1,438","1,487","6,109","7,155","3,194","2,103","5,003"
2020,3,0,"3,104",484,706,24,39,788,585,114,88,276
2020,3,10,"3,807",723,966,55,51,480,777,210,121,424
2020,3,20,"4,138",779,938,69,86,699,726,260,127,454
2020,3,30,"4,538",716,999,67,71,"1,136",751,242,133,423
2020,3,40,"6,201","1,127","1,563",85,81,956,"1,289",330,186,584
2020,3,50,"7,987","1,536","1,751",255,257,817,"1,315",688,406,962
2020,3,60,"6,853","1,456","1,321",318,345,599,857,621,451,885
2020,3,70,"4,393",939,804,296,289,367,479,391,297,531
2020,3,80,"3,011",586,502,230,228,214,320,288,251,392
2020,3,90,511,88,82,37,39,51,56,48,41,69
2020,3,100,27,3,12,2,1,2,0,2,2,3
2020,4,총,"44,441","8,414","9,613","1,429","1,477","6,105","7,151","3,185","2,087","4,980"
2020,4,0,"3,081",478,702,25,36,782,582,114,87,275
2020,4,10,"3,791",721,956,54,49,488,776,210,121,416
2020,4,20,"4,088",766,930,69,84,690,722,255,123,449
2020,4,30,"4,521",723,988,65,71,"1,135",741,242,132,424
2020,4,40,"6,167","1,115","1,557",83,81,953,"1,297",327,179,575
2020,4,50,"7,977","1,536","1,750",250,256,826,"1,313",688,402,956
2020,4,60,"6,873","1,458","1,321",320,344,600,864,618,455,893
2020,4,70,"4,377",939,804,295,288,359,479,391,296,526
2020,4,80,"3,017",581,509,228,227,219,322,288,249,394
2020,4,90,520,93,84,38,40,51,54,50,41,69
2020,4,100,29,4,12,2,1,2,1,2,2,3
2020,5,총,"44,371","8,379","9,579","1,431","1,469","6,116","7,167","3,162","2,087","4,981"
2020,5,0,"3,063",473,700,25,33,779,581,112,88,272
2020,5,10,"3,771",712,943,55,49,490,773,210,122,417
2020,5,20,"4,037",751,918,68,80,683,721,247,123,446
2020,5,30,"4,503",710,989,69,70,"1,132",740,240,131,422
2020,5,40,"6,164","1,109","1,552",82,78,958,"1,297",326,181,581
2020,5,50,"7,974","1,535","1,738",245,253,831,"1,331",684,404,953
2020,5,60,"6,884","1,459","1,322",323,349,610,865,612,448,896
2020,5,70,"4,387",946,810,293,286,357,479,388,299,529
2020,5,80,"3,033",588,510,231,228,221,325,291,247,392
2020,5,90,526,92,85,38,42,53,54,50,42,70
2020,5,100,29,4,12,2,1,2,1,2,2,3
2020,6,총,"44,337","8,391","9,502","1,428","1,463","6,164","7,153","3,155","2,094","4,987"
2020,6,0,"3,038",460,686,27,34,783,572,116,90,270
2020,6,10,"3,785",719,933,55,52,504,771,206,120,425
2020,6,20,"4,016",755,908,69,77,684,716,243,121,443
2020,6,30,"4,483",712,972,70,70,"1,146",733,236,131,413
2020,6,40,"6,149","1,102","1,539",79,76,962,"1,304",326,176,585
2020,6,50,"7,948","1,539","1,721",245,246,836,"1,328",679,407,947
2020,6,60,"6,945","1,473","1,334",321,352,616,869,614,455,911
2020,6,70,"4,372",941,805,293,284,357,482,386,296,528
2020,6,80,"3,050",595,510,229,228,223,323,297,253,392
2020,6,90,522,91,82,38,43,51,54,50,43,70
2020,6,100,29,4,12,2,1,2,1,2,2,3
2020,7,총,"44,320","8,390","9,484","1,429","1,460","6,190","7,161","3,146","2,083","4,977"
2020,7,0,"3,007",457,681,26,34,780,566,112,88,263
2020,7,10,"3,776",715,935,55,52,504,766,205,119,425
2020,7,20,"4,011",750,910,68,75,688,717,244,115,444
2020,7,30,"4,475",705,967,71,72,"1,155",736,232,129,408
2020,7,40,"6,168","1,106","1,536",77,75,976,"1,306",327,179,586
2020,7,50,"7,940","1,539","1,715",247,246,832,"1,337",677,401,946
2020,7,60,"6,945","1,476","1,334",318,350,617,872,609,458,911
2020,7,70,"4,392",944,808,297,284,362,486,384,295,532
2020,7,80,"3,053",600,503,231,228,223,321,304,254,389
2020,7,90,525,94,84,37,42,51,54,50,43,70
2020,7,100,28,4,11,2,2,2,0,2,2,3
2020,8,총,"44,229","8,366","9,460","1,428","1,456","6,170","7,166","3,136","2,070","4,977"
2020,8,0,"2,975",456,674,26,34,770,562,107,85,261
2020,8,10,"3,774",708,937,55,54,504,766,206,118,426
2020,8,20,"3,995",750,903,68,72,685,714,242,111,450
2020,8,30,"4,436",696,954,73,71,"1,146",737,230,122,407
2020,8,40,"6,161","1,102","1,527",76,75,979,"1,307",329,179,587
2020,8,50,"7,915","1,540","1,718",242,248,819,"1,340",670,405,933
2020,8,60,"6,990","1,480","1,333",322,349,627,877,616,462,924
2020,8,70,"4,382",937,810,298,284,360,487,382,294,530
2020,8,80,"3,049",601,507,230,226,225,322,303,247,388
2020,8,90,522,92,86,36,40,53,54,49,44,68
2020,8,100,30,4,11,2,3,2,0,2,3,3
2020,9,총,"44,038","8,340","9,387","1,432","1,448","6,144","7,136","3,121","2,064","4,966"
2020,9,0,"2,926",450,653,26,34,766,548,104,83,262
2020,9,10,"3,749",702,927,56,54,512,761,206,117,414
2020,9,20,"3,962",762,894,66,70,669,705,235,113,448
2020,9,30,"4,368",688,922,73,70,"1,127",730,227,122,409
2020,9,40,"6,108","1,088","1,511",75,75,980,"1,302",327,177,573
2020,9,50,"7,897","1,528","1,721",244,243,820,"1,337",667,405,932
2020,9,60,"7,054","1,494","1,343",324,349,633,890,622,465,934
2020,9,70,"4,345",928,804,298,276,359,481,378,289,532
2020,9,80,"3,066",604,513,228,232,223,329,304,246,387
2020,9,90,533,92,88,40,42,53,53,49,44,72
2020,9,100,30,4,11,2,3,2,0,2,3,3
2020,10,총,"43,936","8,311","9,327","1,433","1,463","6,137","7,131","3,105","2,064","4,965"
2020,10,0,"2,886",445,642,25,36,760,532,106,82,258
2020,10,10,"3,719",693,906,58,54,517,750,204,118,419
2020,10,20,"3,965",751,898,69,72,671,708,234,111,451
2020,10,30,"4,331",693,900,70,75,"1,111",742,218,114,408
2020,10,40,"6,065","1,071","1,507",76,76,973,"1,282",326,182,572
2020,10,50,"7,884","1,522","1,702",244,244,832,"1,352",666,400,922
2020,10,60,"7,094","1,504","1,354",328,353,631,896,618,471,939
2020,10,70,"4,363",936,803,297,273,363,486,378,290,537
2020,10,80,"3,059",600,517,223,234,223,330,303,246,383
2020,10,90,539,92,87,40,43,54,53,50,47,73
2020,10,100,31,4,11,3,3,2,0,2,3,3
2020,11,총,"43,833","8,309","9,297","1,429","1,462","6,098","7,120","3,091","2,068","4,959"
2020,11,0,"2,844",440,625,24,35,754,528,102,81,255
2020,11,10,"3,700",691,909,55,54,512,746,202,119,412
2020,11,20,"3,963",747,901,71,70,666,706,230,115,457
2020,11,30,"4,276",689,881,68,73,"1,099",740,216,112,398
2020,11,40,"6,027","1,071","1,504",75,75,958,"1,267",321,180,576
2020,11,50,"7,878","1,521","1,697",243,244,825,"1,366",663,399,920
2020,11,60,"7,150","1,517","1,361",329,357,638,900,627,479,942
2020,11,70,"4,353",936,810,293,270,361,482,379,285,537
2020,11,80,"3,075",600,516,228,238,229,332,300,248,384
2020,11,90,536,93,82,40,43,54,53,49,47,75
2020,11,100,31,4,11,3,3,2,0,2,3,3
2020,12,총,"43,765","8,283","9,292","1,428","1,466","6,092","7,123","3,082","2,071","4,928"
2020,12,0,"2,824",431,623,26,37,744,529,102,80,252
2020,12,10,"3,689",688,915,55,53,510,745,194,119,410
2020,12,20,"3,951",746,900,66,70,666,704,238,115,446
2020,12,30,"4,236",684,875,65,73,"1,094",728,212,113,392
2020,12,40,"6,019","1,059","1,497",75,75,968,"1,273",318,179,575
2020,12,50,"7,854","1,523","1,694",239,245,820,"1,363",662,393,915
2020,12,60,"7,194","1,517","1,372",335,358,641,916,629,485,941
2020,12,70,"4,345",941,805,293,269,360,475,375,288,539
2020,12,80,"3,082",597,519,230,238,233,338,301,247,379
2020,12,90,539,93,81,41,45,53,52,49,49,76
2020,12,100,32,4,11,3,3,3,0,2,3,3
2021,1,총,"43,698","8,274","9,257","1,422","1,460","6,107","7,118","3,077","2,077","4,906"
2021,1,0,"2,789",426,613,25,38,736,521,98,83,249
2021,1,10,"3,679",688,912,54,51,517,744,193,116,404
