년도,월,나이,당진시,합덕읍,송악읍,고대면,석문면,대호지면,정미면,면천면,순성면,우강면,신평면,송산면,당진1동,당진2동,당진3동
2020,1,총,"166,815","9,383","30,486","5,559","9,640","2,467","3,731","3,592","5,191","5,250","16,159","12,121","23,914","20,627","18,695"
2020,1,0,"16,527",373,"4,211",202,479,61,108,118,197,213,"1,646","1,318","2,664","2,553","2,384"
2020,1,10,"15,768",599,"2,518",299,505,102,199,184,329,376,"1,834","1,013","2,474","2,521","2,815"
2020,1,20,"16,625",769,"2,551",409,979,152,320,288,402,402,"1,513","1,119","3,402","2,188","2,131"
2020,1,30,"23,913",789,"5,899",346,"1,175",135,235,234,312,355,"1,907","2,144","4,429","3,161","2,792"
2020,1,40,"26,418","1,158","5,250",584,"1,321",225,341,376,568,597,"2,608","2,000","4,040","3,675","3,675"
2020,1,50,"25,929","1,666","4,325","1,009","1,941",386,665,699,"1,002",933,"2,572","1,795","3,280","3,025","2,631"
2020,1,60,"19,853","1,830","3,039","1,151","1,550",597,798,736,"1,015","1,009","1,947","1,266","1,940","1,832","1,143"
2020,1,70,"12,877","1,286","1,626",839,"1,011",474,599,530,757,793,"1,278",856,"1,117","1,028",683
2020,1,80,"7,805",792,941,632,600,301,404,370,523,502,751,540,504,563,382
2020,1,90,"1,035",106,119,85,74,31,61,55,81,69,95,68,63,71,57
2020,1,100,65,15,7,3,5,3,1,2,5,1,8,2,1,10,2
2020,2,총,"166,551","9,357","30,426","5,543","9,637","2,459","3,742","3,611","5,191","5,235","16,158","12,106","23,834","20,561","18,691"
2020,2,0,"16,381",373,"4,185",197,472,58,108,117,195,214,"1,639","1,312","2,621","2,538","2,352"
2020,2,10,"15,715",591,"2,518",295,510,101,202,181,326,368,"1,825","1,012","2,480","2,486","2,820"
2020,2,20,"16,445",766,"2,507",402,977,150,316,292,404,399,"1,506","1,104","3,347","2,168","2,107"
2020,2,30,"23,794",784,"5,877",338,"1,162",136,234,237,307,352,"1,884","2,135","4,408","3,145","2,795"
2020,2,40,"26,480","1,150","5,262",584,"1,332",228,344,379,570,587,"2,634","1,995","4,065","3,680","3,670"
2020,2,50,"25,855","1,646","4,334","1,003","1,928",380,650,694,"1,003",931,"2,551","1,793","3,269","3,019","2,654"
2020,2,60,"20,015","1,838","3,052","1,163","1,559",600,817,746,"1,014","1,012","1,971","1,283","1,954","1,838","1,168"
2020,2,70,"12,895","1,292","1,615",837,"1,010",471,604,536,761,793,"1,290",854,"1,119","1,033",680
2020,2,80,"7,843",795,951,634,607,300,406,367,522,508,749,544,504,572,384
2020,2,90,"1,061",107,118,87,75,32,59,60,84,69,101,72,66,71,60
2020,2,100,67,15,7,3,5,3,2,2,5,2,8,2,1,11,1
2020,3,총,"166,253","9,309","30,408","5,543","9,651","2,453","3,734","3,611","5,176","5,216","16,062","12,093","23,773","20,557","18,667"
2020,3,0,"16,270",368,"4,165",200,479,61,107,117,193,215,"1,621","1,307","2,594","2,515","2,328"
2020,3,10,"15,699",584,"2,526",294,505,100,203,179,326,363,"1,812","1,011","2,474","2,495","2,827"
2020,3,20,"16,348",755,"2,476",398,966,150,313,287,402,393,"1,484","1,104","3,333","2,171","2,116"
2020,3,30,"23,617",770,"5,857",335,"1,161",134,232,239,301,341,"1,858","2,121","4,383","3,124","2,761"
2020,3,40,"26,463","1,146","5,267",585,"1,334",227,341,381,569,588,"2,614","1,992","4,066","3,679","3,674"
2020,3,50,"25,794","1,629","4,363",994,"1,939",376,647,685,992,920,"2,549","1,781","3,245","3,015","2,659"
2020,3,60,"20,090","1,843","3,050","1,162","1,571",597,818,750,"1,014","1,015","1,970","1,297","1,978","1,852","1,173"
2020,3,70,"12,952","1,294","1,622",845,"1,006",474,604,543,761,798,"1,288",859,"1,125","1,046",687
2020,3,80,"7,876",796,953,638,605,302,406,364,530,508,758,549,506,579,382
2020,3,90,"1,077",109,122,89,80,29,61,64,83,73,100,70,68,70,59
2020,3,100,67,15,7,3,5,3,2,2,5,2,8,2,1,11,1
2020,4,총,"166,136","9,283","30,403","5,524","9,671","2,439","3,729","3,596","5,169","5,190","16,000","12,089","23,749","20,593","18,701"
2020,4,0,"16,221",364,"4,173",202,479,60,112,113,190,209,"1,614","1,296","2,578","2,520","2,311"
2020,4,10,"15,670",576,"2,512",291,505,99,196,185,332,362,"1,808","1,016","2,471","2,502","2,815"
2020,4,20,"16,280",748,"2,458",394,965,144,309,282,392,398,"1,476","1,087","3,320","2,164","2,143"
2020,4,30,"23,523",761,"5,849",335,"1,150",131,232,237,299,332,"1,828","2,100","4,383","3,125","2,761"
2020,4,40,"26,504","1,144","5,272",579,"1,343",226,340,378,575,585,"2,608","2,016","4,069","3,687","3,682"
2020,4,50,"25,718","1,622","4,371",984,"1,934",372,643,674,979,906,"2,534","1,791","3,228","3,007","2,673"
2020,4,60,"20,204","1,849","3,067","1,166","1,594",597,823,759,"1,024","1,019","1,965","1,297","1,991","1,871","1,182"
2020,4,70,"12,985","1,298","1,622",843,"1,010",473,600,542,759,799,"1,300",868,"1,134","1,050",687
2020,4,80,"7,879",794,951,637,606,305,409,362,530,507,759,545,504,584,386
2020,4,90,"1,084",112,121,90,80,29,63,62,84,71,100,70,70,72,60
2020,4,100,68,15,7,3,5,3,2,2,5,2,8,3,1,11,1
2020,5,총,"166,098","9,272","30,418","5,521","9,647","2,441","3,727","3,600","5,163","5,183","15,982","12,118","23,747","20,598","18,681"
2020,5,0,"16,113",361,"4,149",202,471,59,112,111,189,208,"1,596","1,293","2,559","2,506","2,297"
2020,5,10,"15,667",572,"2,528",285,495,100,192,185,333,355,"1,807","1,019","2,466","2,513","2,817"
2020,5,20,"16,266",748,"2,447",392,952,144,316,283,387,399,"1,479","1,080","3,331","2,164","2,144"
2020,5,30,"23,443",764,"5,809",337,"1,145",133,229,239,300,332,"1,827","2,111","4,382","3,107","2,728"
2020,5,40,"26,491","1,141","5,282",575,"1,338",223,337,381,571,584,"2,596","2,019","4,056","3,697","3,691"
2020,5,50,"25,754","1,615","4,390",984,"1,932",367,637,672,974,909,"2,535","1,797","3,245","3,010","2,687"
2020,5,60,"20,260","1,847","3,095","1,166","1,606",602,830,760,"1,016","1,014","1,973","1,307","1,988","1,871","1,185"
2020,5,70,"13,038","1,299","1,624",854,"1,016",477,599,546,770,794,"1,298",877,"1,144","1,052",688
2020,5,80,"7,902",798,962,630,606,303,409,359,531,516,763,541,503,598,383
2020,5,90,"1,096",112,125,93,81,30,64,62,87,70,100,71,72,69,60
2020,5,100,68,15,7,3,5,3,2,2,5,2,8,3,1,11,1
2020,6,총,"166,084","9,248","30,400","5,516","9,634","2,452","3,743","3,606","5,147","5,178","15,994","12,127","23,696","20,641","18,702"
2020,6,0,"16,030",361,"4,135",198,467,60,109,107,189,206,"1,581","1,280","2,537","2,514","2,286"
2020,6,10,"15,673",561,"2,535",289,494,100,200,192,334,357,"1,817","1,025","2,451","2,505","2,813"
2020,6,20,"16,219",747,"2,429",385,932,144,314,282,380,400,"1,487","1,088","3,325","2,167","2,139"
2020,6,30,"23,344",756,"5,790",339,"1,141",133,226,238,297,328,"1,816","2,092","4,361","3,100","2,727"
2020,6,40,"26,571","1,148","5,271",564,"1,346",226,338,382,568,583,"2,601","2,033","4,072","3,731","3,708"
