년도,월,나이,광주광역시 남구,광주광역시 남구 양림동,광주광역시 남구 방림1동,광주광역시 남구 방림2동,광주광역시 남구 봉선1동,광주광역시 남구 봉선2동,광주광역시 남구 사직동,광주광역시 남구 월산동,광주광역시 남구 월산4동,광주광역시 남구 월산5동,광주광역시 남구 백운1동,광주광역시 남구 백운2동,광주광역시 남구 주월1동,광주광역시 남구 주월2동,광주광역시 남구 효덕동,광주광역시 남구 송암동,광주광역시 남구 대촌동,광주광역시 남구 진월동
2020,3,총,"217,810","7,553","7,216","9,354","14,870","29,705","5,551","7,837","9,078","6,746","12,830","6,259","19,918","8,606","47,065","19,547","5,675",
2020,3,0,"18,177",563,571,541,989,"3,066",322,405,399,282,"1,131",428,"1,466",564,"4,178","2,964",308,
2020,3,10,"23,398",764,699,809,"1,466","5,024",297,450,668,388,"1,173",424,"2,133",659,"6,129","1,969",346,
2020,3,20,"28,578",855,901,"1,276","2,128","3,515",648,929,"1,248",972,"1,570",959,"2,847","1,164","6,742","2,314",510,
2020,3,30,"26,797",762,930,993,"1,721","3,071",710,868,"1,106",791,"1,661",873,"2,370",971,"5,716","3,812",442,
2020,3,40,"34,524","1,135","1,151","1,288","2,346","5,627",780,"1,055","1,257",870,"1,956",863,"3,165","1,189","7,867","3,272",703,
2020,3,50,"33,782","1,167","1,044","1,552","2,413","4,382",925,"1,321","1,595","1,288","1,947",937,"3,365","1,503","6,940","2,484",919,
2020,3,60,"27,237","1,035",939,"1,387","1,911","2,818",844,"1,245","1,498","1,168","1,794",869,"2,547","1,363","5,120","1,643","1,056",
2020,3,70,"17,114",867,697,"1,018","1,187","1,419",721,"1,075",925,697,"1,086",627,"1,447",863,"2,968",713,804,
2020,3,80,"7,017",341,243,417,611,657,259,415,335,251,440,243,503,288,"1,213",297,504,
2020,3,90,"1,089",55,34,64,94,122,31,68,46,34,70,27,70,36,184,76,78,
2020,3,100,97,9,7,9,4,4,14,6,1,5,2,9,5,6,8,3,5,
2020,4,총,"217,543","7,527","7,178","9,363","14,826","29,623","5,545","7,842","9,095","6,737","12,795","6,241","19,924","8,562","46,992","19,637","5,656",
2020,4,0,"18,043",559,560,540,986,"3,025",318,413,399,277,"1,119",423,"1,468",547,"4,142","2,967",300,
2020,4,10,"23,337",762,694,808,"1,454","5,001",299,447,668,384,"1,176",424,"2,119",652,"6,109","1,995",345,
2020,4,20,"28,530",859,901,"1,275","2,109","3,511",654,936,"1,252",985,"1,557",941,"2,859","1,161","6,712","2,312",506,
2020,4,30,"26,670",748,919,984,"1,731","3,048",699,869,"1,106",782,"1,658",869,"2,354",968,"5,688","3,815",432,
2020,4,40,"34,476","1,128","1,147","1,298","2,329","5,614",767,"1,048","1,259",857,"1,940",867,"3,142","1,183","7,898","3,295",704,
2020,4,50,"33,803","1,168","1,044","1,542","2,408","4,402",931,"1,311","1,610","1,292","1,950",927,"3,376","1,500","6,919","2,501",922,
2020,4,60,"27,294","1,037",930,"1,396","1,913","2,815",851,"1,248","1,491","1,167","1,784",874,"2,568","1,364","5,141","1,663","1,052",
2020,4,70,"17,121",852,698,"1,024","1,188","1,416",721,"1,078",920,703,"1,093",634,"1,454",855,"2,968",711,806,
2020,4,80,"7,084",350,245,420,609,667,261,420,343,250,444,246,506,288,"1,224",304,507,
2020,4,90,"1,089",55,33,67,96,120,30,66,46,36,71,27,73,38,183,71,77,
2020,4,100,96,9,7,9,3,4,14,6,1,4,3,9,5,6,8,3,5,
2020,5,총,"216,758","7,489","7,158","9,315","14,611","29,515","5,528","7,825","9,062","6,708","12,757","6,258","19,862","8,525","46,807","19,650","5,688",
2020,5,0,"17,912",548,562,531,969,"2,979",315,409,392,269,"1,110",428,"1,462",538,"4,113","2,983",304,
2020,5,10,"23,190",758,688,797,"1,431","4,996",297,448,653,384,"1,162",427,"2,094",646,"6,072","1,991",346,
2020,5,20,"28,398",874,895,"1,270","2,066","3,470",660,933,"1,253",970,"1,555",942,"2,866","1,152","6,674","2,307",511,
2020,5,30,"26,511",728,915,970,"1,694","3,040",693,863,"1,097",777,"1,646",874,"2,339",965,"5,656","3,828",426,
2020,5,40,"34,343","1,122","1,150","1,291","2,285","5,617",756,"1,040","1,248",853,"1,941",870,"3,120","1,170","7,871","3,294",715,
