년도,월,나이,의성군,의성읍,단촌면,점곡면,옥산면,사곡면,춘산면,가음면,금성면,봉양면,비안면,구천면,단밀면,단북면,안계면,다인면,신평면,안평면,안사면
2020,1,총,"25,792","6,787",992,812,898,761,756,744,"2,196","1,932","1,236",926,890,885,"2,192","1,930",375,"1,082",398
2020,1,0,"1,049",468,15,24,27,15,16,17,79,73,34,20,23,25,116,57,7,25,8
2020,1,10,"1,287",574,40,19,19,19,32,20,84,81,31,28,34,30,139,74,5,42,16
2020,1,20,"1,981",679,64,50,57,48,49,40,153,158,79,54,75,65,201,127,17,49,16
2020,1,30,"1,919",657,64,54,48,30,47,50,146,160,75,67,55,53,183,133,14,55,28
2020,1,40,"2,898",974,117,71,100,82,44,63,222,210,124,94,81,82,272,199,26,103,34
2020,1,50,"4,969","1,216",184,152,191,159,153,150,402,411,248,185,180,194,418,353,84,202,87
2020,1,60,"5,648","1,191",254,198,227,198,226,212,511,412,308,230,179,208,396,438,93,282,85
2020,1,70,"3,903",727,152,164,151,135,122,113,387,282,219,153,151,134,314,358,75,196,70
2020,1,80,"1,961",270,96,79,73,70,59,74,190,132,109,89,107,87,140,168,48,118,52
2020,1,90,169,29,6,1,4,5,7,4,21,13,9,6,5,7,13,22,6,9,2
2020,1,100,8,2,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0
2020,2,총,"25,734","6,752",986,812,898,759,756,741,"2,195","1,937","1,235",937,883,880,"2,185","1,921",374,"1,087",396
2020,2,0,"1,042",460,16,24,26,15,15,16,80,73,34,22,24,27,116,54,8,24,8
2020,2,10,"1,279",568,39,19,19,18,33,19,85,80,31,30,32,31,139,73,5,42,16
2020,2,20,"1,957",666,61,49,54,48,48,39,150,162,78,54,72,65,202,127,16,50,16
2020,2,30,"1,915",657,65,55,50,31,47,53,146,160,75,62,55,51,182,132,14,53,27
2020,2,40,"2,871",966,115,69,97,79,43,61,219,210,121,102,80,80,270,197,26,103,33
2020,2,50,"4,931","1,206",184,151,191,159,154,148,402,408,245,185,175,190,414,348,84,203,84
2020,2,60,"5,682","1,195",254,200,232,200,229,214,514,416,309,232,180,207,395,443,91,283,88
2020,2,70,"3,907",732,150,163,150,133,119,113,386,282,223,152,152,135,314,355,76,201,71
2020,2,80,"1,971",271,96,81,74,71,59,73,191,132,110,91,108,87,143,168,48,117,51
2020,2,90,171,29,6,1,4,5,8,4,21,14,9,7,5,7,10,23,6,10,2
2020,2,100,8,2,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0
2020,3,총,"25,651","6,715",976,815,896,758,756,742,"2,183","1,928","1,237",935,882,875,"2,175","1,918",379,"1,086",395
2020,3,0,"1,041",454,18,25,26,13,13,19,79,73,35,20,24,28,119,54,8,25,8
2020,3,10,"1,274",564,37,19,20,19,34,20,88,79,31,29,32,31,137,72,6,40,16
2020,3,20,"1,937",652,57,50,53,45,48,40,147,164,77,56,71,63,202,130,16,51,15
2020,3,30,"1,888",646,64,55,48,31,48,50,143,159,72,61,55,52,178,130,14,54,28
2020,3,40,"2,843",959,112,69,97,80,44,60,218,206,122,98,79,78,269,192,26,103,31
2020,3,50,"4,895","1,203",182,148,189,160,152,146,393,407,241,185,173,189,411,346,88,200,82
2020,3,60,"5,682","1,194",252,202,233,198,229,217,514,412,317,234,180,202,391,443,90,284,90
2020,3,70,"3,925",737,150,164,149,135,118,111,389,283,223,154,154,138,315,355,76,201,73
2020,3,80,"1,984",274,99,82,76,72,60,74,189,132,110,92,108,87,143,171,48,117,50
2020,3,90,174,30,5,1,4,5,9,4,22,13,9,6,6,7,10,24,7,10,2
2020,3,100,8,2,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0
2020,4,총,"25,606","6,700",974,808,887,760,754,742,"2,177","1,926","1,234",925,882,871,"2,188","1,920",378,"1,085",395
2020,4,0,"1,047",459,18,25,25,13,13,18,78,72,37,20,24,27,119,55,9,26,9
2020,4,10,"1,267",565,37,18,19,20,34,20,86,77,32,29,31,29,138,71,6,39,16
2020,4,20,"1,915",649,56,47,51,44,45,40,149,163,74,52,72,63,207,124,15,50,14
2020,4,30,"1,886",635,63,55,47,32,49,49,139,159,75,62,56,54,181,134,13,55,28
2020,4,40,"2,821",952,111,68,96,77,45,57,216,209,122,96,79,76,269,193,25,100,30
2020,4,50,"4,855","1,197",178,145,189,161,149,145,389,404,236,180,171,189,412,339,89,200,82
2020,4,60,"5,710","1,204",255,204,233,200,230,223,514,413,315,235,178,204,392,446,90,282,92
2020,4,70,"3,934",731,151,165,148,134,119,111,393,282,225,153,157,139,315,357,76,205,73
2020,4,80,"1,990",277,100,80,73,73,61,74,190,134,110,92,108,84,145,176,47,117,49
2020,4,90,173,29,5,1,5,6,8,4,22,13,8,6,6,6,10,24,8,10,2
2020,4,100,8,2,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0
2020,5,총,"25,545","6,669",967,811,887,763,755,748,"2,168","1,916","1,230",918,878,867,"2,191","1,920",379,"1,083",395
2020,5,0,"1,047",457,19,25,26,13,14,20,76,72,38,19,24,26,118,54,10,27,9
2020,5,10,"1,262",557,38,18,20,22,34,20,87,79,31,28,30,29,137,72,6,38,16
2020,5,20,"1,894",649,55,47,50,45,43,39,145,157,73,50,69,62,210,122,15,50,13
2020,5,30,"1,870",630,63,54,47,32,48,49,144,154,73,61,57,52,181,132,12,53,28
2020,5,40,"2,815",946,110,68,96,77,45,59,213,211,122,93,81,77,270,191,25,100,31
2020,5,50,"4,837","1,191",177,146,188,161,149,145,382,401,233,180,168,189,414,345,88,199,81
2020,5,60,"5,711","1,193",254,206,233,202,232,225,513,413,316,234,183,205,392,446,90,283,91
2020,5,70,"3,934",740,149,163,146,132,119,113,396,281,228,154,153,139,313,351,76,206,75
2020,5,80,"1,992",275,98,83,75,73,62,73,188,134,107,93,107,82,146,182,49,116,49
2020,5,90,175,29,4,1,5,6,8,4,23,14,9,6,6,6,10,24,8,10,2
2020,5,100,8,2,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0
2020,6,총,"25,518","6,671",968,811,887,758,755,745,"2,156","1,912","1,231",916,886,859,"2,188","1,914",384,"1,083",394
2020,6,0,"1,047",458,19,25,26,13,14,22,74,72,38,20,24,26,116,54,10,27,9
2020,6,10,"1,253",553,40,18,20,20,33,18,85,79,31,29,32,28,133,73,7,38,16
2020,6,20,"1,871",649,55,44,48,44,43,38,140,152,72,49,70,61,208,120,15,50,13
2020,6,30,"1,868",634,63,54,47,31,49,49,143,154,73,59,56,49,186,129,12,52,28
2020,6,40,"2,803",944,109,66,94,75,45,61,212,215,122,93,82,76,265,188,26,99,31
2020,6,50,"4,823","1,192",180,147,189,161,146,142,377,397,230,179,173,187,412,344,89,199,79
2020,6,60,"5,747","1,196",255,206,234,203,236,224,522,415,320,234,184,206,398,444,91,285,94
2020,6,70,"3,934",739,148,166,148,133,116,112,393,282,229,154,150,139,316,354,77,205,73
2020,6,80,"1,989",275,96,84,75,72,65,74,186,131,107,93,108,81,144,183,49,117,49
2020,6,90,175,29,3,1,5,6,7,4,23,15,9,6,7,6,10,24,8,10,2
2020,6,100,8,2,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0
2020,7,총,"25,455","6,661",961,810,887,755,749,747,"2,155","1,904","1,230",914,876,855,"2,185","1,907",384,"1,081",394
2020,7,0,"1,047",458,19,25,26,13,14,22,76,71,39,20,24,24,116,54,10,27,9
2020,7,10,"1,240",546,40,19,20,19,33,18,84,80,30,28,29,29,131,74,8,36,16
2020,7,20,"1,849",649,53,44,47,42,39,37,138,148,74,48,67,62,203,120,15,50,13
2020,7,30,"1,859",633,61,52,47,31,48,48,143,153,75,58,56,48,184,129,12,54,27
2020,7,40,"2,792",940,105,67,94,74,45,61,210,216,122,90,81,75,270,187,26,99,30
