년도,월,나이,서대문구,천연동,북아현동,충현동,신촌동,연희동,홍제제1동,홍제제3동,홍제제2동,홍은제1동,홍은제2동,남가좌제1동,남가좌제2동,북가좌제1동,북가좌제2동
2020,1,총,"161,239","9,617","8,908","9,084","10,265","19,604","13,061","8,297","7,564","11,760","14,119","8,522","13,492","9,760","17,186"
2020,1,0,"9,947",679,742,395,351,912,855,393,418,706,712,"1,109","1,026",742,907
2020,1,10,"12,262",828,573,608,538,"1,314","1,021",592,586,919,"1,163",772,"1,100",951,"1,297"
2020,1,20,"25,143","1,155","1,358","1,436","4,028","3,705","1,594","1,108",927,"1,464","2,020",849,"1,944","1,141","2,414"
2020,1,30,"22,578","1,288","1,536","1,270","1,618","2,969","1,838",961,995,"1,406","1,714","1,452","1,943","1,392","2,196"
2020,1,40,"24,339","1,528","1,386","1,281","1,013","2,890","2,015","1,169","1,144","1,767","2,153","1,484","2,105","1,696","2,708"
2020,1,50,"25,591","1,545","1,450","1,538","1,022","2,924","2,251","1,385","1,365","2,036","2,445","1,140","2,011","1,564","2,915"
2020,1,60,"19,600","1,114",901,"1,229",752,"2,237","1,721","1,197",983,"1,638","1,937",871,"1,578","1,106","2,336"
2020,1,70,"13,883",891,606,783,585,"1,704","1,135",946,748,"1,143","1,238",550,"1,144",769,"1,641"
2020,1,80,"6,571",499,283,420,282,809,531,471,339,571,609,244,519,330,664
2020,1,90,"1,122",68,49,101,59,120,88,64,57,96,111,40,105,60,104
2020,1,100,203,22,24,23,17,20,12,11,2,14,17,11,17,9,4
2020,2,총,"161,895","9,612","8,896","9,076","10,359","19,595","13,055","8,260","7,553","11,818","14,104","8,491","14,180","9,758","17,138"
2020,2,0,"10,002",666,733,390,349,899,842,384,414,723,699,"1,124","1,157",735,887
2020,2,10,"12,320",824,575,604,575,"1,313","1,016",584,587,916,"1,160",764,"1,169",946,"1,287"
2020,2,20,"25,311","1,161","1,351","1,436","4,096","3,732","1,600","1,108",924,"1,459","2,027",839,"2,004","1,153","2,421"
2020,2,30,"22,654","1,280","1,529","1,272","1,616","2,943","1,827",936,"1,000","1,431","1,711","1,459","2,095","1,377","2,178"
2020,2,40,"24,431","1,523","1,386","1,291","1,009","2,887","2,019","1,162","1,137","1,774","2,143","1,471","2,221","1,697","2,711"
2020,2,50,"25,614","1,546","1,441","1,525","1,019","2,916","2,248","1,397","1,361","2,041","2,442","1,123","2,085","1,563","2,907"
2020,2,60,"19,718","1,126",914,"1,239",755,"2,240","1,729","1,197",979,"1,645","1,944",871,"1,633","1,115","2,331"
2020,2,70,"13,894",889,611,786,576,"1,706","1,141",945,748,"1,137","1,233",545,"1,167",771,"1,639"
2020,2,80,"6,616",506,281,409,290,817,530,473,346,582,619,243,525,330,665
2020,2,90,"1,130",69,51,99,57,122,91,63,55,96,109,41,107,62,108
2020,2,100,205,22,24,25,17,20,12,11,2,14,17,11,17,9,4
2020,3,총,"162,591","9,556","8,892","9,181","10,375","19,540","13,042","8,245","7,528","11,885","14,112","8,400","15,049","9,711","17,075"
2020,3,0,"10,039",659,726,384,352,887,839,383,405,713,696,"1,104","1,307",713,871
2020,3,10,"12,346",807,583,606,575,"1,309","1,022",569,585,924,"1,149",764,"1,235",945,"1,273"
2020,3,20,"25,533","1,162","1,345","1,523","4,113","3,749","1,601","1,102",926,"1,483","2,043",828,"2,083","1,156","2,419"
2020,3,30,"22,826","1,271","1,546","1,284","1,620","2,917","1,824",942,985,"1,445","1,710","1,458","2,292","1,356","2,176"
2020,3,40,"24,467","1,512","1,390","1,285","1,008","2,857","2,012","1,149","1,127","1,780","2,140","1,454","2,380","1,691","2,682"
2020,3,50,"25,607","1,533","1,418","1,521","1,010","2,907","2,238","1,388","1,356","2,046","2,445","1,106","2,193","1,557","2,889"
2020,3,60,"19,811","1,126",917,"1,253",759,"2,242","1,728","1,221",981,"1,657","1,945",853,"1,670","1,116","2,343"
2020,3,70,"13,946",894,610,791,575,"1,714","1,141",935,756,"1,141","1,232",542,"1,209",774,"1,632"
2020,3,80,"6,660",499,282,409,287,814,532,481,348,587,623,239,553,332,674
2020,3,90,"1,149",71,51,100,59,123,93,64,57,95,111,41,110,63,111
2020,3,100,207,22,24,25,17,21,12,11,2,14,18,11,17,8,5
2020,4,총,"162,740","9,557","8,887","9,230","10,423","19,524","13,009","8,232","7,535","11,886","14,068","8,375","15,298","9,675","17,041"
2020,4,0,"10,039",662,723,386,346,869,829,386,407,714,688,"1,099","1,351",716,863
2020,4,10,"12,299",807,587,603,565,"1,308","1,021",563,580,922,"1,135",768,"1,244",941,"1,255"
2020,4,20,"25,744","1,156","1,342","1,582","4,188","3,785","1,601","1,089",928,"1,488","2,049",823,"2,128","1,150","2,435"
2020,4,30,"22,806","1,274","1,540","1,286","1,619","2,887","1,809",948,983,"1,450","1,710","1,451","2,342","1,341","2,166"
2020,4,40,"24,379","1,504","1,392","1,267","1,008","2,858","2,003","1,136","1,122","1,771","2,116","1,458","2,403","1,679","2,662"
2020,4,50,"25,581","1,532","1,410","1,518",999,"2,892","2,227","1,386","1,363","2,044","2,430","1,106","2,238","1,561","2,875"
2020,4,60,"19,877","1,123",918,"1,259",763,"2,244","1,735","1,223",990,"1,669","1,954",843,"1,679","1,113","2,364"
2020,4,70,"13,940",899,611,793,575,"1,713","1,143",936,755,"1,128","1,229",536,"1,222",772,"1,628"
2020,4,80,"6,710",504,287,412,284,821,537,488,345,589,626,242,564,332,679
2020,4,90,"1,159",74,53,100,59,126,92,66,60,97,113,38,110,62,109
2020,4,100,206,22,24,24,17,21,12,11,2,14,18,11,17,8,5
2020,5,총,"162,811","9,557","8,888","9,275","10,464","19,524","12,977","8,215","7,535","11,907","14,070","8,368","15,393","9,647","16,991"
2020,5,0,"10,031",664,722,382,349,866,812,385,410,722,689,"1,098","1,365",705,862
2020,5,10,"12,233",801,586,606,547,"1,310","1,019",560,572,916,"1,123",762,"1,233",947,"1,251"
2020,5,20,"25,839","1,160","1,339","1,606","4,227","3,782","1,592","1,091",940,"1,501","2,062",828,"2,150","1,141","2,420"
2020,5,30,"22,786","1,275","1,536","1,296","1,626","2,894","1,805",944,968,"1,442","1,709","1,445","2,354","1,331","2,161"
2020,5,40,"24,308","1,498","1,394","1,269","1,013","2,845","2,002","1,125","1,112","1,765","2,105","1,459","2,421","1,671","2,629"
2020,5,50,"25,607","1,527","1,414","1,528",999,"2,896","2,218","1,379","1,373","2,052","2,427","1,102","2,243","1,564","2,885"
2020,5,60,"19,922","1,130",924,"1,260",759,"2,244","1,726","1,222",992,"1,671","1,966",841,"1,703","1,118","2,366"
2020,5,70,"13,983",898,610,791,580,"1,711","1,157",941,760,"1,137","1,230",540,"1,229",770,"1,629"
2020,5,80,"6,739",504,287,414,287,829,544,493,346,589,629,243,564,330,680
2020,5,90,"1,156",78,52,97,60,126,91,64,60,98,112,39,114,62,103
2020,5,100,207,22,24,26,17,21,11,11,2,14,18,11,17,8,5
2020,6,총,"162,800","9,534","8,899","9,276","10,523","19,503","12,982","8,193","7,545","11,871","14,055","8,324","15,472","9,640","16,983"
2020,6,0,"9,983",658,721,379,351,862,804,377,406,729,681,"1,092","1,365",703,855
2020,6,10,"12,168",797,586,605,531,"1,303","1,017",553,579,906,"1,115",759,"1,233",942,"1,242"
2020,6,20,"25,972","1,156","1,339","1,619","4,293","3,796","1,599","1,085",941,"1,495","2,083",826,"2,180","1,134","2,426"
2020,6,30,"22,766","1,264","1,532","1,296","1,633","2,885","1,805",952,973,"1,433","1,700","1,434","2,363","1,329","2,167"
2020,6,40,"24,272","1,493","1,396","1,272","1,019","2,841","2,011","1,112","1,112","1,754","2,089","1,441","2,434","1,674","2,624"
2020,6,50,"25,527","1,533","1,407","1,518","1,000","2,877","2,208","1,375","1,363","2,050","2,408","1,103","2,250","1,559","2,876"
2020,6,60,"20,004","1,135",942,"1,258",752,"2,255","1,730","1,226","1,007","1,669","1,984",835,"1,715","1,130","2,366"
2020,6,70,"13,999",896,614,794,580,"1,708","1,154",948,757,"1,135","1,235",540,"1,235",768,"1,635"
2020,6,80,"6,749",503,286,412,288,828,552,492,345,586,632,245,567,330,683
2020,6,90,"1,150",77,51,97,59,126,91,62,60,100,110,38,112,63,104
2020,6,100,210,22,25,26,17,22,11,11,2,14,18,11,18,8,5
2020,7,총,"162,590","9,522","8,870","9,289","10,481","19,474","12,980","8,187","7,536","11,867","14,052","8,310","15,465","9,645","16,912"
2020,7,0,"9,940",652,714,378,350,857,800,383,411,736,664,"1,093","1,352",710,840
2020,7,10,"12,101",792,586,602,519,"1,292","1,012",544,571,906,"1,120",757,"1,236",939,"1,225"
2020,7,20,"25,950","1,157","1,331","1,627","4,283","3,806","1,607","1,075",936,"1,491","2,092",819,"2,184","1,131","2,411"
2020,7,30,"22,728","1,268","1,518","1,298","1,618","2,884","1,814",953,967,"1,435","1,686","1,431","2,372","1,330","2,154"
2020,7,40,"24,206","1,486","1,389","1,278","1,011","2,822","1,996","1,122","1,120","1,757","2,089","1,429","2,427","1,674","2,606"
2020,7,50,"25,511","1,534","1,416","1,513","1,001","2,872","2,214","1,366","1,350","2,046","2,406","1,109","2,235","1,569","2,880"
2020,7,60,"20,000","1,133",939,"1,267",750,"2,261","1,721","1,227","1,013","1,664","1,993",834,"1,725","1,119","2,354"
2020,7,70,"14,033",892,616,793,583,"1,707","1,161",953,754,"1,133","1,236",546,"1,238",769,"1,652"
2020,7,80,"6,757",511,283,408,287,823,556,493,351,589,637,240,568,333,678
2020,7,90,"1,156",75,53,100,62,128,88,60,61,97,111,41,110,63,107
2020,7,100,208,22,25,25,17,22,11,11,2,13,18,11,18,8,5
2020,8,총,"162,829","9,471","8,796","9,815","10,541","19,402","12,993","8,163","7,538","11,802","14,023","8,273","15,524","9,618","16,870"
2020,8,0,"9,945",637,705,464,348,856,795,385,407,733,654,"1,076","1,344",708,833
2020,8,10,"12,030",782,573,640,505,"1,282","1,006",542,563,894,"1,099",758,"1,241",931,"1,214"
