년도,월,나이,서초구,서초1동,서초2동,서초3동,서초4동,잠원동,반포본동,반포1동,반포2동,반포3동,반포4동,방배본동,방배1동,방배2동,방배3동,방배4동,양재1동,양재2동,내곡동
2020,1,총,"431,050","21,352","18,615","30,759","31,690","34,975","12,095","32,930","16,221","20,326","19,654","21,383","17,485","20,792","22,169","23,777","45,473","22,917","18,437"
2020,1,0,"35,903","1,626","1,513","1,748","3,141","2,757",623,"3,211","1,972","1,882","1,785","1,552","1,230","1,267","1,428","1,708","4,612","1,611","2,237"
2020,1,10,"45,892","1,973","1,680","2,757","4,199","4,073","1,987","3,567","2,727","2,759","2,184","2,918","1,388","1,686","2,123","2,666","4,300","1,653","1,252"
2020,1,20,"56,518","2,878","2,752","5,082","3,630","4,617","1,510","4,401","1,388","2,249","2,424","2,685","2,566","3,035","2,977","3,249","5,510","3,538","2,027"
2020,1,30,"66,532","3,792","3,780","5,015","4,010","5,355",936,"5,910","1,699","2,569","2,871","2,486","3,109","3,239","3,137","3,711","7,258","4,614","3,041"
2020,1,40,"78,736","3,889","3,302","4,903","6,433","6,726","2,425","6,702","3,762","4,297","3,593","4,088","2,888","3,183","3,361","4,360","7,895","3,961","2,968"
2020,1,50,"62,874","2,936","2,450","4,741","4,641","5,527","2,069","4,054","2,065","2,999","2,827","3,436","2,446","3,294","3,686","3,482","6,355","3,337","2,529"
2020,1,60,"46,667","2,375","1,778","3,536","3,014","3,393","1,191","2,946","1,308","1,927","2,265","2,197","2,053","2,842","3,162","2,345","5,446","2,495","2,394"
2020,1,70,"26,657","1,312",988,"2,111","1,809","1,681",977,"1,547",905,"1,126","1,194","1,317","1,283","1,622","1,623","1,585","2,905","1,250","1,422"
2020,1,80,"9,278",462,287,729,666,688,329,475,304,428,416,599,428,516,557,574,974,364,482
2020,1,90,"1,781",105,69,121,131,139,39,98,67,76,90,100,83,95,109,84,213,87,75
2020,1,100,212,4,16,16,16,19,9,19,24,14,5,5,11,13,6,13,5,7,10
2020,2,총,"431,336","21,306","18,658","30,900","31,787","34,946","12,131","32,931","16,252","20,304","19,732","21,377","17,579","20,777","22,158","23,725","45,396","22,911","18,466"
