년도,월,나이,경상북도 예천군,경상북도 예천군 예천읍,경상북도 예천군 용문면,경상북도 예천군 감천면,경상북도 예천군 보문면,경상북도 예천군 호명면,경상북도 예천군 유천면,경상북도 예천군 용궁면,경상북도 예천군 개포면,경상북도 예천군 지보면,경상북도 예천군 풍양면,경상북도 예천군 효자면,경상북도 예천군 은풍면
2020,1,총,"28,126","7,672","1,200","1,374",883,"9,168","1,298","1,288",811,"1,409","1,721",606,696
2020,1,0,"2,301",430,36,32,29,"1,568",75,32,15,24,28,12,20
2020,1,10,"2,023",566,51,42,23,"1,034",48,45,21,46,74,31,42
2020,1,20,"1,830",581,45,61,32,774,77,54,21,40,92,23,30
2020,1,30,"2,828",610,45,52,46,"1,754",106,51,23,47,49,23,22
2020,1,40,"3,121",895,67,59,42,"1,617",80,67,31,71,106,40,46
2020,1,50,"3,892","1,332",151,199,102,"1,004",135,189,102,193,255,128,102
2020,1,60,"4,580","1,481",240,325,197,640,248,298,192,322,360,133,144
2020,1,70,"3,853",984,277,290,196,416,247,290,206,316,386,93,152
2020,1,80,"3,167",654,254,268,200,311,240,224,175,299,322,106,114
2020,1,90,500,134,31,42,16,48,40,34,24,48,46,16,21
2020,1,100,31,5,3,4,0,2,2,4,1,3,3,1,3
2020,2,총,"28,194","7,640","1,194","1,370",879,"9,320","1,297","1,286",806,"1,401","1,703",607,691
2020,2,0,"2,307",424,36,32,28,"1,585",72,33,13,25,26,13,20
2020,2,10,"2,030",557,48,43,20,"1,061",47,45,21,43,72,31,42
2020,2,20,"1,817",573,44,58,32,783,80,48,21,40,86,23,29
2020,2,30,"2,832",610,44,50,44,"1,774",103,51,20,43,49,23,21
2020,2,40,"3,158",884,69,61,41,"1,664",80,66,32,70,106,38,47
2020,2,50,"3,898","1,325",150,199,103,"1,020",136,190,102,193,248,131,101
2020,2,60,"4,584","1,475",237,326,197,653,249,297,190,319,364,134,143
2020,2,70,"3,859",997,278,287,198,419,245,290,204,315,384,92,150
2020,2,80,"3,177",656,254,270,200,310,242,226,179,300,320,106,114
2020,2,90,500,134,31,40,16,49,41,36,23,49,45,15,21
2020,2,100,32,5,3,4,0,2,2,4,1,4,3,1,3
2020,3,총,"28,191","7,629","1,193","1,364",873,"9,365","1,287","1,286",811,"1,403","1,681",607,692
2020,3,0,"2,310",426,37,31,27,"1,589",71,32,14,24,26,13,20
2020,3,10,"2,034",553,48,44,21,"1,072",47,45,21,44,68,29,42
2020,3,20,"1,805",564,43,56,30,785,80,50,21,40,83,25,28
2020,3,30,"2,819",602,42,49,42,"1,784",97,50,21,43,44,23,22
2020,3,40,"3,161",887,69,58,41,"1,669",80,67,33,69,103,37,48
2020,3,50,"3,882","1,309",150,194,102,"1,031",138,190,100,192,243,133,100
2020,3,60,"4,599","1,487",234,327,197,657,246,294,193,322,363,135,144
2020,3,70,"3,848",998,274,292,194,419,241,291,203,316,381,92,147
2020,3,80,"3,190",660,260,267,202,306,243,228,182,300,321,104,117
2020,3,90,512,138,33,42,17,51,42,35,22,49,47,15,21
2020,3,100,31,5,3,4,0,2,2,4,1,4,2,1,3
2020,4,총,"28,270","7,622","1,192","1,363",870,"9,465","1,291","1,281",809,"1,408","1,680",600,689
2020,4,0,"2,319",423,36,30,26,"1,604",73,32,14,25,24,12,20
2020,4,10,"2,042",551,50,42,22,"1,086",47,43,20,40,70,29,42
2020,4,20,"1,800",562,42,56,29,788,81,52,20,39,81,24,26
2020,4,30,"2,839",600,41,51,40,"1,812",97,48,20,43,43,23,21
2020,4,40,"3,180",891,68,55,40,"1,694",83,66,35,67,100,34,47
2020,4,50,"3,877","1,306",148,192,101,"1,043",136,185,98,196,244,126,102
2020,4,60,"4,618","1,484",238,324,197,664,247,295,193,326,365,141,144
2020,4,70,"3,829",994,273,294,194,412,239,294,203,316,375,88,147
2020,4,80,"3,220",668,260,274,203,310,245,225,181,305,326,107,116
2020,4,90,515,138,33,41,18,50,41,37,24,47,50,15,21
2020,4,100,31,5,3,4,0,2,2,4,1,4,2,1,3
2020,5,총,"28,287","7,611","1,188","1,363",868,"9,506","1,296","1,280",804,"1,412","1,672",597,690
2020,5,0,"2,300",415,36,30,26,"1,594",73,31,15,25,23,12,20
2020,5,10,"2,050",546,49,41,22,"1,100",47,44,20,42,70,29,40
2020,5,20,"1,815",569,41,54,28,796,85,53,19,39,80,23,28
2020,5,30,"2,820",592,43,51,40,"1,805",96,46,19,43,42,24,19
2020,5,40,"3,190",887,66,56,38,"1,709",84,67,34,67,101,34,47
2020,5,50,"3,869","1,302",147,193,103,"1,050",140,182,96,193,239,125,99
2020,5,60,"4,623","1,486",239,324,194,672,243,294,190,331,363,141,146
2020,5,70,"3,838","1,004",273,294,195,411,240,294,200,313,377,88,149
2020,5,80,"3,228",665,258,275,202,311,246,227,185,309,326,106,118
2020,5,90,522,140,33,41,20,55,40,38,25,46,49,14,21
2020,5,100,32,5,3,4,0,3,2,4,1,4,2,1,3
2020,6,총,"28,349","7,608","1,180","1,373",872,"9,573","1,298","1,276",804,"1,409","1,670",597,689
2020,6,0,"2,314",419,34,30,27,"1,608",73,28,15,24,24,12,20
2020,6,10,"2,054",547,47,43,22,"1,102",49,44,20,41,70,29,40
2020,6,20,"1,818",562,40,54,27,811,84,53,19,41,77,23,27
2020,6,30,"2,813",592,39,51,42,"1,804",94,45,19,43,41,23,20
2020,6,40,"3,209",887,66,57,37,"1,729",83,64,36,67,102,34,47
2020,6,50,"3,860","1,298",148,197,105,"1,056",139,180,94,191,233,124,95
2020,6,60,"4,644","1,494",236,325,195,676,245,295,190,332,366,143,147
2020,6,70,"3,855","1,003",278,296,196,416,241,295,202,311,378,88,151
2020,6,80,"3,225",661,256,275,200,310,248,230,183,311,326,106,119
2020,6,90,526,140,33,42,21,58,40,38,25,44,51,14,20
2020,6,100,31,5,3,3,0,3,2,4,1,4,2,1,3
2020,7,총,"28,283","7,563","1,179","1,368",872,"9,570","1,302","1,274",803,"1,407","1,666",594,685
2020,7,0,"2,296",407,35,28,26,"1,606",73,28,15,24,23,12,19
2020,7,10,"2,035",539,47,44,23,"1,094",48,45,19,41,68,27,40
2020,7,20,"1,793",560,41,53,27,789,84,52,20,41,78,22,26
2020,7,30,"2,788",575,38,53,41,"1,795",100,45,19,42,38,22,20
2020,7,40,"3,201",885,66,56,36,"1,732",79,64,35,66,102,34,46
2020,7,50,"3,878","1,293",148,197,104,"1,080",140,179,94,192,234,124,93
2020,7,60,"4,653","1,491",236,324,196,686,247,293,191,332,367,141,149
2020,7,70,"3,862","1,008",277,296,199,414,240,297,200,313,376,90,152
2020,7,80,"3,224",661,255,272,199,315,247,229,184,309,327,107,119
2020,7,90,523,139,33,42,21,56,43,38,25,43,51,14,18
2020,7,100,30,5,3,3,0,3,1,4,1,4,2,1,3
2020,8,총,"28,169","7,529","1,186","1,356",870,"9,521","1,292","1,274",798,"1,397","1,661",597,688
2020,8,0,"2,270",407,34,28,28,"1,588",69,27,14,24,23,11,17
2020,8,10,"2,035",536,48,43,23,"1,098",48,45,19,41,65,28,41
2020,8,20,"1,774",550,41,49,25,790,81,53,19,40,78,22,26
2020,8,30,"2,754",574,37,51,41,"1,770",101,41,19,40,37,22,21
2020,8,40,"3,199",877,69,57,36,"1,732",77,66,34,66,104,34,47
2020,8,50,"3,849","1,282",147,194,104,"1,077",138,180,92,188,230,123,94
2020,8,60,"4,649","1,492",235,324,194,684,246,292,189,333,367,143,150
2020,8,70,"3,851","1,003",283,295,199,405,240,297,200,313,376,89,151
2020,8,80,"3,229",671,256,271,197,316,246,230,185,305,328,107,117
2020,8,90,530,132,33,41,23,58,45,39,26,44,51,17,21
2020,8,100,29,5,3,3,0,3,1,4,1,3,2,1,3
2020,9,총,"28,168","7,516","1,177","1,356",872,"9,549","1,295","1,269",798,"1,391","1,658",600,687
2020,9,0,"2,261",405,31,28,28,"1,586",69,27,14,23,23,12,15
2020,9,10,"2,034",534,47,44,21,"1,102",52,42,18,41,64,27,42
2020,9,20,"1,767",549,40,47,27,786,81,53,20,39,77,23,25
2020,9,30,"2,732",570,37,49,39,"1,757",100,43,18,40,33,24,22
2020,9,40,"3,199",879,65,56,39,"1,738",77,65,34,65,103,35,43
2020,9,50,"3,864","1,271",150,199,102,"1,101",137,179,91,185,231,121,97
2020,9,60,"4,668","1,498",233,324,195,692,249,293,189,334,368,144,149
2020,9,70,"3,847","1,004",283,295,200,404,238,296,201,311,375,89,151
2020,9,80,"3,229",669,255,269,198,320,246,227,184,304,331,107,119
2020,9,90,536,132,33,42,23,60,44,40,27,46,51,17,21
2020,9,100,31,5,3,3,0,3,2,4,2,3,2,1,3
2020,10,총,"28,168","7,507","1,179","1,345",865,"9,578","1,292","1,276",795,"1,390","1,652",600,689
2020,10,0,"2,252",402,31,30,27,"1,575",73,27,14,22,23,12,16
2020,10,10,"2,031",531,46,41,20,"1,106",52,42,18,43,64,26,42
2020,10,20,"1,774",550,39,45,26,796,78,55,20,39,77,24,25
2020,10,30,"2,713",562,37,48,38,"1,751",99,42,18,39,31,24,24
2020,10,40,"3,200",875,64,52,39,"1,755",77,68,33,61,99,34,43
2020,10,50,"3,873","1,270",152,200,103,"1,108",138,176,93,186,232,121,94
2020,10,60,"4,681","1,499",236,320,193,701,246,298,186,337,371,145,149
2020,10,70,"3,838","1,007",281,296,201,404,234,295,200,309,371,89,151
2020,10,80,"3,236",673,256,269,192,319,249,228,186,303,334,106,121
2020,10,90,539,133,34,41,26,60,44,41,25,48,48,18,21
2020,10,100,31,5,3,3,0,3,2,4,2,3,2,1,3
2020,11,총,"28,228","7,507","1,167","1,336",863,"9,683","1,285","1,271",794,"1,385","1,651",601,685
2020,11,0,"2,257",396,28,27,27,"1,597",73,25,14,22,22,11,15
2020,11,10,"2,030",531,43,41,21,"1,110",51,41,17,42,65,26,42
2020,11,20,"1,792",556,36,45,25,809,80,54,20,38,78,25,26
2020,11,30,"2,711",562,35,45,38,"1,761",99,40,18,37,31,22,23
2020,11,40,"3,211",875,61,51,38,"1,773",76,68,33,60,99,34,43
2020,11,50,"3,869","1,262",151,198,104,"1,119",136,175,92,186,232,122,92
2020,11,60,"4,718","1,504",240,323,193,719,245,298,188,338,374,148,148
2020,11,70,"3,827","1,006",281,293,201,411,233,295,199,305,365,88,150
2020,11,80,"3,243",676,255,268,189,321,247,230,186,306,337,106,122
2020,11,90,539,134,34,42,27,60,43,41,25,48,46,18,21
2020,11,100,31,5,3,3,0,3,2,4,2,3,2,1,3
2020,12,총,"28,261","7,494","1,159","1,335",861,"9,749","1,284","1,266",790,"1,381","1,652",605,685
2020,12,0,"2,275",403,27,27,26,"1,608",72,25,14,22,24,11,16
2020,12,10,"2,031",535,43,42,22,"1,111",50,41,16,43,63,25,40
2020,12,20,"1,786",548,36,45,24,812,80,54,20,37,79,25,26
2020,12,30,"2,713",553,33,45,39,"1,771",100,40,18,36,34,22,22
2020,12,40,"3,214",867,61,51,38,"1,790",77,68,31,60,95,33,43
2020,12,50,"3,885","1,260",149,194,102,"1,147",133,171,95,180,237,124,93
2020,12,60,"4,737","1,508",241,324,193,727,246,298,186,341,375,150,148
2020,12,70,"3,796",997,279,292,201,401,236,296,196,304,356,88,150
2020,12,80,"3,257",685,254,269,189,319,246,228,187,310,341,107,122
2020,12,90,536,133,33,43,27,60,42,41,25,45,46,19,22
2020,12,100,31,5,3,3,0,3,2,4,2,3,2,1,3
2021,1,총,"28,298","7,479","1,160","1,332",863,"9,822","1,283","1,265",786,"1,380","1,641",607,680
2021,1,0,"2,262",405,27,27,27,"1,596",69,25,14,22,23,11,16
2021,1,10,"2,041",528,44,41,22,"1,132",52,41,16,42,60,23,40
2021,1,20,"1,787",547,35,45,24,821,78,55,19,37,75,26,25
2021,1,30,"2,703",549,33,43,41,"1,767",98,40,18,36,34,22,22
2021,1,40,"3,235",860,62,48,36,"1,827",76,67,31,57,94,33,44
2021,1,50,"3,863","1,253",146,191,102,"1,155",133,166,90,184,230,124,89
2021,1,60,"4,772","1,518",243,327,195,738,247,303,190,337,373,153,148
2021,1,70,"3,770",995,275,291,200,398,232,291,191,302,356,88,151
2021,1,80,"3,290",686,259,271,189,324,253,232,190,315,346,107,118
2021,1,90,544,133,33,46,27,61,42,41,25,45,48,19,24
2021,1,100,31,5,3,2,0,3,3,4,2,3,2,1,3
2021,2,총,"28,366","7,463","1,161","1,331",857,"9,923","1,277","1,261",788,"1,379","1,640",606,680
2021,2,0,"2,274",405,27,26,26,"1,607",69,24,13,23,26,11,17
2021,2,10,"2,052",527,43,42,20,"1,149",52,41,16,40,61,21,40
2021,2,20,"1,789",543,37,42,26,831,75,54,19,38,71,26,27
2021,2,30,"2,701",545,32,44,37,"1,776",95,39,17,37,36,22,21
2021,2,40,"3,270",862,64,49,37,"1,858",77,67,31,57,92,34,42
2021,2,50,"3,854","1,250",144,189,101,"1,165",134,164,90,180,228,122,87
