년도,월,나이,대구광역시 달성군,대구광역시 달성군 화원읍,대구광역시 달성군 논공읍,대구광역시 달성군 논공읍공단출장소,대구광역시 달성군 다사읍,대구광역시 달성군 다사읍서재출장소,대구광역시 달성군 유가읍,대구광역시 달성군 옥포읍,대구광역시 달성군 현풍읍,대구광역시 달성군 가창면,대구광역시 달성군 하빈면,대구광역시 달성군 구지면
2020,8,70,"7,500","1,777",266,397,"1,192",568,423,912,784,518,271,392
2020,8,80,"4,150",808,173,238,535,245,259,485,435,408,243,321
2020,8,90,597,124,27,36,79,36,33,58,58,79,27,40
2020,8,100,19,5,1,3,0,2,1,0,2,3,1,1
2020,9,총,"127,097","24,324","2,124","6,581","25,794","18,872","14,662","12,509","11,254","4,016","1,696","5,265"
2020,9,0,"14,545","1,628",132,448,"3,045","3,130","2,614","1,290","1,251",203,61,743
2020,9,10,"11,305","2,233",86,713,"2,802","1,605","1,622",812,809,237,59,327
2020,9,20,"13,096","2,899",196,763,"2,707","1,885","1,151","1,234","1,396",293,110,462
2020,9,30,"20,120","2,538",237,656,"3,820","4,222","3,226","1,977","1,976",327,114,"1,027"
2020,9,40,"20,612","3,767",208,"1,235","4,807","3,191","2,795","1,688","1,630",463,115,713
2020,9,50,"20,460","5,077",418,"1,373","4,155","2,535","1,460","2,213","1,618",640,347,624
2020,9,60,"14,635","3,458",385,717,"2,637","1,441","1,084","1,830","1,291",839,349,604
2020,9,70,"7,534","1,784",265,397,"1,202",574,416,920,782,521,273,400
2020,9,80,"4,162",807,170,241,537,251,259,485,442,409,239,322
2020,9,90,609,128,26,35,82,36,34,60,57,81,28,42
2020,9,100,19,5,1,3,0,2,1,0,2,3,1,1
2020,10,총,"127,254","24,310","2,127","6,557","25,800","18,870","14,648","12,551","11,249","4,016","1,699","5,427"
2020,10,0,"14,522","1,609",128,443,"3,033","3,113","2,608","1,296","1,248",204,61,779
2020,10,10,"11,376","2,235",90,708,"2,818","1,621","1,627",826,816,234,59,342
2020,10,20,"13,077","2,888",196,758,"2,714","1,885","1,145","1,236","1,383",289,112,471
2020,10,30,"20,009","2,516",236,661,"3,786","4,187","3,202","1,961","1,954",328,113,"1,065"
2020,10,40,"20,659","3,754",211,"1,222","4,814","3,204","2,795","1,699","1,637",459,122,742
2020,10,50,"20,499","5,075",420,"1,381","4,161","2,536","1,461","2,209","1,628",643,341,644
2020,10,60,"14,746","3,495",382,715,"2,643","1,452","1,100","1,855","1,297",846,349,612
2020,10,70,"7,549","1,786",268,393,"1,208",578,417,924,785,518,270,402
2020,10,80,"4,179",815,168,238,539,255,259,484,442,410,242,327
2020,10,90,618,132,27,34,84,37,33,61,57,82,29,42
2020,10,100,20,5,1,4,0,2,1,0,2,3,1,1
2020,11,총,"127,412","24,201","2,125","6,518","25,758","18,909","14,688","12,560","11,206","4,006","1,700","5,741"
2020,11,0,"14,473","1,582",130,427,"3,014","3,113","2,606","1,282","1,245",200,60,814
2020,11,10,"11,405","2,222",91,696,"2,830","1,628","1,635",826,814,233,59,371
2020,11,20,"13,105","2,875",198,756,"2,710","1,881","1,157","1,247","1,373",290,111,507
2020,11,30,"19,914","2,479",228,659,"3,742","4,177","3,174","1,950","1,934",320,114,"1,137"
2020,11,40,"20,764","3,731",211,"1,210","4,829","3,234","2,831","1,705","1,633",457,118,805
2020,11,50,"20,465","5,058",420,"1,374","4,131","2,539","1,463","2,200","1,612",647,342,679
2020,11,60,"14,889","3,517",381,726,"2,681","1,458","1,104","1,880","1,308",841,350,643
2020,11,70,"7,560","1,781",267,394,"1,204",583,422,926,778,521,269,415
2020,11,80,"4,193",822,170,239,531,257,263,481,450,410,244,326
2020,11,90,624,129,28,33,86,37,32,63,57,84,32,43
2020,11,100,20,5,1,4,0,2,1,0,2,3,1,1
2020,12,총,"127,631","24,143","2,143","6,499","25,687","18,909","14,649","12,533","11,138","4,003","1,702","6,225"
2020,12,0,"14,422","1,570",131,427,"2,983","3,089","2,580","1,279","1,224",198,64,877
2020,12,10,"11,417","2,216",91,688,"2,825","1,639","1,634",823,811,227,57,406
2020,12,20,"13,124","2,850",197,759,"2,699","1,879","1,163","1,248","1,369",289,109,562
2020,12,30,"19,921","2,470",238,662,"3,709","4,166","3,155","1,926","1,914",316,116,"1,249"
2020,12,40,"20,789","3,710",211,"1,198","4,811","3,247","2,830","1,705","1,624",454,116,883
2020,12,50,"20,522","5,052",420,"1,372","4,130","2,544","1,468","2,194","1,595",651,342,754
2020,12,60,"14,995","3,542",384,727,"2,691","1,470","1,097","1,875","1,314",844,350,701
2020,12,70,"7,569","1,767",267,394,"1,215",578,427,940,773,522,269,417
2020,12,80,"4,230",835,175,237,538,256,261,480,455,417,246,330
2020,12,90,621,126,28,31,86,39,33,63,57,81,32,45
2020,12,100,21,5,1,4,0,2,1,0,2,4,1,1
2021,1,총,"127,833","24,138","2,134","6,467","25,646","18,918","14,672","12,544","11,038","3,985","1,697","6,594"
2021,1,0,"14,387","1,561",131,420,"2,959","3,069","2,580","1,270","1,205",196,61,935
2021,1,10,"11,458","2,207",84,680,"2,824","1,651","1,656",834,800,226,58,438
2021,1,20,"13,059","2,839",194,753,"2,659","1,890","1,144","1,235","1,347",284,109,605
2021,1,30,"19,844","2,456",238,642,"3,677","4,150","3,136","1,908","1,872",318,113,"1,334"
2021,1,40,"20,884","3,698",211,"1,188","4,821","3,256","2,856","1,729","1,609",444,115,957
2021,1,50,"20,529","5,040",418,"1,383","4,137","2,531","1,465","2,190","1,585",645,342,793
2021,1,60,"15,178","3,588",386,736,"2,716","1,494","1,104","1,894","1,330",847,351,732
2021,1,70,"7,579","1,767",266,392,"1,218",581,435,940,772,521,265,422
2021,1,80,"4,264",847,176,238,548,252,263,481,460,421,249,329
2021,1,90,627,128,29,31,86,42,32,63,56,79,33,48
2021,1,100,24,7,1,4,1,2,1,0,2,4,1,1
2021,2,총,"128,008","24,136","2,123","6,427","25,550","18,911","14,645","12,571","11,023","3,978","1,712","6,932"
2021,2,0,"14,343","1,557",125,417,"2,909","3,058","2,566","1,252","1,193",192,62,"1,012"
2021,2,10,"11,448","2,205",84,660,"2,829","1,651","1,639",829,798,220,62,471
2021,2,20,"13,043","2,828",194,741,"2,637","1,887","1,141","1,246","1,344",281,109,635
2021,2,30,"19,804","2,457",236,644,"3,611","4,139","3,117","1,894","1,857",316,116,"1,417"
2021,2,40,"20,913","3,651",207,"1,173","4,833","3,264","2,876","1,737","1,607",439,117,"1,009"
2021,2,50,"20,566","5,043",417,"1,381","4,135","2,519","1,481","2,188","1,588",646,340,828
2021,2,60,"15,333","3,629",384,746,"2,738","1,511","1,096","1,924","1,343",851,356,755
2021,2,70,"7,611","1,774",263,391,"1,224",588,437,944,769,529,266,426
2021,2,80,"4,288",855,182,240,545,251,259,494,467,419,247,329
2021,2,90,636,130,30,31,88,41,32,63,55,81,36,49
2021,2,100,23,7,1,3,1,2,1,0,2,4,1,1
2021,3,총,"127,955","24,018","2,127","6,385","25,515","18,908","14,616","12,569","10,991","3,945","1,708","7,173"
