년도,월,나이,부산광역시,부산광역시 중구,부산광역시 서구,부산광역시 동구,부산광역시 영도구,부산광역시 부산진구,부산광역시 동래구,부산광역시 남구,부산광역시 북구,부산광역시 해운대구,부산광역시 사하구,부산광역시 금정구,부산광역시 강서구,부산광역시 연제구,부산광역시 수영구,부산광역시 사상구,부산광역시 기장군
2020,1,총,"3,411,819","41,830","107,973","88,292","116,447","357,284","271,562","273,707","290,908","406,312","320,254","238,556","130,298","209,980","176,112","217,594","164,710"
2020,1,0,"242,231","1,483","5,692","4,164","5,707","22,168","19,999","19,414","20,364","29,669","21,831","14,054","19,388","15,425","10,544","13,623","18,706"
2020,1,10,"282,183","2,241","7,446","5,312","7,935","25,986","25,449","24,176","25,106","39,875","26,979","18,904","10,556","16,994","12,336","16,141","16,747"
2020,1,20,"435,626","5,465","13,529","10,429","12,479","51,267","33,579","35,543","39,493","50,190","41,449","34,146","11,900","26,406","24,063","29,850","15,838"
2020,1,30,"433,536","4,595","11,636","10,237","11,523","47,877","34,008","32,621","35,390","48,617","40,007","26,960","26,587","28,256","24,107","26,852","24,263"
2020,1,40,"517,826","5,654","14,768","12,129","15,917","52,050","43,260","43,092","42,297","67,497","47,842","33,446","21,312","32,106","25,598","30,640","30,218"
2020,1,50,"581,966","7,250","18,479","14,959","20,576","59,471","45,376","44,231","56,268","71,192","57,155","42,387","16,482","34,780","27,922","43,041","22,397"
2020,1,60,"509,116","7,745","18,435","15,577","21,536","53,627","39,557","40,018","42,806","55,304","49,036","37,710","14,571","31,166","27,641","34,949","19,438"
2020,1,70,"284,987","4,976","12,121","10,522","14,407","31,072","21,489","24,516","20,508","30,039","25,351","21,308","6,539","17,564","16,651","16,335","11,589"
2020,1,80,"108,317","1,995","5,017","4,318","5,521","12,083","7,702","8,886","7,593","12,180","9,183","8,326","2,505","6,401","6,342","5,468","4,797"
2020,1,90,"14,235",346,739,549,718,"1,460","1,005","1,084",985,"1,596","1,260","1,122",419,804,841,629,678
2020,1,100,"1,796",80,111,96,128,223,138,126,98,153,161,193,39,78,67,66,39
2020,2,총,"3,410,925","41,826","107,844","88,439","116,155","356,811","271,528","272,927","290,230","405,708","319,542","238,208","130,748","210,509","176,879","217,250","166,321"
2020,2,0,"241,624","1,459","5,652","4,133","5,673","21,969","19,986","19,245","20,255","29,617","21,639","13,991","19,436","15,421","10,616","13,522","19,010"
2020,2,10,"281,120","2,235","7,452","5,321","7,864","25,883","25,322","24,087","24,842","39,609","26,812","18,839","10,622","17,034","12,348","15,986","16,864"
2020,2,20,"434,692","5,506","13,504","10,456","12,388","51,271","33,519","35,404","39,239","49,932","41,297","34,110","11,846","26,373","24,217","29,817","15,813"
2020,2,30,"431,911","4,559","11,544","10,262","11,428","47,532","33,930","32,292","35,294","48,346","39,672","26,725","26,603","28,231","24,185","26,703","24,605"
2020,2,40,"518,321","5,629","14,762","12,133","15,915","52,061","43,310","43,013","42,051","67,445","47,756","33,463","21,540","32,314","25,781","30,556","30,592"
2020,2,50,"580,966","7,255","18,414","14,966","20,462","59,319","45,275","44,064","56,161","71,131","56,924","42,210","16,482","34,818","27,967","42,921","22,597"
2020,2,60,"511,174","7,761","18,467","15,620","21,589","53,776","39,682","40,122","43,100","55,450","49,305","37,776","14,716","31,314","27,763","35,082","19,651"
2020,2,70,"285,602","4,978","12,135","10,544","14,427","31,099","21,562","24,489","20,535","30,094","25,441","21,387","6,531","17,615","16,703","16,432","11,630"
2020,2,80,"109,312","2,014","5,063","4,354","5,553","12,190","7,786","8,988","7,658","12,313","9,263","8,373","2,506","6,487","6,394","5,535","4,835"
2020,2,90,"14,396",348,737,552,728,"1,489","1,020","1,092",996,"1,616","1,272","1,141",425,824,840,632,684
2020,2,100,"1,807",82,114,98,128,222,136,131,99,155,161,193,41,78,65,64,40
2020,3,총,"3,409,932","41,764","107,669","89,289","115,886","356,661","272,319","272,381","289,575","405,155","318,866","237,508","131,140","210,326","176,967","216,840","167,586"
2020,3,0,"240,857","1,458","5,609","4,246","5,630","21,826","20,195","19,055","20,098","29,522","21,498","13,852","19,462","15,323","10,593","13,409","19,081"
2020,3,10,"279,909","2,208","7,417","5,359","7,798","25,737","25,347","24,019","24,688","39,311","26,595","18,758","10,673","16,923","12,270","15,907","16,899"
2020,3,20,"435,280","5,507","13,527","10,594","12,367","51,504","33,535","35,500","39,033","49,937","41,262","34,053","11,877","26,467","24,288","29,744","16,085"
2020,3,30,"430,494","4,535","11,421","10,499","11,324","47,394","34,024","32,016","35,160","48,091","39,361","26,514","26,565","28,131","24,127","26,562","24,770"
